"user","post","date"
"eve-foxhavengarden.bsky.social","Yes, Donald. There is “a little something out there” saying you can't run again, it's called the Constitution.","2026-02-17T18:00:23.337Z"
"eve-foxhavengarden.bsky.social","Exactly!! #StopInsideTradingInCongress","2026-02-17T18:02:06.678Z"
"eve-foxhavengarden.bsky.social","Plans are under way to set up permanent police drone teams in two major Scottish cities, according to a policing body report","2026-02-17T18:28:11.906Z"
"eve-foxhavengarden.bsky.social","Nope, we will NEVER stop demanding the #Trump-EpsteinFiles #Epstein #EpsteinFiles","2026-02-17T18:38:02.165Z"
"eve-foxhavengarden.bsky.social","We the People demand the unredacted #Trump-EpsteinFiles #Epstein #EpsteinFiles","2026-02-17T18:39:20.056Z"
"eve-foxhavengarden.bsky.social","#Trump wants everyone to stop talking about the #Trump-EpsteinFiles #Epstein #EpsteinFiles","2026-02-17T18:40:56.151Z"
"eve-foxhavengarden.bsky.social","Unredacted.... #Epstein #EpsteinFiles #Trump-EpsteinFiles","2026-02-17T18:42:30.523Z"
"eve-foxhavengarden.bsky.social","#TrumpThePedo gets into office.. Ensuring loyalty to him, #Trump brings in everyone who's in the #EpsteinFiles to work for him and NOT the People!!! WTF???? #Epstein #Trump-EpsteinFiles","2026-02-17T18:45:35.191Z"
"eve-foxhavengarden.bsky.social","Important interview with Gisele Pelicot and the bravery she has shown in her determination that 'shame has to change sides.' www.bbc.co.uk/iplayer/epis...","2026-02-17T18:52:32.086Z"
"eve-foxhavengarden.bsky.social","Gary NAILED IT! #Trump-EpsteinFiles #JusticeForTheVictims","2026-02-17T18:58:05.857Z"
"eve-foxhavengarden.bsky.social","NEW: A furious Anas Sarwar has lashed out at John Swinney and branded him 'idiotic' for describing funding from scandal-hit Labour Together as 'dodgy' 🔗 www.thenational.scot/news/2...","2026-02-17T19:06:27.922Z"
"eve-foxhavengarden.bsky.social","We're going to find the fire: www.marytrump.org/p/thats-a-lo...","2026-02-17T19:31:01.084Z"
"eve-foxhavengarden.bsky.social","Corporate landlords shouldn’t be able to muzzle military families from talking about terrible housing conditions.","2026-02-17T19:35:09.944Z"
"eve-foxhavengarden.bsky.social","EXCLUSIVE: The Scottish Government has been urged to confirm that no Palestine Action supporters 'will be criminalised for opposing genocide' in Scotland following the High Court ruling","2026-02-17T21:08:37.866Z"
"eve-foxhavengarden.bsky.social","University of Manchester senior lecturer Kaye Mitchell picks five LGBTQ books that have left their mark on the world.","2026-02-17T21:25:31.879Z"
"eve-foxhavengarden.bsky.social","Many people have told me I should change my last name, but instead, Donald should change his. """"Donald Epstein"""" has a nice ring to it, don't you think?","2026-02-17T22:27:00.727Z"
"eve-foxhavengarden.bsky.social","The files contain devastating pleas from a woman who survived Epstein’s network and says she has spent years being gaslit, questioning her own lawyers, describing coercive settlements, deleted records, harassment, media smears, and silence. 🧵","2026-02-17T22:35:30.701Z"
"eve-foxhavengarden.bsky.social","NEW: Police are assessing information about private flights to and from Stansted Airport following the publication of millions of files relating to the paedophile financier Jeffrey Epstein","2026-02-17T22:42:37.531Z"
"eve-foxhavengarden.bsky.social","Tomorrow's front page 📰 Sarwar won't return 'dodgy' cash from think tank","2026-02-17T22:46:51.145Z"
"eve-foxhavengarden.bsky.social","A distraught Maria Farmer wrote to the FBI and a team of attorneys after the death of her friend and fellow Epstein survivor Virginia Giuffre last year. “ I have no idea how to survive now,” Farmer wrote.","2026-02-17T22:58:34.520Z"
"eve-foxhavengarden.bsky.social","The FBI has not released all the evidence it has on this victim or her allegations against Trump. Her story was credible enough to be used to sue Epstein successfully and help convict Ghislaine Maxwell. Why can't the world see an unredacted 302 report?","2026-02-17T23:00:56.093Z"
"eve-foxhavengarden.bsky.social","Why is Scotland, an energy rich nation, facing a horrendous cost-of-living crisis and the worst decline in living standards on record? We aim to answer this in our major new McCrone Report series, launching next week 👇","2026-02-17T23:16:52.523Z"
"eve-foxhavengarden.bsky.social","#Trump-EpsteinFiles","2026-02-17T23:21:32.465Z"
"eve-foxhavengarden.bsky.social","Reveal the #Trump-EpsteinFiles NOW!!!! #Resist #Epstein #EpsteinFiles","2026-02-17T23:31:22.394Z"
"eve-foxhavengarden.bsky.social","A Speciality coffee roastery on the Isle of Skye, has been recognised in the World’s 100 Best Coffee Shops 2026","2026-02-17T23:41:45.765Z"
"eve-foxhavengarden.bsky.social","Big Issue's Changemakers of 2026 are taking a stand against climate change and the changing environment to help their communities.","2026-02-17T23:43:43.653Z"
"eve-foxhavengarden.bsky.social","Treatments for childhood cancer, Alzheimer’s, and sickle cell are at risk. Donald Trump slashed funds, and Massachusetts’s world-class researchers were hit hard. It's terrifying — and every family holding out hope for lifesaving treatments will hurt from this.","2026-02-18T01:01:28.401Z"
