"user","post","date"
"fightoligarchy2025.bsky.social","MAGA=Monsters Among Good Americans","2026-01-22T01:12:06.679Z"
"fightoligarchy2025.bsky.social","Together, we must defend democracy and defeat authoritarianism.","2026-01-22T00:53:54.572Z"
"fightoligarchy2025.bsky.social","🔥 THIS IS THE CORE OF THE CHOICE. The future is not inevitable. We choose it. And we must choose: a vibrant, powerful democracy where every voice counts—or a shadow of authoritarianism where only one voice matters. The fight for America’s soul is now. Choose democracy.","2026-01-19T02:58:48.337Z"
"fightoligarchy2025.bsky.social","Calling for more ICE agent training is calling for more ICE funding, for a more efficient ethnic cleansing machine. They don’t need more training, they need to be destroyed. ABOLISH ICE. ABOLISH ICE. ABOLISH ICE.","2026-01-17T17:47:00.905Z"
"fightoligarchy2025.bsky.social","Today I was Kidnapped By ICE - Dawokefarmer","2026-01-18T03:36:56.370Z"
"fightoligarchy2025.bsky.social","Make it viral.","2026-01-08T03:22:49.436Z"
"fightoligarchy2025.bsky.social","Say her name. Renee Nicole Good.","2026-01-08T01:36:50.187Z"
"fightoligarchy2025.bsky.social","Minneapolis.","2026-01-08T00:43:36.295Z"
"fightoligarchy2025.bsky.social","GO BERNIE!!!","2026-01-06T00:02:30.352Z"
"fightoligarchy2025.bsky.social","Epstein. Venezuela. Oil. Epstein. Venezuela. Oil. Epstein. Venezuela. Oil. Epstein. Venezuela. Oil. Epstein. Venezuela. Oil. Epstein. Venezuela. Oil. Epstein. Venezuela. Oil. Epstein. Venezuela. Oil. Epstein. Venezuela. Oil. Epstein. Venezuela. Oil. Epstein. Venezuela. Oil. Epstein. Venezuela. Oil.","2026-01-03T14:19:39.652Z"
"fightoligarchy2025.bsky.social","No blood for oil anymore!","2026-01-04T02:52:46.549Z"
"fightoligarchy2025.bsky.social","Isn't it odd that the United States has enough money to suddenly run Venezuela, but not enough to run our own country? There is always cash in the piggy bank for bombs to kill people, but never for healthcare to keep them alive.","2026-01-04T00:10:00.538Z"
"fightoligarchy2025.bsky.social","Oligarchs are lying & expecting us to buy their lies. Do not fall for that.","2025-12-19T01:12:51.368Z"
"fightoligarchy2025.bsky.social","His warning takes on even greater urgency today.","2025-12-15T20:30:26.380Z"
"fightoligarchy2025.bsky.social","People in the U.S. do not want a war in Venezuela. On the latest episode of Empire on the Rocks, Medea Benjamin and Marcy Winograd talk about the congressional investigations on Trump's illegal attacks in the Caribbean. Tune in on YouTube, Spotify, or Apple Podcasts!","2025-12-17T00:00:42.602Z"
"fightoligarchy2025.bsky.social","Solidarity with Starbucks workers on strike! ✊ Behind every cup of coffee is a person who deserves a living wage, secure hours and safe working conditions. When workers unite to demand better, they strengthen the rights of all workers. Their fight is our fight.🙌","2025-12-12T00:41:27.876Z"
"fightoligarchy2025.bsky.social","Mark Zuckerberg is building a data center in Louisiana that will use 3x more electricity than all of New Orleans. Oligarchs want YOU to pay for these data centers with higher water & electric bills. Americans must fight back against billionaires who put profits over people.","2025-12-10T16:40:17.701Z"
"fightoligarchy2025.bsky.social","👊","2025-12-02T03:25:08.950Z"
"fightoligarchy2025.bsky.social","Bernie Sanders: If we had a rational system designed to improve life, education could be free from childcare to graduate school. We can have universal health care. We can lead the world in transforming our energy system. We can build affordable and low income housing.","2025-12-01T01:54:47.335Z"
"fightoligarchy2025.bsky.social","Recently, Bernie Sanders met with hundreds of Starbucks workers to talk about our strike. We’re ready to do what it takes - and we thank allies like @sanders.senate.gov for standing with us in saying DON’T BUY STARBUCKS while workers are on ULP strike!","2025-11-18T22:14:11.949Z"
"fightoligarchy2025.bsky.social","“Unfortunately for Mr. Trump, that’s not what we do in America”","2025-11-21T02:15:42.444Z"
