"user","post","date"
"figsdee.bsky.social","Florida, it’s way past time. www.youtube.com/watch?v=euWj...","2026-02-17T20:46:52.242Z"
"figsdee.bsky.social","Late Show host, Stephen Colbert, said CBS did not air his Monday interview with Senate candidate Rep. James Talarico, D-Texas, out of fear of the FCC. #HeDidItAnyway.😏 🤩🗽 www.youtube.com/watch?v=tEmZ...","2026-02-17T17:45:08.104Z"
"figsdee.bsky.social","42 Point Swing 🗳️ #BeEncouraged Help register NEW Dem voters & drive out the vote. Lots of orgs available. In person, phone & text banks. #Donate ACLU, Democracy Forward, your local, state candidates & Independent media/journalists. Get involved locally. Mobilize.us www.youtube.com/watch?v=S3eM...","2026-02-17T17:17:37.452Z"
"figsdee.bsky.social","www.youtube.com/watch?v=5pGu...","2026-02-17T16:53:08.054Z"
"figsdee.bsky.social","This is deeply impressive & awe inspiring. I was unaware of all it entailed. Minn has convinced me that, if we remain united & implement their strategies, WE WILL prove victorious. Granted, communities might need to tweak or design strategies reflecting their needs.🗽 www.youtube.com/watch?v=g7hr...","2026-02-17T16:01:25.234Z"
"figsdee.bsky.social","www.youtube.com/shorts/BF4EB...","2026-02-17T15:41:07.428Z"
"figsdee.bsky.social","www.youtube.com/shorts/25ZZK...","2026-02-17T15:30:51.100Z"
"figsdee.bsky.social","New York District 15 Congressman, Richey Torres, has an opponent, Jose Vega. As do many others, Vega describes Torres as beholden to AIPAC & also points out that, District 15 is one of the poorest districts in the US for which Torres does nothing. www.youtube.com/watch?v=nA6_...","2026-02-17T15:02:08.081Z"
"figsdee.bsky.social","www.youtube.com/watch?v=gR9v...","2026-02-17T14:37:14.205Z"
"figsdee.bsky.social","www.youtube.com/watch?v=QOIW...","2026-02-17T14:11:49.515Z"
"figsdee.bsky.social","www.youtube.com/watch?v=kAcF...","2026-02-17T13:47:17.761Z"
"figsdee.bsky.social","Holy Smokes!","2026-02-17T08:41:21.572Z"
"figsdee.bsky.social","Such a heartening report. However, reports do not win elections & we’ve got months to go. www.youtube.com/watch?v=kAcF...","2026-02-17T08:32:10.364Z"
"figsdee.bsky.social","🧊 still in Minnesota creating havoc. #Liars 🤥 www.youtube.com/watch?v=dx6u...","2026-02-16T16:44:17.179Z"
"figsdee.bsky.social","Marc walks us through the Save Act. www.youtube.com/watch?v=NYsx...","2026-02-15T20:23:56.274Z"
