"user","post","date"
"flamelamothe.bsky.social","NO THRONES. NO CROWNS. NO KINGS. 📅 March 28 📍 Boston Common Power belongs to the people — and we’re writing American History together. What do YOU want to see at No Kings 3 Boston? Drop your ideas here 👉 bit.ly/nk3ideas","2026-02-11T18:04:30.980Z"
"flamelamothe.bsky.social","www.youtube.com/watch?v=fzwF... ICE out of Boston. ICE out of Massachusetts. ICE out everywhere. Speeches were excellent, music was excellent, rally excellent. Several of the speakers had recently taken part in the general strike and demonstrations in Minneapolis and gave riveting accounts of ...","2026-02-02T21:02:33.550Z"
"flamelamothe.bsky.social","www.youtube.com/watch?v=0ua_... The Boston Solidarity Rally with the Minnesota Walk Out on January 23, 2026 had a great turnout. There was fantastic spirit and determination. The crowd was very diverse and showed that the movement is becoming more diverse and unified every day.","2026-01-24T21:05:07.586Z"
"flamelamothe.bsky.social","www.youtube.com/watch?v=Mj_f... Boston Stop ICE Terror – January 20, 2026 Speakers were excellent and told an important story about the horrors of ICE and the Trump Regime. The demonstrators had tremendous enthusiasm and were determined to send a message to those who are carrying out the ICE terror.","2026-01-21T20:25:00.203Z"
"flamelamothe.bsky.social","#NightmareOnWhiteHouseStreet This is my resistance poster that I created to respond the terrible ICE attacks and murder in Minneapolis and around the country. It is also a warning that we must be prepared for the Trump Regime 2026 Election Coup. #ArtActivism #Resist #ResistanceArt #Indivisible","2026-01-19T19:49:26.307Z"
"flamelamothe.bsky.social","www.youtube.com/watch?v=wp9B... This action was streamed live from the Burlington ICE in an as it happens style and includes most of the demonstration. Video is raw unedited footage. I recommend setting your YouTube player settings to 1080p HD. This was one of the largest rallies-over 900 people.","2026-01-14T21:41:15.943Z"
"flamelamothe.bsky.social","www.simonandschuster.com/books/The-Un... Now more than ever it is important to get an alternative narrative about Venezuela and the the long history of invasions and world domination that the U.S. been engaging in for many years, especially with the 250th anniversary narrative that we are hearing.","2026-01-06T16:21:26.016Z"
"flamelamothe.bsky.social","www.youtube.com/watch?v=0x3U... This emergency Boston action had a great turnout on very short notice in response to the bombing of Venezuela and kidnapping of President Maduro and Cilia Flores. Many excellent speeches and chants that tell the important stories and analysis that don't get reported.","2026-01-04T19:42:09.467Z"
"flamelamothe.bsky.social","Fascism.","2025-12-27T22:30:16.115Z"
"flamelamothe.bsky.social","A 60 Minutes segment exposing torture at El Salvador’s CECOT prison was pulled at the last minute. Here’s why it matters: those same illegal tactics are already being used in U.S. detention centers. Over 75% of detainees have no criminal record. This is authoritarianism. And we don’t submit.","2025-12-23T17:22:30.580Z"
"flamelamothe.bsky.social","Boston ICE Tea Party, December 16, 2025 www.youtube.com/watch?v=sOGx... Streamed Live on Dec 16, 2025 The Boston ICE Tea Party that was organized by Boston Indivisible was a very lively and spirited demonstration that was organized to expose the many abuses of ICE and the Trump administration.","2025-12-19T04:35:33.024Z"
"flamelamothe.bsky.social","The Pigeons Q and A Tonight, Tuesday, December 9, 2025 Q&A - 9:30 pm EST (8:30 CST, 7:30 MST, 6:30 PST) Panel - 8:30 pm EST (7:30 CST, 6:30 MST, 5:30 PST) INNOVATION Zoom Link to Q and A and Panel: bit.ly/AFFVirtualFest Create Acct First Then Purchase Tickets: vist.ly/4d44x Then Click on Virtual ..","2025-12-09T18:46:48.367Z"
"flamelamothe.bsky.social","www.instagram.com/p/DR8T9jZDyG...","2025-12-08T19:39:45.807Z"
"flamelamothe.bsky.social","Please join us for the Worldwide Online Premiere of The Pigeons at the Awareness Film Festival. December 8 to 31, 2025 It is an experimental sci-fi political somewhat wacky satire that addresses very serious underlying issues. Trailer and Ticket Page: app.entertainmentoxygen.com/feed/04ea690...","2025-12-08T18:57:09.521Z"
"flamelamothe.bsky.social","This Bearing Witness standout features excellent speeches including one very good speech about the recently deported Babson College student who was captured by ICE. She has been here since she was 7 years old. www.youtube.com/watch?v=Clzd... #BearingWitness #BurlingtonMA @universalhub.com","2025-12-04T20:02:58.175Z"
"flamelamothe.bsky.social","Trump wants the vast reserves of Venezuelan oil for himself and his billionaire oil buddies. They are openly making plans to seize Venezuelan oil fields. They are committing war crimes against the people of Venezuela by murdering people on boats and demanding no survivors. #NoOilKings #NoWarKings","2025-12-01T17:38:37.705Z"
"flamelamothe.bsky.social","🔥🧊","2025-11-21T03:57:55.034Z"
"flamelamothe.bsky.social","If you are in the Boston Area, please join us for this Artist Talk """"Where Do We Go From Here?"""" on Sunday, 2-4pm, Nov 23, 2025. Hear excellent talks and see the excellent resistance art that is part of this show, Artists Act to Protect Freedom of Expression. Special Guest Nathan Phillips.","2025-11-19T19:19:53.970Z"
"flamelamothe.bsky.social","AI Pocalypse is Near, Communiqué 001 In case you didn't have enough to worry about, here is an excerpt from an AI book called """"If Anyone Builds It, Everyone Dies, Why Superhuman AI Would Kill Us All"""". I wonder who this AI entity Sydney might have learned this behavior from? Who do you think?","2025-11-18T16:56:11.686Z"
"flamelamothe.bsky.social","This is probably why they’re making everything so unaffordable. Make people desperate enough to sacrifice their humanity.","2025-11-14T00:10:47.481Z"
"flamelamothe.bsky.social","This is my latest version of one of my resistance art demonstration posters.","2025-11-09T01:29:01.148Z"
"flamelamothe.bsky.social","Oh","2025-11-09T00:37:06.240Z"
"flamelamothe.bsky.social","Excessive force. PERIOD! They called them “violent mobs,” but the violence came from the guys with badges and body armor. 📌 Keep sharing videos, everyone, because they’re evidence.","2025-11-06T01:02:22.175Z"
"flamelamothe.bsky.social","Not ICE. Border Patrol. They’re wearing Border Patrol uniforms with clear Border Patrol patches on them. There are many videos of ICE officers doing outrageous stuff but a lot of the absolute worst videos are of Border Patrol, who are basically Bovino and Miller’s most aggressive tool right now.","2025-11-08T16:48:43.333Z"
"flamelamothe.bsky.social","ICE is inflicting a lifetime of trauma on families. And it’s being carried out in the name of the United States of America.","2025-11-08T19:53:09.421Z"
"flamelamothe.bsky.social","Page One. @chicago.suntimes.com #ICE @newsjennifer.bsky.social","2025-11-06T16:23:49.823Z"
"flamelamothe.bsky.social","1/3: Election Day and no American should face a show of force just to cast a ballot. This scenario may not be happening to you. Yet. But don’t kid yourself. It’s what they want. #IVoted #ElectionDay #VotingRights #ProtectTheVote #Democracy #Vote #VotingMatters #NoKings #PoliticalCartoon #Voteblue","2025-11-04T11:55:38.803Z"
"flamelamothe.bsky.social","This is a Video Montage of great resistance art set to the song """"For What It's Worth"""" by Buffalo Springfield, written by Stephen Stills, 1966. The Project is entitled “Artists Act to Protect Freedom of Expression.” The opening is Friday, November 7, 2025 from 5pm to 8pm. youtu.be/8zZQcV8qhLU","2025-11-04T22:21:55.052Z"
"flamelamothe.bsky.social","This is a piece by Erik from the upcoming show, Artists Act for Free Expression! Freedom and Justice for All Opens Friday, November 7, 2025 at Galatea Fine Art in Boston's SOWA Art District.","2025-11-04T01:06:01.772Z"
