"user","post","date"
"flockenburg.bsky.social","Our lead researcher is the source for this excellent article:","2026-01-16T17:06:33.516Z"
"flockenburg.bsky.social","@hibf.bsky.social Thank you Have I Been Flocked for the follow and everything that you do. No one else has put more pressure on Flock than you have this year. Public record requests are Flock's Achilles's heel, as Have I Been Flocked has amply demonstrated.","2026-01-29T23:39:39.944Z"
"flockenburg.bsky.social","🤣🤣🤣 Are we self-styled privacy advocates? www.404media.co/police-told-...","2026-01-28T17:49:21.379Z"
"flockenburg.bsky.social","We helped make Santa Cruz the first city in California to kick Flock out of town. One city down, 328 to go to reach our goal kicking Flock out of California. Stay tuned.","2026-01-16T19:08:19.387Z"
"flockenburg.bsky.social","We helped make Santa Cruz the first city in California to kick Flock out of town. One city down, 328 to go to reach our goal kicking Flock out of California. Stay tuned.","2026-01-16T19:08:19.387Z"
"flockenburg.bsky.social","Our lead researcher is the source for this excellent article:","2026-01-16T17:06:33.516Z"
"flockenburg.bsky.social","Congratulations to Santa Cruz!","2026-01-15T03:31:56.915Z"
"flockenburg.bsky.social","Santa Cruz the First in California to Terminate Its Contract With Flock Safety","2026-01-15T03:48:25.691Z"
"flockenburg.bsky.social","Congratulations to Santa Cruz!","2026-01-15T03:31:56.915Z"
"flockenburg.bsky.social","We won. The Santa Cruz City Council voted 6-1 to cancel the Flock contract. Santa Cruz in the first city in California to Get the Flock Out of our town.","2026-01-14T04:43:56.217Z"
"flockenburg.bsky.social","Our reports of illegal data sharing with ICE, out-of-state agencies and a stalker police chief helped persuade Santa Cruz City Council members to put Flock contract cancellation on Tuesday's agenda. If this passes, Tuesday's vote Santa Cruz will be the first city in California to cancel Flock.","2026-01-12T00:57:50.026Z"
"flockenburg.bsky.social","Dr. Jon Padfield makes some great points in this video.","2026-01-08T20:52:18.054Z"
"flockenburg.bsky.social","Flock CEO to Staunton, VA: """"We will remain at your service."""" Staunton cancels Flock contract one week later. 1/3","2025-12-28T20:06:54.140Z"
"flockenburg.bsky.social","We proved that police agencies in Santa Cruz counties violated California law - here is a recap article:","2026-01-07T14:45:29.005Z"
"flockenburg.bsky.social","i see flock is having a totally normal day","2026-01-06T22:24:59.729Z"
"flockenburg.bsky.social","Flock CEO to Staunton, VA: """"We will remain at your service."""" Staunton cancels Flock contract one week later. 1/3","2025-12-28T20:06:54.140Z"
"flockenburg.bsky.social","""""2. For the Plate Lookup API, here are the API keys for Peregrine's development team. You can then forward these to your contacts at Peregrine so they can complete the integration"""" Distributing API keys via a link in an email is an example of Flock's cavalier attitude towards security.","2025-12-20T20:52:25.716Z"
"flockenburg.bsky.social","Stolen turkey case - just before Thanksgiving.","2025-12-19T19:00:45.687Z"
"flockenburg.bsky.social","Did they find the weird kid?","2025-12-19T19:42:52.619Z"
"flockenburg.bsky.social","Stolen turkey case - just before Thanksgiving.","2025-12-19T19:00:45.687Z"
"flockenburg.bsky.social","We have found a Fusion Center sharing Flock license plate data with federal law enforcement agencies in violation of California law SB 34. Stay tuned for details.","2025-12-15T23:00:04.079Z"
"flockenburg.bsky.social","Another article about California law enforcement agencies making illegal Flock searches for ICE and CBP. We found thousands of such searches via public records requests.","2025-12-12T01:01:06.316Z"
"flockenburg.bsky.social","We obtained Flock Network Audit logs via a public records request showing searches that other police agencies have made on the Santa Cruz, CA Police Department's Flock ALPR camera network. Thousands were illegal. We sent the data to Have I Been Flocked - an excellent resource that we use daily.","2025-12-08T21:06:32.701Z"
