"user","post","date"
"fostersnpw.bsky.social","Gnight🍺💪🇨🇦😎🎉","2026-02-17T23:53:51.354Z"
"fostersnpw.bsky.social","When Trump finally makes himself the Dictator of America, the first thing he's going to do is take your guns. Dictators don't let anyone have weapons for fear of a revolt. Read about Hitler's """"Night of the Long Knives"""" if you want to see what Trump supporters can expect.","2026-02-17T18:48:35.995Z"
"fostersnpw.bsky.social","👍🫵👏👏👏👏🍻🇨🇦","2026-02-17T23:40:02.282Z"
"fostersnpw.bsky.social","We are the laughing stock of the world.","2026-02-17T05:20:01.037Z"
"fostersnpw.bsky.social","Sometimes it’s difficult to decide who is the dumbest senator with this clown, Tuberville and Blackburn in constant competition.","2026-02-17T10:18:42.779Z"
"fostersnpw.bsky.social","You are being judged today🫵🫵🤪🤪","2026-02-17T18:25:09.672Z"
"fostersnpw.bsky.social","""""When Lewandowski was told Noem's personal items had been left behind, including a heated blanket, he yelled at Coast Guard staff The pilot came out of cockpit to see what was happening & Lewandowski insisted plane return to collect Noem's items When he refused, Lewandowski announced he was fired""""","2026-02-17T15:27:16.163Z"
"fostersnpw.bsky.social","Anderson Cooper is leaving his role as a correspondent on CBS News’s 60 Minutes after nearly 20 years with the program. He will not renew his CBS contract and is stepping away from that role. We hope more continue this trend it’s hard not to see CBS as state-run media.","2026-02-17T17:34:41.858Z"
"fostersnpw.bsky.social","AIPAC backed GOP Rep Randy Fine is not just anti-Muslim. He has called for slaughter of Christians in West Bank/Gaza. Yet the media doesn't call out his incitement of violence versus Christians. My article deanobeidallah.substack.com/p/aipac-back...","2026-02-17T15:49:53.994Z"
"fostersnpw.bsky.social","In an interview that aired over the weekend Obama was asked if aliens were real and he replied “They’re real, but I haven’t seen them.”","2026-02-16T11:30:06Z"
"fostersnpw.bsky.social","The worst case scenario for an AOC presidential run in 2028 is that she’s setting herself up for 2032 or 2036. She is going to be president someday—it’s just a matter of time.","2026-02-16T14:13:09.479Z"
"fostersnpw.bsky.social","Stephen Colbert says he was told by CBS lawyers """"in no uncertain terms"""" that he could not have Texas State Rep. James Talarico on his program. """"Because my network clearly doesn't want us to talk about this, let's talk about this.""""","2026-02-17T14:15:11.636Z"
"fostersnpw.bsky.social","How is it possible that Kristi Noem still has this job. Imagine if you’re a family member or a shipmate of this guardsman. www.nbcnews.com/politics/imm...","2026-02-17T15:17:01.472Z"
"fostersnpw.bsky.social","Reuters: New Mexico lawmakers on Monday passed legislation to launch what they said was the first full investigation into what happened at Zorro Ranch, where the late U.S. sex offender Jeffrey Epstein is accused of trafficking and sexually assaulting girls and women.","2026-02-17T00:25:18.370Z"
