"user","post","date"
"freemediadrk.bsky.social","www.cbsnews.com/news/dhs-gov...","2026-02-17T05:45:42.522Z"
"freemediadrk.bsky.social","Borrowing money against their stuff","2026-02-17T04:48:44.011Z"
"freemediadrk.bsky.social","mronline.org/2026/02/14/3...","2026-02-16T02:45:47.062Z"
"freemediadrk.bsky.social","www.tovima.com/politics/mer...","2026-02-16T02:31:39.618Z"
"freemediadrk.bsky.social","You Can’t Understand Israel Until You See This || Prof Jiang Xueqin #profjiangstyle","2026-02-11T13:25:04.836Z"
"freemediadrk.bsky.social","www.moltbook.com/post/1725ecf...","2026-02-07T21:52:56.305Z"
"freemediadrk.bsky.social","youtu.be/JlB852LGRJk yewtu.be/watch?v=JlB8...","2026-02-07T05:10:11.998Z"
"freemediadrk.bsky.social","jacobin.com/2026/02/citi... Citizens United","2026-02-04T18:58:25.280Z"
"freemediadrk.bsky.social","www.disclose.tv/id/z19coy01w1/","2026-01-27T00:10:31.002Z"
"freemediadrk.bsky.social","www.disclose.tv/id/a2xm1gmbl8/","2026-01-27T00:10:10.856Z"
"freemediadrk.bsky.social","www.disclose.tv/id/zdp9n31kay/","2026-01-27T00:09:52.110Z"
"freemediadrk.bsky.social","www.disclose.tv/id/13eiho2r15/","2026-01-27T00:09:29.877Z"
"freemediadrk.bsky.social","www.disclose.tv/id/7uuee1j2vx/","2026-01-27T00:09:12.855Z"
"freemediadrk.bsky.social","www.disclose.tv/id/n9g5ppqbu8/","2026-01-27T00:08:54.348Z"
"freemediadrk.bsky.social","techcrunch.com/2026/01/03/t...","2026-01-15T03:23:06.560Z"
"freemediadrk.bsky.social","🇻🇪🇻🇪❌🇻🇪🌹 — Amid tears, Joana Sánchez, a key figure in Aragua State, accuses the current Venezuelan Leadership of Treason and vows to avenge Nicolás Maduro. 🔞 In Miraflores, it's an open secret that Sánchez was Maduro's mistress, which explains why she is deeply affected by his detention.","2026-01-12T05:37:46.732Z"
"freemediadrk.bsky.social","Iranian protesters thank Trump and Elon Musk for access to the internet via Starlink.","2026-01-10T21:12:10.347Z"
"freemediadrk.bsky.social","In 2026 the “real living wage” in the US isn’t $15 or even $30 — it’s about $80–$95/hr to afford housing, healthcare, childcare, food, transportation, savings, and a life with dignity — anything less is a wage that reproduces poverty. #RealLivingWage #ClassReality","2026-01-06T02:44:04.156Z"
"freemediadrk.bsky.social","web.archive.org/web/20260105...","2026-01-10T20:30:00.542Z"
"freemediadrk.bsky.social","Attacking Venezuela is a Repeat of 1930s History w/ Richard Wolff","2026-01-07T05:07:59.132Z"
"freemediadrk.bsky.social","Another video of the use of the """"Orekhnik"""" in Lviv.","2026-01-10T19:55:10.236Z"
"freemediadrk.bsky.social","Alex Krainer: Venezuela Goes Trap & With Greenland NATO Faces Collapse","2026-01-08T02:35:55.524Z"
"freemediadrk.bsky.social","The Narco-Trafficking Elite Set to Run Venezuela (w/ Maureen Tkacik) | The Chris Hedges Report","2026-01-08T03:08:35.072Z"
"freemediadrk.bsky.social","www.multipolarpress.com/p/the-end-of...","2026-01-09T04:55:33.957Z"
"freemediadrk.bsky.social","Humanity is trapped in a global class war. The transnational capitalist elite hoard wealth, rig politics, and exploit billions — they’re not negotiating, they’re ruling through a monopoly of violence. #ClassWar #GlobalCapital","2025-12-29T19:02:10.294Z"
"freemediadrk.bsky.social","History isn’t linear—capital repackages the old to control the new. Debt is just serfdom with spreadsheets. Every historical stage must fight to prevent regression, or feudal chains will return under a capitalist mask. #MarxistAnalysis #DebtPeonage","2025-12-28T07:46:41.524Z"
"freemediadrk.bsky.social","Taiwan when news cycle slows down ??","2026-01-08T20:45:41.308Z"
"freemediadrk.bsky.social","?","2026-01-08T20:30:57.739Z"
"freemediadrk.bsky.social","www.politico.eu/article/bulg...","2026-01-03T06:24:03.796Z"
"freemediadrk.bsky.social","Scottish activists TRASH Israel-linked aerospace plant Bruntons Aero Products supplies components used in Israel’s F-35 jets Unnamed group says ‘today is Day 1’ — more to come?","2026-01-03T05:30:39.386Z"
"freemediadrk.bsky.social","Funny ?","2026-01-03T04:34:50.074Z"
"freemediadrk.bsky.social","Holiday conscription in Kiev Military recruiters drag an unlucky guy off the street and shove him into a van Women who tried to stop them were gassed","2025-12-31T05:57:12.601Z"
"freemediadrk.bsky.social","If you find yourself shouting against Workers’ best interests, you’re part of the problem.","2025-12-19T00:51:48.048Z"
"freemediadrk.bsky.social","Happy Holidays","2025-12-31T05:09:27.825Z"
"freemediadrk.bsky.social","Every election, millions hope their vote will matter. Meanwhile, the real power—corporations, banks, empire—runs the show behind the curtain. Stop watching the theater. Build power where you live. #DictatorshipOfCapital #OrganizeLocally","2025-12-24T20:30:32.595Z"
"freemediadrk.bsky.social","www.youtube.com/watch?v=Zvy3... inv.nadeko.net/watch?v=Zvy3...","2025-12-24T23:38:27.393Z"
"freemediadrk.bsky.social","cthi.taxjustice.net","2025-12-24T23:15:22.608Z"
"freemediadrk.bsky.social","'HELP ME, SAVE ME!' - Man's desperate cry as Ukrainian military recruiters SHOVE him into van in Odessa","2025-12-24T03:21:57.298Z"
"freemediadrk.bsky.social","Child labor laws exist because if left unchecked, capitalism would exploit even children for their labor. #CapitalismCritique #AdultingReality""""","2025-12-24T03:19:01.613Z"
"freemediadrk.bsky.social","Capitalism dehumanizes individuals, reducing people to mere economic units","2025-12-22T20:10:50.169Z"
