"user","post","date"
"gatsby-girl.bsky.social","Virginia's off-year elections are coming up. This is the first chance for voters to weigh in on Trump's 2nd term. Democrats are fighting to maintain razor-thin legislative majorities. Donate to @VADems and Please Retweet","2025-11-01T23:04:37Z"
"gatsby-girl.bsky.social","Medicaid Cuts Kill 🔻900 billion cuts to Medicaid 🔻16 million lose their healthcare 🔻Hundreds of hospitals close 🔻Hundreds of nursing homes close Trump must be stopped! Show your support with a donation and Please Retweet!","2025-10-31T02:21:16Z"
"gatsby-girl.bsky.social","Trump's egregious abuse of power must be stopped! Democrats need your support to win the House and hold Trump and the Republicans accountable. Donate to support our cause and Please Retweet! https://secure.actbl... .","2025-10-30T15:48:34Z"
"gatsby-girl.bsky.social",".....","2025-10-29T19:09:34Z"
"gatsby-girl.bsky.social","@VADemocrats need your help to ensure everyone has access to the polls and every vote is counted. Volunteer Poll Observers flag potential issues at polling sites and work with the party to protect voters. Sign up here for online training:","2025-10-26T23:05:15Z"
"gatsby-girl.bsky.social","Virginia's off-year elections are coming up. This is the first chance for voters to weigh in on Trump's 2nd term. Democrats are fighting to maintain razor-thin legislative majorities. Donate to @VADems and Please Retweet","2025-10-25T23:05:16Z"
"gatsby-girl.bsky.social","Abigail Spanberger is poised to become the Virginia's first woman governor. A victory here will show the country the Democrats are fighting back against Trump's Project 2025 agenda. Please donate and share this link!","2025-10-24T15:48:35Z"
"gatsby-girl.bsky.social","Donald Trump is destroying the White House, the People's House! This egregious abuse of power must be stopped Democrats need your support to win the House and hold MAGA accountable. Donate to support our cause and Please Retweet!","2025-10-24T11:41:34Z"
"gatsby-girl.bsky.social","Medicaid Cuts Kill 🔻900 billion cuts to Medicaid 🔻16 million lose their healthcare 🔻Hundreds of hospitals close 🔻Hundreds of nursing homes close Trump must be stopped! Show your support with a donation and Please Retweet!","2025-10-24T02:21:16Z"
"gatsby-girl.bsky.social","Mom's 'Irresponsible' Act Revealed In New Reports On 5-Year-Old's Fall From Cruise","2025-10-23T23:04:09Z"
"gatsby-girl.bsky.social","White House Denies That It’s Considering Commuting Sean ‘Diddy’ Combs' Sentence","2025-10-23T19:09:33Z"
"gatsby-girl.bsky.social","Cracker Barrel CEO Reveals Big Reason Behind Failed Logo Redesign Julie Felss Masino dismissed talk of an """"ideological"""" reason for the reimagined logo that fueled right-wing backlash","2025-10-23T15:48:35Z"
"gatsby-girl.bsky.social","Trump's egregious abuse of power must be stopped! Democrats need your support to win the House and hold Trump and the Republicans accountable. Donate to support our cause and Please Retweet! https://secure.actbl... .","2025-10-23T11:41:34Z"
"gatsby-girl.bsky.social","...","2025-10-23T02:20:33Z"
"gatsby-girl.bsky.social",".........","2025-10-22T23:04:34Z"
"gatsby-girl.bsky.social","This is appalling. Graham Platner's racist commentary is disqualifying for a United States Senator. Donate to Janet Mills for Maine Senate here and Please Retweet! https://secure.actbl... .","2025-10-22T19:09:35Z"
"gatsby-girl.bsky.social",".....","2025-10-22T15:48:35Z"
"gatsby-girl.bsky.social","...........","2025-10-21T23:04:35Z"
"gatsby-girl.bsky.social","Roughly three million Americans canceled the streaming service in the month that it temporarily suspended Jimmy Kimmel’s show. About 4.1 million people canceled Hulu.","2025-10-21T19:09:34Z"
"gatsby-girl.bsky.social","How Many Votes Did The 'No Kings' Rallies Mobilize For Democrats?","2025-10-20T19:10:15Z"
"gatsby-girl.bsky.social","@VADemocrats need your help to ensure everyone has access to the polls and every vote is counted. Volunteer Poll Observers flag potential issues at polling sites and work with the party to protect voters. Sign up here for online training:","2025-10-19T23:04:34Z"
"gatsby-girl.bsky.social","Virginia's off-year elections are coming up. This is the first chance for voters to weigh in on Trump's 2nd term. Democrats are fighting to maintain razor-thin legislative majorities. Donate to @VADems and Please Retweet","2025-10-18T23:04:35Z"
"gatsby-girl.bsky.social","This is appalling. Graham Platner's dismissive attitude about sexual assault is disqualifying for a United States Senator. Donate to Janet Mills for Maine Senate here and Please Retweet!","2025-10-18T19:09:35Z"
"gatsby-girl.bsky.social","Hakeem Jeffries: “I'm not sure if Karoline Leavitt is demented, ignorant, a stone cold liar, or all of the above.” 🔥 🔥 🔥 🔥 Democrats MUST retake the House and make Hakeem Jeffries Speaker! Donate here and Please Retweet!","2025-10-18T15:49:14Z"
"gatsby-girl.bsky.social","University of Virginia declines to sign Trump administration’s higher-education proposal","2025-10-18T11:41:35Z"
"gatsby-girl.bsky.social","Medicaid Cuts Kill 🔻900 billion cuts to Medicaid 🔻16 million lose their healthcare 🔻Hundreds of hospitals close 🔻Hundreds of nursing homes close Trump must be stopped! Show your support with a donation and Please Retweet!","2025-10-16T02:20:36Z"
"gatsby-girl.bsky.social","An American flag altered to include an image of a swastika was found in Rep. Dave Taylor’s office. U.S. Capitol Police were called to investigate.","2025-10-15T23:05:08Z"
"gatsby-girl.bsky.social","Trump's egregious abuse of power must be stopped! Democrats need your support to win the House and hold Trump and the Republicans accountable. Donate to support our cause and Please Retweet! https://secure.actbl... .","2025-10-15T02:20:35Z"
"gatsby-girl.bsky.social",".....","2025-10-14T15:48:35Z"
"gatsby-girl.bsky.social","@VADemocrats need your help to ensure everyone has access to the polls and every vote is counted. Volunteer Poll Observers flag potential issues at polling sites and work with the party to protect voters. Sign up here for online training:","2025-10-12T19:09:35Z"
"gatsby-girl.bsky.social","Virginia's off-year elections are coming up. This is the first chance for voters to weigh in on Trump's 2nd term. Democrats are fighting to maintain razor-thin legislative majorities. Donate to @VADems and Please Retweet","2025-10-11T11:41:35Z"
"gatsby-girl.bsky.social","Medicaid Cuts Kill 🔻900 billion cuts to Medicaid 🔻16 million lose their healthcare 🔻Hundreds of hospitals close 🔻Hundreds of nursing homes close Trump must be stopped! Show your support with a donation and Please Retweet!","2025-10-11T02:20:34Z"
"gatsby-girl.bsky.social","Trump's egregious abuse of power must be stopped! Democrats need your support to win the House and hold Trump and the Republicans accountable. Donate to support our cause and Please Retweet!","2025-10-10T23:04:38Z"
