"user","post","date"
"graymollymoe.bsky.social","This is the most maddening pivot. “We need to burden the exercise of the franchise to address widespread mistrust.” There’s widespread mistrust because you keep lying to people about the security of elections! You could just … stop doing that!","2026-02-17T00:07:02.991Z"
"graymollymoe.bsky.social","'Yes, it’s real': Bombshell Epstein email appears to undercut Trump's story www.rawstory.com/jeffrey-epst... #ProudBlue #USDemocracy Trump is lying about his relationship with Epstein. Even Republicans know he is lying but have decided to throw away their own careers defending him. Max Stupidity","2026-02-16T21:29:57.938Z"
"graymollymoe.bsky.social","#BlueskyResistance #Voices4Victory #ProudBlue Who knew, that all along there was a 4th Little Pig Who built his house out of lies.","2026-02-16T22:02:13.074Z"
"graymollymoe.bsky.social","AOC: Why haven’t so many people been prosecuted? Why are Pam Bondi and the DOJ continuing to hide the majority of the Epstein files, which they admit contain even more direct evidence of genuinely shocking crimes and abuse of women, minors, and increasingly men…","2026-02-03T01:34:34.144Z"
"graymollymoe.bsky.social","👇👇","2026-02-03T06:02:36.560Z"
"graymollymoe.bsky.social","How did they redact abusers but not the victims? And they expect us to believe 40 nude photos went unnoticed? That’s exactly why people think the DOJ did this on purpose, to shame these women for coming forward.","2026-02-03T06:42:25.633Z"
"graymollymoe.bsky.social","Well well well. Looks like they were correct. They just lied about who it was.","2026-02-02T13:28:37.533Z"
"graymollymoe.bsky.social","Marimar Martinez, shot 5 times by Border Patrol in Chicago, speaks out after Renee Good, Alex Pretti deaths 'I am their voice' NEW w/ @adrianacardmag.bsky.social: chicago.suntimes.com/immigration/...","2026-02-03T13:22:49.469Z"
"graymollymoe.bsky.social","The GOP is going to be known as The Guardian of the Pedophiles by the end of the week. They're too far deep with Trump. All the way up. All the way down.","2026-02-03T03:04:21.335Z"
"graymollymoe.bsky.social","ICE is running a “conveyor belt” of illegally detained Minnesota families. Agents are arresting entire families with legal status and immediately shipping them off to Texas to deny them legal representation and avoid the federal courts in Minnesota. The cruelty is endless.","2026-02-03T01:01:13.845951Z"
"graymollymoe.bsky.social","I wrote this song on Saturday, recorded it yesterday and released it to you today in response to the state terror being visited on the city of Minneapolis. It’s dedicated to the people of Minneapolis, our innocent immigrant neighbors and in memory of Alex Pretti and Renee Good. Stay free","2026-01-28T17:02:08.994Z"
"graymollymoe.bsky.social","Any doctor who can say this with a straight face should lose their license to practice medicine immediately","2026-01-26T15:42:57.708Z"
"graymollymoe.bsky.social","Amazon Web Services hosts massive surveillance systems for both ICE and DHS. Citizens Bank provides nearly $1 trillion in credit & bonds to private prison companies. AT&T has a $147 million contract to provide communications services to DHS. Know who is profiting from ICE’s cruelty.","2026-01-26T17:57:37.130181Z"
"graymollymoe.bsky.social","Alex Pretti wasn’t a part of “engineered chaos.” He was a nurse who cared about people. An individual. What is “engineered chaos” is what this admin is doing in blue cities to justify invocation of the insurrection act.","2026-01-25T12:23:22.039Z"
"graymollymoe.bsky.social","Bernice King has it absolutely right. We are facing a moral crisis in this country. And we must all act together to end it.","2026-01-25T06:45:47.259Z"
"graymollymoe.bsky.social","Americans are dying because Donald Trump is in the Epstein Files.","2026-01-25T16:51:10.120Z"
"graymollymoe.bsky.social","🎈🥳💙💛🎉🎈💙💛🎊🎈🍀 Happy Birthday, Mr. President 💝 BEST LEADER of the world🫡 We wish you all the best! May your wishes come true soon.🍀","2026-01-25T07:26:40.105Z"
"graymollymoe.bsky.social","Klobuchar: """"Somehow 50,000 peaceful protesters in 10 below weather were able to march without any problems, and then the next day half a dozen ICE and CBP agents couldn't handle a guy with a cell phone taking video of them and shot him. I think it's pretty obvious what's going on here.""""","2026-01-25T16:40:35.487Z"
