"user","post","date"
"greg60.bsky.social","Stephen needs to take his audience elsewhere and do the interview again…","2026-02-18T08:10:03.203Z"
"greg60.bsky.social","Apparently people don't like having a pedo protector as president","2026-02-18T07:26:09.973Z"
"greg60.bsky.social","Trump recently suggested that he is getting ready to issue a new anti-voting executive order. Last time he issued one, we sued and won. If he does it again, we will sue and win. Trump knows this. It is why he and his allies hate and attack me. I will never back down or stop fighting for democracy.","2026-02-16T03:03:17.619Z"
"greg60.bsky.social","BOUT DAMN FUKKKIN TIME!!! SHOULDA BEEN DONE AT THE 1ST JAN 6 PARDON!!! THE PEDOPHILE RELEASED HIS OWN JAN 6 ARMY ... AKA: NAZI ICE GESTAPOS!!! AKA: DEFLECTION FOR RAPING CHILDREN!!! ALL PEDOPHILES NEED TO GO TO PRISON ... AND RAPED ... JUST LIKE THEY DID TO LITTLE GIRLS!!! KARMA!!!","2026-02-17T15:14:50.664Z"
"greg60.bsky.social","Watch this: bsky.app/profile/cweb...","2026-02-18T08:10:16.556Z"
"greg60.bsky.social","🔥🔥🔥","2026-02-16T04:59:16.136Z"
"greg60.bsky.social","Rescuers Race To Save 6 Skiers Trapped In California Avalanche That's Left 10 More Missing","2026-02-18T08:02:11.000Z"
"greg60.bsky.social","What’s one way we can rein in ICE? We can start by boycotting ICE’s corporate collaborators that are profiting from the agency’s cruelty. Watch.","2026-02-17T15:00:30.781939Z"
"greg60.bsky.social","Divine intervention is in the works, as he’s been diagnosed with stage 4 blood cancer. But he should be removed from power and replaced by less evil PM.","2026-02-18T01:13:03.692Z"
"greg60.bsky.social","ALLLLLLLL of this....... Yet the RAPIST in the white house still walks free!!!","2026-02-18T03:05:44.154Z"
"greg60.bsky.social","😯","2026-02-18T02:43:08.541Z"
"greg60.bsky.social","😯","2026-02-18T03:25:17.916Z"
"greg60.bsky.social","These are the current managing partners of the 9 Big Law firms who bent the knee to Trump. Yes, these middle aged white men. For an analysis, including why those law firms are not likely only being used for pro bono work, go to the Medias Touch YouTube channel and learn more (Katie Phang News).","2026-02-16T21:05:40.497Z"
"greg60.bsky.social","yup. Trump, like all bullies, is a total coward","2026-02-17T11:33:18.933Z"
"greg60.bsky.social","What would normally be presidency-ending scandals not even a blip on the radar Daily","2026-02-17T14:48:08.934Z"
"greg60.bsky.social","Correction, he will promise to give out checks. That's all it takes. Pic Credit: @crazyassblindkid.bsky.social","2026-02-17T22:22:12.291Z"
"greg60.bsky.social","Trump is a truly deranged delusional sick motherfucker... Dear donald,","2026-02-18T03:21:12.875Z"
"greg60.bsky.social","I'm proud to say the one planned for my neck of the woods (Dallas Tx) rejected trump's attempt to build one there. Fight Back !! Keep resisting.","2026-02-17T22:31:55.003Z"
"greg60.bsky.social","“Let’s just call this what it is,” Colbrt said on air Monday, “Donald Trump’s administration wants to silence anyone who says anything bad about Trump on TV, because all Trump does is watch TV.”","2026-02-17T23:15:02.095Z"
"greg60.bsky.social","The world will rejoice. Fireworks 🎆🎇 Block parties 🎉 National Holiday 🗓️ Parades 🥁 The Earth will move 🌎 And run out of beer 🍻 A celebration making VE Day look like a kindergarten birthday party. Count me in 🙋🏾‍♀️","2026-02-07T03:49:28.064Z"
"greg60.bsky.social","Read and share all over..he nails it","2026-02-16T15:58:18.755Z"
"greg60.bsky.social","go.bsky.app/B2V4CMJ 47 is upset at the slow pace of His grand ballroom for future gaudy receptions are being tied up in courts. So Many lawsuits that makes 47 storm through the uncompleted mess. It is a look inside his mess of a presidency. Follow and never back down.","2026-02-17T22:42:06.276Z"
"greg60.bsky.social","Slavery is white history, how we survived it is Black history. - Malcolm Jamal Warner Pic of the day #photography","2026-02-13T15:44:02.787Z"
"greg60.bsky.social","Resist the Trump regime. Don’t doomscroll — do something. ✅ Write postcards 📞 Phone bank 🚪 Canvass 🤝 Volunteer for a candidate 🏛️ Join your local Democratic club or Grassroots organization 📲 Post & text bank 🗣️ Talk to friends & family Resistance is participation.","2026-02-17T22:36:28.320Z"
"greg60.bsky.social","Please follow our friend Paul on YouTube Thanks","2026-02-17T23:39:09.810Z"
"greg60.bsky.social","💥 In the Lyman direction, the pilots of the Phoenix border unit spectacularly eliminate enemy infantry, striking with FPV drones, Mavics, and heavy bombers.","2026-02-17T14:02:27.343Z"
"greg60.bsky.social","Indeed, but the evil ones made it even worse! Impacting over 70m women voters! #NoOnSaveAct ⛔️⛔️⛔️","2026-02-17T21:46:14.956Z"
"greg60.bsky.social","🫶👋🫶","2026-02-17T21:27:09.933Z"
"greg60.bsky.social","substack.com/@theconsciou...","2026-02-17T21:40:22.329Z"
"greg60.bsky.social","My outrage is my strength I guess","2026-02-17T19:07:24.630Z"
"greg60.bsky.social","The people of Minneapolis deserve the Nobel Peace Prize. They have protested in freezing cold, lost their lives, and been trapped in their homes without food. They need us right now. Help us bring groceries directly to them. Chip in today and stand with families fighting simply to survive.","2026-02-15T00:27:31.560Z"
"greg60.bsky.social","They were in the circle jerk.","2026-02-17T21:05:12.874Z"
"greg60.bsky.social","Tomorrow, I’m leading a deposition of Les Wexner for oversight dems. Wexner was Epstein’s largest benefactor and contributor of wealth. Why? And what does he know? I have a bunch of questions, and I bet you do too.👇🏾","2026-02-17T21:05:14.980Z"
"greg60.bsky.social","Afternoon Greg ...","2026-02-17T21:05:47.489Z"
"greg60.bsky.social","“I feel so much sadness and depression of not being able to leave, its really sad to hear that peoples cases are being denied and getting send back to their countrys.” -14 year-old imprisoned for 20 days in Texas concentration camp","2026-02-17T19:33:39.738Z"
"greg60.bsky.social","🎯🎯🎯","2026-02-17T21:05:23.140Z"
"greg60.bsky.social","Well…. It’s about THAT time…. Time to encourage, enlighten, EDUCATE, engage, inspire, Talk about Real 💩 and International Affairs, Beautiful things, being Human and ALL THINGS RESISTANCE 👏🏼👏🏻👏🏽👏🏿👏🏾👍🏾. Ladies and Gentleman, let US begin the “post of the night “ !!! READY… SET…. POST !!!! 💙🦋","2026-02-17T21:05:35.929Z"
"greg60.bsky.social","🦋 This 👇","2026-02-17T20:09:55.200Z"
"greg60.bsky.social","Sounds like the worst timeshare presentation I've ever heard of. 🤨","2026-02-17T20:55:51.634Z"
"greg60.bsky.social","Lori Rook, a Republican candidate for Missouri state senate, gave away free Melania movie tickets as part of a campaign event. Multiple Republican candidates have done this.","2026-02-17T20:41:45.974Z"
"greg60.bsky.social","The SAVE Act should be called the Save Republican Asses Act, because that’s what it is.","2026-02-15T14:33:10.835Z"
"greg60.bsky.social","Dead @thedailyshow.com or #SNL. DO IT, YE COWARDS! #LeslieJones","2026-02-16T18:47:44.307Z"
"greg60.bsky.social","We definitely have a blueprint for who we don’t want in or around public office.","2026-02-17T18:19:18.696Z"
"greg60.bsky.social","I don’t know much about this man except he is a billionaire, a religious fanatic and a Republican, all things we need less of and probably none of in politics. Please GA vote blue in the GA governor’s race in 2026 to make sure this man and no one like him wins. www.savannahnow.com/story/news/2...","2026-02-17T17:16:19.855Z"
"greg60.bsky.social","For those who didn’t know, Austria’s former chancellor Sebastian Kurz works for Peter Thiel","2026-02-17T17:32:02.002Z"
"greg60.bsky.social","🙏 💙 💔 ❤️ 💔 💙 🙏 $85 billion for fear. $50,000 for food. One of these is the moral choice. Help us, by making that choice. #FeedMineapolis","2026-02-16T05:03:25.753Z"
"greg60.bsky.social","substack.com/@karmageddon...","2026-02-17T18:17:02.282Z"
"greg60.bsky.social","substack.com/@heavenlight...","2026-02-17T18:16:28.767Z"
"greg60.bsky.social","Florida AG James Uthmeier: """"We need to focus on getting people into the workforce even earlier. We passed legislation last year to help high school students get their hands dirty and get on job sites more quickly.""""","2026-02-17T12:59:21.012Z"
"greg60.bsky.social","Trump’s propaganda czar Brendan Carr and Trump-controlled CBS refused to let Colbert air his interview with James Talarico. You can watch the interview here, and it already has 1.4M views. youtu.be/oiTJ7Pz_59A?...","2026-02-17T17:37:55.507Z"
"greg60.bsky.social","These people can get admitted to college?","2026-02-17T17:41:35.514Z"
"greg60.bsky.social","Good grief. Everyone knows they were just friends.","2026-02-17T02:40:23.352Z"
"greg60.bsky.social","Nothing to hide?? 👀 👀 Here's a visual representation of how many times Trump's name appears in the Epstein files... so far. www.instagram.com/p/DUgiBD_EiSP/","2026-02-17T01:23:55.644Z"
"greg60.bsky.social","“It’s ok to change your mind” 🎵 Folks in the crowded hall break into song before HB 1711 the anti-immigrant STEPHEN MILLER/Rep. Elaine Davis (R) bill to turn Tennessee schools & hospitals into ICE informants is heard","2026-02-17T17:11:28.028Z"
"greg60.bsky.social","bsky.app/profile/nash... Thanks to the artistry of the “First AMD Troop.” We must remain outraged at the inhumanity of this Regime. THIS is our defining moment as a Nation. We choose the legacy we leave for our Children.","2026-02-17T17:31:20.442Z"
"greg60.bsky.social","He's always so spot on!","2026-02-17T16:44:50.545Z"
"greg60.bsky.social","GM CG! 😊☕️ Have an absolutely fantastic day my friend 👋✌️🇨🇦🫂","2026-02-17T16:47:05.969Z"
"greg60.bsky.social","How is it possible that Kristi Noem still has this job. Imagine if you’re a family member or a shipmate of this guardsman. www.nbcnews.com/politics/imm...","2026-02-17T15:17:01.472Z"
