"user","post","date"
"gretschman.bsky.social","So they are redacting or withholding the names of the rapists in the Epstein files, but not redacting the personal information of the victims? WTF??","2026-02-03T03:15:23.846Z"
"gretschman.bsky.social","Epstein","2026-01-27T17:58:55.218Z"
"gretschman.bsky.social","Donald and Epstein were business partners. Epstein created an international child rape business for very wealthy clients, and also kept records should he ever need to protect himself or blackmail anyone. Donald showed him how to set up a shady business and then grifted money and children for himself","2026-01-26T05:13:06.763Z"
"gretschman.bsky.social","The GOP has had a year to run amuck, act on their most insane fantasies about getting total control of our country. We see them behaving exactly like we know they’ve always wanted to, deep inside. We are watching the Hindenberg.","2026-01-24T06:52:48.798Z"
"gretschman.bsky.social","Donald the con man ushered in an era of a continuous whirlwind of lies. The Hebrew Bible refers to Satan as the Prince of Lies.","2026-01-23T01:34:47.311Z"
"gretschman.bsky.social","No Kings for sure- how’s about no gangsters either.","2026-01-21T19:54:14.252Z"
"gretschman.bsky.social","Epstein","2026-01-20T23:48:50.977Z"
"gretschman.bsky.social","Maybe it was not a good idea to grant absolute immunity to a fraudulent, narcissistic, cruel, avaricious, severely mentally deranged child rapist and then install him in the Presidency. That will not make the USA “great again”. It has made Putin deliriously happy though.","2026-01-18T20:35:17.240Z"
"gretschman.bsky.social","January 19, birthdate of the great Martin Luther King Jr. It would be ironic if Donald dies Monday. His death would be an automatic national holiday.","2026-01-15T21:14:34.985Z"
"gretschman.bsky.social","Donald is a child rapist and a complete failure in business and government. He is willing to torch the planet to hide the reality of his disgusting life.","2026-01-12T05:30:03.477Z"
"gretschman.bsky.social","Kristi, Stephen, Russ, you’re fired. Your services are no longer required. One of the US citizens (your bosses), who pays your salary.","2026-01-09T02:11:00.435Z"
"gretschman.bsky.social","Epstein","2025-12-29T05:09:05.723Z"
"gretschman.bsky.social","Rumors abound that he’s being pressured to step down! Rumors are weapons! Use it.￼","2025-12-24T13:45:54.555Z"
"gretschman.bsky.social","Donald is the monkey on the leash. Watch the Heritage Foundation organ grinders.","2025-12-17T19:29:39.037Z"
"gretschman.bsky.social","We’ve been here before again.","2025-12-06T05:44:59.142Z"
"gretschman.bsky.social","Van Epps will kick his own voters off health care. Wheee!","2025-12-03T02:48:21.804Z"
"gretschman.bsky.social","Epstein","2025-11-27T09:08:20.976Z"
"gretschman.bsky.social","THIS!!! We are not mad enough.","2025-11-25T14:16:56.329Z"
"gretschman.bsky.social","The GOAT Award goes to Mary Bruce of ABC NEWS! What she did today was totally and unequivocally awesome and amazing! I saw it live. ABC should give her a goddamn raise for this.","2025-11-18T20:44:49.673Z"
"gretschman.bsky.social","Do you suppose that Megyn Kelly is encouraging her daughter to apply for a job as a White House intern?","2025-11-16T06:56:58.774Z"
"gretschman.bsky.social","This is why candidates are to be vetted and thoroughly investigated, so the country can’t be compromised by their stupidity…. What an abysmal failure of the FBI & DOJ.","2025-11-15T00:16:07.582Z"
"gretschman.bsky.social","I’m so gratified to see that Donald is making Melania feel more at home in the White House by re-doing the decor in “early bordello”.","2025-11-13T06:20:43.259Z"
"gretschman.bsky.social","All of this trouble, turmoil , fear, and suffering, but we MUST give the rich more money. Donald promised. Really the only promise he cares to honor. Money, money, money. Oh, and girls to rape. What the fuck have we done to ourselves? This shit can NOT stand.","2025-11-13T01:47:07.774Z"
"gretschman.bsky.social","I will be shocked if now some other GOP member of Congress doesn’t withdraw their support for the Epstein vote. Donald is guilty as hell but seems to have unlimited power. Are there enough Congress members who won’t be intimidated or paid off?","2025-11-12T21:35:02.022Z"
"gretschman.bsky.social","Message to any MAGA people lurking here @ BlueSky, did you really think he was going to “help” you? Are things becoming more clear?","2025-11-11T23:37:07.636Z"
"gretschman.bsky.social","The president can't pardon cronies facing state charges. He's trying anyway.","2025-11-10T20:43:40.618Z"
"gretschman.bsky.social","Epstein","2025-11-11T02:00:39.038Z"
"gretschman.bsky.social","Love this youtu.be/Jufjxo3izUQ","2025-11-10T17:59:09.093Z"
"gretschman.bsky.social","@rbreich.bsky.social Calling for a NATIONWIDE STRIKE! generalstrikeus.com/strikecard","2025-11-10T06:40:24.013Z"
"gretschman.bsky.social","Big announcement that enough Democrats will cave to “re-open” government. Not a peep about Epstein. They gave the GOP enough time to scrub the data, keep Donald safe. Believe the survivors ~","2025-11-10T05:45:35.328Z"
"gretschman.bsky.social","Why won’t the feckless Democrats demand to see the Republican health care plan?","2025-11-10T00:05:45.417Z"
"gretschman.bsky.social","Donald’s Big Ass Stadium (sponsored by Depends).","2025-11-09T08:00:41.193Z"
"gretschman.bsky.social","Epstein","2025-11-09T07:27:01.991Z"
"gretschman.bsky.social","Why isn’t he dead yet?","2025-11-09T06:49:32.275Z"
"gretschman.bsky.social","Cain was a Republican, and Abel was a Democrat. Today, Abel would defend himself, but Cain would still be expatriated to Nod.","2025-11-08T07:13:46.756Z"
"gretschman.bsky.social","Epstein","2025-11-07T02:28:25.553Z"
"gretschman.bsky.social","It's no longer left versus right or even Democrat versus Republican. It’s now democracy versus oligarchy. Freedom versus dictatorship. Right versus wrong. Millions are awakening to this new reality — and they're speaking up. The sleeping giant of America is roaring.","2025-11-05T16:01:03.370436Z"
"gretschman.bsky.social","THIS IS SO GOOD","2025-11-06T04:42:58.016Z"
"gretschman.bsky.social","I’ve been remiss, have not been showing my real ID or passport when I buy groceries or gas or coffee. Should I report myself to the authorities? Maybe there’s a reward…..","2025-11-06T04:21:16.835Z"
"gretschman.bsky.social","It’s rainy and getting colder here in the PNW, but it’s quite alright- we still have an ATMOSPHERE.","2025-11-06T04:05:05.534Z"
"gretschman.bsky.social","Dick Cheney has shown you the way, Donald. Make it a 2fer Tuesday!","2025-11-04T22:30:17.935Z"
"gretschman.bsky.social","Juust wanted to start the day out right.....(grin) 🎶""""Hi Hoooo.....Hi Hooo.....Hi Ho...Hi Ho....It's off to work we go..... with words, I'm seldom stuck and TACO's still a Schmuck! Hi Ho...Hi Ho""""....🎶 thankyouverymuch.. Meanwhile...Death watches TACO, and waits. tick tick tick EPSTEIN!","2025-11-03T16:28:19.016Z"
"gretschman.bsky.social","So, we can maybe have health care or food, but not both. Maybe neither. I get it- after all, the GOP did promise more money for the rich. Priorities, you know. Publish the fucking unredacted Epstein data and give these bastards the boot! How DARE they treat our people this way!","2025-11-04T01:04:32.288Z"
"gretschman.bsky.social","Epstein","2025-11-03T01:09:01.053Z"
"gretschman.bsky.social","It’s a game. The GOP has scrubbed the Epstein data and when they do “give in” and release the files, all of the GOP guilty will be gone. Believe the survivors!","2025-11-02T20:43:51.426Z"
"gretschman.bsky.social","‼️","2025-11-01T14:32:32.115Z"
"gretschman.bsky.social","#Epstein","2025-11-02T06:01:15.759Z"
"gretschman.bsky.social","Thank you #Seek_SpeakTruth President Obama.","2025-11-01T05:38:49.616Z"
"gretschman.bsky.social","All of those highly experienced and patriotic military leaders who have been fired by Musk, Donald, or Whisky Pete. Surely they’re not sitting in the park playing checkers? They KNOW HOW to kick the shit out of fascists!","2025-11-02T04:21:23.469Z"
"gretschman.bsky.social","Epstein","2025-11-02T03:00:40.078Z"
"gretschman.bsky.social","Epstein","2025-10-30T04:37:46.519Z"
"gretschman.bsky.social","The Nazis used to feed their SS amphetamines to keep them in attack mode. I think we’re seeing that with ICE. Look at their eyes.","2025-10-29T04:56:11.106Z"
"gretschman.bsky.social","🙄🤦‍♂️","2025-10-29T04:04:07.033Z"
"gretschman.bsky.social","Epstein","2025-10-26T03:49:02.195Z"
"gretschman.bsky.social","""""Killers & Rapists"""".................... Pot. Kettle. Black. EIGHTY FUCKING SIX FUCKING FORTY FUCKING SEVEN!!!","2025-10-26T03:44:49.611Z"
"gretschman.bsky.social","He is right.","2025-10-24T12:56:09.712Z"
"gretschman.bsky.social","It seems like it would be fitting to bury dear leader under the dance floor, and open it to the public for weekly dance parties.","2025-10-23T05:21:41.729Z"
"gretschman.bsky.social","Epstein","2025-10-23T05:18:54.628Z"
"gretschman.bsky.social","remember when .... they knew what was coming but did nothing to stop it","2025-10-22T21:55:10.133Z"
"gretschman.bsky.social","Hey beef ranchers- how’s that Donald presidency coming along? Don’t worry, when you go belly up, JD will be there with a bag of cash, 10 cents on the dollar. MAGA!!","2025-10-22T20:39:12.143Z"
"gretschman.bsky.social","open.substack.com/pub/borowitz... WASHINGTON (The Borowitz Report)—Calling it “the nuclear option,” House Speaker Mike Johnson opted on Tuesday to enter a medically induced coma to avoid swearing in newly elected Democratic congresswoman Adelita Grijalva.","2025-10-21T23:57:28.072Z"
