"user","post","date"
"gusmoyer.bsky.social","ICYMI 🤔 Stephen Colbert explains to his broadcast audience that a new directive from Brendan Carr's FCC makes it next to impossible for CBS to air his interview with Texas State Rep. James Talarico on CBS.","2026-02-18T00:55:21.381Z"
"gusmoyer.bsky.social","#UPS identifies 22 package facilities for closure which would result in laying off nearly 30,000 more workers. They are trying to buy out 100,000 of their delivery drivers so that they no longer have to pay them anymore. Because of #Trump's economy, we are seeing more layoffs all over America.","2026-02-17T22:36:00.595Z"
"gusmoyer.bsky.social","1/2 The tipster also told the FBI agent that they had personally witnessed Robin Leach – the British entertainment reporter and television host best known for “Lifestyles of the Rich and Famous” – “strangle a young girl during a sex party” at one of Trump’s golf courses or resorts. #EpsteinFiles","2026-02-17T21:58:19.710Z"
"gusmoyer.bsky.social","Shared 👇 comment: 🤔 Women do not want to vote for a pedophile president and a party of pedophiles, so Trump and the Republicans are trying to prevent women from voting by pushing their “SAVE” Act — under which a woman’s surname change after marriage would become a barrier to voter registration.","2026-02-17T18:31:46.898Z"
"gusmoyer.bsky.social","Dial 1-800-GRIFTER If the trademark application is approved by the U.S. Patent and Trademark Office, it would mean the president could feasibly get a share of profits from """"a range of branded merchandise, including clothing, handbags, luggage, jewelry, watches, and tie clips,"""" per the application.""""","2026-02-17T17:40:27.339Z"
"gusmoyer.bsky.social","🤔","2026-02-17T15:42:09.083Z"
"gusmoyer.bsky.social","Shared 👇 comment: 🤔 If you were Epstein's best friend for decades, made 4,725 wire transfers to Epstein of a total over $1 Billion, you held private teen beauty contests with him and you are mentioned in the files more than a million times, you might be a f**king pedophile. #EpsteinFiles #PedoTrump","2026-02-17T15:35:46.665Z"
"gusmoyer.bsky.social","""""You know, if you didn't believe in science it was just called failing."""" ~ Michelle Wolf #OnThisDay #CatholicChurch #NoReligion #Science","2026-02-17T15:28:23.149Z"
"gusmoyer.bsky.social","""""I love the poorly educated."""" - Don🤣ld J dRump 🇷🇺 #MAGAts According to Lindsey Graham, his voters prefer to be told """"what to think and whom to hate"""" because thinking for oneself requires effort to seek the facts and the truth.","2026-02-17T14:53:58.464Z"
"gusmoyer.bsky.social","TODAY'S BLACK HISTORY😳","2026-02-17T12:44:38.929Z"
"gusmoyer.bsky.social","""""I’m going to surround myself only with the best and most serious people."""" - Don🤡ld J. dRump 🇷🇺","2026-02-17T12:44:45.447Z"
"gusmoyer.bsky.social","#MAGA Make America [Nazi] Germany Again! #Republicans","2026-02-17T04:13:58.897Z"
"gusmoyer.bsky.social","CuLt47/45 and MAGAts! """"dRump hates the same people that you do!"""" 👀 - """"I’ve done very well over the years through negotiation.” Don🤡ld J Drump 🇷🇺","2026-02-17T00:13:49.849Z"
"gusmoyer.bsky.social","M🙊A🙈G🙉A Shared 👇 comment: 🤔 dRump's supporters aren’t smart enough to figure this out. 💯🤡","2026-02-16T23:57:28.249Z"
"gusmoyer.bsky.social","Shared 👇 comment: 🤔 MAGA = """"Make America [Nazi] Germany Again.""""","2026-02-16T23:32:55.616Z"
"gusmoyer.bsky.social","""""I hire only the best people."""" - Don🤡ld J dRump 🇷🇺","2026-02-16T23:03:35.497Z"
"gusmoyer.bsky.social","🤔","2026-02-16T23:01:01.806Z"
"gusmoyer.bsky.social","Shared 👇 comment: 🤔 It’s a shame and disgraceful there’s a sexual predator, pedophile, convicted felon, twice impeached person in the office of President! #PresidentDay","2026-02-16T22:55:44.259Z"
"gusmoyer.bsky.social","“...1,600 Kentuckians that lost their jobs solely because of Donald Trump pushing that big, ugly bill, eliminating the credits that had people interested and excited to buy EVs,” KY Gov. Andy Beshear told the NY Times. “I bet many, if not most, of them voted for him, and he basically fired them.”","2026-02-16T22:26:21.367Z"
"gusmoyer.bsky.social","After translating the lyrics, the FCC couldn’t find any substantial grounds for action. The verdict comes after U.S. Congressman [R-FL] Randy Fine called for the FCC to investigate Bad Bunny’s Super Bowl performance, calling it “disgusting.” #BadBunny #MAGAts #SuperBowlLX","2026-02-16T22:01:10.969Z"
"gusmoyer.bsky.social","“I want a future that protects American labor."""" - Don🤥ld J dRump 🇷🇺 “We can’t have American producers closing American factories and offshoring. We need to protect American jobs and protect American manufacturing,” Paulson said just last year. In 2024, he pushed the pro–domestic worker rhetoric.","2026-02-16T21:30:58.665Z"
"gusmoyer.bsky.social","""""He who saves his country does not violate any law."""" ~ Don🐷ld J dRump 🇷🇺 #Distraction #EpsteinFiles","2026-02-16T16:24:29.420Z"
"gusmoyer.bsky.social","@reedgalen.bsky.social Upon reading your profile, I updated the #Podbean app with your #podcast, The Home Front. Tia!","2026-02-16T16:12:58.101Z"
"gusmoyer.bsky.social","@thekenharbaughshow.bsky.social Upon reading your profile, I updated the #Podbean app with your #podcast, The Ken Harbaugh Show. Tia!","2026-02-16T15:57:16.418Z"
"gusmoyer.bsky.social","@djrothkopf.bsky.social Upon reading your profile, I updated the #Podbean app with the DSR Network #podcast. Following you on #Substack, as well. Tia!","2026-02-16T15:46:30.416Z"
"gusmoyer.bsky.social","1/2 Israel’s Foreign Ministry defended the move as an “administrative measure” which would “bring order” to land registration. But, government ministers made clear the intent was to increase settlement and entrench Israel’s grip on the land. Palestinian 🇯🇴 Lives Matter! #Palestine #WestBank","2026-02-16T15:20:16.976Z"
"gusmoyer.bsky.social","""""Don't you ever accuse me of a crime!!!"""" Bootlicker Barbie #PamBlondie","2026-02-16T14:32:23.304Z"
"gusmoyer.bsky.social","🤔","2026-02-16T12:01:18.634Z"
"gusmoyer.bsky.social","🤔","2026-02-16T07:27:17.345Z"
"gusmoyer.bsky.social","🤔","2026-02-16T07:26:35.576Z"
"gusmoyer.bsky.social","CuLt47/45 and MAGAts! Shared 👇 comment: 😉 One married a man named John, and the other had a career with clients as johns. Class vs. 💩","2026-02-15T15:58:31.317Z"
"gusmoyer.bsky.social","Man-child Dumbnutz Trumpee has issues! 🤣 """"I am really smart."""" Don🐷ld J dRump 🇷🇺 Person.Woman.Man.Camera.TV","2026-02-15T14:24:13.283Z"
"gusmoyer.bsky.social","🤔","2026-02-15T12:29:53.418Z"
"gusmoyer.bsky.social","Shared 👇 comment: 😉 The next scene is where they 🌊 all 🌊 drown! #MAGAts #MosesMike #Trump """"God speaks to me!"""" Moses Mike","2026-02-15T03:12:34.764Z"
"gusmoyer.bsky.social","In a desperate attempt to appeal to the masses, #Trump has told advisors he is no longer comfortable with White House senior advisor #StephenMiller. 59% of traditional Republicans support a true investigation of the agent who shot ICU nurse #AlexPretti; 38% of #MAGA Republicans said the same. #ICE","2026-02-15T00:26:46.312Z"
"gusmoyer.bsky.social","According to analysis by language learning app Preply, an average of 22.7k people worldwide searched for “learn Spanish” every day last month. Before the Super Bowl, this climbed to 35.5k/day. After the Super Bowl, searches spiked, hitting 63k/day. This is a 178% increase from normal levels.","2026-02-15T00:01:46.324Z"
