"user","post","date"
"henrysinclair.bsky.social","What are Republicans afraid of? The Clintons are demanding to testify publicly.","2026-02-06T17:26:32.451Z"
"henrysinclair.bsky.social","No joke: I got angry hate mail today for writing an obituary of a Black woman scientist—because the person felt she did didn’t deserve the recognition. Which just makes me want to share it again: www.nature.com/articles/d41...","2026-02-06T09:09:48.170Z"
"henrysinclair.bsky.social","Donald Trump will go down in history as the first American president to have willingly betrayed his own country in service to a foreign enemy. His acts of treason will be taught in history books for generations to come, and the name ‘Trump’ will become synonymous with treachery.","2026-02-06T03:38:30.818Z"
"henrysinclair.bsky.social","If one person calls you an asshole, they could be wrong. If 40 people say you're an asshole, you're an asshole.","2026-02-04T18:31:09.139Z"
"henrysinclair.bsky.social","@andertoon.bsky.social","2026-02-03T00:37:02.253Z"
"henrysinclair.bsky.social","Pure evil.","2026-01-30T05:45:55.706Z"
"henrysinclair.bsky.social","The reason trump is sending America citizens and anyone brown to prison? His millionaire buddies own them. He gets a cut, everyone is happy! Nothing to do with immigration.","2026-01-29T19:01:09.108Z"
"henrysinclair.bsky.social","It’s free on the internet! Why pay to see this slut.","2026-01-28T18:58:57.997Z"
"henrysinclair.bsky.social","These two great Presidents deported over 4 million illegals. Not one American was killed by ICE.","2026-01-25T19:33:15.989Z"
"henrysinclair.bsky.social","At some point this pice of shit will be flushed down to the toilet!","2026-01-25T18:33:21.193Z"
"henrysinclair.bsky.social","She is the list.","2026-01-25T18:30:38.952Z"
"henrysinclair.bsky.social","You take Greenland ill take Ukraine!","2026-01-25T18:29:02.833Z"
"henrysinclair.bsky.social","ICE murdered Alex Pretti yesterday. All will be held accountable!","2026-01-25T18:04:49.498Z"
"henrysinclair.bsky.social","www.facebook.com/share/1MZ2eU...","2026-01-25T17:58:47.016Z"
"henrysinclair.bsky.social","Six people who have caused the most damage to the United States of America.","2026-01-25T00:11:32.355Z"
"henrysinclair.bsky.social","Referring to his keynote address at the World Economic Forum, Trump told the audience that sometimes “you need a dictator.” To be clear, this is the President of the United Staes telling the world (including us) that we need a dictator, and HE is that dictator.","2026-01-22T13:15:56.329Z"
"henrysinclair.bsky.social","The GOP is digging its own grave… my brief thoughts on today’s disgraceful hearing. More tomorrow","2026-01-23T01:03:53.028Z"
