"user","post","date"
"hippichick859.bsky.social","You don’t fuck with people’s food... 🖕🏻 """"The Democrats are getting killed on the shutdown because we're closing up programs that are Democrat programs that we were opposed to. “ 😡🖕🏻 """"Republican programs"""" would not be terminated. —Trump Oct. 14, 2025 #SheShed","2025-10-29T17:42:33.364Z"
"hippichick859.bsky.social","Nothing says I know your right I am just gaslighting for the Racist better than a block after proving the dumb cunt wrong","2025-10-29T18:45:20.984Z"
"hippichick859.bsky.social","@dcclegend.bsky.social looks like you got a Cling-on. Ericks racist-loving simp squad seems to be following you now after blocking me","2025-10-29T19:03:20.680Z"
"hippichick859.bsky.social","My last thought of the night and I swear this is it. Some people need to get one of those operations to remove their heads from their asses.","2025-10-28T04:39:44.732Z"
"hippichick859.bsky.social","😂🤣👏🇨🇦 youtu.be/fGJzR5W7t7c","2025-10-28T03:51:04.050Z"
"hippichick859.bsky.social","I heard you're racist. Is that true? I already see you hate women so I'm pretty confident with my source","2025-10-28T01:22:26.911Z"
"hippichick859.bsky.social","Hi everyone! Please help share 🔁. I'm a Bilingual Teacher in TX. These are some of our needs for our students. I try to have some snacks for any student that needs one. Any support helps! amzn.to/4nurr3a Walmart option www.walmart.com/registry/ER/...","2025-10-27T21:53:27.588Z"
"hippichick859.bsky.social","That you blocked all these folks despite claiming that you don't block anyone 😒","2025-10-28T00:31:51.452Z"
"hippichick859.bsky.social","Welp.. now he’s going to reply to you.. my apologies in advance.","2025-10-28T00:34:37.371Z"
"hippichick859.bsky.social","He’s a liar. He’s a PAB. He knows it too💀","2025-10-28T00:33:18.906Z"
"hippichick859.bsky.social","I can't with him! He puts down AOC and Jasmine Crockett saying he is smarter and they should try to take the test he did. He's talking about the Montreal Test. 🙄 www.mdcalc.com/calc/10044/m...","2025-10-27T21:43:46.088Z"
"hippichick859.bsky.social","No link eh just a screenshot? Afraid of being labeled disinfo again? You may get muted soon if you can't do better than this little bot","2025-10-28T00:08:58.413Z"
"hippichick859.bsky.social","Lmfao and you lose again. You're labeled as a misinformation account and you're trash disinformation is plain as day 🤣.","2025-10-28T00:11:35.206Z"
"hippichick859.bsky.social","I was awaiting for you to pop on up? 🤣","2025-10-28T00:09:08.380Z"
"hippichick859.bsky.social","When I called him a “Little bitch” that was an insult to little bitches everywhere……what a lying loser.","2025-10-28T00:02:27.468Z"
"hippichick859.bsky.social","More of this","2025-10-27T23:59:16.179Z"
"hippichick859.bsky.social","Not detectig a point here but hey, we can't all be a desperate little dumbass troll like you now can we","2025-10-28T00:05:15.060Z"
"hippichick859.bsky.social","He unblocked me.. again..🤣","2025-10-28T00:06:47.315Z"
"hippichick859.bsky.social","Indeed.. he seriously needs to get checked.","2025-10-28T00:04:50.937Z"
"hippichick859.bsky.social","Oof, that receipt","2025-10-28T00:01:56.356Z"
"hippichick859.bsky.social","That liar…..","2025-10-28T00:00:50.787Z"
"hippichick859.bsky.social","He always blocks.. 🤣 I believe both of his accounts blocked me. He likes to unblock, get mad and re-block.. He can’t handle the truth, flips out, then blocks..Never fails with that one. Like clock work.. 🤣","2025-10-28T00:01:06.455Z"
"hippichick859.bsky.social","He blocked ALL of us. Friends he had for years ~ ask yourself why????","2025-10-27T23:34:39.939Z"
"hippichick859.bsky.social","Lulu ~ so happy for you 😍 Made this earlier this morning and been waiting to share with you ~ couldn’t pass up having your sweet boy join in the celebration 🥳♥️🥰","2025-10-27T23:28:45.207Z"
