"user","post","date"
"holdencaufield.bsky.social","He’s speaking TREASON! That is completely Unconstitutional! Impeach & Remove before it’s too late!!","2026-02-16T23:42:14.504Z"
"holdencaufield.bsky.social","A crafting store in Minnesota protests ICE by selling patterns they designed similar to red hats worn by Norwegians in the 40s to protest occupation by the Nazis. The proceeds go towards helping immigrants that can’t leave their home, already raising $650K. #ProudBlue youtube.com/shorts/SYET0...","2026-02-16T23:11:26.239Z"
"holdencaufield.bsky.social","New in PN: """"Just making s**t up"""" — @volts.wtf sounds off on the EPA “How the f**k are they going to do that? If you can get the Supreme Court to rule carbon is not a danger to public health, it will mark the point at which they have abandoned all pretense, because that’s just a flat out lie.”","2026-02-16T15:35:05.283Z"
"holdencaufield.bsky.social","I have noticed that some are not responding to packs that people are putting out to try to bring us together.It’s 150 people in each pack. It takes approximately two hours.If people do not get responses,then they will stop taking their personal time. We all are busy,but our democracy is on the line.","2026-02-16T19:50:06.412Z"
"holdencaufield.bsky.social","100 STOP NAZI VANILLA ISIS NOW","2026-02-16T23:28:18.008Z"
"holdencaufield.bsky.social","FDT!!","2026-02-16T23:33:04.585Z"
"holdencaufield.bsky.social","Cheryl's Starter Pack # 24 """"Our lives begin to end the day we become silent about things that matter"""" - Dr. MLK Jr. We are #StrongerTogether go.bsky.app/39GPxGy","2026-01-19T22:25:59.341Z"
"holdencaufield.bsky.social","www.cbc.ca/news/world/u... “The inconvenient truth for the Trump administration is that violent crime was already in sharp decline before he returned to office….and last year's sharp drop also happened in cities that saw neither """"surging federal resources"""" nor concentrated immigration crackdowns.","2026-02-16T23:28:26.456Z"
"holdencaufield.bsky.social","Well, it looks like they rounded up the worst of the worst! Unfortunately, they’re all in the White House pretending to run the country. Actually, they’re running it into the ground! Let’s stop them!","2026-02-15T13:26:56.500Z"
"holdencaufield.bsky.social","The facade of DT's masculinity is shredded to pieces.","2026-02-15T12:59:03.719Z"
"holdencaufield.bsky.social","Yesterday morning kids were sent running from their bus stop in panic because ICE showed up. This guy at today’s ICE Out of Lindenwold protest is a must watch 😭. @maddow.bsky.social","2026-02-14T02:37:04.496Z"
"holdencaufield.bsky.social","Scott Rogo Thread 6/10🧵","2026-02-15T09:44:56.224Z"
"holdencaufield.bsky.social","Trump’s immigration crackdown led to drop in US growth rate last year as population hit 342 million Lower immigration stunts growth in many states apnews.com/article/cens...","2026-02-15T13:11:30.445Z"
"holdencaufield.bsky.social","Clay Bennett, Chattanooga Times Free Press Thread 7/10🧵","2026-02-15T09:45:32.536Z"
"holdencaufield.bsky.social","🚨The US is now at the top of the global watch list! “Countries don’t wake up authoritarian overnight. They get there when people assume someone else will stop it.” Take a listen!👇🏼 #welcometotheregime #pinks","2026-02-13T16:11:49.361Z"
