"user","post","date"
"islandgirlyhere.bsky.social","📲 A lot of creators are looking for a way to move their TikTok and instagram videos to @skylight.social! @repurposeio.bsky.social lets you do just that! discount code: SKYLIGHT Hopefully this saves some of your great content! #skylightsocial #skylight #tiktokban","2025-04-10T00:34:30.258Z"
"islandgirlyhere.bsky.social","Join the unbannable short-form video app! 🎥 Own your content 🤝 Own your relationships 🌐 Built on the AT Protocol You can join on iOS or Android: skylight.social","2025-04-03T18:59:38.684Z"
"islandgirlyhere.bsky.social","📢 App Version 1.100 is rolling out now (1/2) Chat reactions are here! You can now respond to chat messages (aka “direct messages”) with an emoji ❤️","2025-04-10T18:00:06.171Z"
"islandgirlyhere.bsky.social","I talk to @stephruhle.bsky.social about markets youtu.be/5gg1_walV8E?...","2025-04-10T18:56:29.427Z"
"islandgirlyhere.bsky.social","💙♥️ Hi, thank you for the follows. 🫶We are on our holidays sitting in a rain storm right now on Vancouver Island. As much as I will miss going to the United States, I realize how fortunate we are to live in such a beautiful Country 🇨🇦 We will NEVER let that Orange psychopath take it. #HandsOffCanadaDT","2025-04-10T19:34:59.831Z"
"islandgirlyhere.bsky.social","www.aol.com/national-par... So fucking tired of this bs!🤬","2025-04-07T02:16:19.267Z"
"islandgirlyhere.bsky.social","The day we never see this thing again, will be a blessing.","2025-04-07T01:59:10.040Z"
"islandgirlyhere.bsky.social","CNBC host Jim Cramer warned America is in store for another “Black Monday” market crash similar to the record 1987 collapse if Trump doesn’t curtail his tariff plan. Cramer said the bloodbath could be repeated after the brutal two-day sell-off following the announcement of Trump’s sweeping tariffs.","2025-04-06T19:43:35.454Z"
"islandgirlyhere.bsky.social","Where is our humanity?","2025-04-06T21:26:00.882Z"
"islandgirlyhere.bsky.social","Trump's DHS erroneously sent an email to Ukrainians legally living in the U.S. under a humanitarian program telling them their status had been revoked and they had seven days to leave the country or the """"federal government will find you.""""","2025-04-06T17:35:11.165Z"
"islandgirlyhere.bsky.social","Judge Xinis is sticking by her demand that Trump return a Maryland man erroneously sent to El Salvador, writing in a new order: """"Defendants seized Abrego Garcia without any lawful authority … and forcibly transported him to El Salvador in direct contravention of [immigration law].""""","2025-04-06T20:20:07.801Z"
"islandgirlyhere.bsky.social","how did you think they made the eggs white","2025-04-06T18:44:31.565Z"
"islandgirlyhere.bsky.social","#deposetrump #liberateamerica #trump #czump #maga #traitor #treason #depose #impeach #resist #fight #antifascism #rico #democrat #liberal #conservative #scaredypants #coward #tinypeen #aoc #buttigieg #biden #clinton #obama #nra #military #veteran #honor #duty #serve #family #values #ethics #fupa","2025-04-06T21:34:10.453Z"
"islandgirlyhere.bsky.social","Hosting the Olympics and World Cup are going to be impossible. What athlete in their right mind would risk coming to the US now?","2025-04-06T20:53:55.867Z"
"islandgirlyhere.bsky.social","This is called “ Taking care of the People”","2025-04-06T21:35:46.979Z"
"islandgirlyhere.bsky.social","Joined Hindu community members at the BAPS Toronto Mandir yesterday for the first day of Ram Navami celebrations. Thank you for sharing your traditions and culture with me. Happy Ram Navami!","2025-04-06T21:03:09.298Z"
"islandgirlyhere.bsky.social","He went from """"I'll fix everything on day one"""" to """"suck it up buttercup"""" pretty damn quick.","2025-04-06T13:46:24.904Z"
"islandgirlyhere.bsky.social","Hard to say this without sounding condescending, but this Canadian 🇨🇦 is very proud of his American 🇺🇸friends today. You did good!! You did something!!","2025-04-06T04:15:04.149Z"
"islandgirlyhere.bsky.social","Courageous women from all corners of the country!!! The last thing a man-child-wanna-be dictator wants, is a highly intelligent, strong woman giving him advice!!","2025-04-06T20:27:03.759Z"
"islandgirlyhere.bsky.social","open.substack.com/pub/themouth...","2025-04-06T20:27:21.885Z"
"islandgirlyhere.bsky.social","We’re building a #PeoplesMovement. Today, over 3 million people across the country stood up to say HANDS OFF our democracy. And history shows that when just 3.5% of the population engages in sustained, peaceful resistance—transformative change is inevitable. #50501movement #HandsOff #April5","2025-04-06T00:00:04.412Z"
"islandgirlyhere.bsky.social","www.tiktok.com/t/ZP8jFgVnr/","2025-04-06T20:28:25.033Z"
"islandgirlyhere.bsky.social","Imagine letting your child die of a preventable disease because your guy is President.","2025-04-06T20:10:37.057Z"
"islandgirlyhere.bsky.social","The less money you make, the more the tariffs will hurt you. The more money you make, the more the tax cuts will help you. Fuck this entire administration up the ass sideways with a nuclear powered, diamond-tipped jackhammer.","2025-04-06T20:15:49.697Z"
"islandgirlyhere.bsky.social","Free Trade, zero tariffs Elon vs Full Tariff Trump is going to be interesting to watch. The stakes are enormous for the American People Who comes out on top ? I think unfortunately for the economy, in this case , it's Trump.","2025-04-06T15:29:13.308Z"
"islandgirlyhere.bsky.social","Just gonna leave this here…","2025-04-06T19:53:16.969Z"
"islandgirlyhere.bsky.social","It seems other countries are finding ways to trade without the USA. #FreeTrade #China","2025-04-06T19:46:37.425Z"
"islandgirlyhere.bsky.social","#trumpwanabe #trumpfanboy #neverpoilievre","2025-04-06T11:41:45.213Z"
"islandgirlyhere.bsky.social","Canada is not just Minnesota’s neighbor, it’s our number one trading partner. I led a bipartisan Senate resolution to stop these reckless tariffs that are harming our families, farmers, and businesses. www.startribune.com/klobuchar-he...","2025-04-06T19:02:23.787Z"
"islandgirlyhere.bsky.social","Donald Trump: While you were busy playing golf this weekend, the American people put you on notice…","2025-04-06T20:04:23.071Z"
"islandgirlyhere.bsky.social","Started / Going Did they even say thank you?","2025-04-06T19:05:50.191Z"
"islandgirlyhere.bsky.social","Welcome to the dumbest administration","2025-04-06T19:45:02.871Z"
"islandgirlyhere.bsky.social","NEW: Andy McCabe and I delve into the details of the dismissal of the bribery and fraud charges against Eric Adams. Free to listen and subscribe! podcasts.apple.com/us/podcast/m...","2025-04-06T19:40:06.302Z"
"islandgirlyhere.bsky.social","All these lying A$$holes need to be put in Prisons.","2025-04-06T20:01:53.170Z"
"islandgirlyhere.bsky.social","#handsoff2025 Austin, TX","2025-04-06T10:02:04.882Z"
"islandgirlyhere.bsky.social","If you do nothing else today, follow @charlieangus104.bsky.social This is a true Canadian that has a great story. Follow Charlie and watch his interviews on the MeidasTouch network with Ben Meiselas. Great stuff. Show some love for Mike Myers too. He stood up when Gretsky had a stick up his ass.","2025-04-06T19:55:11.488Z"
"islandgirlyhere.bsky.social","@bluestormcomin1.bsky.social @filosia.bsky.social @sassysister27.bsky.social @qm-b.bsky.social @resist4harris.bsky.social @browneyegirlhi.bsky.social @cheryldogmom.bsky.social @gregpinelo.bsky.social @islandgirlyhere.bsky.social @cherylbluewave.bsky.social @browneyegirlhi.bsky.social","2025-04-06T01:28:16.255Z"
"islandgirlyhere.bsky.social","Mark Carney has a plan and will be the leader for ALL Canadians ❤️🇨🇦 Poilievre aka PP Trump wannabe won’t even get security clearance Vote April 28th for Mark Carney. The only choice ❤️🇨🇦❤️ #VoteApril28MarkCarney4PM #NeverPoiLIEvre","2025-04-05T20:16:56.727Z"
"islandgirlyhere.bsky.social","Can we just deport MAGAts like this? I dont want to share a country with disgusting vermin like this.","2025-04-06T16:56:57.772Z"
"islandgirlyhere.bsky.social","🧢💙♥️ Hi everyone, thank you for the follows and I am on a RV Vacation so I am on & offline, as we camp around. I just wanted to say that we support EVERY one of you who have hit the streets protesting and keep standing up to these damn criminals. Hugs to each one of you.","2025-04-06T19:49:07.108Z"
"islandgirlyhere.bsky.social","We need a Booker not a Schumer 🔥🔥 GOP pollster Frank Lutz, “I want to emphasize what Cory Booker did over the last 24 hours may have changed the course of political history. I watched a lot of it. I listened to words. I listened to phrases.” #SheShed #Reformers #ResignSchumer","2025-04-02T18:24:48.925Z"
"islandgirlyhere.bsky.social","Sen. Cory Booker has the floor.","2025-04-02T19:30:04.162Z"
"islandgirlyhere.bsky.social","Oh. National Security Advisor Mike Waltz is in at least another 20 Signal group chats? And he’s sending sensitive information on Gmail too? This guy is a disaster.","2025-04-02T19:05:38.003Z"
"islandgirlyhere.bsky.social","I want to sincerely thank every single one of my Senate Democratic colleagues who came to the floor, not to just support me, but to share incredibly powerful stories and ask important questions their constituents want answers to.","2025-04-02T19:06:51.359Z"
"islandgirlyhere.bsky.social","It took a lot of stupid to get here but we did it","2025-04-02T17:08:56.753Z"
"islandgirlyhere.bsky.social","'No way to put lipstick on this': Conservative calls WI Supreme Court race a 'blowout' loss https://twp.ai/4imAjF","2025-04-02T19:27:15.000Z"
"islandgirlyhere.bsky.social","Good morning resisters. Please join the Defenders of Democracy in congratulating a #SheShed sister & great resister. #BlueStormComin1 @bluestormcomin1.bsky.social has hit 120K followers. Congratulations BlueStorm. We thank you for all you do to defend our democracy! #DefendersOfDemocracy","2025-04-02T17:04:37.970Z"
"islandgirlyhere.bsky.social","I'm livin' the dream","2025-04-02T18:42:32.125Z"
"islandgirlyhere.bsky.social","BREAKING: The Department of Health and Human Services has fired every single worker in its program that helps low-income Americans pay their energy bills. thehill.com/policy/energ...","2025-04-02T17:54:55.128Z"
"islandgirlyhere.bsky.social","“Normally, this is something that should be investigated.”: Fmr. Acting Assistant AG for National Security at DOJ on Mike Waltz, staff using Gmail to discuss sensitive military positions and weapons systems www.youtube.com/watch?v=x8wt...","2025-04-02T16:33:22.042Z"
