"user","post","date"
"jawnsy.bsky.social","Cartoon by @andertoon.bsky.social.","2026-02-12T21:02:22.647Z"
"jawnsy.bsky.social","250th Anniversary This is your official notice that you now have only 5 months to be able to remember and pronounce these words with ease. Semiquincentennial Sestercentennial Bisesquincentennial Bicenquinquagenary Or you can kind of cheat and just go with this version: Quarter Millennial","2026-02-07T20:39:30.746Z"
"jawnsy.bsky.social","Interview with Satan’s butt plug.","2026-01-09T18:51:36.231Z"
"jawnsy.bsky.social","We are literally running a war out of a country club, and most likely making sure members are better informed than congress as things unfold.","2026-01-03T10:29:55.456Z"
"jawnsy.bsky.social","Trump may be signaling to Putin “see - this is how it’s done”.","2026-01-03T10:14:14.942Z"
"jawnsy.bsky.social","Guess we are going for full immediate regime change in Venezuela. Wonder if we have plans to install a puppet, who will then “legally” allow us to take all the oil. Maybe we’ll pay in Trump crypto so we can say we didn’t steal it.","2026-01-03T10:13:04.393Z"
"jawnsy.bsky.social","Looks like we are ‘Pearl Harboring’ Venezuela, with a little Seal Team 6 action added in for good measure.","2026-01-03T09:03:15.602Z"
"jawnsy.bsky.social","NORAD has confirmed there is a sleigh with 8 cloven footed Caribou that is moving in an erratic pattern on the far side of the globe. The War Department has also now confirmed they will shoot to kill, and not ask questions, in the event of any violation of our sovereign airspace.","2025-12-25T01:42:07.986Z"
"jawnsy.bsky.social","We are bound together by tradition. Behold! The Feast of the One Fishes!","2025-12-25T01:39:10.931Z"
"jawnsy.bsky.social","Happy Beaujolais Nouveau Day! 🍷","2025-11-20T08:27:58.570Z"
"jawnsy.bsky.social","F* Dallas Go Birds!","2025-11-19T22:23:12.054Z"
"jawnsy.bsky.social","A very rough week. Not the worst, but clearly not the best. A night that calls for drastic measures. I will be having a bottle of port for dinner, and I’m starting the evening with one of my favorite movies - Big Night. That movie either explains so much about me to you - or explains nothing at all.","2025-11-15T02:15:34.603Z"
"jawnsy.bsky.social","It’s my ball! Mine!","2025-11-01T17:55:05.339Z"
"jawnsy.bsky.social","I could never be a championship sports figure — because of the gluten. No other reasons that I can think of….","2025-09-16T06:44:22.948Z"
"jawnsy.bsky.social","What a game, what a game, what a game! NL East Champs!","2025-09-16T05:08:50.631Z"
"jawnsy.bsky.social","Too bad, so sad.","2025-09-14T23:39:59.498Z"
"jawnsy.bsky.social","Sometimes you win. Sometimes you lose. And sometimes you clinch hours later right after the EAGLES beat the Chiefs!","2025-09-14T23:35:12.181Z"
"jawnsy.bsky.social","M-O-R-E O-T-T-O K-E-M-P","2025-09-13T23:44:07.836Z"
"jawnsy.bsky.social","🧹🧹🧹🧹","2025-09-12T01:37:09.779Z"
"jawnsy.bsky.social","Step 1: Complete! 2-0 Victory","2025-09-04T22:51:48.806Z"
"jawnsy.bsky.social","48 hours to kickoff, but who’s counting…","2025-09-02T23:59:36.475Z"
"jawnsy.bsky.social","Walk it off!","2025-08-31T00:58:02.281Z"
"jawnsy.bsky.social","Sources: MLB planning for Phillies-Twins matchup in August 2026 Field of Dreams game - Philadelphia Inquirer","2025-08-25T06:16:03.322Z"
"jawnsy.bsky.social","Not fun! www.sfgate.com/travel/burni...","2025-08-25T06:03:41.790Z"
"jawnsy.bsky.social","Zack says he’ll be back!","2025-08-24T18:23:38.606Z"
"jawnsy.bsky.social","www.mlb.com/news/zack-wh...","2025-08-23T19:12:14.308Z"
"jawnsy.bsky.social","Team is rolling right now. Everyone stepping up after losing Wheeler. #GoPhils","2025-08-20T20:16:01.659Z"
"jawnsy.bsky.social","Trea-bagger to start the game. #GoPhils","2025-08-20T17:18:50.383Z"
"jawnsy.bsky.social","Alvarado comes back tomorrow. Release “Stinky Cheese” Romano tonight!","2025-08-19T01:05:59.177Z"
"jawnsy.bsky.social","Phils Phinally wake the Phuck up!","2025-08-12T00:09:20.468Z"
"jawnsy.bsky.social","Phils swept the Rangers! 🧹 Mets lost 7 in a row! Release the Epstein Files!!","2025-08-10T21:21:18.401Z"
"jawnsy.bsky.social","Phillies are in the groove!","2025-08-09T03:24:51.732Z"
"jawnsy.bsky.social","Nominate South Park for the Noble Prize! 🏆🎖️🏅","2025-08-08T03:23:15.243Z"
"jawnsy.bsky.social","Terrible Haiku Super stressed out day. Blood pressure zooming. Vacation is clearly over.","2025-08-07T01:14:33.832Z"
"jawnsy.bsky.social","The gods have been sated. RIP Chuck Mangione, Ozzy Osbourne & Hulk Hogan. #RuleOfThree","2025-07-24T21:01:10.107Z"
"jawnsy.bsky.social","Catcher’s Balk. Never heard of that before. But for the second day in a row — I’ll take it. Weird.","2025-07-22T23:15:00.447Z"
"jawnsy.bsky.social","Seems like a swell fella. """"Whether it's right or wrong, it's time to go after people,"""" Trump told reporters in the Oval Office on Tuesday.","2025-07-22T17:46:23.382Z"
"jawnsy.bsky.social","Phillies just won in extra innings against the Red Sox with a walk-off catcher’s interference call. We never put a ball in play in the inning. Walk, wild pitch, walk, and then the only “hit” was hitting the catcher’s mitt. Big W in the standings. I’ll take it.","2025-07-22T01:43:46.767Z"
"jawnsy.bsky.social","Schwarbomb-a-thon! #MVP","2025-07-16T04:00:36.575Z"
"jawnsy.bsky.social","Don’t care what they say, or who won tonight: FTM!","2025-07-06T02:21:50.255Z"
"jawnsy.bsky.social","Muck the Fets!","2025-06-21T03:19:39.760Z"
"jawnsy.bsky.social","Spotify typo gone bad. RIP Brian Wilson open.spotify.com/playlist/1Ch...","2025-06-12T07:39:21.505Z"
"jawnsy.bsky.social","My guess is that the scouting report said to swing on the first pitch today. Colorado pitcher only threw 7 pitches in the first inning, 5 in the second, and now a whopping 12 pitches in the 3rd. Making another nobody look like a somebody. Or maybe they just have an early flight to catch…..","2025-05-22T19:40:26.732Z"
"jawnsy.bsky.social","For the big kid who has almost everything….","2025-04-12T23:20:10.503Z"
"jawnsy.bsky.social","Rematch. There can only be one. Go Birds! 🦅","2025-01-27T02:53:36.902Z"
"jawnsy.bsky.social","Victory Formation. 🦅🥃","2025-01-27T00:32:24.864Z"
"jawnsy.bsky.social","It has begun. Not even at the deadline yet. My daughter has had her addiction severed. And yet, sadly, it’s getting set up for Trump to be the savior of Gen Z. Doesn’t matter that he got paid to be that savior — and do a 180 on the entire issue because of that payment. 🤑","2025-01-19T03:56:50.642Z"
"jawnsy.bsky.social","Just imagine…. Investigators from the Corruption Investigation Office for High-ranking Officials took Yoon into custody in an operation that started before dawn after the president repeatedly defied summons to appear for questioning. apple.news/AeNKhwIK6RZm...","2025-01-15T11:21:11.400Z"
"jawnsy.bsky.social","It’s award season again!","2025-01-06T04:52:08.536Z"
"jawnsy.bsky.social","Boise State coach: Thanks to Jesus ….. Dude. Jesus decided you need to be losing at the half. Maybe he was being sarcastic???","2025-01-01T02:19:41.391Z"
"jawnsy.bsky.social","Beautiful start for PSU!","2025-01-01T01:11:55.636Z"
