"user","post","date"
"jayeburney.bsky.social","When the Supreme Court allowed immigration agents to consider race during sweeps, Justice Brett Kavanaugh said that citizens shouldn’t worry because if they’re detained, agents will “promptly let the individual go.” For these Americans, that wasn’t true.","2025-11-03T02:02:05.103Z"
"jayeburney.bsky.social","This is like the horror movie where the audience is shouting, """"Don't go into that dark house!!"""" just as the person is walking up to the steps......😱😱😱 Universities: Do. Not. Sign.","2025-10-03T12:46:51.429Z"
"jayeburney.bsky.social","The Art of the Deal, Goombah U.","2025-10-02T18:21:43.468Z"
"jayeburney.bsky.social","The federal government is seceding from us.","2025-10-02T18:21:28.239Z"
"jayeburney.bsky.social","It says a lot that Trump can find $20 billion to bail out Argentina, but won't help the millions of Americans who are in real need at home. Thank you to former CFPB Director Rohit Chopra for explaining.","2025-10-02T18:20:53.338Z"
"jayeburney.bsky.social","We have spent a lot of time talking w South Dakota farmers over the past decade. What has happened to the US soybean-growing business is comparable to Great Depression. Black Plague, etc. By """"what has happened,"""" I mean """"what Trump did to them,"""" with these idiotic tariffs.","2025-10-02T18:20:44.042Z"
"jayeburney.bsky.social","Huh. Things seemed fine under Biden, according to data. Harvest sales were great in 2024. Harvest for Trump’s 2025? Non-existent.","2025-10-02T13:01:37.232Z"
"jayeburney.bsky.social","Labor Day protests against the Trump administration are planned for Columbus and across Ohio on Monday, with organizers decrying what they call the """"billionaire takeover."""" ohiocapitaljournal.com/briefs/labor...","2025-08-31T00:30:09.781Z"
"jayeburney.bsky.social","Two firefighters held at Washington ICE detention center amid wildfire, US representative says reut.rs/4gkZFUB","2025-08-31T00:30:27Z"
"jayeburney.bsky.social","There is a crime wave in DC deploy the National Guard to the Oval Office","2025-08-11T18:02:40.308Z"
"jayeburney.bsky.social","Didn't know so many people were unaware that this was going on. Yes, Democrats are suing the Trump Administration for denying their constitutionally guaranteed right to inspect ICE facilities. www.axios.com/2025/07/30/i...","2025-08-10T01:27:51.729Z"
"jayeburney.bsky.social","CNN put together a supercut of Pam Bondi being for releasing Epstein files before she suddenly turned against it","2025-07-27T13:12:19.904Z"
"jayeburney.bsky.social","Israel caused the hunger crisis in Gaza, no matter how much it tries to blame the UN. www.haaretz.com/israel-news/...","2025-07-28T16:24:35.803Z"
"jayeburney.bsky.social","The whole cabinet I hope. They are all trying to kill Americans, put us in poverty or jail and make us as sick as possible. Goals the GOP in Congress agree should happen.","2025-07-27T15:34:42.902Z"
"jayeburney.bsky.social","Has anyone else, watched any of those movies of a maddened, blood thirsty mob storming the Bastille?","2025-07-27T21:48:01.383Z"
"jayeburney.bsky.social","Rotting corpse miller is as vile and despicable as they come. May he rot in hell.","2025-07-27T12:55:53.156Z"
"jayeburney.bsky.social","Even Conservatives can no longer ignore the depravity. The beauty of narcissists is they piss off everyone!","2025-07-27T16:10:51.047Z"
"jayeburney.bsky.social","The rigging of the next election is even more imminent now😡. I sure hope we are ready for this because it’s gonna happen. We must stop them at every hole they crawl out of.","2025-07-27T13:28:58.298Z"
"jayeburney.bsky.social","Unsolicited writing advice, no. 11618: LIBRARIES. Public libraries are important for many reasons, not least because they often host author events and readers' groups that an author can use to help promote their work. These events are usually free, and authors don't generally charge for them.","2025-07-27T10:12:08.097Z"
"jayeburney.bsky.social","Be ready to fight this: 1. Maxwell names Dems and a few millionaires. 2. Trump praises her for exposing them. 3. MAGA praises Trump for """"taking down the pedos"""". 4. Trump pardons/commutes sentence for her """"telling the truth"""". She wasn't just a finder, she is also a rapist. Call your rep/senators.","2025-07-27T10:14:00.237Z"
"jayeburney.bsky.social","Written in #Project2025, is an objective to REMOVE all instances of the word #ClimateChange from every single government document. Literally mandated in that fking document to remove any and all instances as if that will stop it. Idiots all of em. If folks would watch the training videos for; cont","2025-07-06T15:42:23.462Z"
"jayeburney.bsky.social","Trump revoked Biden’s executive order that expanded voter registration through federal agencies. Advocates say the move erases years of progress and sets back voter registration efforts across the country. www.democracydocket.com/analysis/how...","2025-07-08T01:03:07.643Z"
"jayeburney.bsky.social","Ted Cruz ensured Trump spending bill slashed weather forecasting funding","2025-07-08T01:05:33Z"
"jayeburney.bsky.social","BREAKING NEWS REPUBLICANS WILL BURY OR LIE ABOUT: SMOKING GUN FOUND: Trump forced out the scientist responsible for warning coordination with local emergency managment personnel where the Texas Floods occurred. Kristi Noem (sick maniac who shoots mammals in the face for fun) blames Biden.","2025-07-06T15:06:04.106Z"
"jayeburney.bsky.social","Hegseth clashed with several lawmakers at a Senate budget hearing as he insisted the Pentagon’s deployment of troops to LA was lawful. He just couldn’t cite the law he was following.","2025-06-11T22:18:29.838Z"
"jayeburney.bsky.social","Voting officials say they've never seen a demand like the one the Justice Department sent to Colorado last month.","2025-06-11T21:27:35.726851Z"
"jayeburney.bsky.social","Out of the 109 DOGE staffers we've identified: • At least 38 currently work/have worked for businesses run by Musk • At least 23 are making cuts at agencies that regulate the industries that employed them • At least 12 remain, on paper, employees/advisors of the companies they worked at before DOGE","2025-06-11T23:30:08.523Z"
"jayeburney.bsky.social","A federal judge on Wednesday barred the Trump administration from continuing to detain Mahmoud Khalil. The judge said Khalil would be released on Friday unless the government appeals.","2025-06-11T21:20:52.006539Z"
