"user","post","date"
"jetwriter.bsky.social","Tonight’s #FridayLimericks call out the systematic assault on the First Amendment. Under President Trump, we are cursed With unquenched anti-liberty thirst. He’s attacking our rights Over pissed pants and slights, Trimming freedoms enshrined in the First.","2026-01-31T04:41:00.860Z"
"jetwriter.bsky.social","Four-time Grammy Award nominee Jesse Welles performs his song """"Join Ice."""" Bob Dylan once said a single folk singer could defeat an entire army. Ladies and gentlemen, I think we have our man.","2026-01-24T09:10:33.735Z"
"jetwriter.bsky.social","There is no legal mechanism for the president to cancel elections. Martial law doesnt give him special power to do that. Neither does declaring war (we had an election during the civil war). If he cancels elections, its illegal, and its revolution time. legalclarity.org/can-martial-...","2026-01-15T16:53:15.728Z"
"jetwriter.bsky.social","WATCH — @nikkiglaser.bsky.social : “The Golden Globe for best editing goes to… the Justice Department! And the award for MOST editing goes to CBS News. Yes, CBS News: America’s newest place to See B.S. News.’”","2026-01-12T01:36:05.622Z"
"jetwriter.bsky.social","A terrific group of people led by Prof. Christina Pagel, a UK-based health services researcher & science communicator, have developed this Trump Action Tracker, a compendium of actions in 10 categories in his 2nd term. Extremely interesting. #ProudBlue www.trumpactiontracker.info","2026-01-10T23:01:58.462Z"
"jetwriter.bsky.social","A national disgrace.","2026-01-03T19:11:44.340Z"
"jetwriter.bsky.social","Excellent question.","2025-12-28T06:32:48.559Z"
"jetwriter.bsky.social","#writingcommunity #authorsky #writesky #author #amwriting #bravewrite","2025-12-22T16:30:39.075030+00:00"
"jetwriter.bsky.social","The march yesterday was all-inclusive.","2025-10-19T19:32:19.619Z"
"jetwriter.bsky.social","👇","2025-10-18T17:16:48.113Z"
"jetwriter.bsky.social","enjoymagazine.com/2025/08/page...","2025-10-08T14:14:57.614Z"
"jetwriter.bsky.social","Good morning and TYSM sister @jules1212.bsky.social and @filosia.bsky.social💙🦋 @chaserbaybe.bsky.social @moberzan.bsky.social @whatifisaidit.bsky.social @abbarsha.bsky.social @annettebeebe.bsky.social @luca-migo.bsky.social @bluthrunthru.bsky.social @bluestormcomin1.bsky.social @itsbek.bsky.social","2025-10-04T14:29:12.067Z"
"jetwriter.bsky.social","On sale now for only $0.99! 77 DAYS: a.co/d/0Nh8QkO Three scientists, one more dangerous than the deadly virus they face...","2025-09-26T22:34:15.089Z"
"jetwriter.bsky.social","77 DAYS: a.co/d/0Nh8QkO Four women, one of them a traitor...","2025-09-23T14:25:11.180Z"
"jetwriter.bsky.social","Robert Redford looked at the movie industry and saw """"that the most creative filmmakers were increasingly shut out"""" and """"that if a would-be filmmaker were brown, black, red, or female—forget it; his or her chances of getting a project produced were virtually nil."""" So he started Sundance.","2025-09-17T00:47:46.774Z"
"jetwriter.bsky.social","Just got the news.","2025-09-04T19:45:11.252Z"
"jetwriter.bsky.social","Exciting news! My first novel 77 DAYS just debuted on Amazon's Political Thrillers & Suspense Best Sellers list!","2025-08-20T15:59:13.931Z"
"jetwriter.bsky.social","""""Not war. Not contagion. Something more monstrous threatens humanity’s survival. Only Quinn holds the key."""" If you haven't checked out my debut novel yet, here is a great offer. And just for you, it's available starting today - one day early!","2025-08-16T17:48:25.918Z"
"jetwriter.bsky.social","OK, so this isn't genealogical, but I love reading about unexpected, exceptional people. www.quantamagazine.org/at-17-hannah...","2025-08-15T14:55:50.097Z"
"jetwriter.bsky.social","#BookSky","2025-07-20T08:15:57.873Z"
"jetwriter.bsky.social",". And that's exactly the point ! ⬇️ ⬇️ ⬇️","2025-07-15T10:30:48.466Z"
"jetwriter.bsky.social","...of these Oppressions We have Petitioned for Redress in the most humble terms: Our repeated Petitions have been answered only by repeated injury. A Prince, whose character is thus marked by every act which may define a Tyrant, is unfit to be the ruler of a free people...","2025-07-04T13:57:01.599Z"
"jetwriter.bsky.social","Content aside, why in the world would anyone with more than a third-grade education name their signature piece of legislation this?","2025-06-30T22:40:48.514Z"
"jetwriter.bsky.social","For the record, people are angry AND peaceful","2025-06-14T19:59:53.027Z"
"jetwriter.bsky.social","FASCISM : a populist political regime that exalts nation and often race above the individual, associated with a centralized autocratic government headed by a dictatorial leader, and characterized by severe economic and social regimentation and forcible suppression of opposition.","2025-06-14T16:56:26.155Z"
"jetwriter.bsky.social","If you're looking for a good summer read, here's a great opportunity:","2025-06-08T19:46:13.676Z"
"jetwriter.bsky.social","Why enter a contest like this? It's estimated that 116,000 books are published on Amazon...EVERY MONTH. The average book sells less than 100 copies.. IN ITS LIFETIME. Getting noticed matters.","2025-06-07T14:49:52.847Z"
