"user","post","date"
"jimcrack.bsky.social","Millions of people around the world are living in poverty. Meanwhile, the rich and powerful commit heinous crimes with impunity. Our rotten political system rewards dishonesty, abuse & greed. It’s time to replace it with a real democracy that works for the many, not the few.","2026-02-04T09:43:50.608Z"
"jimcrack.bsky.social","Today, Israeli airstrikes killed 27 Palestinians in Gaza. The genocide never ended — and we will never stop campaigning until there is a free and independent Palestine.","2026-01-31T17:29:41.845Z"
"jimcrack.bsky.social","I am very concerned by the government's mass rollout of facial recognition technology. This is a grave threat to privacy, and turns the presumption of innocence on its head. We are hurtling toward a mass surveillance state. It must be opposed!","2026-01-26T17:16:51.840Z"
"jimcrack.bsky.social","1. This short thread is about the issue that dominates almost every aspect of politics, and causes or exacerbates most of our problems: the extreme wealth of a small number of people. Here’s the amazing thing: almost the entire political class aligns with the ultra-rich against the rest. 🧵1/10","2026-01-23T11:30:06.047Z"
"jimcrack.bsky.social","Time to kick the Empires army out Please sign ign the petition if you agree actionnetwork.org/petitions/re...","2026-01-22T16:39:26.134Z"
"jimcrack.bsky.social","Humanity is more productive than at any time in history. So why is it we are all made to suffer ever worsening public services and increasingly impoverished lives? Because the greedy b******s who run everything keep taking more and more and more. It's time we started taking back.","2026-01-20T17:53:46.395Z"
"jimcrack.bsky.social","While blindingly obvious to anyone with even a vague concept of how X works, it's nevertheless remarkable to see X itself set out so starkly it is """"optimised for...hatred & calls to (or justifications of) violence...the design isn't neutral — it's profit-optimized for emotion"""": x.com/i/grok/share...","2026-01-13T14:13:38.102Z"
"jimcrack.bsky.social","Health concerns grow for Palestine Action hunger strikers A Palestine Action activist who’s being held awaiting trial on charges of criminal damage has now been on hunger strike for 70 days, as concerns about her health grow. www.channel4.com/news/health-...","2026-01-12T09:26:13.738Z"
"jimcrack.bsky.social","keir starmer is currently starving a number of protesters to death while holding them in prison without trial.","2026-01-09T21:47:47.440Z"
"jimcrack.bsky.social","The government said this was the year it would turn a corner. One week into 2026, and it has already debased itself by refusing to call out blatant violations of international law. The government isn’t turning a corner. It’s driving us headfirst into chaos, division and war.","2026-01-07T18:45:22.625Z"
"jimcrack.bsky.social","If the Palestine Action hunger strikers die - which they could do at any moment, as they are now very close to the end - it will be the government that killed them. Today’s column explains why. Please share, and write urgently to your MP. www.theguardian.com/commentisfre...","2026-01-07T08:07:03.917Z"
"jimcrack.bsky.social","I'm writing about the Palestine Action hunger strikers at the moment, any of whom could die at any moment, and the astonishing media and government silence surrounding them. The Establishment seems to have become even crueller than when Thatcher was PM.","2026-01-05T12:27:32.021Z"
"jimcrack.bsky.social","My whole life, advocating war has been fed to me as “the adult position,” akin to drinking your coffee black or reading the business section of the newspaper. Let’s be very clear — war is the childish nonsense of impulsive destructive idiots playing baby-brained video games with real human lives.","2026-01-04T02:02:56.248Z"
"jimcrack.bsky.social","We are on the road to WW3 and the end of life on Earth. The world must take action against the US.","2026-01-03T13:24:55.704Z"
"jimcrack.bsky.social","Spray paint a plane and they'll detain you without trial and call you a terrorist. Kidnap a foreign head of state - and Keir Starmer will make it clear we've played no part in it but will wait for the scheduled press conference in a few hours before potentially condemning it","2026-01-03T13:50:38.577Z"
"jimcrack.bsky.social","The US has launched an unprovoked and illegal attack on Venezuela. This is a brazen attempt to secure control over Venezuelan natural resources. It is an act of war that puts the lives of millions of people at risk, and should be condemned by anyone who believes in sovereignty & international law.","2026-01-03T10:26:10.960Z"
"jimcrack.bsky.social","💯","2025-12-30T21:50:06.270Z"
"jimcrack.bsky.social","Irrespective of whether Jesus was a real person or not, the fact is the Bible states he was born in Bethlehem, Palestine to non-white parents & was of no fixed abode. He disliked the rich & spent his life advocating for the vulnerable & poor. Perhaps Christians should take note.","2025-12-25T18:13:55.577Z"
"jimcrack.bsky.social","I love @zackpolanski.bsky.social What he has achieved, particularly with the media I think most of us thought was impossible. But he doesn't set the direction of the Green Party. He is a reflection of it. We are packed full of bold and principled socialists from all walks of life.","2025-12-26T09:26:57.401Z"
"jimcrack.bsky.social","""""The question is whether political leaders are brave enough to speak the truth? Immigration is good for this country and that we have a clear, moral responsibility to protect those failed by global injustice and political neglect."""" observer.co.uk/news/nationa...","2025-12-26T11:15:09.162Z"
"jimcrack.bsky.social","Kier Starmer vows “to do what Dickens couldn’t” and kill Tiny Tim","2025-12-25T19:00:28.894Z"
"jimcrack.bsky.social","#Ireland Christmas Day vigil for #Gaza held at Belfast City Hall Demonstration was organised by Gaels Against Genocide group www.irishnews.com/news/norther...","2025-12-25T14:56:33.367Z"
"jimcrack.bsky.social","Absolutely 💯 True......","2025-12-25T11:56:08.709Z"
"jimcrack.bsky.social","My Christmas wish, no more billionaires. The result, higher wages, higher benefits, lower prices. And no annoying bastards ranting at everyone on Twitter.","2025-12-24T14:36:08.237Z"
"jimcrack.bsky.social","Abolish the House of Lords, RT if you want it gone. Tear it down.","2025-12-24T20:45:00.545Z"
"jimcrack.bsky.social","Yes. We're spending £476m on the militarisation of Calais - where babies are being tear gassed. The fact people are hearing this for the first time is exactly why I made it the subject of the Christmas Day message. We could be spending that money instead on a fair and managed migration system.","2025-12-24T16:19:01.509Z"
"jimcrack.bsky.social","The USAF reportedly shot down an aircraft over Venezuela. Reports state that it was powered by """"multiple antlered propulsion units"""". DOD says the aircraft was operating without a transponder or flight plan and carrying a large quantity of suspicious packages while engaged in """"seasonal trafficking"""".","2025-12-24T08:33:50.388Z"
"jimcrack.bsky.social","Bueno estente. El grande pervert... siento, el mucho grande presidente pervert, dice """"wah, wah, wah, listen, Biden, whap, whap, battleship, Obama, mummy"""". Pfft, nearly dead so all bueno. Feliz Navidad desde Venezuela. Boutros Boutros Ghali.","2025-12-24T10:17:50.337Z"
"jimcrack.bsky.social","“The images of retired elderly professionals being led away by the Met Police has been a stain on Keir Starmer's leadership” ~Allison Morris Belfast Telegraph","2025-12-22T11:39:35.552Z"
"jimcrack.bsky.social","Farage says terrorists and rapists should be deported. There is one major problem. Appealing though the idea may be of losing most members of the British Establishment in one fell swoop, we have nowhere to deport them to. We could nominate a Leave/ Reform county as our new penal colony, I suppose.","2025-12-22T11:20:40.182Z"
"jimcrack.bsky.social","#ProudBlue #Pinks Good morning, friends. Please remember the many who are struggling. Just be kind. #Jaye’sMorningLight","2025-12-21T11:35:51.788Z"
"jimcrack.bsky.social","🌲 Merry #Capitalism.","2025-12-21T15:45:23.573Z"
"jimcrack.bsky.social","The easiest position in any company for artificial intelligence to replace is the CEO and the CFO. They certainly couldn't be any less heartless","2025-12-21T15:05:43.212Z"
"jimcrack.bsky.social","Imprisoned activists associated with Palestine Action are hunger striking over the cruel conditions of their detention. Their health has been declining, several are at risk of death. Write David Lammy and demand he uphold their human rights. palestinecampaign.eaction.org.uk/LammyHungerS...","2025-12-20T17:17:31.413Z"
