"user","post","date"
"jinx42.bsky.social","There are several reasons large pro-Russia accounts are taking over online coverage of the Epstein files: 1. Control narrative. 2. Disassociate Russia from Israel. 3. Funnel legitimacy to their networks. 4. Destroy legitimacy of the files by mixing fakes & conspiracy theories.","2026-02-16T06:19:51.491Z"
"jinx42.bsky.social","Ukraine is awesome as always! ”The area of liberated territory is said to be almost equal to the total gains made by Russian forces over the whole of December 2025.” Slava Ukraini!!!","2026-02-18T02:56:18.614Z"
"jinx42.bsky.social","NEW: The FBI interview implicating Trump for raping and assaulting a 14 year old took place one day before Epstein was found dead in his jail cell, and emails about the credible accusation came around the time Blanche visited Ghislaine Maxwell in pirson. substack.com/home/post/p-...","2026-02-15T20:49:58.623Z"
"jinx42.bsky.social","President Zelenskyy: Ukraine didn’t choose this war& it's wrong to assume that this is a permanent arrangement that others can stay safe behind Ukraine forever.Ukrainians are people,not terminators.","2026-02-14T12:57:59.064Z"
"jinx42.bsky.social","Happy to be at Techarena in Stockholm and listen to industry leaders and politicians discussing how we can become better and stay within planetary boundaries. To much nowadays is just following to total decline of society on USA and war so it’s refreshing that, for once, talk about development!","2026-02-12T13:27:37.482Z"
"jinx42.bsky.social","Preparations for mid terms? It’s going to be ugly. Happy to see that the cracks in the facade is becoming bigger and Trump losing more and more ground. Keep up the good work!","2026-02-12T06:27:55.908Z"
"jinx42.bsky.social","I really do think this is an excellent metaphor for the moment.","2026-02-09T05:09:30.849Z"
"jinx42.bsky.social","🇺🇦 Zaporizhzhia direction, AFU cleared Ternuvatr from Russians.","2026-02-08T17:20:29.639Z"
"jinx42.bsky.social","❗️Relatives of a 🇺🇦Ukrainian serviceman who had been officially declared dead and even buried heard his voice for the first time in many years. This happened after the defender returned from captivity as part of a prisoner exchange and was finally able to call his family.","2026-02-06T07:52:55.393Z"
"jinx42.bsky.social","💔😢🥺","2026-01-31T22:56:16.241Z"
"jinx42.bsky.social","What he says…","2026-01-30T12:30:59.009Z"
"jinx42.bsky.social","Sorry about all food rotting away in 🇺🇸 fields but it truly is a FAFO moment, or state-sponsored execution as the article puts it. Will they continue to own the libs to their poor grave or will we see a blue wave in farm country? www.rawstory.com/these-trump-...","2026-01-31T01:28:19.581Z"
"jinx42.bsky.social","🛳️🇫🇷 Macron said that France was forced to release a recently detained Russian """"shadow fleet"""" tanker due to the requirements of national law. ‼️ Macron said that he plans to change the country's legislation so that in the future detained Russian tankers will remain detained in France.","2026-01-30T12:23:51.458Z"
"jinx42.bsky.social","GDC (Game developers conference) in San Francisco is just around the corner. Who will skip that visit to USA and what do you have other plans replacing GDC?","2026-01-29T19:10:22.806Z"
"jinx42.bsky.social","With friends (and neighbours) like USA, who needs enemies? Feels like Canada now is very similar to Finland who has a very long border to RuZZia. www.independent.co.uk/news/world/a...","2026-01-27T02:56:23.491Z"
"jinx42.bsky.social","SWEDEN HAS DOUBLED THE FUNDS SINCE THURSDAY!! LET US MAKE ANOTHER DOUBLE UNTIL TUESDAY!! SHARE, RETWEET, DONATE, SPREAD!!","2026-01-25T10:44:48.005Z"
"jinx42.bsky.social","Please share. 💔","2026-01-25T04:46:15.273Z"
"jinx42.bsky.social","They killed someone who is (checks notes) a white man who works at the VA and had a license to carry a gun. Groups that the right likes: White Men Veterans Guns And they have an ICE person saying that this is like a video game. They can't explain this one away.","2026-01-25T03:13:18.452Z"
"jinx42.bsky.social","After all the years of USA pointing fingers at Russia and China in the end their biggest enemy is themselves.","2026-01-25T06:03:42.454Z"
"jinx42.bsky.social","RuZZia will never break Ukraine! Amazing people. Amazing spirit. Slava ukraini!","2026-01-25T05:32:22.436Z"
"jinx42.bsky.social","Not all heroes wear capes, some of them wear new Power Up Ukraine caps with earflaps! These good ol’ men is part of our incredible team who repairs, builds and transports our generators to Ukraine. Week in and week out since 2022! Keep supporting their work, to support 🇺🇦! Swish 123 169 24 17","2026-01-23T19:13:58.084Z"
"jinx42.bsky.social","Yesterday 80% of Ukraine was hit by blackouts as the system’s overload due to Ruzzias constant attacks on the power grid. Support the Ukrainians in this! Donate to power up north. Very fast and affective organisation delivering what Ukraine needs!","2026-01-25T05:20:31.279Z"
"jinx42.bsky.social","It’s called Karma! And who in Ruzzia has connected new stuff like this? It’s the Ruzzian upper class that hasn’t felt the war or those who stole it in Ukraine. Ha!","2026-01-25T05:09:57.163Z"
"jinx42.bsky.social","The French military has released footage of yesterday’s seizure of a Russian shadow fleet tanker 'Grinch'. Helping Ukraine, saving Christmas. 🤝🇫🇷","2026-01-23T17:29:34.383Z"
"jinx42.bsky.social","Mama always told me to think positive, whatever trouble there was I could also had toothache. Not having it was the positive. I’m thinking we are in some really deep shit and then Trump came and gave some perspective on how bad it really could be. I get it now mom. Please make him go away!","2026-01-23T05:45:53.111Z"
"jinx42.bsky.social","“Peace is so destructive when you have wars”.. 🤨","2026-01-23T05:26:33.230Z"
