"user","post","date"
"joycomes.bsky.social","Beautiful nature images with soft music","2026-02-18T03:07:27.690Z"
"joycomes.bsky.social","Peaceful and soothing images with soft music! ENJOY!","2026-02-18T03:01:41.940Z"
"joycomes.bsky.social","“We rise by lifting others “ 💫Robert G Ingersoll💫","2026-02-09T16:27:22.706Z"
"joycomes.bsky.social","Simply being in nature is a reason to be thankful allowing you to appreciate the beauty that surrounds you and find joy in the present moment.","2026-02-05T15:29:43.322Z"
"joycomes.bsky.social","I have never been more grateful than right now living in our beautiful free country! The current administration in the USA are destroying their country and attempting to destroy everyone else! No one is stopping them. We can only hope that we will all survive this!","2026-02-04T17:26:02.678Z"
"joycomes.bsky.social","“Where you see wrong or inequality or injustice, SPEAK OUT, because this is your country! This is your democracy! Make it. Protect it. Pass it on!” ~Thurgood Marshall~ He was the first black Supreme Court justice Sworn in October 2, 1967","2026-02-01T15:19:37.167Z"
"joycomes.bsky.social","” We must take sides! Neutrality helps the oppressor, never the victim. Silence encourages the tormentor not the tormented. When human dignity is in jeopardy, and they are persecuted because of their race, religion or political views, we must interfere!”","2026-01-31T17:59:32.778Z"
"joycomes.bsky.social","“Silence becomes cowardice when occasion demands speaking out the whole TRUTH and acting accordingly!” ~Mahatma Ghandi~","2026-01-30T16:42:26.707Z"
"joycomes.bsky.social","“ The best way to find JOY Is to give it to others.” ~ Robert G Ingersoll~","2026-01-29T15:33:40.408Z"
"joycomes.bsky.social","“ People who are truly strong lift others up! People who are truly powerful bring others together!” 💫 Michelle Obama💫","2026-01-27T15:29:34.113Z"
"joycomes.bsky.social","“If political violence becomes “normal” then none of us are truly safe!” ~ Ronald Reagan~","2026-01-26T18:39:37.067Z"
"joycomes.bsky.social","youtu.be/hlSXI-4yamI Mark Carney is what lead ship looks like ‼️ Not the narcissistic criminal in the USA who is killing his own people‼️","2026-01-25T16:12:27.648Z"
"joycomes.bsky.social","“TRUTH to POWER” The act of courageously confronting authority with facts and moral clarity, especially when injustice prevails! It demands an ethical response, carrying personal risks!","2026-01-24T14:35:04.811Z"
"joycomes.bsky.social","“ Tenderness and kindness are not signs of weakness and despair, But manifestations of strength and resolutions.” ~Khalil Gibran~","2026-01-23T18:16:14.283Z"
"joycomes.bsky.social","To Honour the respectable Martin Luther King His quote: “ The ultimate measure of a man is not where he stands in the moment of comfort and convenience, but where he stands at times of challenge and controversy !”","2026-01-20T22:23:22.976Z"
"joycomes.bsky.social","“A strong nation, like a strong person, can afford to be gentle, firm, thoughtful, and restrained. It can afford to extend a helping hand to others. It is a weak nation, like a weak person that must behave with bluster and boasting and rashness and other signs of insecurity!” 💫 Jimmy Carter💫","2026-01-20T16:29:03.621Z"
"joycomes.bsky.social","To honour Martin Luther King today “We must condemn those who are perpetrating the violence, and not the individuals who engaged in the pursuit of their constitutional rights!”","2026-01-19T15:42:14.181Z"
"joycomes.bsky.social","Ryan Gosling 🇨🇦","2026-01-18T03:49:04.364Z"
"joycomes.bsky.social","🌟Bob Marley 💫Quote 🌟 “Get up get, Stand up Stand up for your RIGHT! Get up, Stand up Don’t give up the FIGHT!”","2026-01-16T18:10:25.276Z"
"joycomes.bsky.social","“COURGE starts with showing up and letting ourselves be seen.” ~Brene Brown~","2026-01-15T15:56:29.681Z"
"joycomes.bsky.social","“ The world will not be destroyed by those who do evil, but by those who watch and do nothing !” 💫 Albert Einstein💫","2026-01-14T18:05:32.020Z"
"joycomes.bsky.social","“Dictators cause the world’s worst problems: all the collapsed states, and all the devastated economies. All the vapid cases of corruption, grand theft, and plunder of the treasury are caused by dictators, leaving in their wake trails of wanton destruction. “ 💫 George Ayittey💫","2026-01-13T15:59:13.952Z"
"joycomes.bsky.social","“Gratitude transforms your mindset by shifting focus from what is missing to what is present, creating space for peace, joy, and a deeper connection.” 💫Gregg Braden💫","2026-01-06T17:25:53.213Z"
"joycomes.bsky.social","“Hope it’s better than fear. Optimism is better than despair . So let us be loving, hopeful, and optimistic.” 💫 Jack Layton💫","2026-01-03T16:27:02.994Z"
"joycomes.bsky.social","Canada is a beautiful representation of what it means to be free in a modern, compassionate, and diverse nation. We are united, strong and free. Wishing all Canadians a peaceful 2026.","2026-01-02T05:08:18.122Z"
"joycomes.bsky.social","HAPPY NEW YEAR 2026 To all my friends at blue sky 💫click sound on","2025-12-31T14:35:54.709Z"
"joycomes.bsky.social","“Cheers to a NEW Year and another chance for us to get it right.” 💫Oprah Winfrey💫","2025-12-30T03:56:11.950Z"
"joycomes.bsky.social","“PEACE cannot be kept by force. It can only be achieved by understanding.” 💫Albert Einstein💫","2025-12-26T16:19:08.992Z"
"joycomes.bsky.social","“HOPE is a start. But hope needs action to win victories.” ~David J Schwartz~","2025-12-19T03:32:48.506Z"
"joycomes.bsky.social","“HAPPINESS is a warm puppy.” ~Charles M Schulz~","2025-12-16T23:50:03.687Z"
"joycomes.bsky.social","“In a world darkened by ethnic conflicts that literally tear nations apart, Canada has stood for all of us as a model of how people of different cultures can live and work together in peace, prosperity, and respect.” ~Bill Clinton~","2025-12-14T17:15:01.103Z"
"joycomes.bsky.social","“Unexpected KINDNESS Is the most powerful, least costly, and most under rated agent of human change.” ~ Bob Kerry~","2025-12-12T18:08:31.603Z"
"joycomes.bsky.social","“The best way to not feel hopeless is to get up and do something.” ~Barack Obama~","2025-12-11T03:49:54.586Z"
"joycomes.bsky.social","“TRUTH will ultimately prevail, where pains is taken to bring it to light.” ~ George Washington~","2025-12-07T16:00:45.296Z"
"joycomes.bsky.social","“The JOY that you give to others is the JOY that comes back to you.” ~ John Greenleaf Whittier","2025-12-05T15:33:45.811Z"
"joycomes.bsky.social","“As we express our GRATITUDE , we must never forget that the highest appreciation is not to utter words, but to live by them.” ~ John F. Kennedy~","2025-12-02T16:31:16.210Z"
"joycomes.bsky.social","“When day comes, we step out of the shade aflame and unafraid. The new Dawn blooms as we free it. For there was always light, if only we’re brave enough to see it . If only we’re brave enough to be it.” ~Amanda Gorman The Hill we climb -2021","2025-11-30T18:52:43.227Z"
"joycomes.bsky.social","“Let the globe, if nothing else, say this is true: That even as we grieved, we grew. That even as we hurt, we hoped. That even as we tired, we tried.” ~Amanda Gorman","2025-11-27T21:58:05.713Z"
"joycomes.bsky.social","“Lead with KINDNESS, live with GRATITUDE.” ~ Bruce Green~","2025-11-27T15:57:53.656Z"
"joycomes.bsky.social","“True leaders understand that leadership is not about them, but about those they serve. It is not about exalting themselves, but about lifting others up.” ~Sheri L. Dew~","2025-11-22T21:44:13.977Z"
"joycomes.bsky.social","Thank You Bluesky Friends For 15K","2025-11-21T14:18:36.936Z"
"joycomes.bsky.social","“ When the power of love overcomes the love of power, the world will no PEACE.” ~Jimi Hendrix~","2025-11-19T16:05:32.329Z"
"joycomes.bsky.social","“A TRUE friend is hard to find and impossible to forget.” ~John Green~","2025-11-18T21:55:37.343Z"
"joycomes.bsky.social","“In prosperity, our friends know us; in adversity, we know our friends.” ~John Churton Collin’s~","2025-11-18T19:00:43.031Z"
"joycomes.bsky.social","“The greatness of a man is not in how much wealth he acquires, but in his integrity and his ability to affect those around him positively.” ~ Bob Marley~","2025-11-18T15:27:16.033Z"
"joycomes.bsky.social","“The TRUTH has no defence against a fool determined to believe a lie.” ~Mark Twain~","2025-11-14T17:55:33.019Z"
"joycomes.bsky.social","“DEMOCRACY is never guaranteed. Every generation must PRESERVE it, DEFEND it, and FIGHT FOR IT.” ~ president Joe Biden~","2025-11-10T16:56:22.972Z"
"joycomes.bsky.social","“The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.” ~Martin Luther King~","2025-11-08T16:42:44.066Z"
"joycomes.bsky.social","“LEARN from yesterday, LIVE for today, HOPE for tomorrow.” ~ Albert Einstein","2025-11-07T21:14:18.623Z"
"joycomes.bsky.social","“YOU must be the CHANGE you wish to see in the World.” ~ Mahatma Gandhi","2025-11-03T04:05:36.542Z"
"joycomes.bsky.social","“Life is not about waiting for the storm to pass, but dancing in the rain.” ~ Vivian Green * click sound on point 👇","2025-11-02T14:39:20.128Z"
"joycomes.bsky.social","“You never know how strong you are, until being strong is your only choice.” ~Bob Marley","2025-10-31T17:38:34.749Z"
"joycomes.bsky.social","“Life does not get easier or more forgiving, we get Stronger and more resilient.” ~Steve Maraboli","2025-10-31T16:25:23.306Z"
"joycomes.bsky.social","On Friendship: “NO one is too little or too much for anyone. We are the right measure in the heart of those who accept us, love us, and respect us.” Anonymous","2025-10-30T22:23:42.564Z"
"joycomes.bsky.social","“Being honest may not get you a lot of friends but it will always get you the right ones.” ~John Lennon","2025-10-30T21:56:00.883Z"
"joycomes.bsky.social","Professional Canadian Paul Nicklen captured the SPIRIT BEAR also known as Kermode bear a rare creamy coloured sub species of the black bear, found primarily in the coastal rainforest is a British Columbia.","2025-10-27T16:02:57.997Z"
"joycomes.bsky.social","“KINDNESS is a gift that costs nothing but means everything” “We RISE by lifting others” Both quotes by ~Judge Frank Caprio","2025-10-24T22:13:45.122Z"
"joycomes.bsky.social","Quote about KINDNESS “I have learned that people will forget what you said, people forget what you did, but people will never forget how you made them feel” ~ Maya Angelou","2025-10-24T21:57:40.123Z"
"joycomes.bsky.social","Good morning This ad is real Trump thinks it's fake From our neighbors in Canada It should be shown all over our Country","2025-10-24T13:49:08.242Z"
"joycomes.bsky.social","“Change will not come if we wait for some other person or some other time. We are the ones we’ve been waiting for. We are the change that we seek!” ~ Barack Obama","2025-10-21T21:58:13.539Z"
"joycomes.bsky.social","“We must accept finite Hope But never lose infinite HOPE“ ~Martin Luther King","2025-10-21T15:30:22.397Z"
"joycomes.bsky.social","“Darkness cannot drive out darkness; Only light can do that. Hate cannot drive out hate; Only love can do that.” ~Martin Luther King *1957","2025-10-21T02:59:23.457Z"
"joycomes.bsky.social","“The POWER of the people is much stronger than the people in power “ ~Wael Ghonim","2025-10-18T15:47:59.950Z"
"joycomes.bsky.social","“Kindness is loaning someone your strength instead of reminding them of their weakness .” ~ Andy Stanley","2025-10-15T14:41:26.958Z"
"joycomes.bsky.social","“ Fight for the things that you care about. But do it in a way that will lead others to join you.” Ruth Bader Ginsberg","2025-10-13T15:40:39.033Z"
"joycomes.bsky.social","Gratitude transforms your mindset by shifting focus from what is missing to what is present, creating space for peace, joy, and a deeper connection🧡","2025-10-08T14:46:55.258Z"
"joycomes.bsky.social","“Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.” Helen Keller","2025-10-08T02:37:04.832Z"
"joycomes.bsky.social","“DANCE like no one is watching SING like no one is listening LOVE like you’ve never been hurt and LIVE like it’s heaven on earth” ~ William W Purkey","2025-10-04T21:09:48.495Z"
"joycomes.bsky.social","In honour of Jane Goodall 03/04/1934-01/10/2025 Quote “ My favourite animal is a dog. Dogs offer an unconditional love and loyalty that I found rewarding.” She studied chimpanzees and admired them, however described them having both nice and horrible traits just like humans.","2025-10-03T16:07:05.193Z"
"joycomes.bsky.social","There is a Japanese legend that says: “If you feel like you’re losing everything, remember, trees lose their leaves every year, yet they stand tall and wait for better days to come”","2025-10-01T22:08:11.145Z"
"joycomes.bsky.social","The older you get the more you realize that life is all about quality, not quantity, and that the simple things in life are what matters most.","2025-09-30T20:48:55.161Z"
"joycomes.bsky.social","“ ENJOY the little things in life, for one day you may look back and realize they were the BIG things” ~ Robert Bault","2025-09-29T17:17:15.488Z"
"joycomes.bsky.social","“A truly GOOD person Will speak truth Act with truth and Stand for truth.” ~Suzy Kassem","2025-09-28T21:54:37.895Z"
"joycomes.bsky.social","“KINDNESS is the language that the deaf can hear and the blind can see” ~ Mark Twain","2025-09-27T22:06:39.610Z"
"joycomes.bsky.social","The world would be a nicer place if everyone had the ability to love as unconditionally as a dog!","2025-09-26T21:26:37.003Z"
"joycomes.bsky.social","“ Some people’s idea of free speech is that they are free to say what they like, but if anyone says anything back, that is an outrage” *~Sir Winston Churchill~","2025-09-25T21:50:13.725Z"
"joycomes.bsky.social","OPTIMISM is a Happiness magnet. If you stay positive, Good things and Good people will be drawn to you.","2025-09-17T15:18:54.952Z"
"joycomes.bsky.social","Don’t be impressed by money,power, degrees and looks. Be impressed by generosity, integrity, humility, and KINDNESS","2025-09-15T21:02:33.361Z"
"joycomes.bsky.social","Happiness doesn’t result from what we get, but from what we give 😊","2025-09-07T14:30:17.751Z"
"joycomes.bsky.social","Never be afraid to raise your voice for honesty, truth and compassion against injustice, lying, and greed.","2025-09-06T22:27:37.210Z"
"joycomes.bsky.social","Quote “To be truly radical is to make HOPE possible, rather than DESPAIR convincing .” ~Raymond Williams","2025-09-04T22:07:15.480Z"
"joycomes.bsky.social","Do not be afraid to Stand up for what you believe in, even if it means standing alone!😊","2025-09-02T15:28:29.616Z"
"joycomes.bsky.social","Hello September❣️ take time to sit and watch autumn leaves change colour 😊","2025-09-01T16:50:12.927Z"
"joycomes.bsky.social","FREEDOM!! The power to live as one wishes 😊","2025-08-31T16:35:37.523Z"
"joycomes.bsky.social","Armand Sarlangue Professional photographer His beautiful image he captured in Greenland 😊","2025-08-31T15:07:15.458Z"
"joycomes.bsky.social","Inhale : PEACE Exhale: STRESS this will release endorphins, and create a general feeling of well-being.","2025-08-29T15:16:48.652Z"
"joycomes.bsky.social","LIFE is about the JOURNEY Not the destination 😊","2025-08-28T15:12:55.626Z"
"joycomes.bsky.social","May every sunrise give you hope, may every sunset bring you peace.","2025-08-28T03:06:48.207Z"
"joycomes.bsky.social","Find joy in serenity: “ a state of calm and peacefulness”","2025-08-22T20:45:53.807Z"
"joycomes.bsky.social","Happiest is a state of mind: Focus on cherishing the present moment and appreciating its beauty😊","2025-08-19T15:12:54.390Z"
"joycomes.bsky.social","Never give up on your dreams instead, pursue them make them happen😊","2025-08-17T16:36:41.002Z"
"joycomes.bsky.social","Solitude can reduce stress and anxiety by providing a peaceful environment to unwind, meditate, or simply enjoy one’s own company😊","2025-08-13T22:06:19.347Z"
"joycomes.bsky.social","On this road called life….😊","2025-08-12T17:15:38.799Z"
"joycomes.bsky.social","Kindness is the greatest gift you can bestow on anyone! No act of kindness, no matter how small is ever wasted❣️","2025-08-11T14:57:21.672Z"
"joycomes.bsky.social","Enjoy life‘s peaceful moments😊","2025-08-09T15:45:26.427Z"
"joycomes.bsky.social","No dream is too big & no dreamer is too small 😊","2025-08-08T14:47:07.151Z"
"joycomes.bsky.social","We’ve all had a long hot dry summer with too many fires🥹 rain would be welcome😊","2025-08-05T15:41:01.276Z"
"joycomes.bsky.social","A secluded spot .. so peaceful in touch with nature away from the noise for me is blissful 😊","2025-08-04T15:15:08.061Z"
"joycomes.bsky.social","Enjoy your day😊","2025-08-02T14:57:07.145Z"
"joycomes.bsky.social","A watercolour painting of a peaceful morning😊 wishing you all a nice day🦋","2025-07-31T14:41:33.779Z"
"joycomes.bsky.social","When I think of paradise I think of a peaceful, beautiful place away from all the noise😊","2025-07-28T15:17:42.463Z"
"joycomes.bsky.social","Have a beautiful day😊","2025-07-27T14:35:20.236Z"
"joycomes.bsky.social","Enjoy the weekend","2025-07-26T19:06:19.454Z"
"joycomes.bsky.social","An artist rendition of two beautiful swans😊","2025-07-25T16:47:28.233Z"
"joycomes.bsky.social","A 3D painting 😊","2025-07-24T15:11:13.209Z"
"joycomes.bsky.social","An artist rendition of a split scene😊","2025-07-22T13:49:15.434Z"
"joycomes.bsky.social","A painting “ Below the Sea”","2025-07-21T14:04:24.453Z"
"joycomes.bsky.social","An islet is a tiny island 🏝️","2025-07-18T13:43:34.798Z"
"joycomes.bsky.social","The magical island of Santorini, Greece😊","2025-07-17T14:34:45.532Z"
"joycomes.bsky.social","Good morning enjoy a beautiful day😊","2025-07-16T13:36:27.154Z"
"joycomes.bsky.social","Welcome a new day Focus on what you have,not what you don’t have and can’t change.","2025-07-11T14:05:24.999Z"
"joycomes.bsky.social","Beautiful world, beautiful places to visit and enjoy","2025-07-09T14:26:11.170Z"
"joycomes.bsky.social","Riding a wave chasing the sun😊","2025-07-06T20:51:47.092Z"
"joycomes.bsky.social","This artist speaks to me. I love this painting😊","2025-07-05T03:11:11.523Z"
"joycomes.bsky.social","A beautiful drone photograph in HD","2025-07-05T03:10:32.610Z"
"joycomes.bsky.social","Message in a bottle have a beautiful day😊","2025-06-30T14:34:57.323Z"
"joycomes.bsky.social","Watercolour painting of a the canal in Venice, Italy","2025-06-29T17:43:38.636Z"
"joycomes.bsky.social","The beautiful Canadian Rockies, surrounded by an Alpine Lake and Spring wildflowers😊 truly magnificent","2025-06-28T14:55:34.671Z"
"joycomes.bsky.social","A beautiful sunset along the Amalfi coast in Italy😊","2025-06-28T02:18:26.261Z"
"joycomes.bsky.social","Reflections of the setting sun behind the spectacular Rocky Mountains in southeastern region of British Columbia","2025-06-26T20:46:37.645Z"
"joycomes.bsky.social","Sun set at the rainbow Mountains of ZHANGYE China draw photography with ultra HD","2025-06-26T20:37:34.722Z"
"joycomes.bsky.social","A watercolour painting of Lake Como Italy","2025-06-25T17:59:17.395Z"
"joycomes.bsky.social","A rugged coastline with beautiful, spring wildflowers blooming","2025-06-25T16:29:16.133Z"
"joycomes.bsky.social","Wildflowers in northern California’s national parks, deserts, and Alpine landscapes in springtime spectacular🤩","2025-06-24T14:51:03.782Z"
"joycomes.bsky.social","The reward of patience is sweet😊","2025-06-23T16:53:48.109Z"
"joycomes.bsky.social","The happiness of a dog is contagious their loyalty is unshakable and their love completely real.😊","2025-06-22T21:29:48.473Z"
"joycomes.bsky.social","An artist embracing his point of view “bliss”","2025-06-14T15:33:27.077Z"
"joycomes.bsky.social","A photograph: reflections of a peaceful morning","2025-06-12T16:46:45.570Z"
"joycomes.bsky.social","Italy Tuscany.. painting","2025-06-09T14:53:58.012Z"
"joycomes.bsky.social","Tuscany Italy 🇮🇹 in my top 5 favourite places to Visit😊","2025-06-08T21:54:25.084Z"
"joycomes.bsky.social","Enjoy the moments that take your breath away😊","2025-06-07T02:44:31.969Z"
"joycomes.bsky.social","The beauty of nature will bring joy and happiness to your day😊🌸","2025-06-06T17:28:37.886Z"
"joycomes.bsky.social","The beautiful Lupins are now in full bloom in June on our West Coast of beautiful British Columbia 😊","2025-06-05T15:50:05.035Z"
"joycomes.bsky.social","Twilight: the most vivid colors in a sunset only lasts 15-20 minutes. These are moments of pure 🤩 joy","2025-06-04T02:51:35.369Z"
"joycomes.bsky.social","When our world no longer makes sense to you.. take solace from the beauty of nature that surrounds us all😊🌸","2025-06-02T17:07:32.390Z"
"joycomes.bsky.social","Start of a new day","2025-05-20T14:21:14.858Z"
"joycomes.bsky.social","A peaceful tranquil way to start your new day😊","2025-05-18T14:21:02.155Z"
"joycomes.bsky.social","Our beautiful Pacific Northwest.","2025-05-17T14:59:38.651Z"
"joycomes.bsky.social","PORTOFINO is Italy’s jewel on the Linguian Sea. It’s on my top 5 of places I have visited and gone back to.","2025-04-30T16:20:16.273Z"
"joycomes.bsky.social","Canada stands with Ukraine","2025-03-01T16:03:03.652Z"
"joycomes.bsky.social","Eddie is my Joy","2025-02-28T15:08:20.907Z"
"joycomes.bsky.social","Australia’s pink robin ‼️","2025-02-17T16:49:56.984Z"
"joycomes.bsky.social","Canada 🇨🇦 is a wonderful place to live. We are a kind people and enjoy our diversities with 10 provinces. We are much safer and happier than the people of the US who have voted for a deranged criminal as their president. He is threatening Canada with his insanity. He thinks he can annex our country🤬","2025-01-07T21:13:00.417Z"
"joycomes.bsky.social","Red Japanese maple","2024-12-13T23:20:20.805Z"
"joycomes.bsky.social","Pretty bouquets of flowers.","2024-12-06T22:09:24.352Z"
"joycomes.bsky.social","This is an Anna hummingbird when the sun reflecting on it makes the red come alive and glimmer!","2024-11-28T16:45:48.531Z"
"joycomes.bsky.social","Good Morning everyone. Wishing our American friends south of us 🇨🇦 I live Vancouver BC a HAPPY joyful Thanksgiving. We have daily visits of humming birds all year round. This is a female Anna she will remain here all winter long. We have the humming bird feeders (sugar water) for them.","2024-11-28T16:41:49.715Z"
"joycomes.bsky.social","water fowl","2024-11-27T03:15:32.896Z"
"joycomes.bsky.social","colors of fall Vandusen gardens","2024-11-26T01:36:05.036Z"
"joycomes.bsky.social","spring arrivals","2024-11-25T22:19:19.741Z"
"joycomes.bsky.social","sanctuary birds","2024-11-25T22:15:40.459Z"
"joycomes.bsky.social","bees and lady bug","2024-11-25T22:13:28.004Z"
"joycomes.bsky.social","spring flowers","2024-11-25T22:06:10.397Z"
"joycomes.bsky.social","Butchard Gardens Victoria BC","2024-11-25T22:04:45.858Z"
"joycomes.bsky.social","chick-a-dee","2024-11-25T03:45:49.655Z"
"joycomes.bsky.social","white swan","2024-11-25T03:45:13.209Z"
"joycomes.bsky.social","blue heron","2024-11-25T03:38:41.052Z"
"joycomes.bsky.social","Chick-a-dee","2024-11-25T03:35:36.480Z"
"joycomes.bsky.social","Beautiful birds at the Bloedel Conservatory in Vancouver BC","2024-11-24T23:11:46.262Z"
"joycomes.bsky.social","Manderin duck, and white manderin duck at the Butterfly Pavillon Victoria BC","2024-11-24T23:04:55.526Z"
"joycomes.bsky.social","Frog on a lily pad","2024-11-24T21:00:08.761Z"
"joycomes.bsky.social","Vandusen Gardens - Vancouver Fall colours","2024-11-24T20:58:56.891Z"
"joycomes.bsky.social","Amalfi Italy a beautiful place place to visit","2024-11-24T20:57:18.495Z"
"joycomes.bsky.social","Porofino - Italy a favourite spot for me","2024-11-23T21:32:39.940Z"
"joycomes.bsky.social","Red Macaw (Bloedel conservatory)","2024-11-23T21:31:31.468Z"
"joycomes.bsky.social","Blue and Gold Macaw at Vancouver Bloedel Conservatory","2024-11-23T20:48:05.776Z"
"joycomes.bsky.social","Baby ducklings","2024-11-23T20:45:45.332Z"
"joycomes.bsky.social","Blue heron caught his meal","2024-11-23T05:20:29.960Z"
"joycomes.bsky.social","This sweet little hummingbird comes to our feeder daily😊","2024-11-20T18:21:21.500Z"
"joycomes.bsky.social","Eddie our mini schnauzer brings us JOY into our daily lives","2024-11-20T17:42:45.345Z"
