"user","post","date"
"jsudds35.bsky.social","Perhaps he got his """"Brainworm"""" from snorting coke off of dirty toiled seats... What a stupid fuck, why would he tell anyone about that??? He is unqualified and incompetent for this position, not that that matters as he professed fealty to his """"Dear Leader""""....","2026-02-17T10:56:49.042Z"
"jsudds35.bsky.social","Health Secretary Robert Kennedy said..he doesn't worry about germs that he use to SNORT COCAINE off of toilet SEATS..this is who we supposed to follow advice from..this Admiration is in the TOILET","2026-02-17T03:43:38.884Z"
"jsudds35.bsky.social","@bsky.app the people who wanted their own halftime show..are the ones who wanted their own water fountains..let that sink in","2026-02-13T23:26:33.303Z"
"jsudds35.bsky.social","@bsky.app maga folks mad because bad bunny hanged in Spanish..but have no problem with an Italian Opera singer singing in ITALIAN","2026-02-13T23:10:06.743Z"
"jsudds35.bsky.social","@bsky.app when Hispanics women get angry they're SPICY..White women are STRESSED, White men are at a breaking point, Black women are GHETTO,and Black men are VIOLENT ,,make it make sense especially when we go through more than any race","2026-02-13T07:19:35.222Z"
"jsudds35.bsky.social","If it was up to me I would dig a hole 20ft deep drop EVERY PEDOPHILE in fill it with cement and BURY all of them no matter what Political Party you belong to you're DESPICABLE TRASH","2026-02-12T01:38:13.767Z"
"jsudds35.bsky.social","These Old White dudes couldn't handle REAL WOMEN so they had to sneak to and island and have little girls ..and Yall think that makes you a BRO...Hell naw Real men PROTECT YOUNG GIRLS PERIOD ..you will always be PEDOPHILES the SCUM OF THE EARTH","2026-02-12T01:33:21.177Z"
"jsudds35.bsky.social","Pam Bondi ..you made yourself look like a complete idiot trying to be a smart ass and not acknowledging the women who were raped..kissing Orange PEDOPHILE ass won't help you in the end you'll both be in Prison","2026-02-12T01:25:56.319Z"
"jsudds35.bsky.social","If the SUPERBOWL halftime show wasn't WHITE enough for You ..Then go read the EPSTEIN FILES....just saying","2026-02-11T02:17:26.958Z"
"jsudds35.bsky.social","When you realize why white racists hate Blacks and try to destroy OUR History. without Blacks you wouldn't have. GPS, video games, TV, lights,Spaceships, cellphones, radio, color TV, telephone, windshield wipers, stop lights Refrigerated trucks, irons .slaves didn't get credit for inventions","2026-02-10T03:54:36.022Z"
"jsudds35.bsky.social","Orange Fascist claims nobody can understand what BAD Bunny was saying ..HELL we NEVER know what Melania said ..so now we're EVEN","2026-02-10T02:50:39.416Z"
"jsudds35.bsky.social","Let Bill and Hillary Clinton hearing be open to EVERYBODY..and then have TRUMP COME NEXT ..WE WANT to see for ourselves","2026-02-10T02:46:58.840Z"
"jsudds35.bsky.social","This Orange Fascist Admirations is throwing everything out there to Distract the American People from the Epstein files so you know this is gonna be the BIGGEST CRIME against little girls by OLD WHITE MEN IN HISTORY","2026-02-10T02:44:13.571Z"
"jsudds35.bsky.social","WATCH — @bekahdayyy.bsky.social: “I don’t understand how it’s not a bigger deal the movie about the First Lady was directed by this man — we’re seeing photo after photo of Brett Ratner on Epstein’s island… this admin is clearly stacked with co-conspirators/friends of Epstein.“","2026-02-01T05:08:45.223Z"
"jsudds35.bsky.social","MINNESOTA — Mom goes outside to warm up her car, ICE grabs her: """"Please, my car kids are all alone in the house!” So nothing has changed and Homan was just to put a new face on the cruelty, got it (H/T longtimehistory)","2026-01-30T02:43:45.103Z"
"jsudds35.bsky.social","@bsky.app So Tom Homan who took 50 Thousand dollars in an FBI STING is someone who we should TRUST ..I DON'T THINK SO","2026-01-30T06:08:08.908Z"
"jsudds35.bsky.social","@bsky.app This Orange Fascist and his Cronies are going at WARP SPEED to steal this election snatching voters information from BLUE STATES ,having ICE, FBI and Homeland Security at ALL VOTING PLACES ..Remember he put the Postmaster General in place to mess with mail in voting","2026-01-30T06:05:14.501Z"
"jsudds35.bsky.social","@bsky.app PEOPLE don't think this corrupt government will only target immigrants, they will target all of us no matter if you're an American or Immigrants you aren't one of them and they don't trust any of us","2026-01-30T06:01:08.484Z"
"jsudds35.bsky.social","Personally I hope Democrats stop ANY BILL OR MONIES to keep the GOVERNMENT OPEN ,because if they eliminate monies for DHS or ICE this Admirations will take money earmarked for anything else and use it to fund DHS and ICE. they have done it before and who will stop them","2026-01-30T05:57:33.729Z"
"jsudds35.bsky.social","@bsky.app So Rubio said Maduro was a Gangster and a threat to America is why he was taken..SO will Orange PEDOPHILE be next . He fits that description and more . But whet do that have to do with The VENEZUELA PEOPLES OIL ..you gotta make the lie make sense","2026-01-28T22:21:07.463Z"
"jsudds35.bsky.social","Isn't it time to unmask Trump's police force?? How many J6 cop tazers, and Proud Boys are hiding behind those masks? www.ms.now/opinion/dhs-...","2026-01-28T20:50:49.488Z"
"jsudds35.bsky.social","Miller should be charged with murder, and given a fair trial.","2026-01-28T20:33:02.568Z"
"jsudds35.bsky.social","Not only control, but its also about deflation from the EPSTEIN EPSTEIN EPSTEIN EPSTEIN files.","2026-01-28T21:01:49.203Z"
"jsudds35.bsky.social","They had no lawful reason to approach Alex in the first damn place! Alex wasn't crossing the border illegally & he wasn't interfering with a damn thing. You don't get to kill someone & claim qualified immunity if there was no legal justification to approach!! It's murder and it CANNOT be normalized!","2026-01-28T20:19:14.188Z"
"jsudds35.bsky.social","The only """"crackdown"""" needed is in Congress and the executive branch. Arrest them all and let them face justice they are denying us.","2026-01-28T20:45:07.779Z"
"jsudds35.bsky.social","SHITSHOW. Our money is going toward Elon’s fantasies, Jeff Bezos’ yachts and ICE hunting non-criminal human beings. No universal healthcare, veterans struggling, world scorn, measles rampant, air and water filthier by the day, on and on. Republicans really fucked up.","2026-01-28T19:53:40.060Z"
"jsudds35.bsky.social","So carrying a licensed to carry gun at a protest means you're a TERRORIST..THEN ALL THOSE NON LAW ENFORCEMENT PEOPLE AT THE CAPITOL WE'RE TERRORIST UNLESS THEY AARE CRIMINALS WORKING FOR DONNY LITTLE HANDS AND FEET","2026-01-28T21:14:52.071Z"
"jsudds35.bsky.social","I hope DEMOCRATS stand firm aand NOT sign that bill that would give ICE more money..SHUT THE GOVERNMENT DOWN","2026-01-28T21:09:20.297Z"
"jsudds35.bsky.social","So Orange PEDOPHILE claims the punk that sprayed Omar was STAGED ..OH so you think it was staged LIKE YOUR ASSINATION ATTEMPT..we still we ever see the guy who tried to so called ASSINATE You GO ON TRIAL ..NO BECAUSE IT WAS FAKE.","2026-01-28T21:07:19.903Z"
"jsudds35.bsky.social","I knew with certainty as I watched the assassination attempt was staged. Nothing that’s happened (or hasn’t happened) since has changed my mind. It served its purpose, occurring dramatically right before the election, and Trump won. It’s never mentioned now and that in itself is a dead giveaway.","2026-01-26T23:07:48.771Z"
"jsudds35.bsky.social","The one thing that is coming from this shit-pile of a prezidential administration is that it has really illustrated the lies and hypocrisy of Republicans. If one gave them the benefit of the doubt before, one need no longer do so.","2026-01-26T23:07:50.365Z"
"jsudds35.bsky.social","Orange Fascist is slowly getting rid of people from Spanish speaking Countries little by little so when November come he will easily keep the House and Senate and the ones left will be too scared to go Vote..and then we had 6 Democrats vote to let ICE HAVE FREE REIGN","2026-01-24T05:56:38.351Z"
"jsudds35.bsky.social","@bsky.app ANYONE who thinks that this Federal law enforcement is OK and what this little fascist dude is OK they way they're attacking AMERICANS. YOU'RE EITHER A RACIST OR A PERSON WHO HAS NO MORAL SOUL. and when it happens to you and it will ..you'll be ALONE","2026-01-24T03:17:20.654Z"
"jsudds35.bsky.social","💯💯💯","2026-01-24T02:25:11.110Z"
"jsudds35.bsky.social","Are we paying attention yet, America?","2026-01-24T01:30:08.490Z"
"jsudds35.bsky.social","www.youtube.com/shorts/XJA4c...","2026-01-24T02:26:33.193Z"
"jsudds35.bsky.social","It's NOT ABOUT IMMIGRANTS..IT'S ABOUT GETTING RID OF ENOUGH DEMOCRATS TO GIVE REPUBLICANS THE HOUSE AND SENATE AGAIN","2026-01-24T02:36:47.408Z"
"jsudds35.bsky.social","ORANGE FASCIST has ICE slowly removing Hispanics, Somalians, Haitians,Iranians and Nigerians surgically so when November's election comes he will have removing enough people along with ICE patrolling the Polls REPUBLICANS WILL RETAIN THEIR MAJORITY IN HOUSE AND SENATE","2026-01-24T02:34:17.211Z"
"jsudds35.bsky.social","In solidarity with today's ICE OUT OF MINNESOTA blackout, MinnMax is donating $1 to the Immigrant Law Center of Minnesota for every share of this Bluesky post for the next hour.","2026-01-23T16:01:32.204Z"
"jsudds35.bsky.social","The POTUS has made over $1.4 billion since January on a salary of $400k.","2026-01-22T22:55:48.177Z"
"jsudds35.bsky.social","ICE is taking kids off the streets now because they haven't caused the RIOTS Orange Fascist and Nazi Stephen 'big head' Miller wants to call Marshall Law . Anything to take focus off The EPSTEIN FILES..must be some lowlife shit in those files","2026-01-23T17:13:54.327Z"
"jsudds35.bsky.social","Jasmine Crockett lit REPUBLICANS ASS ON FIRE..and they know it along with Eric Swalwell ..but how come Jim Jordan didn't have a Televised EPSTEIN HEARING ..THATS THE WILDFIRE 🔥","2026-01-23T07:00:01.744Z"
"jsudds35.bsky.social","The Reason Black folks ain't out in droves protesting we know ICE will start shooting, which means We will fight them ,and NOW ORANGE FASCIST WILL INSTALL MARSHALL LAW for a RIOT THEY CAUSED","2026-01-23T06:54:08.907Z"
"jsudds35.bsky.social","@bsky.app PEOPLE KEEP YOUR EYES ON THE PRIZE..Orange Dude wants you to pay attention to. Minnesota, Greenland and ICE.. SO YOU FORGET ABOUT THE EPSTEIN FILES THATS THE POT OF GOLD","2026-01-23T06:50:26.959Z"
"jsudds35.bsky.social","@bsky.app America..we can't let the voice of a small childish wanna be king voice become louder than the millions of AMERICANS ..this Country belongs to ALL OF US NOT ONE SMALL LITTLE FOOL who's mad because he didn't get a NOBEL PRIZE","2026-01-20T22:32:03.528Z"
"jsudds35.bsky.social","@bsky.app we have a LOT OF AMERICANS living in a STOCKHOLM SYNDROME SITUATION while the Rest of us try to DEBRIEF THEM .","2026-01-20T21:12:10.491Z"
"jsudds35.bsky.social","So Orange Fascist is deporting immigrants of Black and Brown people..But we have Europeans who also has NOT been deported..I ask HOW COME ICE AIN'T DEPORTING THEM im sure they have some criminals too","2026-01-20T20:51:44.228Z"
"jsudds35.bsky.social","If Merit Garland had done his DAMN JOB ..we wouldn't be going through this mess ..translated MERIT GARLAND FUCKED UP BAD","2026-01-17T01:33:46.448Z"
"jsudds35.bsky.social","Trump will do and say anything to keep Epstein out of the news!!! Trump murdering innocent people here at home and abroad… Whatever is in these Files about Trump must be very Disturbing!!!","2026-01-17T00:17:31.289Z"
"jsudds35.bsky.social","And I’ll say it again, Seth, these are not cops or real Feds! They are Proud Boys, Oath Keepers and III%’s who’ve been given guns, a badge and a mission to cause as much chaos and mayhem as possible so that Mango Mussolini can implement Martial Law and engage the Insurrection Act!","2026-01-15T20:40:35.998Z"
"jsudds35.bsky.social","It would be fun if normal people volunteered or signed up for ICE so they could flood the streets with masked good guys who could help innocent people and give pushback to ICE with immunity.","2026-01-15T22:33:26.318Z"
"jsudds35.bsky.social","That immunity is granted by the current administration, when we get rid of them we will remember the thugs..","2026-01-16T02:18:10.546Z"
"jsudds35.bsky.social","Orange dude is taking away Food, Jobs ,Housings, Food Stamps and locking Americans up to make it easy to take over","2026-01-16T00:40:36.821Z"
"jsudds35.bsky.social","This DUMBASS SECRETARY of AGRICULTURE said Americans can eat off $3 ..WHERE!!!!! these asshole thinks we're STUPID and she said if eggs are too high. BUY A CHICKEN..while they eat STEAKS AND LOBSTERS","2026-01-16T00:38:08.339Z"
"jsudds35.bsky.social","So let's get this straight..ORANGE DUDE wants to send military strikes to Iran to HELP PROTESTERS,,But is willing to shoot PROTESTERS IN AMERICA..that shows he don't give a DAMN ABOUT AMERICANS","2026-01-13T07:18:33.683Z"
"jsudds35.bsky.social","Are we AMERICANS suppose to WAIT until November to take America BACK ..but then it will i guarantee will BE TOO LATE ,Orange dude is ACCELERATING HIS TAKEOVER of AMERICA..NOVEMBER WE WILL BE DOOMED","2026-01-13T06:29:29.847Z"
"jsudds35.bsky.social","I don't disagree with this, and would simply add that the reason he feels he can accelerate in this way is because for what he's planning all he really needs is control of the United States Armed Forces and the money for his domestic interagency army—ICE, CBP, BOP, &c—the Big Beautiful Bill unlocked","2026-01-12T08:07:49.879Z"
"jsudds35.bsky.social","youtube.com/shorts/5Lf0X...","2026-01-13T05:26:25.770Z"
"jsudds35.bsky.social","@bsky.app America is NOT SAFE until we END this ADMIRATION, THIS IS OUR COUNTRY we just can't let this keep happening","2026-01-13T05:33:23.870Z"
"jsudds35.bsky.social","Anyone who still thinks this Orange Fascist cares about Americans are TRAITORS ,he's out to starve ,break ,kill and jail Anyone who oppose him ..the time to STOP him and his Admiration was in January","2026-01-13T05:30:38.933Z"
"jsudds35.bsky.social","UNTIL ICE AGENTS CAME THOSE CITIES WERE OK ..THEN THEY COME AND ALL HELL BREAKS OUT..MAYBE THEY NEED TO PROTECT MAR A LAGO THATS WHERE THEY'RE NEEDED","2026-01-09T17:15:47.642Z"
"jsudds35.bsky.social","JD Vance..I think that mascara is destroying your brain or what's left of it..you couldn't pick a dumber Admirations if you tried..my 5yr old Grandbaby could do a way better job than everyone of you","2026-01-08T22:28:47.858Z"
"jsudds35.bsky.social","You can't make this s### up..Orange Clown said ..' you can't trust what your eyes see' so we didn't see ICE agents shoot Renee Nicole Good when she was driving away and die ..THAT IS THE DUMBEST THING I'VE EVER HEARD","2026-01-08T22:23:58.903Z"
"jsudds35.bsky.social","So far there has been not one killing in Minnesota this Year ...UNTIL TODAY'S WHEN ICE MURDERED RENEE NICHOLE GOOD ..RIP","2026-01-08T07:24:24.479Z"
"jsudds35.bsky.social","I made a mistake in an earlier post ..I said the Victims name was Nichole Good when her name is actually RENEE GOOD ...Sorry for the Mistake","2026-01-08T07:07:22.153Z"
"jsudds35.bsky.social","Kristie Nohm is full of shit..she call the VICTIM a terrorist..KRISTIE is busy dressing up in custom made outfits to look good on camera ..I hope when Democrats take over . Each and everyone of you be put in PRISON ..THAT WOMAN NICHOLE GOOD WAS MURDERED PLAIN AND SIMPLE WE ALL SAW IT","2026-01-08T06:43:49.954Z"
"jsudds35.bsky.social","These ICE AGENTS are killing Americans and will NEVER BE HELD ACCOUNTABLE..THIS IS BULLSHIT","2026-01-08T06:29:20.149Z"
"jsudds35.bsky.social","ICE agents just MURDERED an American citizen claiming he feared for his life..THAT WAS A LIE and then wouldn't let a Physician attend to her. Kristie Nohm and Orange dude..YOU HAVE BLOOD ON YOUR HANDS","2026-01-08T06:27:32.350Z"
"jsudds35.bsky.social","@bsky.app Since Orange Criminal wants to eliminate funds to California, Illinois, Nevada,and New York..how about those States stop sending Money to the Federal Government..tit for tat","2026-01-07T06:52:38.691Z"
"jsudds35.bsky.social","@bsky.app So Minnesota child care service has been accused' Somalia People ' ..how come NOBODY HAS BEEN CHARGED..MAGA'S way of DEFUNDING money from Black Families...TRUTH..AIN'T NO DAMN FRAUD","2026-01-07T06:49:10.614Z"
"jsudds35.bsky.social","@bsky.app when Elon Musk claimed to have found BILLIONS in Fraud..How come NOBODY'S BEEN ARRESTED AND CHARGED...","2026-01-07T06:45:59.727Z"
"jsudds35.bsky.social","So Orange dude is going to run the Country of Venezuela headed but 4 of the DUMBEST fools ..Miller Hegseth, Rubio and Vance anything to deflect from Epstein..it won't work our attention span ain't that short","2026-01-07T05:36:08.386Z"
"jsudds35.bsky.social","So let me get this straight..Orange Criminal snatch a Criminal from Venezuela who has done pretty much what he's done..make that make sense","2026-01-07T05:30:59.524Z"
"jsudds35.bsky.social","If Orange Fascist is interested in getting rid of leader who's Country is responsible for DRUGS here ..CHINA'S President is still out there ..bet you won't go after him and why did you PARDONED Nicaragua President..I guess El Chapo is next to get PARDONED","2026-01-05T05:11:47.610Z"
"jsudds35.bsky.social","This greedy fascist Orange thief kidnapped the Venezuela Leader not for non of the BS he said ..HE TOOK CONTROL OF THEIR OIL AND WATCH HOW RICH THIS CORRUPT ASSHOLE AND HIS BUDDIES MAKE","2026-01-05T05:05:41.929Z"
"jsudds35.bsky.social","@bsky.app how can this Orange Fascist tell another Country they'll be retaliation if the harm PEACEFUL PROTESTERS..HEiLL ORANGE DUDE ICE DIDN'T GET THE MEMO","2026-01-02T19:33:21.494Z"
"jsudds35.bsky.social","So this Orange pedophile smelly diaper wearing criminal let the Jan 6 insurrectionist get pardons but will be deporting law abiding immigrants out the country. So CRIME DOES PAY..GTFOH","2026-01-02T19:15:12.730Z"
"jsudds35.bsky.social","This IGNORANT ORANGE FOOL just couldn't resist himself when talking to kids on Christmas day telling them he won in 2002 and talking Politics to kids ..he the most IGNORANT SCUM we probably will EVER have in the Oval Office..how PATHETIC LITTLE BOY","2025-12-26T20:02:38.429Z"
"jsudds35.bsky.social","What we’re being told is that a guy who is an adjudicated rapist, who was credibly accused of sexual assault by dozens of women, who paid hush money to a porn star, who cheated on all his wives, who is mentioned hundreds of times in the Epstein files, couldn’t possibly be a sexual predator.","2025-12-24T05:12:07.927Z"
"jsudds35.bsky.social","This is the most CORRUPT DOJ in the History of the United States they are a DISGRACE TO THE AMERICAN PEOPLE we all know they don't work for AMERICANS they are Orange dudes personal justice Department along with the FAKE FBI, CIA and ICE","2025-12-24T07:08:18.164Z"
"jsudds35.bsky.social","@bsky.app First it was illegal immigrants then Federal workers then Law Firms then ALL LAW AGENCIES NOW ITS NEWS MEDIA TURNING THEM INTO STATE RUN ..ITS NO JOKE PEOPLE..WAKE UP TOMORROW MIGHT BE TOOO LATE","2025-12-23T05:55:09.276Z"
"jsudds35.bsky.social","So Orange dude wants to be like PUTIN . going after Venezuela is the same . He's after their OIL POINT BLANK AND THEIR COUNTRY","2025-12-23T05:50:38.275Z"
"jsudds35.bsky.social","So Orange dude says he's going after the Venezuela Leader because of FENTANYL but let the President of NICARAGUA AND WE KNOW FENTANYL COMES FROM CHINA ..ARE WE GOING AFTER THEM..HELL NAW","2025-12-23T05:48:35.271Z"
"jsudds35.bsky.social","This President Cabinet and staff ALL NEEDS TO BE IN PRISON ITS A DAMN SHAME HOW THEY ARE LOOTING GOVERNMENT TAXPAYERS MONEY SO THEY CAN LAVISH IN LUXURY WHILE WE GET NOTHING","2025-12-23T05:28:34.853Z"
"jsudds35.bsky.social","These Orange dude staff is spending taxpayer monies on all type of shit Kash Patel spent all this money on an ARMORED BMW ..Don't Jr gets a 90 million dollars Government contract they are out front STEALING TAXPAYER MONEY IT'S DISGUSTING","2025-12-23T05:25:51.638Z"
"jsudds35.bsky.social","@bsky.app Orange Dude has released more CONVICTED FELONS THAN ANY PRESIDENT IN THE HISTORY OF THE UNITED STATES","2025-12-18T06:03:53.398Z"
"jsudds35.bsky.social","@bsky.app let ORANGE DUDE tell you..everybody needs to be walking around armed with crime happening EVERYWHERE we suppose to see dead bodies all over American streets","2025-12-18T05:59:04.151Z"
"jsudds35.bsky.social","@bsky.app ORANGE DUDE LOOKED LIKE A DERANGED IDIOT TRYING TO BLAME BIDEN FOR HIS FAILURE..THIS IS ON YOU ORANGE DUDE","2025-12-18T05:56:44.442Z"
"jsudds35.bsky.social","@bsky.app those criminals roaming the United States are the INSURRECTIONIST ORANGE DUDE PARDONED AND THE former President of Nicaragua along with The Bitcoin dude ..the whole President and Cabinet needs to be in PRISON for TREASONOUS ACTS to the United States..including the SCOTUS","2025-12-18T05:55:19.482Z"
"jsudds35.bsky.social","@bsky.app This Clown who's running our country..LIED ALL THROUGH THIS DUMBASS SPEECH..The US is failing because NOBODY FROM THE President and him ENTIRE CABINET HAVE NO IDEA OF WHAT THE HELL THEY ARE DOING EXCEPT GETTIN THEM AND ALL THEIR FRIENDS RICH AND DAMN THE CITIZENS OF THE UNITED STATES.","2025-12-18T05:49:44.027Z"
"jsudds35.bsky.social","When Orange dude say..everybody has been asking me...HE'S LYING ain't NOBODY ASKED YOU A DAMN THING ..QUIT LYING","2025-12-08T23:51:42.706Z"
"jsudds35.bsky.social","This whole Admirations is the DUMBEST, UNEDUCATED CABINET EVER..if you gave them the US CONSTITUTION TEST ...THEY PROBABLY COULDN'T GET 3 RIGHT ANSWERS .DUMB ,DUMBER AND DUMBEST","2025-12-08T23:49:11.073Z"
"jsudds35.bsky.social","Pete ' the ALCOHOLIC ' Hethseth said if he was in the room ..he would have ordered the kill all of them order..LYING ASS DUDE..YOU'RE THE ONLY ONE WHO ORDERED THE KILLING..YOU'RE A MURDERER","2025-12-08T23:45:45.544Z"
"jsudds35.bsky.social","TAKING TIME OFF FROM POSTING HOPE EVERYONE ENJOY THE THANKSGIVING HOLIDAY WITH FRIENDS AND FAMILY..AND WILL BE WATCHING....DA BEARS MONSTERS OF THE MIDWAY ..ENJOY!!!!","2025-11-26T06:57:00.133Z"
"jsudds35.bsky.social","BRING ME SOLO looking ass.","2025-11-26T05:21:50.531Z"
"jsudds35.bsky.social","What took so damn long?","2025-11-26T06:29:12.080Z"
"jsudds35.bsky.social","@bsky.app So Kristi Nome and Kash Patel out at Lego Land sporting PINK GLASSES ..first WHY ARE THEY TOGETHER and Second WHY IN THE HELL ARE THEY WASTING TAXPAYERS MONEY AGAIN AND NOT PROTECTING OUR COUNTRY","2025-11-26T06:42:13.981Z"
"jsudds35.bsky.social","This snotty nose Pete the ALCOHOLIC wants to Court Martial Senator Mark Kelly a 20 Year Vet a Pilot and Astronaut..Pete YOU AIN'T IN THE SAME LEAGUE YOU DID DESK DUTY .A PENCIL WAS YOUR ONLY WEAPON","2025-11-26T06:32:26.922Z"
"jsudds35.bsky.social","Orange dude crime family has gotten richer,, his Cabinet member have gotten richer, Billionaires has gotten richer..but Americans have gotten POORER..TIME TO LOCK UP AND DRAIN THE SWAMP","2025-11-26T06:28:40.872Z"
"jsudds35.bsky.social","@bsky.app We have a DERANGED Leader in the White House who called for DEATH to Former Military and now House and Senate Officials who rightfully said Military personnel shouldn't follow ILLEGAL ORDERS from Orange face this is DISGUSTING","2025-11-21T06:32:42.469Z"
"jsudds35.bsky.social","@thepeople61.bsky.social Maga you're finally realizing ORANGE DUDE only cares about Billionaires NOT YOU every penny he took from middle class and poor was to enrich RICH FOLKS. HE NEVER CARED ABOUT ANY OF AMERICANS","2025-11-18T23:41:47.187Z"
"jsudds35.bsky.social","@bsky.app Orange Dude using the Presidency not to help Americans..but the Trump Crime Family all he does is TARIFFS, GOLF, LYE,FIRE THE BEST LAW ENFORCEMENT PEOPLE and ENRICH HIMSELF AT THE EXPENCE OF AMERICANS","2025-11-18T07:37:51.193Z"
