"user","post","date"
"kaini4kreation2.bsky.social","Texas is a """"rigged"""" state not a """"red"""" state!","2026-02-18T08:43:36.068Z"
"kaini4kreation2.bsky.social","bsky.app/profile/star... Taco! Taco! Taco! Taco! Taco! Free Tacos and Free Promises! Collect all your free promises while supplies last! No promises will be kept in stock for long! Get while they last! ( no refunds )","2026-02-18T08:42:16.592Z"
"kaini4kreation2.bsky.social","@starlinkdidit.bsky.social bsky.app/profile/star... We are the only country doing nothing about this. The rest of the world is already prosecuting and making arrests. They are removing their criminals while ours sit in the white sex trafficking house.","2026-02-17T20:14:09.204Z"
"kaini4kreation2.bsky.social","bsky.app/profile/star... Well! Imagine that... Could it be!? Could all of them be on the list? Answer: YES! THEY ARE ALL ON THE LIST! Here are the criminals, hiding in plain sight.... Protected by the chief predator himself and his crooked AG SCAM BONDI & THEIR TINY LITTLE MINIONS....","2026-02-17T20:08:34.559Z"
"kaini4kreation2.bsky.social","bsky.app/profile/star... Not one but TWO supreme court justices! Two! Depose these Criminals!","2026-02-16T20:09:25.884Z"
"kaini4kreation2.bsky.social","bsky.app/profile/star... I repeat! There is nothing wrong with your T.V. set! But there ARE MILLIONS OF THINGS WRONG WITH YOU GOVERNMENT AND PRESIDENT! Go to #mobilize.us to see how to make a change!","2026-02-16T19:37:28.026Z"
"kaini4kreation2.bsky.social","And it begins - the #EpsteinFiles Analysis.","2026-02-15T18:05:43.630Z"
"kaini4kreation2.bsky.social","Read and share all over..he nails it","2026-02-16T15:58:18.755Z"
"kaini4kreation2.bsky.social","bsky.app/profile/star... Wanna make America great again!? Hold these insells accountable! Repugnant-cons are incapable of governing. Vote them out! If you want to make a difference, go to #mobilize.us to see how...","2026-02-16T17:02:55.785Z"
"kaini4kreation2.bsky.social","bsky.app/profile/star... BLUE MAGA = MAGA! """"Can't spell """"hatred"""" without """"red hat"""". Beware of Plants! If their divisive CUT THE PLANT DOWN!","2026-02-16T17:00:24.921Z"
"kaini4kreation2.bsky.social","Say their names!!!! Never forget! (Audio)","2026-02-16T16:55:09.770Z"
"kaini4kreation2.bsky.social","#congressman #dunn #florida #217 #tie","2026-02-15T19:57:57.854Z"
"kaini4kreation2.bsky.social","🤮🤮🤮","2026-02-15T22:07:21.685Z"
"kaini4kreation2.bsky.social","🤬🤬🤬🤬 He should have been prosecuted!","2026-02-16T00:16:50.248Z"
"kaini4kreation2.bsky.social","💩💩💩💩💩🌮🌮🌮🌮🌮🌮 TREASON","2026-02-16T13:09:19.467Z"
"kaini4kreation2.bsky.social","👍👍👍👍👍👍👍👍👍👍👍👍","2026-02-16T13:11:45.963Z"
"kaini4kreation2.bsky.social","bsky.app/profile/star... HAPPY PRESIDENT'S DAY! """"HE WHO SAVES HIS COUNTRY DOES NOT VIOLATE THE LAW"""" -Donadolf Titler 🙏 save us 🙏","2026-02-16T16:13:08.908Z"
"kaini4kreation2.bsky.social","bsky.app/profile/star... Options for the Ladies of ICE/CBP;","2026-02-16T16:10:26.815Z"
"kaini4kreation2.bsky.social","If this country was truly “pro-life,” we would have Medicare for All, a Green New Deal, gun reform, universal child care, and a living wage. The right-wing agenda isn’t about “life.” It’s about control.","2026-02-15T23:00:08.206494Z"
"kaini4kreation2.bsky.social","We have so much blood on our hands. Innocence lost. 19 sentenced to death by hanging. fdt!","2026-02-16T08:33:06.062Z"
