"user","post","date"
"kane-halfelvin.bsky.social","You know I don't really want to be governed by a bunch of pedos.","2026-02-09T16:50:27.264Z"
"kane-halfelvin.bsky.social","Don't worry Donald, your legacy is secure. You will be known forever after as 'The Pedo President.'","2026-02-09T16:35:19.670Z"
"kane-halfelvin.bsky.social","If the USA was a Christian nation, we wouldn't have a pedo President.","2026-02-07T22:09:57.875Z"
"kane-halfelvin.bsky.social","Damn, and I thought Reagan bankrupted the country. SMH","2026-01-29T22:36:03.853Z"
"kane-halfelvin.bsky.social","A rat is most dangerous when it is cornered. That does not mean back-off. It means kill the rat quickly.","2026-01-20T17:38:10.610Z"
"kane-halfelvin.bsky.social","Trump has the talent of taking a silk purse and turning it into a sow's ear.","2026-01-11T18:20:22.598Z"
"kane-halfelvin.bsky.social","This is the winter of our discontent.","2026-01-10T18:58:58.157Z"
"kane-halfelvin.bsky.social","Not my circus, not my monkey.","2026-01-10T00:41:17.574Z"
"kane-halfelvin.bsky.social","You know, I would feel better if 2026 wasn't being run by clowns.","2026-01-06T03:12:39.162Z"
"kane-halfelvin.bsky.social","2026: and the best thing we can look forward to is TACO.","2026-01-02T18:45:13.193Z"
"kane-halfelvin.bsky.social","Thank you, Sir. Please Sir, may I have another?","2025-12-14T23:38:55.391Z"
"kane-halfelvin.bsky.social","""""I'm back in the U.S.S.R You don't know how lucky you are, boy Back in the U.S.S.R""""","2025-12-12T02:19:45.432Z"
"kane-halfelvin.bsky.social","$1 million or $5 million is a lot of money for peons, but it is chump change for the 1%, so... Tell me Trump is a cheap whore without saying cheap whore.","2025-12-09T23:05:58.342Z"
"kane-halfelvin.bsky.social","Trump has TDS.","2025-11-29T01:05:16.053Z"
"kane-halfelvin.bsky.social","Trump surrendered to the Taliban. FAFO.","2025-11-27T16:39:19.708Z"
"kane-halfelvin.bsky.social","Let's say the quiet part out loud: Now that Republicans are in power, they don't need Trump anymore. In fact, Trump has become a liability for the party.","2025-11-26T19:51:07.695Z"
"kane-halfelvin.bsky.social","Speaking of illegal orders: The Secretary of DEFENSE stated that he will 'fight and die for his Confederate heritage, making him a traitor to the Union and his orders illegal. The only reason the military follows Trump and Hegseth is half the military wants a race war. The South shall rise again.","2025-11-26T16:14:48.856Z"
"kane-halfelvin.bsky.social","Speaking of illegal orders: The President of the United States is a running-dog for Putin, Netanyahu and MBS. It is not legal for the President to take orders from any foreign leader. That is the highest of 'high crimes.' That makes every word out of his mouth illegal.","2025-11-26T16:02:59.221Z"
"kane-halfelvin.bsky.social","PIGGY TACO; get em while they're hot.","2025-11-21T18:35:30.402Z"
"kane-halfelvin.bsky.social","Frogs in slowly heating water is a popular allegory for being unaware that you are being destroyed in an incrementally worsening situation. But I'm drawing hope from the past week that we frogs may be a bit more aware of our situation than those allegorical frogs. #Hop","2025-10-20T19:53:25.083Z"
"kane-halfelvin.bsky.social","The government is shut down, but Trump is still spending money?","2025-10-15T18:13:07.297Z"
"kane-halfelvin.bsky.social","White Supremists are butt-hurt that Portland is stealing their mascot.","2025-10-12T15:24:07.738Z"
"kane-halfelvin.bsky.social","The reason Trump is trying to kill the Epstein files is King Charles promised Trump a Knighthood if Epstein and Prince Harry are never mentioned again.","2025-10-09T13:38:08.101Z"
"kane-halfelvin.bsky.social","The Racists are coming! The Racists are coming!","2025-10-07T14:54:34.095Z"
"kane-halfelvin.bsky.social","Well, here's another fine mess you've gotten me into.","2025-10-06T21:14:26.178Z"
"kane-halfelvin.bsky.social","I think that the next Trump portrayed should be velvet.","2025-10-02T15:05:56.198Z"
"kane-halfelvin.bsky.social","Hegseth's 'warrior ethos' is a 'Rebel yell.'","2025-09-30T16:31:45.961Z"
"kane-halfelvin.bsky.social","Now Hegseth is repeating it: Losers and suckers.","2025-09-30T15:44:08.573Z"
"kane-halfelvin.bsky.social","Sound Up 🔊 ( ht: @stanrezaee.bsky.social )","2025-09-29T22:54:19.571Z"
"kane-halfelvin.bsky.social","Conservatives: Liberals are killing us. Conservatives should be carefull what they wish for.","2025-09-16T13:39:31.839Z"
"kane-halfelvin.bsky.social","Jesus Christ never led a crusade.","2025-09-15T17:37:27.192Z"
"kane-halfelvin.bsky.social","You know, if you take off your shoe and pound the podium, you get better results.","2025-09-13T15:22:14.031Z"
"kane-halfelvin.bsky.social","Tyler Robertson is a Mormon, which means he won't find Jesus; he becomes Jesus.","2025-09-13T15:06:34.618Z"
"kane-halfelvin.bsky.social","The only people shooting at conservatives are other conservatives.","2025-09-12T16:24:28.848Z"
"kane-halfelvin.bsky.social","Thoughts and prayers.","2025-09-11T17:50:18.907Z"
"kane-halfelvin.bsky.social","Cring thought of the day: waking up next to Donald Trump.","2025-09-09T21:43:48.234Z"
"kane-halfelvin.bsky.social","Compared to Trump, Frank Zappa had class.","2025-09-01T19:41:37.230Z"
"kane-halfelvin.bsky.social","A couple of months ago, the Navy dishonored civil rights hero Harvey Milk by removing his name from a ship. Now, the Air Force is dishonoring itself by celebrating a domestic terrorist called Ashli Babbitt.","2025-08-28T20:37:36.498Z"
"kane-halfelvin.bsky.social","Trump is a slow-motion train wreak: impossible to look away from and it goes on forever.","2025-08-23T14:50:53.902Z"
"kane-halfelvin.bsky.social","At least Mussolini could make the trains arrive on time.","2025-08-18T21:11:58.309Z"
"kane-halfelvin.bsky.social","So, does the National Guard in DC have a quota?","2025-08-18T15:48:17.775Z"
"kane-halfelvin.bsky.social","In the upcoming race war, AI's will play a part. Especially if you train your AI to be raceist. Musk is raceist.","2025-08-17T15:09:02.204Z"
"kane-halfelvin.bsky.social","""""I'd be safe and warm if I was in LA."""" - California Dreaming.","2025-08-15T23:03:49.137Z"
"kane-halfelvin.bsky.social","The military on the National Mall should set tourism on fire.","2025-08-15T12:36:12.320Z"
"kane-halfelvin.bsky.social","My God, what a time to be alive.","2025-08-11T22:07:10.104Z"
