"user","post","date"
"kathy78.bsky.social","Read and share all over..he nails it","2026-02-16T15:58:18.755Z"
"kathy78.bsky.social","The DOJ is hiding Epstein files So we @democracydefendersfund.org sued under FOIA & are moving for summary judgment It's a democracy 2 step: Art. I Congress leans in while we step forward in Art. III courts Explained on @ms.now 👇","2026-02-17T02:21:43.816Z"
"kathy78.bsky.social","Nobody told him he couldn’t do it. So. He did","2026-02-14T18:54:53.345Z"
"kathy78.bsky.social","It’s a beautiful day in Minnesota. Spring is coming, people.","2026-02-14T22:29:13.997Z"
"kathy78.bsky.social","ABC: Do you still have confidence in Pam Bondi as AG? MASSIE: I don't think Pam Bondi has confidence in Pam Bondi. She wasn't confident enough to engage in anything but name calling in a hearing. So no, I don't. She was responsible for the document production.","2026-02-15T14:57:41.290Z"
"kathy78.bsky.social","So the United States will only use empty warehouses to house people it wants to terrorize, not people it wants to shelter from the cold. We really are not a very good-natured country.","2026-02-15T19:24:29.685Z"
"kathy78.bsky.social","Russia Ron says we’re not allowed to learn about our rights.","2026-02-13T06:53:00.155Z"
"kathy78.bsky.social","Same, Lady Gaga. Same.","2026-02-13T17:05:13.491Z"
"kathy78.bsky.social","Time to look at how much fraud happened in Ohio during JD’s time as Senator!","2026-02-06T02:55:49.879Z"
"kathy78.bsky.social","This is Bogie. This rope is his very favorite toy because it makes his tiny human smile too. 13/10 (TT: _chelsea_brown_4)","2026-02-12T22:28:49.909Z"
"kathy78.bsky.social","Yikes — Epstein showing appreciation for @GovBillLee pal Betsy Devos making it harder to report sexual abuse on campuses","2026-02-12T14:33:36.300Z"
"kathy78.bsky.social","JP Cooney has the backing of Jack Smith. www.nytimes.com/2026/02/11/u...","2026-02-11T18:03:45.994Z"
"kathy78.bsky.social","Enten: """"If Canadians really don't like Donald Trump, how do Americans feel about Canada? Well, they actually like Canada! ... even among Republicans, it's +30 ... Canada -- more popular than Donald Trump in Trump's own country""""","2026-02-11T14:53:21.870Z"
"kathy78.bsky.social","It’s not too late for states and Congress to stop Trump from subverting the midterms. I recently explained three things states can do and four things Congress should insist on in order to protect the 2026 midterm elections. www.democracydocket.com/opinion/its-...","2026-02-11T02:28:57.863Z"
"kathy78.bsky.social","If you find yourself driving on I-95 near Philadelphia, look up! #epstein #billboard","2026-02-10T19:42:48.719Z"
"kathy78.bsky.social","WATCH — @balint.house.gov on the unredacted Epstein files: “There’s a bunch of sick fucks… so many people knew…. Trump never kicked Epstein out of Mar-A-Lago. That’s a lie.” (From @dropsitenews.com )","2026-02-10T06:10:01.952Z"
"kathy78.bsky.social","An American in Milan apologizes to the world","2026-02-09T11:54:42.604Z"
"kathy78.bsky.social","If all these rich men """"regret"""" their time with Epstein then why didn't they announce prior to the release of the files that their names would be part of the collection? Why didn't they self-report? The answer is they are not sorry and have no regret. They are sorry and regret they got caught.","2026-02-08T18:16:42.531Z"
"kathy78.bsky.social","Agree 💯 With Bernie ! Here's Another Guy Named """"Hunter"""", Chump Can't Handle.......","2026-02-09T10:55:43.185Z"
"kathy78.bsky.social","The people saying Israel is not technically doing a genocide are the same people saying Epstein and his buddies were not technically pedophiles.","2026-02-07T15:39:27.669Z"
"kathy78.bsky.social","Oh my word! This is amazing. It’s the best history of Lutnick and Epstein I’ve seen!! Share widely!!","2026-02-07T15:33:21.067Z"
"kathy78.bsky.social","A federal court cleared way for us @democracydefendersfund.org to depose Elon Musk over the unconstitutional shutdown of USAID Our case now moves into discovery As our Legal Director Tianna Mays explains: accountability starts w/ facts👇 - TN","2026-02-06T23:05:51.861Z"
"kathy78.bsky.social","NEW: Insurrectionist pardoned by Trump has been arrested for child sex crimes. www.texastribune.org/2025/02/06/a...","2026-02-07T00:21:34.151Z"
"kathy78.bsky.social","Beautiful Family","2026-02-06T22:33:49.992Z"
"kathy78.bsky.social","Team USA skier: Just because I wear the flag doesn’t mean I represent everything that’s going on in the US.","2026-02-06T21:13:44.513Z"
"kathy78.bsky.social","Portrait of Michelle and Barack Obama former First Lady and President of the US 📷 Pete Souza","2026-02-06T21:03:48.994Z"
"kathy78.bsky.social","If you were a journalist or creative that was laid off by the Washington Post and you want to work for an independent, pro democracy news outlet, Democracy Docket is hiring. bit.ly/45Qaw4K","2026-02-05T18:03:52.875Z"
"kathy78.bsky.social","I’m betting Comer will suddenly lose interest in this hearing.","2026-02-05T15:17:54.466Z"
"kathy78.bsky.social","You’ll notice that not one single reporter stood up for/defended CNN’s Kaitlan Collins as she was being verbally attacked by the orange felon in the bulldozed White House. They can’t even stand up for one of their own so there’s no hope of them ever standing up for democracy.","2026-02-04T22:02:52.327Z"
"kathy78.bsky.social","👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼","2026-02-05T15:03:55.766Z"
"kathy78.bsky.social","Imagine if four years into our war in Iraq we had only occupied 20 percent of it and lost 1.2 million men. Would anyone say the US is winning? No? Then how in the hell can you say Russia is winning?!","2026-02-05T13:12:12.657Z"
"kathy78.bsky.social","Federal Goon Slams woman onto Concrete. Ventura, California","2026-02-04T23:17:27.670Z"
"kathy78.bsky.social","CASTEN: I want to read you a quote -- 'tariffs are inflationary and would strengthen the dollar.' Do you recognize it? BESSENT: You're referring to a letter a wrote. Tariffs could be inflationary CASTEN: No no. It says 'tariffs are inflationary.' Do you want to correct the record?","2026-02-04T17:30:40.086Z"
"kathy78.bsky.social","If you want to FINALLY watch Scott Bessent get pinned down on specifics about the illegal money laundering operation being conducted by the Trump admin from someone who knows WTF he’s talking about, this clip is your chance. Bessent gets destroyed.","2026-02-04T20:22:26.296Z"
"kathy78.bsky.social","🇫🇷Paris mayor quits Xshitter, calling social media platform a 'vast global sewer' """"Hidalgo said in an op-ed in French newspaper Le Monde. """"Xshitter has in recent years become a weapon of mass destruction of our democracies"""", she wrote. #Wrldpoli🌐 www.france24.com/en/europe/20...","2026-02-03T16:02:37.172Z"
"kathy78.bsky.social","For the record: I will not send another cent to Kristi Noem or Stephen Miller while the department they run is shredding the Constitution and murdering American citizens in the streets. A two-week extension is two weeks too long. I’m voting no.","2026-02-02T22:44:03.582Z"
"kathy78.bsky.social","100s of Manatees putting on a show this morning!! The air was 20°, but the water was still a spring-like 72° (as it always is) in Three Sisters Springs in Crystal River. #manatees #florida","2026-02-03T00:03:32.112Z"
"kathy78.bsky.social","AOC: Why haven’t so many people been prosecuted? Why are Pam Bondi and the DOJ continuing to hide the majority of the Epstein files, which they admit contain even more direct evidence of genuinely shocking crimes and abuse of women, minors, and increasingly men…","2026-02-03T01:34:34.144Z"
"kathy78.bsky.social","#🚫digitalID @bluestormcomin1.bsky.social @jaybird54.bsky.social @mattmcneilshow.bsky.social @genxer-71.bsky.social @yeathrive.bsky.social @preciouspetal.bsky.social @mrsdeborahlynn.bsky.social @demladyalways.bsky.social @mzmiamaria.bsky.social @seizeday.bsky.social","2026-02-03T03:22:11.546Z"
"kathy78.bsky.social","Texans: TODAY (2/2/26) is the last day to register to vote for the March primaries.","2026-02-02T13:49:58.361Z"
"kathy78.bsky.social","Black History Month is a time to recognize the lived, shared experience of all Black folks who have fundamentally shaped, challenged, and ultimately strengthened America. It’s about taking an unvarnished look at the past so that we can create a better future.","2026-02-01T17:08:59.929Z"
"kathy78.bsky.social","Remember when JD Thiel used to tell the Truth?","2026-02-01T02:09:39.290Z"
"kathy78.bsky.social","So weird that the guy they chose to direct the Melania Bribe-Umentary was a Me Too-canceled has been pictured with Epstein and another Epstein-backed child sex trafficker who also *killed himself* in prison So many coincidences!","2026-01-31T19:41:54.644Z"
"kathy78.bsky.social","youtube.com/shorts/OkpT4...","2026-01-31T22:12:04.422Z"
"kathy78.bsky.social","Here is BRETT RATNER, the scumbag director for the film """"Melania """" ... All cozy with Epstein and an unidentified teenage child #EpsteinFiles SO MANY VILE SCUMBAGS and this one a friend of PEDO POTUS and his """"SweetPea"""" wife as Ghislaine Maxwell likes to call her We Stand With the Victims","2026-01-31T19:02:06.144Z"
"kathy78.bsky.social","Newly released files show a sworn FBI tip alleging Trump threatened a girl with “disappearing” and said he could have her entire family killed. Signed under penalty of perjury. Why isn’t this front page news? #EpsteinFiles #Trump #Accountability #USDemocracy #Pinks apple.news/AwMacA1UYTiy...","2026-01-31T18:40:38.291Z"
"kathy78.bsky.social","🎧 listen this is heartbreaking 💔 @coldfishstix on TikTok for the whole track","2026-01-30T21:53:09.430Z"
"kathy78.bsky.social","""""The largest immigrant deportation and prison contractors in the US are expecting an epic payout this year: for every $1 that they donated to GOP campaigns in 2024, these private companies stand to reap more than $11,000 in increased annual revenue.""""","2026-01-30T20:45:09.304164Z"
"kathy78.bsky.social","The Epstein files are dripping out again. This one that mentions Trump is incredibly disturbing.","2026-01-30T17:09:57.452Z"
