"user","post","date"
"khalil357.bsky.social","The trickle down lie, been making fools of them for years!! 🤷🏾‍♂️ 🤦🏿‍♂️ #FDT #FAFO #MAGAEQUALSNAZI #DICTATORFORADAY #therewillbeblood #ReleaseTheEpsteinFiles #EndQualifiedImmunity #AbolishICE www.instagram.com/reel/DUHed_D...","2026-02-18T11:49:48.156Z"
"khalil357.bsky.social","I'll stop. Him when he quit telling the truth!! ✊🏿 #FDT #FAFO #MAGAEQUALSNAZI #DICTATORFORADAY #therewillbeblood #ReleaseTheEpsteinFiles #EndQualifiedImmunity #AbolishICE www.instagram.com/reel/DSiX1Ns...","2026-02-18T11:35:06.629Z"
"khalil357.bsky.social","I double checked it was 20 years ...After centuries of slavery It was from here, I rewatched it today among others www.youtube.com/watch?v=pi8e...","2026-02-18T10:39:00.043Z"
"khalil357.bsky.social","No lies detected!! 🤷🏾‍♂️ 🤦🏿‍♂️ #BlackHistoryisntCRT #1619aintjustanumber #blackexcellence www.instagram.com/reel/DU0-q67...","2026-02-18T11:03:48.386Z"
"khalil357.bsky.social","I saw this cool giant statue today.","2026-02-18T08:15:02.982Z"
"khalil357.bsky.social","What in the world is really going on? We truly live in some interesting times. 🤷🏾‍♂️ 🤦🏿‍♂️ #FreePalestine #itsgenocide www.instagram.com/reel/DSSlE8n...","2026-02-18T10:50:45.290Z"
"khalil357.bsky.social","I feel like that guy most days I read a lot of books and have always recommended it to anyone on any side of arguments Books are important for general awareness and critical thinking Reconstruction gave up after only 10 years to a century of KKK terrorism KKK Democrats are Republican KKK today","2026-02-18T00:30:23.189Z"
"khalil357.bsky.social","Why are the jobs numbers a state secret now? Don't economists use those numbers, to predict the health of the economy. 🤷🏾‍♂️ 🤦🏿‍♂️ #FDT #FAFO #MAGAEQUALSNAZI #DICTATORFORADAY #therewillbeblood #ReleaseTheEpsteinFiles #EndQualifiedImmunity #AbolishICE www.instagram.com/reel/DSSlE8n...","2026-02-18T04:56:38.237Z"
"khalil357.bsky.social","Today is one of them days, we truth telling only, no lies accepted!! ✊🏿 #BlackHistoryisntCRT #1619aintjustanumber #blackexcellence #FDT #FAFO #MAGAEQUALSNAZI #DICTATORFORADAY #therewillbeblood #ReleaseTheEpsteinFiles #EndQualifiedImmunity #AbolishICE www.instagram.com/reel/DRuW-s0...","2026-02-18T00:38:48.164Z"
"khalil357.bsky.social","Thus the slide begins. 🤷🏾‍♂️ 🤦🏿‍♂️ #FDT #FAFO #MAGAEQUALSNAZI #DICTATORFORADAY #therewillbeblood #ReleaseTheEpsteinFiles #EndQualifiedImmunity #AbolishICE www.instagram.com/reel/DU1FsV9...","2026-02-18T00:22:39.716Z"
"khalil357.bsky.social","I've always been for 2A, and enjoy being able to defend myself, and my community. Every accusation is an admission!! 🤷🏾‍♂️ 🤦🏿‍♂️ #FDT #FAFO #MAGAEQUALSNAZI #DICTATORFORADAY #therewillbeblood #ReleaseTheEpsteinFiles #EndQualifiedImmunity #AbolishICE www.instagram.com/reel/DUWyJbP...","2026-02-18T00:15:04.698Z"
