"user","post","date"
"kimdanner.bsky.social","I look forward to the day when we once again do not have to identify federal court judges by which president appointed them. Another low bar that Donald Trump has infected our country with. #Maddow","2026-02-17T02:07:18.457Z"
"kimdanner.bsky.social","LEFT: Someone who appears in the Epstein files over a million times. Epstein called him his """"best friend."""" RIGHT: Someone never mentioned in the Epstein files—even once. And she never met him. So guess which one is being hauled before our corrupt, cover-upping Congress to testify about Epstein.","2026-02-18T00:48:42.514Z"
"kimdanner.bsky.social","Any elected official, celebrity, leader or influencer who is staying silent on the Epstein files is choosing silence over accountability. History will remember those who looked away.","2026-02-18T02:39:42.232Z"
"kimdanner.bsky.social","KT """"Special MI6 Operation: Someone rigged the Powerball lottery for Epstein's Zorro Trust to win its $85 million jackpot in 2008. (Paid out in a lump sum of $29.3m)","2026-02-18T03:17:33.963Z"
"kimdanner.bsky.social","Remember!! Epstein #epstein Epstein #epstein Epstein","2026-02-16T12:51:08.761Z"
"kimdanner.bsky.social","Keep pressuring to revel the #UnredactedTrumpEpsteinFiles #Epstein #EpsteinFiles","2026-02-16T17:39:39.478Z"
"kimdanner.bsky.social","Sunday night is a great time to tell your Representatives to impeach Kristi Noem.","2026-02-15T23:23:13.916Z"
"kimdanner.bsky.social","www.dailykos.com/stories/2026...","2026-02-15T03:07:35.124Z"
"kimdanner.bsky.social","This goddamn IDIOT.... I refuse to pay tariffs- I'll just sit back and wait till he dies or is replaced with someone with a functioning brain- cause this guy's brain doesn't.","2026-02-16T01:32:51.317Z"
"kimdanner.bsky.social","Survivor Maria Farmer’s paintings identified","2026-02-16T02:08:51.350Z"
"kimdanner.bsky.social","Her behaviour at the hearings was atrocious. Imagine if any previous Democratic Attorney General had ever responded in the same manner? They'd been drawn & quartered then roasted over a fire pit. I firmly believe her day is coming. She is a pitiful excuse for an AG. www.huffpost.com/entry/thomas...","2026-02-15T22:40:16.420Z"
"kimdanner.bsky.social","Good thing Fox doesn’t do this.","2026-02-16T00:40:48.503Z"
"kimdanner.bsky.social","Token torturers in lip gloss will see justice.","2026-02-16T03:06:29.667Z"
