"user","post","date"
"kingofthorpe.bsky.social","Congrats to #Seattle #Seahawks on winning #SuperBowl #LX And a big thank you to Sam Darnold for hopefully breaking the curse on the #NY #Jets. The first QB drafted by the Jets since Joe Namath to win a Super Bowl","2026-02-09T12:25:50.861Z"
"kingofthorpe.bsky.social","Buy my book #booksky #fantasy #trials #king #superbowlLX #SEA #NE #Seahawks #Patriots #springtraining #no-ice #fern #nyc www.amazon.com/King-Thorpe-...","2026-01-27T14:27:39.858Z"
"kingofthorpe.bsky.social","With everything that Trump’s “top” people are saying, it’s evident we are headed towards the Fourth Reich.","2026-01-26T16:50:10.621Z"
"kingofthorpe.bsky.social","@zohrankmamdani.bsky.social If you’re not going to give traditional snow days and mandate remote learning, then you should be very liberal when calling for remote learning days. If the roads are even somewhat hazardous, remote leaving should be announced. Thank you Mr Mayor","2026-01-23T14:33:58.766Z"
"kingofthorpe.bsky.social","If I haven’t bought a copy yet, what are you waiting for? Get it while the gettin’s good #booksky #Amazon #fantasy #5stars #goodreads #davos #noice www.amazon.com/King-Thorpe-...","2026-01-21T16:54:41.597Z"
"kingofthorpe.bsky.social","I dare you to buy this book. And I double dog dare you to not like www.amazon.com/King-Thorpe-...","2026-01-20T16:00:38.991Z"
"kingofthorpe.bsky.social","A perfect 6 for 6! Let keep it rolling","2026-01-13T14:06:55.081Z"
"kingofthorpe.bsky.social","It’s a really entertaining book, give it a go #booksky #fantasy #epic #king #trials #Venezuela #maduro #oil #Epstein #distraction #5stars www.amazon.com/King-Thorpe-...","2026-01-07T13:59:54.351Z"
"kingofthorpe.bsky.social","#HOU over #PIT #BUF over #JAX #NE over #LAC #LAR over #CAR #SF over #PHI #CHI over #GB BUF over NE HOU over #DEN #SEA over SF LAR over CHI BUF over HOU SEA over LAR Buffalo beats Seattle to win #SuperBowl #NFL #playoffs","2026-01-05T10:11:13.448Z"
"kingofthorpe.bsky.social","Please donate to help fight and end cancer gofund.me/f405224d9","2025-12-31T11:56:01.273Z"
"kingofthorpe.bsky.social","Please donate to help fight cancer gofund.me/a1af9e2e6","2025-12-29T12:57:03.112Z"
"kingofthorpe.bsky.social","Please donate to help fight cancer gofund.me/471162586","2025-12-28T01:15:26.770Z"
"kingofthorpe.bsky.social","Please donate to help fight cancer gofund.me/71c66b68f","2025-12-26T01:06:41.808Z"
"kingofthorpe.bsky.social","Today’s the day to get yourself a copy of the next great American fantasy novel! Don’t delay, buy today! #Epstein #Trump #todaystheday #releasethelist #epsteinlist #booksky #fantasy #5stars #trials #jacksmith #prisonforpedos www.amazon.com/King-Thorpe-...","2025-12-19T15:22:20.505Z"
"kingofthorpe.bsky.social","Please buy my book and tell everyone you know to do the same. I promise you’ll enjoy it #Christmas #secretsanta #Festivus #holidays #booksky #fantasy #bestseller #5stars #goodread www.amazon.com/King-Thorpe-...","2025-12-12T20:15:57.179Z"
"kingofthorpe.bsky.social","As a New York Mets fan, these last 24 hours have been gut wrenching. Just waiting to hear which fan favorite will be the next to go #nym #lgm #lfgm #whatarewedoinghere #trusttheprocess?","2025-12-10T19:27:22.526Z"
"kingofthorpe.bsky.social","It’s a perfect gift for your book lover, or a great gift for those that hate reading. What I’m trying to say is, it’s a great gift for everyone in your life. #Christmas #Hanukkah #secretsanta #sabrinacarpenter #booksky #fantasy #neatnoice #holidays2025 www.amazon.com/King-Thorpe-...","2025-12-08T20:48:41.219Z"
"kingofthorpe.bsky.social","We need to start holding ALL public servants and elected officials to a higher standard. We should NOT be lowering our standards to meet their behaviors and actions","2025-12-04T20:49:54.181Z"
"kingofthorpe.bsky.social","www.amazon.com/King-Thorpe-...","2025-12-04T12:32:53.878Z"
"kingofthorpe.bsky.social","Buy a copy (or two or more) before we boycott Amazon! #boycott #Amazon #boycottamazon #Washington #thanksgiving #Christmas #holiday #xmas #blackfriday #smallbusinesstuesday #cybermonday #booksky #fantasy #hashtag #amidoingthisright www.amazon.com/King-Thorpe-...","2025-11-25T16:55:44.344Z"
"kingofthorpe.bsky.social","This is unfortunate: No matter how intensely guilty Trump is made out to be in the Epstein files, he can face no charges while he is President. And thanks to SCOTUS, Trump has presidential immunity. Orange dipshit is untouchable until he’s ousted. That’s why his cronies are fighting for a third term","2025-11-20T16:31:50.132Z"
"kingofthorpe.bsky.social","Buy one for yourself, and but another one just in case #booksky #fantasy #trump #Clinton #Epstein #quietpiggy www.amazon.com/King-Thorpe-...","2025-11-19T16:05:43.952Z"
"kingofthorpe.bsky.social","Trump’s favorite city to visit in Russia is St. Penisburg. That’s a lot blow, but hey, that’s how Trump does it","2025-11-18T23:05:40.210Z"
"kingofthorpe.bsky.social","And I have no plans to stop. #ReleaseTheEPSTEIN_FilesNOW","2025-11-17T22:45:38.065Z"
"kingofthorpe.bsky.social","Please buy a copy and support a new author, thank you so much! #booksky #fantasy #5stars #epsteinemails #emails #Amazon #releasethelist #happyfriday www.amazon.com/King-Thorpe-...","2025-11-14T14:25:13.299Z"
"kingofthorpe.bsky.social","Share the link and buy the book #booksky #fantasy #epic #Amazon #dogthathasntbarked #epsteinfiles #impeach #downwithtrump #pedopresident www.amazon.com/King-Thorpe-...","2025-11-12T21:50:24.278Z"
"kingofthorpe.bsky.social","Scream out from the rooftops! Also, like and share this post to help spread awareness for this magnificent book #booksky #fantasy #thanksgiving #autumn #nycmarathon #mamdani www.amazon.com/King-Thorpe-...","2025-11-11T19:16:23.181Z"
