"user","post","date"
"krelis8219.bsky.social","America is traitorous","2026-02-17T20:21:41.856Z"
"krelis8219.bsky.social","Deputy Attorney General Todd Blanche admits that the DOJ excluded all images showing “death, physical abuse, or injury” from Epstein files release. DEATH? The truth is probably far worse than anyone can imagine.","2026-02-17T08:09:59.662Z"
"krelis8219.bsky.social","www.defensenews.com/global/europ... I call bullshit. Trump has decimated the American arms industry.","2026-02-17T12:20:36.881Z"
"krelis8219.bsky.social","www.cnn.com/2026/02/17/p... American fascists","2026-02-17T08:43:15.808Z"
"krelis8219.bsky.social","Massie not backing down.","2026-02-16T20:26:04.084Z"
"krelis8219.bsky.social","So, we are just going to *allow* Kushner to serve in this administration though no one voted for him. Not us. Not the Senate. No one. And we’re not protesting this. This sends a confirmation to the world of our weakness on the world stage. 🤷🏻‍♀️","2026-02-16T16:39:53.937Z"
"krelis8219.bsky.social","www.bbc.com/news/article... Lying again","2026-02-16T17:51:17.094Z"
"krelis8219.bsky.social","www.theguardian.com/world/2026/f... Europe has everything America doesn't. Makes Europe a threat.","2026-02-16T17:48:04.205Z"
"krelis8219.bsky.social","militarnyi.com/en/news/indi... Clowns doing clown things","2026-02-16T07:13:02.992Z"
"krelis8219.bsky.social","Traitor Trump","2026-02-15T20:03:45.423Z"
"krelis8219.bsky.social","I think we are going to have a Democratic-controlled Senate. And all we will need for the leadership of that Democratic Senate to do is hold actual, real, impeachment trials. As the Constitution requires. Not the bullshit fake trials like the ones that the Senate held in 2020 and 2021...","2026-02-15T16:49:51.875Z"
"krelis8219.bsky.social","🩸🩸🩸 I'm going to post this video every day so we never forget what the 34x POS convicted felon who incites political violence, adjudicated rapist & pedophile Trump did THIS IS WHAT AN INSURRECTION LOOKS LIKE ⬇️⬇️⬇️","2026-02-15T12:10:50.035Z"
"krelis8219.bsky.social","Fuck JD Vance","2026-02-15T17:09:10.640Z"
"krelis8219.bsky.social","US pressure on Greenland is ‘totally unacceptable’, says Danish PM – as it happened www.theguardian.com/world/live/2... Sit down America","2026-02-15T09:10:29.467Z"
"krelis8219.bsky.social","www.cnn.com/2026/02/14/e... This is the dumb arrogance that's destroyed America.","2026-02-14T20:55:27.963Z"
"krelis8219.bsky.social","Trump chose to threaten a NATO ally. Trump chose to back Russia against Ukraine and against Europe. And America has already chosen Trump three times in a row. So stop pretending the United States is our friend. It is not! - Gandalv","2026-02-14T17:08:51.673Z"
"krelis8219.bsky.social","www.cnn.com/2026/02/13/e... Trump trashed US alliances and credibility","2026-02-14T07:52:32.539Z"
"krelis8219.bsky.social","united24media.com/latest-news/... Trump bailing them out","2026-02-13T18:50:45.727Z"
"krelis8219.bsky.social","Cartoon by @andertoon.bsky.social.","2026-02-12T21:02:22.647Z"
"krelis8219.bsky.social","Europe is no longer calibrating its security around American mood swings or election cycles. Europe will set its own baseline for deterrence, industrial capacity, and strategic stamina, and it will do it at a scale that makes the conversation about “burden sharing” irrelevant. Gandalv","2026-02-13T15:13:18.982Z"
"krelis8219.bsky.social","Just like with Brazil arresting their insurrectionists rather than re-electing them, other countries are holding their Epstein-tied politicians accountable far better than we do. www.bbc.com/news/article...","2026-02-12T17:44:55.573Z"
"krelis8219.bsky.social","This is utterly deranged behavior from a U.S. attorney general","2026-02-11T18:44:37.828Z"
"krelis8219.bsky.social","www.pravda.com.ua/eng/news/202...","2026-02-12T17:27:06.097Z"
"krelis8219.bsky.social","www.politico.com/news/2026/02... No they don't, they support Russia","2026-02-12T15:14:59.708Z"
"krelis8219.bsky.social","@robertgarcia.house.gov is leading the charge at House Oversight to get justice for the victims and survivors of Epstein and Maxwell. He joins me with the latest, incl. the upcoming depos of Les Wexner and others & breaking news of a shadow Epstein hearing in Palm Beach. youtu.be/pIBuc_gYpkM?...","2026-02-11T22:43:38.210Z"
"krelis8219.bsky.social","Didn't age well. Neither did she","2026-02-12T09:16:39.221Z"
"krelis8219.bsky.social","This man is the embodiment of the Seven Deadly Sins. Under his leadership America is now in a death spiral. 👇🏼","2026-02-12T02:12:26.953Z"
"krelis8219.bsky.social","watching clips from the hearing today and if the United States does not find justice for the Epstein victims and perpetrators then God will, and He will hold the United States guilty as an accomplice","2026-02-12T03:36:59.827Z"
"krelis8219.bsky.social","When the U.S. uses the military against citizens, attacks immigrants, and executes people who pose no threat, it jeopardizes our national security because it incites violence, invites retaliation, normalizes fascism, and sets precedence for others to follow suit.","2026-02-11T17:18:28.360Z"
"krelis8219.bsky.social","AOC: We all saw the performance Bondi had. She was screaming and crashing, and I think it’s because she knows she is implicated in a massive cover-up to protect a ring of pedophiles through:","2026-02-12T00:10:24.885Z"
"krelis8219.bsky.social","🤷🏻‍♂️","2026-02-10T23:50:00.180Z"
"krelis8219.bsky.social","www.theguardian.com/world/live/2...","2026-02-11T18:11:59.124Z"
"krelis8219.bsky.social","She doesn't care","2026-02-11T18:01:51.593Z"
"krelis8219.bsky.social","Sickening and yes history in the making","2026-02-11T17:41:55.008Z"
"krelis8219.bsky.social","A reminder: The Attorney General of the United States should be the people's lawyer, not the president's personal attorney. The Department of Justice should act to protect the public, not the occupant of the Oval Office and his political allies.","2026-02-11T16:13:30.780730Z"
"krelis8219.bsky.social","#Epstein #EpsteinFiles","2026-02-11T12:51:47.211Z"
"krelis8219.bsky.social","Everyone knows this already","2026-02-11T17:32:39.047Z"
"krelis8219.bsky.social","Pure evil","2026-02-11T17:30:06.061Z"
"krelis8219.bsky.social","This is a must watch","2026-02-11T17:28:37.974Z"
"krelis8219.bsky.social","Speak Truth...","2026-02-11T12:37:22.628Z"
"krelis8219.bsky.social","The biggest failure of the American system of government is the inability to make changes when we have an obviously corrupt & unconsiturional government short of elections every two or four years. It’s a system penned in the 1700’s and intended for the 1700’s…that expired centuries ago","2026-02-11T10:21:57.886Z"
"krelis8219.bsky.social","We want them to stop using excessive force and violating people’s rights. Masks embolden the worst agents it gives them anonymity. Masks make it difficult to document who commits crimes and civil rights violations. They lead to more abuses. ICE wants no accountability. bsky.app/profile/atru...","2026-02-10T14:23:37.349Z"
"krelis8219.bsky.social","No words","2026-02-11T10:58:45.682Z"
"krelis8219.bsky.social","Release the unredacted Epstein files","2026-02-11T10:06:35.790Z"
"krelis8219.bsky.social","The USA now has CONCENTRATION CAMPS The USA is torturing, starving, and killing adults and CHILDREN in these CONCENTRATION CAMPS Sick Disgusting Abhorrent WHAT HAPPENED TO NEVER AGAIN","2026-02-11T00:10:39.032Z"
"krelis8219.bsky.social","🤷🏼","2026-02-11T04:22:17.687Z"
"krelis8219.bsky.social","www.nbcnews.com/politics/nat... Tulsi Gabbard is a traitor","2026-02-11T07:16:23.664Z"
"krelis8219.bsky.social","Now that members of Congress are able to see what was redacted they are learning how Todd Blanche failed to comply with the law in countless instances, and it’s now about to get real because what DOJ was hiding is the most incriminating stuff.","2026-02-10T11:53:40.723Z"
"krelis8219.bsky.social","Rep. Delia Ramirez to DHS officials: """"I have as much respect for you as I do for the last white men who put on masks to terrorize communities of color. I have no respect for the inheritors of the Klanhood and the slave patrol. Those activities were criminal and so are yours.""""","2026-02-10T17:11:46.495Z"
"krelis8219.bsky.social","Half the country sliding into recession, GDP slowing, manufacturing shrinking, exports down, debt exploding. Billionaires still partying while regular people feel the squeeze at the grocery store and the rent check. #TrumpflationSucks","2026-02-10T18:14:11.934Z"
"krelis8219.bsky.social","kyivindependent.com/ukraine-dest...","2026-02-10T16:07:41.826Z"
"krelis8219.bsky.social","Crockett: """"The US is falling apart, partially bc he's allowing for killings in the street, but also bc we have a 34 count convicted felon being shielded from any type of accountability as it relates to a child sex trafficking ring. I don't understand why we're pretending any of this is normal.""""","2026-02-09T15:55:51.295Z"
"krelis8219.bsky.social","Donald destroyed America","2026-02-10T13:47:56.971Z"
"krelis8219.bsky.social","""""The members who were pushing this [accountability for child rape] were not wrong."""" Shocker.","2026-02-09T23:20:08.466Z"
"krelis8219.bsky.social","www.theguardian.com/world/live/2... More American lies. There is no bottom.","2026-02-09T20:16:09.915Z"
"krelis8219.bsky.social","Howard Lutnick faces bipartisan calls to resign over latest Epstein revelations Recently disclosed records suggest a closer relationship than the Commerce secretary previously indicated. www.politico.com/live-updates...","2026-02-09T16:42:57.555Z"
"krelis8219.bsky.social","www.19fortyfive.com/2026/02/the-... Excellent","2026-02-09T14:03:10.723Z"
"krelis8219.bsky.social","Europe has started decoupling","2026-02-09T07:20:43.965Z"
"krelis8219.bsky.social","Not suspicious at all?","2026-02-09T04:44:43.489Z"
"krelis8219.bsky.social","Americans have no values or character","2026-02-08T16:59:25.864Z"
"krelis8219.bsky.social","NO LIES 👇 DETECTED.......","2026-02-08T11:11:06.949Z"
"krelis8219.bsky.social","Epstein was in and out of Russia every few months according to his travel documents, but Mandelson was partying in nightclubs in St Petersburg and regularly in Moscow. How did our intelligence services fail to pick this up? Or were their reports and investigations suppressed?","2026-02-08T12:25:33.163Z"
"krelis8219.bsky.social","We are still waiting for the rest of the Epstein files, bitch.","2026-02-08T06:37:29.354Z"
"krelis8219.bsky.social","Agree 💯% With Rick Wilson.......","2026-02-08T10:39:30.101Z"
"krelis8219.bsky.social","Who killed #Epstein now seems obvious! #EsteinFiles","2026-02-07T15:14:49.688Z"
"krelis8219.bsky.social","It only took them 12 months to build massive concentration camps all over the USA. You’d think there would be more uproar, but no. No one cares unless it’s in their backyard.","2026-02-08T09:42:14.824Z"
"krelis8219.bsky.social","NSA detected phone call between foreign intelligence and a person close to Trump Whistleblower says that Tulsi Gabbard blocked agency from sharing report and delivered it to White House chief of staff www.theguardian.com/us-news/2026...","2026-02-07T17:26:00.207Z"
"krelis8219.bsky.social","The CHILDREN? """"There was very much a class aspect to this. A lot of the YOUNG GIRLS came from broken homes and poor backgrounds. Some of them had been abused in their own families. CHILDREN WERE VIEWED, BASICALLY, AS OBJECTS … THEY WERE VIEWED AS DISPOSABLE CHILDREN."""" AUCTIONABLE CHILDREN!!","2026-02-06T17:43:59.351Z"
"krelis8219.bsky.social","Felon47 is trying to interfere with elections...AGAIN.","2026-02-07T14:09:52.185Z"
"krelis8219.bsky.social","www.politico.com/news/2026/02...","2026-02-07T16:47:23.997Z"
"krelis8219.bsky.social","The man who told reporters it’s time to move on from the Epstein files won’t shut up about the 2020 election.","2026-02-07T15:18:13.840Z"
"krelis8219.bsky.social","This is disgraceful","2026-02-07T18:00:59.507Z"
"krelis8219.bsky.social","#Epstein #EpsteinFiles","2026-02-06T17:50:23.916Z"
"krelis8219.bsky.social","Donald Trump is: - Openly racist - Covering up evidence he may have sexually abused children - Directly responsible for the murder of US citizens by masked agents of the state - Openly looting the treasury and taking bribes from foreign leaders - Polling at 38% amongst the American people","2026-02-06T18:55:05.677Z"
"krelis8219.bsky.social","Already, House Speaker Mike Johnson has rejected two key Democratic demands: banning agents from wearing face masks and requiring judicial search warrants for immigration enforcement operations No funding !","2026-02-06T12:16:03.160Z"
"krelis8219.bsky.social","www.theguardian.com/world/2026/f... Moscow is blaming Ukraine do they probably did it themselves. no windows available...","2026-02-06T12:09:45.478Z"
"krelis8219.bsky.social","This","2026-02-06T10:12:10.346Z"
"krelis8219.bsky.social","THE MOST SERIOUS AND DANGEROUS THREAT TO AMERICA IS THE PRESIDENT AND """"HIS"""" GOVERNMENT.","2026-02-06T08:41:40.687Z"
"krelis8219.bsky.social","Epstein: the Face of the Global Right Wing Via orinocotribune.com ift.tt/EulIbHs","2026-02-05T22:04:39.428Z"
"krelis8219.bsky.social","When money and power protect abusers instead of victims, the system itself is broken. Trump didn’t invent that reality — he took advantage of it. And until the system changes, accountability will remain optional for the powerful.","2026-02-05T01:54:32.274Z"
"krelis8219.bsky.social","I was just denied entry to the Dilley detention facility while my constituent, seven-year-old Diana, remains inside. What kind of sick, horrific conditions are children being forced to endure in there? I will be back tomorrow. Accountability can’t wait.","2026-02-06T02:35:28.244Z"
"krelis8219.bsky.social","Europe should follow. Keep toxic fascist Americans out of Europe.","2026-02-06T07:30:00.309Z"
"krelis8219.bsky.social","This is reality. Midterms won't be free or fair.","2026-02-06T07:28:24.125Z"
