"user","post","date"
"lagunacarrie.bsky.social","“STOP TALKING ABOUT IT” is basically the ceremonial ribbon cutting for everyone to start talking about it.","2026-02-18T10:03:43.550Z"
"lagunacarrie.bsky.social","SOMETHING STINKS! What the hell is happening in Florida?","2026-02-18T05:20:56.960Z"
"lagunacarrie.bsky.social","“Roberts will go down in history as the most destructive chief justice.”","2026-02-18T03:00:08.323Z"
"lagunacarrie.bsky.social","Great News: Americans Are Standing Up. Terrible News For Trump: We’re Winning.","2026-02-17T15:46:34.574Z"
"lagunacarrie.bsky.social","if gaslighting were an olympic sport this would take gold","2026-02-18T03:57:48.901Z"
"lagunacarrie.bsky.social","Yup! www.reuters.com/world/allega...","2026-02-18T04:00:23.807Z"
"lagunacarrie.bsky.social","DO NOT LOOK AWAY. Two-month old babies, choking on their own vomit while detained by ICE? I can't even believe I typed that sentence. MAGA, you can't keep clinging to your """"oh, they need to come here legally"""" bullshit. These are BABIES. Where is the humanity? Shut these concentration camps DOWN.","2026-02-18T04:20:10.252Z"
"lagunacarrie.bsky.social","Wow…. Jennifer Jenkins doesn’t hold back when asked about Randy Fine.","2026-02-18T04:48:24.921Z"
"lagunacarrie.bsky.social","This tracks The National Geographic voice caps it off though ☠️","2026-02-18T04:49:47.500Z"
"lagunacarrie.bsky.social","Jasmine Crockett: “Other countries have CEOs that are stepping down & princes that are being indicted — in the United States, crickets. Nothing is happening — we have a president that says that the Epstein files are a hoax because his name is in there more times than I can count”","2026-02-17T00:45:32.768Z"
"lagunacarrie.bsky.social","Tomorrow, the Oversight Committee will have the opportunity to question Les Wexner about his ties to Jeffrey Epstein. Survivors told us from day one: follow the money. That is exactly what we intend to do.","2026-02-18T04:08:50.201Z"
"lagunacarrie.bsky.social","Things are in fact getting stupider","2026-02-18T03:17:15.094Z"
"lagunacarrie.bsky.social","Sending warm wishes for peace and joy to Muslims around the world as they begin observing this holy month. Ramadan Mubarak!","2026-02-18T02:29:04.931Z"
"lagunacarrie.bsky.social","Any elected official, celebrity, leader or influencer who is staying silent on the Epstein files is choosing silence over accountability. History will remember those who looked away.","2026-02-18T02:39:42.232Z"
"lagunacarrie.bsky.social","Counterpoint: Don’t upload your medical records to any LLM. That’s fucking insane.","2026-02-18T02:07:16.500Z"
"lagunacarrie.bsky.social","SMITE!","2026-02-17T23:41:33.655Z"
"lagunacarrie.bsky.social","Thomas J. Pritzker, a billionaire heir to the Hyatt Hotels fortune, stepped down from his role as executive chairman of the Hyatt Hotels Corporation — becoming the latest person felled by an association with Jeffrey Epstein. www.nytimes.com/2026/02/16/u...","2026-02-17T03:50:54.048Z"
"lagunacarrie.bsky.social","Today, I'm proud to announce that we've erased over $1.1 billion in medical debt for more than half a million Illinoisans. No one should be forced to choose between life-saving care and feeding their families. Stay tuned for more news on affordability in Illinois tomorrow.","2026-02-17T22:25:02.384Z"
"lagunacarrie.bsky.social","Both of Georgia's senators have game.","2026-02-17T22:35:23.033Z"
