"user","post","date"
"leaskh.bsky.social","😀","2026-02-17T02:32:43.016Z"
"leaskh.bsky.social","www.aol.com/articles/rev... Jesse Jackson participated in civil rights demonstrations alongside Martin Luther King Jr. and ran for the Democratic presidential nomination in 1984 and 1988.","2026-02-17T11:55:31.788Z"
"leaskh.bsky.social","🩸🩸🩸 I'm going to post this video every day so we never forget what the 34x POS convicted felon who incites political violence, adjudicated rapist & pedophile Trump did on J6 🩸🩸🩸 THIS IS WHAT AN INSURRECTION LOOKS LIKE ⬇️⬇️⬇️","2026-02-16T16:59:48.705Z"
"leaskh.bsky.social","www.npr.org/2026/02/17/9... RIP Jesse Jackson","2026-02-17T11:56:39.089Z"
"leaskh.bsky.social","One of the greatest civil rights leaders of all time has gone on to glory. 😔 Rest in power Reverend Jesse L. Jackson. 🙏🏽✝️🕊 Sunrise: October 8, 1941 Sunset: February 17, 2026 #ProudBlue #ResistanceUnited #USDemocracy #Voices4Victory #BlackHistoryMonth #IAmSomebody","2026-02-17T11:24:55.818Z"
"leaskh.bsky.social","We need to stop referring to thr only as the Epstein files which call them what they are: the Trump/Epstein files. Now. Pass it on.","2026-02-16T18:58:20.429Z"
"leaskh.bsky.social","🎯🎯","2026-02-16T13:58:59.976Z"
"leaskh.bsky.social","This","2026-02-16T18:40:26.831Z"
"leaskh.bsky.social","People really need to stop saying """"Congress"""" when they mean """"Republicans"""".","2026-02-16T19:06:03.278Z"
"leaskh.bsky.social","Someone should remind Bondi that Nixon didn't go to prison, but his AG did.","2026-02-15T18:00:39.573Z"
"leaskh.bsky.social","So the Epstein files are bringing down everyone except those in the United States, do i have that right?","2026-02-16T01:08:01.343Z"
"leaskh.bsky.social","🎯👏🏼","2026-02-14T12:55:43.385Z"
"leaskh.bsky.social","👇🏼","2026-02-14T12:28:22.191Z"
"leaskh.bsky.social","Cartoon by @andertoon.bsky.social.","2026-02-12T21:02:22.647Z"
"leaskh.bsky.social","The Monks have made it to D.C.💖 What a journey...what a statement. Hopefully we have learned something from their strengths, convictions, and kindness. Watching them during their trek has been enlightening. 💖PEACE AND LOVE ABOVE ALL ELSE💖 #Pinks substack.com/@50501/note/...","2026-02-13T19:32:59.094Z"
"leaskh.bsky.social","#Pinks #ProudBlue #BlackHistoryMonth","2026-02-13T15:54:59.332Z"
"leaskh.bsky.social","😹😹😹😹🔥","2026-02-13T17:34:48.069Z"
"leaskh.bsky.social","Legislator wants to legislate, while Mike Johnson is determined to play every game possible to prevent the House from interfering with the imperial presidency he serves.","2026-02-11T11:31:26.497Z"
"leaskh.bsky.social","THIS 👇 HERE.......","2026-02-09T10:40:36.893Z"
"leaskh.bsky.social","Perfect","2026-02-08T18:55:36.617Z"
"leaskh.bsky.social","bsky.app/profile/mjfr...","2026-02-06T18:46:09.756Z"
"leaskh.bsky.social","bsky.app/profile/mjfr...","2026-02-06T18:46:32.751Z"
"leaskh.bsky.social","🩸🩸🩸 I'm going to post this video every day so we never forget what the 34x POS convicted felon who incites political violence, adjudicated rapist & pedophile Trump did THIS IS WHAT AN INSURRECTION LOOKS LIKE 🩸🩸🩸","2026-02-05T16:37:51.131Z"
"leaskh.bsky.social","Same","2026-02-02T14:08:35.224Z"
"leaskh.bsky.social","Finally made its way to Omaha. Arresting people in Douglas Cournty (Neb.) courthouse.","2026-02-01T23:47:47.713Z"
"leaskh.bsky.social","That figures.","2026-02-01T21:41:48.330Z"
"leaskh.bsky.social","True'dat","2026-02-01T21:31:27.741Z"
"leaskh.bsky.social","🩸🩸🩸 I'm going to post this video every day so we never forget what the 34x POS convicted felon who incites political violence, adjudicated rapist & pedophile Trump did THIS IS WHAT AN INSURRECTION LOOKS LIKE","2026-02-01T13:18:07.965Z"
"leaskh.bsky.social","The more I read, the more convinced I am that 47 is the head of all this, not Epstien.","2026-01-31T23:58:37.226Z"
"leaskh.bsky.social","Once again He opens his mouth, or laptop and the world shudders in disgust Revolution will be a relief Rip the band aid off and get a decent politician in the white house before he goes any further No one is safe with him there","2026-01-31T23:03:47.462Z"
"leaskh.bsky.social","From wagingnonviolence.org/2026/01/10-r... 10 Rules of Resistance for #ICEOut No silence. No selling. No service. No hotel rooms. No entry. No informing. No looking away. No collaboration. No transporting. No detention centers.","2026-01-24T16:45:44.405Z"
"leaskh.bsky.social","I wholeheartedly agree.","2026-01-21T01:59:00.345Z"
