"user","post","date"
"leon-kelley.bsky.social","Deputy Attorney General Todd Blanche admits that the DOJ excluded all images showing “death, physical abuse, or injury” from Epstein files release. DEATH? The truth is probably far worse than anyone can imagine.","2026-02-17T08:09:59.662Z"
"leon-kelley.bsky.social","BREAKING: Millions of files related to Jeffrey Epstein suggest the existence of a 'global criminal enterprise' that carried out acts meeting the legal threshold of crimes against humanity, a panel of independent experts appointed by the UN Human Rights Council says","2026-02-18T01:28:59.408Z"
"leon-kelley.bsky.social","www.thewrap.com/media-platfo... Brendan Carr may help flip Texas","2026-02-18T03:02:10.128Z"
"leon-kelley.bsky.social","Indict them all now.","2026-02-18T04:40:02.766Z"
"leon-kelley.bsky.social","Listen to the victims and indict the pedophiles. How hat is that?","2026-02-18T04:39:24.401Z"
"leon-kelley.bsky.social","Trump's next move will be to stop all elections. The Constitution means nothing to Trump. He violates it regularly with impunity. He will start a war if he needs to.","2026-02-17T15:47:09.506Z"
"leon-kelley.bsky.social","FBI refusing to share Alex Pretti shooting evidence with state investigators. """"BCA Superintendent Drew Evans said Monday that the FBI formally notified the state on Friday that it won’t grant the access."""" www.mprnews.org/story/2026/0...","2026-02-18T00:50:34.201Z"
"leon-kelley.bsky.social","Nope, we will NEVER stop demanding the #Trump-EpsteinFiles #Epstein #EpsteinFiles","2026-02-17T15:12:41.718Z"
"leon-kelley.bsky.social","I told you they’d come after Veterans’ benefits. www.stripes.com/veterans/202...","2026-02-18T02:40:46.712Z"
"leon-kelley.bsky.social","Deputy Attorney General Todd Blanche admits that the DOJ excluded all images showing “death, physical abuse, or injury” from Epstein files release. DEATH? The truth is probably far worse than anyone can imagine.","2026-02-17T08:16:51.191Z"
"leon-kelley.bsky.social","Romania has decoupled economic growth from pollution faster than anywhere else in EU. Its net greenhouse gas emissions intensity fell 88% between 1990 & 2023, so each euro’s worth of economic activity heats planet 10 times less. Emissions have plunged by 75%. www.theguardian.com/environment/...","2026-02-17T08:53:32.262Z"
"leon-kelley.bsky.social","“.. We could spend the whole day reacting to every buffoonish spectacle coming out of the White House, but that's exactly what they want: for us to lose focus … Don't be distracted by the noise; watch what they are doing to your rights while you stare at the screen.”","2026-02-18T00:25:11.889Z"
"leon-kelley.bsky.social","School students on the run in Camden County, New Jersey in FEAR as ICE AGENTS raid a neighborhood. The Regime is now traumatized children all over the country with their Gestapos. This is worst than school shootings. youtu.be/qDSeDKyxVIw?...","2026-02-18T00:05:22.322Z"
"leon-kelley.bsky.social","It is these truths that MAGA fears and they strive to suppress. It is the children of MAGA parents accepting these truths that drives the current repressive administration.","2026-02-18T04:21:36.111Z"
"leon-kelley.bsky.social","THE FACT OF THE MATTER IS, YOU CANNOT SEE THE EPSTEIN FILES WITHOUT SEEING DONALD TRUMP.","2026-02-17T19:57:34.996Z"
"leon-kelley.bsky.social","“As the airplane took off, Epstein started touching me forcibly in between my legs, and I freaked out. I realized, this is not a modeling opportunity, I've been kidnapped. They whisked me away to the island. I was stuck there. They never arranged any modeling opportunities, I was completely conned.""""","2026-02-17T18:06:32.937Z"
