"user","post","date"
"lifesciencenet.bsky.social","Open position: Full Professor of Biochemistry (W3) #science #career #jobs #job #jobsearch #professor #chemistry #biology #biochemistry www.lifescience.net/jobs/221395/...","2026-02-17T16:38:01.352Z"
"lifesciencenet.bsky.social","Open position: Junior Professor of Foundations of Artificial Intelligence #science #career #jobs #job #jobsearch #professor #ai www.lifescience.net/jobs/221394/...","2026-02-17T16:34:49.501Z"
"lifesciencenet.bsky.social","Online Auction Featuring European Life Sciences & Bioprocessing Equipment. Feb 17 - Feb 19 2026. #science #lifesciences #biotech #pharma #bioprocessing www.lifescience.net/events/78667...","2026-02-17T16:22:21.882Z"
"lifesciencenet.bsky.social","Magnetic mixer improves 3D bioprinting. #biotech #bioengineering #bioprinting #news www.lifescience.net/news/7004/ma...","2026-02-13T15:23:31.870Z"
"lifesciencenet.bsky.social","AI algorithm enables tracking of vital white matter pathways. #science #neuroscience #imaging #news #ai www.lifescience.net/news/7003/ai...","2026-02-13T15:22:37.179Z"
"lifesciencenet.bsky.social","A satellite language network in the brain - Researchers find a component of the brain’s dedicated language network in the cerebellum, a region better known for coordinating movement. #science #neuroscience #imaging #news www.lifescience.net/news/6991/a-...","2026-02-13T15:21:42.157Z"
"lifesciencenet.bsky.social","Some early life forms may have breathed oxygen well before it filled the atmosphere. #science #evolution #news www.lifescience.net/news/6990/so...","2026-02-13T15:20:10.303Z"
"lifesciencenet.bsky.social","New vaccine platform promotes rare protective B cells. #science #news #vaccines #immunology www.lifescience.net/news/6985/ne...","2026-02-13T15:18:40.368Z"
"lifesciencenet.bsky.social","EquipNet Supports European Life Sciences Manufacturers with Strategic Surplus Asset Management. Online AUCTION next week! #lifesciences #biotech #pharma #equipment #auction www.lifescience.net/news/6973/eq...","2026-02-11T16:06:22.393Z"
"lifesciencenet.bsky.social","Online Auction Featuring European Life Sciences & Bioprocessing Equipment #science #lifesciences #biotech #pharma #bioprocessing #event #auction www.lifescience.net/events/78667...","2026-02-10T16:20:47.376Z"
"lifesciencenet.bsky.social","New position: Internship for the Science Events project. #science #career #jobs #job #internship #events www.lifescience.net/jobs/162770/...","2026-02-06T13:47:13.004Z"
"lifesciencenet.bsky.social","New tissue models could help researchers develop drugs for liver disease. #science #news www.lifescience.net/news/6983/ne...","2026-02-05T21:40:38.552Z"
"lifesciencenet.bsky.social","SMART launches new Wearable Imaging for Transforming Elderly Care research group. #science #medicine #news www.lifescience.net/news/6982/sm...","2026-02-05T21:35:31.571Z"
"lifesciencenet.bsky.social","Terahertz microscope reveals the motion of superconducting electrons. #science #physics #imaging #news www.lifescience.net/news/6981/te...","2026-02-05T21:33:14.098Z"
"lifesciencenet.bsky.social","How generative AI can help scientists synthesize complex materials. #science #news #AI www.lifescience.net/news/6971/ho...","2026-02-05T21:30:57.021Z"
"lifesciencenet.bsky.social","How a unique class of neurons may set the table for brain development. #science #neuroscience #news www.lifescience.net/news/6970/ho...","2026-02-05T21:28:32.526Z"
"lifesciencenet.bsky.social","A portable ultrasound sensor may enable earlier detection of breast cancer. #science #news #cancer #cancerresearch www.lifescience.net/news/6965/a-...","2026-02-05T21:27:33.073Z"
"lifesciencenet.bsky.social","The infant universe’s “primordial soup” was actually soupy. #science #physics #news www.lifescience.net/news/6954/th...","2026-02-05T21:22:32.031Z"
"lifesciencenet.bsky.social","ERC funded postdoc on high-throughput microbial genetics to investigate bacterial immunity. #science #career #jobs #sciencejobs #job #jobsearch #postdoc www.lifescience.net/jobs/220223/...","2026-02-04T13:56:37.108Z"
"lifesciencenet.bsky.social","2026 Call for Applications: IBS Directors and Chief Investigators. Deadline tomorrow! #science #career #jobs #sciencejobs #jobsearch www.lifescience.net/jobs/217715/...","2026-02-03T22:09:58.968Z"
"lifesciencenet.bsky.social","2026 Update for Recruiters and Candidates: Time-Unlimited Listings, Multiple Job Posting Options, and Packages with Up to 30% Discount #science #lifesciences #jobs #recruiting www.lifescience.net/news/6959/20...","2026-02-02T19:51:53.159Z"
"lifesciencenet.bsky.social","Cancer’s secret safety net - Researchers uncover a hidden mechanism that allows cancer to develop aggressive mutations. #science #cancer #cancerresearch #news www.lifescience.net/news/6949/ca...","2026-01-26T22:47:03.082Z"
"lifesciencenet.bsky.social","Biology-based brain model matches animals in learning, enables new discovery. #science #neuroscience #news www.lifescience.net/news/6944/bi...","2026-01-26T22:43:54.103Z"
"lifesciencenet.bsky.social","Chemists determine the structure of the fuzzy coat that surrounds Tau proteins. #science #news www.lifescience.net/news/6921/ch...","2026-01-26T22:37:09.029Z"
"lifesciencenet.bsky.social","This new tool could tell us how consciousness works #science #neuroscience #news www.lifescience.net/news/6919/th...","2026-01-26T22:33:49.391Z"
