"user","post","date"
"lizpaddington.bsky.social","Thank you Maureen @moberzan.bsky.social 😊 💙 @avracadaver.bsky.social @lorennacleary.bsky.social @kristyclueless.bsky.social @softtail65.bsky.social @peachiikimaf.bsky.social @lizpaddington.bsky.social @hopeful66.bsky.social @markymark757.bsky.social @kimmyifuplease.bsky.social","2026-01-25T02:46:44.254Z"
"lizpaddington.bsky.social","EMERGENCY VIDEO: Pete Hegseth at the Center of Disturbing New Boat-Strike Controversy youtu.be/zxumCAy3nNk","2025-11-29T02:42:52.695Z"
"lizpaddington.bsky.social","substack.com/@ellenmitche...","2025-11-29T02:23:48.251Z"
"lizpaddington.bsky.social","Stephen Miller gets called out over his unhinged acts and desperate attacks by the public, his own family and as old videos of him surfaces. youtu.be/WBzu_75gPJM?...","2025-11-29T00:08:35.884Z"
"lizpaddington.bsky.social","and then how was going...","2025-11-28T18:05:58.939Z"
"lizpaddington.bsky.social","Donald Trump incited an insurrection on J6. He should never have been able to run for public office again. What a failure of justice to not hold this man accountable.","2025-11-28T21:51:30.364Z"
"lizpaddington.bsky.social","PA Governor Josh Shapiro is suing the Trump administration to protect affordable housing for the most vulnerable Pennsylvanians. 🙌🏼 #pagovjoshshapiro #pinks","2025-11-26T20:19:46.319Z"
"lizpaddington.bsky.social","With DC shooter now identified as an Afghan national not the antifa secret agent White House hoped for a good time to remember the Trump admin has gutted domestic anti-terrorism capacity and reassigned many to finding grandmothers to arrest at immigration hearings.","2025-11-27T04:06:46.740Z"
"lizpaddington.bsky.social","""""A woman with a family connection to White House Press Secretary Karoline Leavitt has been arrested by Immigration and Customs Enforcement agents in Revere, Massachusetts."""" www.wcvb.com/article/karo...","2025-11-26T04:07:37.584Z"
"lizpaddington.bsky.social","US Army secretary takes unlikely role as key negotiator in push to end Russia-Ukraine war https://www.yahoo.com/news/articles/us-army-secretary-takes-unlikely-050219157.html","2025-11-26T05:22:08.452498Z"
"lizpaddington.bsky.social","📞 URGENT: CALL NOW — Ukraine Needs Us & So Do U.S. Citizens We need action — not silence. Call these leaders TODAY and tell them you demand full support for Ukraine and real action on the injustices hurting Americans at home .","2025-11-24T21:33:36.995Z"
"lizpaddington.bsky.social","👊🤬🖕🐷","2025-11-26T03:41:16.369Z"
"lizpaddington.bsky.social","go.bsky.app/Knhakxy","2025-11-25T02:19:43.107Z"
"lizpaddington.bsky.social","He’s all over the Epstein files. He is a sexual predator. He is a serial abuser. He is an adjudicated rapist. He should be rotting in prison for all of this.","2025-11-19T23:27:52.743Z"
"lizpaddington.bsky.social","🚨LIVE🚨: DEMS Hold MAJOR SHADOW HEARING on trump's Conduct #MTN #PRO-DEMOCRACY #PRO-DEMOCRACYCOMMUNITY @meidastouch.com #MeidasMighty #Bluecrew #WeFightFascism we have #NoKings in #America #Democracy Join us! #WeAreTheResistance www.youtube.com/live/qcsjOoq...","2025-11-25T02:34:06.369Z"
"lizpaddington.bsky.social","Expedited FOIA on the Epstein files? Yeah, there’s a reason certain folks are sweating through their spray tan in hiding tonight.","2025-11-25T00:38:45.732Z"
"lizpaddington.bsky.social","Federal Judge DISMISSES James Comey and Letitia James Cases! youtu.be/ReCVZl0JuPA?...","2025-11-25T00:43:21.841Z"
"lizpaddington.bsky.social","The House passed a resolution condemning socialism. Okay. When are they going to pass a resolution condemning fascism?","2025-11-25T00:51:45.780Z"
"lizpaddington.bsky.social","Is anyone surprised that the top MAGA trolls on X are posting from outside the U.S.? newrepublic.com/post/203562/...","2025-11-25T01:05:24.544Z"
"lizpaddington.bsky.social","Love Johnny youtube.com/shorts/ma_Wh...","2025-10-28T08:50:46.112Z"
"lizpaddington.bsky.social","WTF 🤬 ICE in DC is setting up racially driven checkpoints and roadblocks. This is one on Canal Road. A large number of vehicles can be seen waiting to be towed after these agents disappeared their owners.","2025-11-24T00:16:18.170Z"
"lizpaddington.bsky.social","Kingston, New York Saturdays Thru December 27 No Kings in Kingston","2025-11-24T00:18:05.322Z"
"lizpaddington.bsky.social","Never forget russia is a terrorist state...","2025-11-23T22:23:57.357Z"
"lizpaddington.bsky.social","Love Johnny youtube.com/shorts/ma_Wh...","2025-10-28T08:50:46.112Z"
"lizpaddington.bsky.social","Fabulous 💙💙💙 youtu.be/3y12rkPVa10?...","2025-10-28T07:59:20.908Z"
"lizpaddington.bsky.social","Yes! Well done America 💙","2025-10-28T06:55:43.719Z"
"lizpaddington.bsky.social","This podcast will be chronicling Donald Trump's second term - from the day he won to the day he leaves office. That's the goal. Check it out & bookmark it for upcoming episodes. www.youtube.com/playlist?lis...","2025-02-07T04:28:40.752Z"
"lizpaddington.bsky.social","Thanks @harryjsisson.bsky.social","2025-10-27T04:58:50.543Z"
"lizpaddington.bsky.social","If you'd rather make an impact by donating, volunteering, etc, where you live, you can find food banks local to you here: www.feedingamerica.org/find-your-lo...","2025-10-26T17:53:30.009Z"
"lizpaddington.bsky.social","The selective memory of RED HAT WEARING IDIOTS!!!","2025-10-19T10:51:33.713Z"
"lizpaddington.bsky.social","indivisible.org/resource/cou...","2025-10-24T21:05:29.806Z"
"lizpaddington.bsky.social","She’s a hypocrite in every way possible. Her husband was 32 when she was born. Leavitt had his baby, out of wedlock, when she was in her mid 20s and he was in his late 50s. She skipped maternity leave by choice, choosing job over baby. people.com/press-secret...","2025-10-24T01:33:55.106Z"
"lizpaddington.bsky.social","The time is now folks! Now!","2025-10-24T01:41:54.192Z"
"lizpaddington.bsky.social","Agree 💯","2025-10-21T07:56:41.039Z"
"lizpaddington.bsky.social","The worst racism in my view, is from those who are proud to hold those beliefs. Case in point:","2025-10-12T04:04:03.507Z"
"lizpaddington.bsky.social","“No, Speaker Johnson — the No Kings rally on October 18 is not a hate America rally. In fact, it’s quite the contrary: It’s a love America rally.” #NoKings","2025-10-11T23:44:45.338Z"
