"user","post","date"
"lynmarbo.bsky.social","Germany European Parliament Message to the USA","2026-02-17T14:24:01.944Z"
"lynmarbo.bsky.social","Governor Pritzker: “What comes next?” In Trump’s America, every new day is more horrifying than the last…","2026-02-18T05:56:44.596Z"
"lynmarbo.bsky.social","As he approaches his 70th birthday, the British artist Andy Goldsworthy—famed for his use of natural materials—feels at the peak of his creative powers. newyorkermag.visitlink.me/AROTIc","2026-02-15T01:00:46.842218Z"
"lynmarbo.bsky.social","👇","2026-02-14T22:28:26.658Z"
"lynmarbo.bsky.social","There are far more voters than ICE agents. People should plan to stay at their polling place all day. Make it a party. Meet your neighbors. Talk politics. Gather food trucks. Make it a safe place for voters who are nervous. ICE agents always back off when they are outnumbered.","2026-02-14T16:05:06.934Z"
"lynmarbo.bsky.social","With ZERO fucks left to give, Rep. Chuy Garcia let's evil pedophile protector Pam Bondi know EXACTLY how the majority of Americans feel about her. 🔥🔥🔥🔥🔥👇","2026-02-14T05:33:28.812Z"
"lynmarbo.bsky.social","Today, it's considered the UK's 'best preserved' medieval village, attracting visitors from far and wide who want to marvel at its history.","2026-02-14T02:50:05.507Z"
"lynmarbo.bsky.social","Tell them to grow a pair and ask tge man who is mentioned thousands of times first","2026-02-13T21:06:29.655Z"
"lynmarbo.bsky.social","www.newsweek.com/elites-who-r... Needs updating because I know I read a couple more notices but I don't track it and not in the mood to start.","2026-02-13T05:33:37.262Z"
"lynmarbo.bsky.social","@labouruk.bsky.social @news.sky what are we doing?","2026-02-13T08:37:33.295Z"
"lynmarbo.bsky.social","@labouruk.bsky.social @news.sky.com what are we doing??","2026-02-13T08:36:02.867Z"
"lynmarbo.bsky.social","@labouruk.bsky.social @news.sky.com what are we doing??","2026-02-13T08:35:07.700Z"
"lynmarbo.bsky.social","GALLEGO: Why is the agent who shot Renee Good holding a camera phone & weapon? LYONS: The US attorney was requiring to have video leading up to arrests, so officials have used phones for that GALLEGO: Maybe you shouldn't be trying to be an influencer and wielding a weapon at the same time","2026-02-12T18:06:17.508Z"
"lynmarbo.bsky.social","A great stitch","2026-01-27T23:37:24.916Z"
"lynmarbo.bsky.social","I wrote this song on Saturday, recorded it yesterday and released it to you today in response to the state terror being visited on the city of Minneapolis. It’s dedicated to the people of Minneapolis, our innocent immigrant neighbors and in memory of Alex Pretti and Renee Good. Stay free","2026-01-28T17:02:08.994Z"
"lynmarbo.bsky.social","With the release of 3 million more Epstein documents the connections between Epstein and the Russians becomes more clear. Putin was working with Epstein to blackmail American and EU businessmen and politicians.","2026-02-04T01:08:22.873Z"
"lynmarbo.bsky.social","Ossoff: """"You're seeing what I'm seeing, right? The president posting about the Obamas like a Klansman.""""","2026-02-07T23:38:48.354Z"
"lynmarbo.bsky.social","My god","2026-02-10T03:59:54.758Z"
"lynmarbo.bsky.social","“There’s no way you run a billion-dollar international child sex trafficking ring with just two people committing crimes.” - Rep. Raskin","2026-02-10T03:09:35.333Z"
"lynmarbo.bsky.social","Russian hockey stars’ hopes of playing in next year’s Milan-Cortina Olympics were iced when the IIHF decided to continue its ban of russia and belarus through the 2025-26 season. None have expressed regret for the atrocities committed by their countrymen in Ukraine. www.sportsnet.ca/hockey/artic...","2025-02-04T21:51:37.203Z"
"lynmarbo.bsky.social","This is racist, disgusting, deranged, and a complete humiliation to our country. There’s no excuse for pretending this is normal — every single Republican must denounce this unacceptable behavior.","2026-02-06T17:24:56.997Z"
"lynmarbo.bsky.social",". For all those who may have already forgotten . . . Trump is a convicted felon ! 💠 🧐 💠","2026-02-09T09:02:37.491Z"
"lynmarbo.bsky.social","Plans to reduce the employees at the Veterans Administration is insulting to all the men/women who served, gave up life & limb, only to face a big fat nothing for their efforts. Screw der trumple's dance hall & his golfing trips. Take care of the veterans first.","2026-02-09T00:05:08.896Z"
"lynmarbo.bsky.social","When you’re losing hope. Take a deep breath. Close your eyes. Think back to when this guy was your president. When you could associate the presidency with class, decency and integrity. Now open your eyes And fight like hell to get someone like him back in office again.","2026-02-07T17:56:29.308Z"
"lynmarbo.bsky.social","#slavaukraini","2026-02-07T04:09:27.040Z"
"lynmarbo.bsky.social","Trump is a megalomaniac from birth who is now the most powerful man in the world, and his narcissism plus rapidly increasing senility has already made his quite unfit for his office. He must be stopped from his path of non-stop damage to America. #ProudBlue","2026-02-06T21:47:59.447Z"
"lynmarbo.bsky.social","After a lifetime spent denigrating women He repeatedly called the Epstein files a hoax, demeaning over 1,000 victims while simultaneously protecting his pedophile friends And now-when asked about it all by a female reporter-he lashes out in a typical sexist fashion Trump is a loathsome toad","2026-02-04T03:38:37.428Z"
"lynmarbo.bsky.social","Welcome to those humans migrating over from TikTok! We may not have sexy dance trends or viral recipes for you here, but we have enthralling morning commute footage!","2026-01-29T23:25:37.422Z"
"lynmarbo.bsky.social","Many People Are Having Second Thoughts......","2026-01-29T12:03:22.381Z"
"lynmarbo.bsky.social","FBI & DOJ won’t investigate murder of two American citizens in Minneapolis by ICE but now seizing ballots in 2020 Georgia election that was audited three times","2026-01-28T22:02:14.517Z"
"lynmarbo.bsky.social","NEW: Georgia's @allvotingislocal.bsky.social said the real reason for the seizure of Fulton County’s ballots is to fuel Trump’s false narratives — not to uncover an actual crime. The response comes after the FBI raided the county’s election office this morning searching for 2020 election records.","2026-01-28T21:09:56.011939397Z"
"lynmarbo.bsky.social","Just think, Trump and Noem's murderous ICE thugs are the guys who will be monitoring the polls in the blue states for the midterms.","2026-01-28T06:51:32.702Z"
"lynmarbo.bsky.social","MF’ers! 🤬","2026-01-27T17:12:27.057Z"
"lynmarbo.bsky.social","Northern Lights over Greenland.","2026-01-24T21:07:11.643Z"
"lynmarbo.bsky.social","The parents of Alex Pretti, the 37-year-old ICU nurse killed by Customs and Border Patrol agents in Minneapolis on Saturday, called out the """"sickening lies"""" President Donald Trump's administration is telling about their late son.","2026-01-26T13:50:29Z"
"lynmarbo.bsky.social","This can’t be repeated enough. Not only won’t they investigate, they may never even tell us who did this. Think about the message that sends to the next ones. Nobody is safe.","2026-01-26T05:22:07.768Z"
"lynmarbo.bsky.social","Why are you putting up with this crap???","2026-01-25T23:03:51.164Z"
"lynmarbo.bsky.social","Alex Pretti, 37, murdered by the Republican Party.","2026-01-24T23:34:24.821Z"
"lynmarbo.bsky.social","MAGA is ICE. ICE murdered Alex Pretti, a VA nurse, on the street in Minneapolis. They did it for him exercising his constitutionally guaranteed rights.","2026-01-24T23:01:35.105Z"
"lynmarbo.bsky.social","We’re literally the butt of the joke 🤦🏻‍♀️","2026-01-24T04:39:56.663Z"
"lynmarbo.bsky.social","Minneapolis protester as he's being brutalized by feds: """"You're gonna have to kill me! You're gonna have to kill me! I've done nothing wrong! My name is Matthew James! I'm a US citizen! You're gonna kill me! Is that what you want?"""" (You can hear his wife screaming)","2026-01-24T17:37:17.543Z"
"lynmarbo.bsky.social","“Terrible things are happening outside. At any time of night and day, poor helpless people are being dragged out of their homes. Families are torn apart; men, women and children are separated. Children come home from school to find that their parents have disappeared.” Anne Frank","2026-01-24T04:53:50.526Z"
"lynmarbo.bsky.social","Please may I introduce you to Lance Corporal Joshua Leaky VC - who won his Vc for running into enemy fire to rescue an injured US Marine Captain!","2026-01-23T19:58:22.875Z"
"lynmarbo.bsky.social","This. Remember this next time he’s regurgitating trump’s evil garbage","2026-01-24T05:06:03.721Z"
"lynmarbo.bsky.social","🚨 NEW: Nigel Farage has breached the MP’s code of conduct 17 times by failing to register interests on time","2026-01-21T09:24:08.782Z"
"lynmarbo.bsky.social","What ICE is doing in the United States Nigel Farage has told us he wants to do in the United Kingdom.","2026-01-21T23:55:14.575Z"
"lynmarbo.bsky.social","Remember, folks, Nigel Farage is Trump's biggest fan...","2026-01-23T11:10:48.542Z"
"lynmarbo.bsky.social","Where is Farage. Where is his denouncement of Trump’s lies regarding British troops?","2026-01-23T12:33:08.909Z"
"lynmarbo.bsky.social","NEW: NEW: Standards commissioner finds Nigel Farage committed seventeen breaches of MPs code of conduct. He failed to declare £333,000 in outside interests (more than 3x MPs annual salary)…","2026-01-21T08:48:40.388Z"
"lynmarbo.bsky.social","Perhaps Nigel Farage would like to explain to the families of British soldiers killed in Iraq why he’s such a good pal of Donald ‘bonespurs’ Trump?","2026-01-22T20:33:34.129Z"
"lynmarbo.bsky.social","457 British troops lost their lives in Afghanistan. Trump avoided military service 5 times. How dare he question their sacrifice. Farage and all the others still fawning over Trump should be ashamed.","2026-01-22T20:00:34.197Z"
"lynmarbo.bsky.social","How dare the Coward in the White House undermine the bravery and sacrifice of our British troops. Reform and Nigel Farage should be ashamed to associate themselves with him.","2026-01-23T18:46:12.249Z"
"lynmarbo.bsky.social","Whatever Farage says, remember this tweet","2026-01-20T12:49:48.231Z"
"lynmarbo.bsky.social","bsky.app/profile/prou...","2026-01-24T03:23:40.884Z"
"lynmarbo.bsky.social","Renee Good's autopsy blows the lid off lies from Trump's DHS: ex-prosecutor","2026-01-24T03:00:27Z"
"lynmarbo.bsky.social","It’s -9 degrees. Downtown Minneapolis is packed for the anti-ICE rally and the crowd keeps growing","2026-01-23T20:16:05.929Z"
"lynmarbo.bsky.social","Garcia and Raskin wrote: “While your Department of Justice coddles Ghislaine Maxwell, a convicted child sex trafficker and Jeffrey Epstein’s co-conspirator, to support your cover-up by President Trump.....""""","2026-01-23T22:12:21.582Z"
"lynmarbo.bsky.social","#democrats and #republicans must get rid of the monster now. Enough.","2026-01-23T14:48:46.759Z"
"lynmarbo.bsky.social","@teamlabouruk.bsky.social Keir Starmer needs to publicly call him out now","2026-01-23T14:46:50.765Z"
"lynmarbo.bsky.social","'It's not even disgraceful, or appalling - it's beyond that.' Caller Jeff, whose son took his life while on duty, weeps as he gives @mrjamesob.bsky.social his response to Trump's Afghanistan frontline insult.","2026-01-23T14:41:41.404Z"
"lynmarbo.bsky.social","Jack Smith: """"Rather than accept his defeat in the 2020 presidential election, President Trump engaged in a criminal scheme to overturn the results and prevent the lawful transfer of power. President Trump attempted to induce state officials to ignore true vote counts…""""","2026-01-22T15:31:22.030Z"
"lynmarbo.bsky.social","You don’t know your role yet maybe, but we are all finding out just what we have to offer. In Minneapolis, one man knew immediately what he could offer and said “Bring me your clothing”.","2026-01-23T02:57:26.020Z"
"lynmarbo.bsky.social","Canada sent so many dedicated young people into the hellfire of Kandahar to help the United States. Now they ridicule us. JD Vance says he is tired of our """"sob stories"""". Trump says they never needed us. Never again, America, Never again.","2026-01-23T01:52:02.503Z"
"lynmarbo.bsky.social","Jack Smith on Trump's attacks: """"I think the statements are meant to intimidate me. I will not be intimidated. I think these statements are also made as a warning to others, what will happen as they stand up.""""","2026-01-22T19:00:47.847Z"
"lynmarbo.bsky.social","🩷 🩷 🩷 🩷 🩷","2026-01-23T06:03:43.782Z"
"lynmarbo.bsky.social","JACK SMITH: “I have seen how the rule of law can erode. My fear is that we have seen the rule of law function in our country for so long many of us have come to take it for granted. The rule of law is not self-executing. It depends on our collective commitment to apply it.”","2026-01-22T17:16:24.265Z"
"lynmarbo.bsky.social","Jack Smith pursued the facts, followed the law and stuck to every rule of ethical and professional conduct. He had the audacity to do his job. Donald Trump simply can’t take that.","2026-01-22T19:46:31.178Z"
"lynmarbo.bsky.social","#davos why does nobody burst out laughing at his bullsh*t","2026-01-21T13:44:08.437Z"
"lynmarbo.bsky.social","BREAKING: Thousands of protesters show up to protest against Donald Trump near the World Economic Forum in Davos, Switzerland. People all around the world really hate Donald Trump. I hope they realize that most Americans hate him too.","2026-01-21T12:13:56.184Z"
"lynmarbo.bsky.social","the world is losing the will to live #frump","2026-01-20T20:07:27.532Z"
"lynmarbo.bsky.social","Well he’s never going to get to #Davos at this rate","2026-01-20T20:01:17.367Z"
"lynmarbo.bsky.social","please US, make the sad megalomaniac stop","2026-01-20T19:18:15.795Z"
"lynmarbo.bsky.social","Did frump just accuse someone of rape?? @news.sky.com","2026-01-20T18:57:24.183Z"
"lynmarbo.bsky.social","The sheer hypocrisy talking about the importance of free speech #johnson","2026-01-20T10:01:49.491Z"
"lynmarbo.bsky.social","A “Stop Trump” protest is also underway in Nuuk, Greenland’s capital, led by the prime minister and other political leadership. """"Listen to us. Our country is not for sale. We do not want to be Americans... We are Kalaallit."""" """"Not to take over. Not to acquire. Not by pressure. Not now. Not ever.""""","2026-01-17T16:40:25.032Z"
"lynmarbo.bsky.social","A massive """"Hands off Greenland"""" protest is happening right now in Copenhagen to demonstrate against Trump's threats. """"The aim is to send a clear and unified message of respect for Greenland's democracy,"""" organisers said. “Respect for Greenland, respect for Greenlanders, respect for Denmark.”","2026-01-17T15:52:08.356Z"
"lynmarbo.bsky.social","Only the Best Resistance 🌊🌊🌊","2026-01-16T21:56:35.718Z"
"lynmarbo.bsky.social","Two days ago it was Elissa Slotkin. Last week it was Jerome Powell. Before that, Mark Kelly. Weaponizing the justice system against your opponents is an authoritarian tactic. The only person not being investigated for the shooting of Renee Good is the federal agent who shot her.","2026-01-16T23:46:52.803Z"
"lynmarbo.bsky.social","🔥","2026-01-17T00:05:48.757Z"
"lynmarbo.bsky.social","BBC report at a headline level that Grok will now not make sexually exploitative images any more. An actual reporter comes on and explains that it will do no such thing, and will just make the images invisible in the UK. These are two very, very different things.","2026-01-15T06:44:54.123Z"
"lynmarbo.bsky.social","FUN FACT... and weird. Weird how unsurprising this fact is.","2026-01-15T06:53:43.285Z"
"lynmarbo.bsky.social","How to scam 101","2026-01-15T11:01:56.485Z"
"lynmarbo.bsky.social","My god","2026-01-15T08:26:02.242Z"
"lynmarbo.bsky.social","The Congressional Budget Office noted a “modest implementation” of the name change would cost around $10 million.","2026-01-14T21:20:04Z"
"lynmarbo.bsky.social","Even just a name can put in motion efforts that get someone released. If they're a citizen, we can get them jail support. If they're an immigrant, there are groups working overtime to file habeas petitions before they're whisked out of state. But it starts with a name.","2026-01-14T14:56:38.557Z"
"lynmarbo.bsky.social","If you see an abduction keep your wits about you and focus on: -recording it -getting a name The first one I saw I went into a red rage and started screaming “GO HOME.” The second I was better but I didn’t get to the key question fast enough (I had less than 20 seconds). Next time I’ll do better","2026-01-14T15:12:51.984Z"
"lynmarbo.bsky.social","Conway: This man is violating his oath in myriad ways each and every day. Impeachment is not an option. It is mandatory. It is required. It is morally, constitutionally, and legally obligated.","2026-01-09T00:50:13.773Z"
"lynmarbo.bsky.social","Ain’t that the TRUTH!!! #ChuckandJim","2025-10-07T17:42:37.266Z"
"lynmarbo.bsky.social","Con man Trump, blind as ever, thought it clever to fabricate bogus accusations against Jerome Powell to save face. The result, yet another scandal, and everyone feigns surprise. We applaud presidential-style incompetence. #ProudBlue #DV1","2026-01-13T16:00:03.784Z"
"lynmarbo.bsky.social","youtube.com/shorts/yi3Lh...","2026-01-13T04:21:41.628Z"
"lynmarbo.bsky.social","More pointedly: To anybody still using X: sexual abuse content is the final straw, it’s time to leave www.theguardian.com/commentisfre...","2026-01-13T04:23:04.166Z"
"lynmarbo.bsky.social","Elon Musk's X faces bans and investigations over nonconsensual bikini images flip.it/7CEO2u if this isn’t enough for people, media, companies, leaders, states & nations to boycott or ban, nothing is. Thus far, only Malaysia & Indonesia protecting folks from nonconsensual pornography—& banned X! 🫠","2026-01-13T02:14:06.542Z"
"lynmarbo.bsky.social","AOC: I want everybody to understand that the cuts to your health care are what’s paying for this. You get screwed over to pay a bunch of thugs in the street that are shooting mothers in the face.","2026-01-13T01:20:53.169Z"
"lynmarbo.bsky.social","Democrats warm to making ICE funding a line in the sand: ‘Operating outside the law’","2026-01-13T03:01:30.844Z"
"lynmarbo.bsky.social","The Trump administration has rolled out a campaign across departments that draws on images and ideas borrowed from right-wing and white nationalist circles. https://to.pbs.org/45GW3I9","2026-01-13T03:40:00.99844498Z"
"lynmarbo.bsky.social","@peterkyle356.bsky.social","2026-01-12T15:04:18.801Z"
"lynmarbo.bsky.social","@news.sky.com please ask every uk politician that comes on why they’ve not left X","2026-01-12T09:09:09.049Z"
"lynmarbo.bsky.social","@jessphillipsmp.bsky.social why hasn’t #labour left X","2026-01-12T09:07:56.171Z"
"lynmarbo.bsky.social","I am so so delighted that Cllr Ed Mundy has joined the Green Party. This takes us up to 9 councillors at Oxford City Council. Ed is a hugely experienced and principled councillor who will be a huge asset to @oxfordgreenparty.bsky.social Welcome Ed!","2026-01-12T08:36:18.711Z"
