"user","post","date"
"madgranny2025.bsky.social","Does that seem fair to you?","2026-02-16T23:11:32.596Z"
"madgranny2025.bsky.social","bsky.app/profile/cana...","2026-02-16T23:46:34.481Z"
"madgranny2025.bsky.social","These colors don't run.","2026-02-16T20:00:14.208Z"
"madgranny2025.bsky.social","More details on the white nationalist Jeremy Carl👺who Trump wants for the State Department. Call your Senators. #Pinks #ProudBlue #SheShed","2026-02-16T13:57:05.987Z"
"madgranny2025.bsky.social","The most frequently mentioned location in the Epstein Files isn't his island, nor one of his apartments. It is Mar-a Lago.","2026-02-16T11:28:35.899Z"
"madgranny2025.bsky.social","Resistance infrastructure.","2026-02-15T13:38:02.691Z"
"madgranny2025.bsky.social","www.samsung-news.com/articles/6al... Not surprised. He's made his fortune off of financial ruin of others. Parasite.","2026-02-16T20:04:44.450Z"
"madgranny2025.bsky.social","YIKES! Who made this? This will give you nightmares. 🚨","2026-02-16T19:42:20.830Z"
"madgranny2025.bsky.social","Seen yesterday at the Düsseldorf (Germany) carnaval 😐","2026-02-15T14:11:25.593Z"
"madgranny2025.bsky.social","DHS is issuing subpoenas to ask for the names & contact info for the social media accounts criticizing ICE. This is a complete violation of your rights. The First Amendment doesn’t have an asterisk that says “unless you criticize the government.” www.nytimes.com/2026/02/13/t...","2026-02-16T19:07:10.703Z"
"madgranny2025.bsky.social","YES!","2026-02-15T20:58:26.157Z"
"madgranny2025.bsky.social","When will the U.S. start arresting pedophiles??","2026-02-15T20:57:47.661Z"
"madgranny2025.bsky.social","Trump has a problem with Kelly telling the truth & accurately reciting current military policy. God forbid he tell the TRUTH","2026-02-15T20:42:08.557Z"
"madgranny2025.bsky.social","ARREST THE PEDOPHILES","2026-02-15T18:57:25.895Z"
"madgranny2025.bsky.social","An outright offer of a BRIBE (to Trump) in order to remain silent. She's a convicted pedo. Isn't bribery illegal??","2026-02-15T18:55:21.743Z"
"madgranny2025.bsky.social","Why can't Democrats stop fighting the SAVE ACT (Voter ID at least) & start organizing support organizations to help seniors & vulnerable people obtain the necessary paperwork to do so. We have to show IDs for almost everything else. Can't we come to the middle on this? IDs make sense","2026-02-15T01:32:44.737Z"
"madgranny2025.bsky.social","Is this true??","2026-02-15T01:15:57.796Z"
"madgranny2025.bsky.social","“I’ve never protested before - but I just watched 4th & 5th grade kids run away from our own government.” 😕🇺🇸💔 (From @crindivisible.bsky.social )","2026-02-15T00:45:31.147Z"
"madgranny2025.bsky.social","Just sent this out, mostly free. The Epstein files show just how close he was to Russian sources. They also make it clear that Epstein represented a historic opportunity to collect Kompromat on the rich and famous. Nothing would terrify a narcissist more. open.substack.com/pub/phillips...","2026-02-05T09:34:35.168Z"
"madgranny2025.bsky.social","What could go wrong???","2026-02-15T00:15:43.294Z"
"madgranny2025.bsky.social","No, you don’t have to forgive people who giddily endorsed fascism for over ten years and only just now realize they support pedophiles.","2026-02-14T23:06:14.966Z"
"madgranny2025.bsky.social","The Republicans = The party of Pedophiles 👌","2026-02-15T00:59:12.712Z"
"madgranny2025.bsky.social","Just added to my list.","2026-02-14T23:11:06.474Z"
"madgranny2025.bsky.social","Snopes: Geez I guess it's true","2026-02-15T00:16:55.564Z"
"madgranny2025.bsky.social","Unlike in Europe, officials in the U.S. with ties to Epstein have largely held their positions of power. trib.al/NS4Lf8H","2026-02-14T23:10:40.283464Z"
"madgranny2025.bsky.social","Honored to be endorsed by the @HoustonChron for Congressional District 9 in Texas- I will fight to level the playing field for the working people in our district! CD9 is ground zero in the gerrymandering wars so let’s WIN this seat together! www.houstonchronicle.com/opinion/endo...","2026-02-13T22:39:25.902Z"
"madgranny2025.bsky.social","Ghislaine Maxwell lied on her US citizenship application. She checked the no box when asked if she had ever procured anyone for prostitution. She had been trafficking since 1994. This could get another 25 years added to her sentence.","2026-02-14T20:31:43.735Z"
"madgranny2025.bsky.social","bsky.app/profile/darr...","2026-02-14T23:19:38.726Z"
"madgranny2025.bsky.social","www.axios.com/2026/02/13/e...","2026-02-14T21:54:04.777Z"
"madgranny2025.bsky.social","youtu.be/2EQ9acxqzO4?...","2026-02-14T21:48:55.980Z"
"madgranny2025.bsky.social","He needs to talk to all the people with BLACK LUNG vs industry profiteers who don't give one shit about vulnerable worker health. There's NOTHING CLEAN ABOUT COAL","2026-02-14T15:51:04.601Z"
"madgranny2025.bsky.social","What??","2026-02-14T12:17:43.488Z"
"madgranny2025.bsky.social","My pleasure Sandy! ✊🏼🗽🩵💫🎶 🎤 #StrongerTogether 🔥 You & Us We Will RISE!!! #Braven 🪽 #DigitalGoddessSession 🪽 #BravenAndTheResistanz 🪽 #TheResistanz 🔥 #HaloStarMusicProductions 💫 🔔YouTube: www.youtube.com/watch?v=HZPd...","2026-02-13T19:35:30.047Z"
"madgranny2025.bsky.social","ALL OF THEM. INCLUDING TRUMP","2026-02-13T20:56:16.437Z"
"madgranny2025.bsky.social","Our Orange leader is a perfect example!","2026-02-13T16:50:45.079Z"
"madgranny2025.bsky.social","And in America, “THE LAND OF THE FREE CRIMINALS”, those that can make a difference, don’t!","2026-02-13T15:21:40.082Z"
"madgranny2025.bsky.social","Sanders: The American people do not want this country to be an authoritarian society or an oligarchy. We have our differences, that’s what democracy is about—we argue it out. We don’t throw people who disagree in jail. We don’t intimidate the media. We don’t send ICE agents to shoot people.","2026-02-13T20:20:09.815Z"
"madgranny2025.bsky.social","Trump expects Zelensky to concede to Russia. Gotta please Putin","2026-02-13T20:44:00.504Z"
"madgranny2025.bsky.social","Pride is known as hubris (from the Ancient Greek ὕβρις) or futility; it is considered the original & worst of the seven deadly sins—the most demonic—on almost every list. (DESTRUCTO DONNIE HAS EXCESSIVE PRIDE) with evil intentions that appear demonic.","2026-02-13T20:05:40.230Z"
"madgranny2025.bsky.social","Irish man detained by ICE describes immigration facility as """"modern-day concentration camp"""" search.app/xdKYM","2026-02-13T18:19:23.299Z"
"madgranny2025.bsky.social","Pam Bondi school photo","2026-02-13T14:44:50.579Z"
"madgranny2025.bsky.social","Seems to me that he just admitted some things here. You?","2026-02-13T14:29:33.308Z"
"madgranny2025.bsky.social","""""The Arc of the Moral Universe is Long,But it Bends Towards Justice"""". It Needs To Get Going, Now.......","2026-02-13T10:07:53.227Z"
