"user","post","date"
"magaslayer73.bsky.social","Our assignment is to embarrass fascist hack and Trump-panderer Bari Weiss by making sure this segment, which she banned from airing, gets more views on YouTube than it would have gotten on CBS. #StreisandEffect","2026-02-17T18:20:33.366Z"
"magaslayer73.bsky.social","Please Follow & Repost these are all vetted accounts They are awesome people. Some are well-known & there's a few veterans. go.bsky.app/EyE1Rys","2026-02-16T02:09:00.953Z"
"magaslayer73.bsky.social","Ghislaine Maxwell, a convicted child sex trafficker, gets gardening time, sports, therapy dogs, and spa products in prison. Migrant children in custody are sleeping on concrete floors without enough food or clean water. Our priorities are so fucked.","2026-02-16T05:57:56.204Z"
"magaslayer73.bsky.social","There are several reasons large pro-Russia accounts are taking over online coverage of the Epstein files: 1. Control narrative. 2. Disassociate Russia from Israel. 3. Funnel legitimacy to their networks. 4. Destroy legitimacy of the files by mixing fakes & conspiracy theories.","2026-02-16T06:19:51.491Z"
"magaslayer73.bsky.social","We must never normalize these ongoing attacks by DHS agents on the people they supposedly protect. Trump, Vance, Miller, & Noem have created a culture of impunity that has led to rampant abuse and killings. Not one more dime for this lawlessness.","2026-02-13T15:30:57.458Z"
"magaslayer73.bsky.social","A Ukrainian child is told to get a delivery from a driver. But its her father returning from War in Ukraine.","2026-02-13T15:32:19.148Z"
"magaslayer73.bsky.social","Let's have a Friday Follow Party tomorrow! 💙🥳💙 If you see this & you are a Resister/Democracy Defender account who follows me, Drop a comment here & I'll add you to boosts at 7:30pm CT tomorrow! Vet 🧐 & Follow 👣 others here, too! Repost so we can all find new Resisters to connect with! 🔄 👇","2026-02-13T01:27:21.920Z"
"magaslayer73.bsky.social","Every state should be putting safeguards in place NOW! This is a great list to get in place before the midterms that we all know they are actively trying to manipulate already. Every vote is a voice. Don’t ever let them take your voice away. Call your state’s representatives today! #SheShed","2026-02-10T12:23:10.191Z"
"magaslayer73.bsky.social","ICYMI - Dems flipped a seat in Tarrant County and Republicans called an emergency meeting. Trump carried the district by 17 points in 2024, so if Texas Republicans are in panic mode there, the entire state is in play.","2026-02-09T18:18:23.931Z"
"magaslayer73.bsky.social","A reminder to the haters it takes this many states to outnumber the American citizens in Puerto Rico (~3.5m v. ~3.2m)","2026-02-09T02:34:51.697Z"
