"user","post","date"
"mahlolwa.bsky.social","Sounds to me like lil’ Ron is in some deep sh*t. 💩","2026-02-18T12:19:25.695Z"
"mahlolwa.bsky.social","In München „habe ich keine einzige Person irgendeiner Nationalität getroffen, die glaubt, dass sich die amerikanisch-europäischen Beziehungen wieder normalisieren würden“.","2026-02-17T15:28:33.011Z"
"mahlolwa.bsky.social","Good morning, butterflies Today's #BirdOfTheDay theme is #CollectingFood 🪶","2026-02-17T15:21:35.317Z"
"mahlolwa.bsky.social","A two month old-detained in the ICE concentration camp at Dilley-was rushed to the hospital this weekend The boy’s extreme youth made him particularly vulnerable in a prison setting Worse, they knew he was sick-and couldn’t care for him-because the facility didn’t even have a doctor ABOLISH ICE","2026-02-17T03:32:15.602Z"
"mahlolwa.bsky.social","This goddamn IDIOT.... I refuse to pay tariffs- I'll just sit back and wait till he dies or is replaced with someone with a functioning brain- cause this guy's brain doesn't.","2026-02-16T01:32:51.317Z"
"mahlolwa.bsky.social","Listen to the words of this wise lady. Jane Goodall in a film recorded on the condition that it would only be released after her death. (32 books, over 40 films) Active lecturer, climate action, wildlife sanctuaries and reforestation projects in Africa. www.comicsands.com/goodall-last...","2025-11-08T14:22:28.300Z"
"mahlolwa.bsky.social","Measles is a bellwether. Because it’s the most contagious vaccine-preventable disease, when vaccination rates drop, it’s the first to start spreading. Now we’ve got mumps rolling up. Expect more. This is just the beginning of RFK Jr.’s successful infectious disease reintroduction plan.","2026-02-14T23:34:29.368Z"
"mahlolwa.bsky.social","'Objekte die mit """"M"""" beginnen oder so aussehen... ' #FotoVorschlag","2026-02-16T07:00:13.000Z"
"mahlolwa.bsky.social","#TimelineCleanse #Olympics For My New Appreciation of the Olympics and the Love of Curling Did you know Curling originated in 16th Century Scotland","2026-02-16T04:05:53.867Z"
"mahlolwa.bsky.social","In other words, he will say nothing to Orban and Fico about this because the US only seeks to encourage European leaders who are aligned with Putin.","2026-02-16T00:00:25.642Z"
"mahlolwa.bsky.social","This flew under the radar, but it shouldn’t have. When senator Alex Padilla was tackled by DHS, Kristi Noem’s side piece, Corey Lewandowski, was orchestrating the situation in the hall.","2026-02-16T01:05:51.701Z"
"mahlolwa.bsky.social","The candidate for US Senate endorsed by Gov. Brian Kemp didn’t vote for 20 years, including the 2016 & 2020 presidential elections. apnews.com/article/dere...","2026-02-16T00:48:44.224Z"
"mahlolwa.bsky.social","Good thing Fox doesn’t do this.","2026-02-16T00:40:48.503Z"
"mahlolwa.bsky.social","🎯🎯","2026-02-15T13:03:29.665Z"
"mahlolwa.bsky.social","Langzeitrisiko für Prädiabetes und Typ-2-Diabetes nach SARS-CoV-2-Infektion Landesweite Kohorte von 5.084.889 US-Erwachsenen: Eine SARS-CoV-2-Infektion war mit erhöhtem 5-Jahres-Risiko für Prädiabetes (HR 1,23) und Typ-2-Diabetes (HR 1,40) assoziiert. www.endocrinepractice.org/article/S153...","2026-02-15T22:30:26.126Z"
"mahlolwa.bsky.social","A foolish person who had the shortest run as Britain's Prime Minister poses with a statue of an ancient garden gnome in a tacky club.","2026-02-15T19:57:22.374Z"
"mahlolwa.bsky.social","SO MUCH FOR “FREEDOM OF SPEECH”","2026-02-15T22:47:10.769Z"
"mahlolwa.bsky.social","This odious white supremacist needs to learn some history. Not so long ago, it was common to see """"Irish need not apply"""" in job listings in the United States. You know, the same type of pernicious prejudice that Elon exhibits regularly.","2026-02-15T19:33:15.834Z"
"mahlolwa.bsky.social","Nach eigenen Angaben wurden sie von Personal in der Halle aufgefordert, die Fahne nicht länger zu zeigen. „Er sagte, dies sei aus Sicherheitsgründen, weil es aggressive amerikanische Menschen geben könnte“, sagte Kalnins.","2026-02-15T11:28:16.118Z"
"mahlolwa.bsky.social","You aren't going to believe what's coming out about this ICE warehouse in Georgia!","2026-02-15T18:34:47.681Z"
"mahlolwa.bsky.social","So the United States will only use empty warehouses to house people it wants to terrorize, not people it wants to shelter from the cold. We really are not a very good-natured country.","2026-02-15T19:24:29.685Z"
"mahlolwa.bsky.social","Kristi Noem: """"When it gets to Election Day, we've been proactive to make sure we have the right people voting, electing the right leaders to lead this country.""""","2026-02-14T14:51:25.730Z"
"mahlolwa.bsky.social","😂👇😂","2026-02-14T01:12:34.917Z"
"mahlolwa.bsky.social","Donnie Dementia Doesn't Know or Remember The Military DOESN'T HAVE 401K's........","2026-02-14T10:56:19.734Z"
"mahlolwa.bsky.social","Der Russisch-Ukrainische Krieg begann Ende Februar 2014, nur mal so zur Klarstellung, Herr Gabriel.","2026-02-13T19:40:55.879Z"
"mahlolwa.bsky.social","Ein #AfDVerbot wird immer realistischer. Wir haben mit interaktiven Grafiken ausgearbeitet, wie Mehrheiten im Bundesrat möglich sind. Und ein Szenario ist jetzt bereits möglich – und würde garantiert zum Untergang der rechtsextremen Partei führen. www.volksverpetzer.de/analyse/afd-...","2026-02-13T12:05:35.810Z"
"mahlolwa.bsky.social","'Tierische Begegnungen' #FotoVorschlag","2026-02-13T07:00:00.000Z"
"mahlolwa.bsky.social","Die Identifikation von Feuerfußhörnchen als Mpox-Reservoir durch ein Team des @helmholtz-hioh.bsky.social war nur dank langfristig angelegter #OneHealth Forschung möglich. HIOH-Direktor Fabian Leendertz plädiert daher dafür, das One Health-Monitoring auszubauen. www.helmholtz-hzi.de/media-center...","2026-02-12T14:06:18.683Z"
"mahlolwa.bsky.social","Todd Lyons, der amtierende Chef der US-Einwanderungs- und Zollbehörde (ICE), hat gegenüber Senatoren zugegeben, dass Bundesbeamte der Einwanderungsbehörde „keinen Grund“ hätten, im November an Wahllokalen präsent zu sein.","2026-02-12T20:49:40.711Z"
"mahlolwa.bsky.social","Donald Trump is betraying America's automakers and letting China dominate the future of EVs and clean energy. Make no mistake: California will keep driving forward with zero-emission vehicles, clean tech, and innovation.","2026-02-13T18:46:35.229Z"
"mahlolwa.bsky.social","Was der Harald sagt … 🖖","2026-02-13T17:12:52.404Z"
"mahlolwa.bsky.social","Epstein survivor Danielle Bensky: """"There were 3 times that Bondi could have turned around in that room & just looked us in the eye. Just the sheer acknowledgment that we were human would have been enough. And she couldn't even do that. She reminded us we are nothing to her.""""","2026-02-13T18:53:34.298Z"
"mahlolwa.bsky.social","AOC: """"Extreme level of wealth inequality leads to social instability and drives authoritarianism, right-wing populism, and really dangerous domestic internal politics. That is a direct outcome of the failure of democracies over decades to deliver.""""","2026-02-13T17:50:54.266Z"
"mahlolwa.bsky.social","Trump and his Administration want to make an example out of me so they can scare Americans like you and keep you from speaking out against him. The most patriotic thing any of us can do right now is to keep speaking up.","2026-02-12T00:03:55.995063635Z"
"mahlolwa.bsky.social","Make it make sense.","2026-02-12T21:30:21.654Z"
"mahlolwa.bsky.social","Today, the Trump administration repealed the endangerment finding: the ruling that served as the basis for limits on tailpipe emissions and power plant rules. Without it, we’ll be less safe, less healthy and less able to fight climate change—all so the fossil fuel industry can make even more money.","2026-02-12T19:46:12.277Z"
"mahlolwa.bsky.social","But they all fell in line to take voting rights away from women…and one of ours joined THEM!","2026-02-12T14:50:14.996Z"
"mahlolwa.bsky.social","Rep. Massie: """"This is bigger than Watergate…This cover-up spans decades, and you are responsible for this portion of it.""""","2026-02-11T17:55:29.703Z"
"mahlolwa.bsky.social","Thank you, Julie Johnson, for speaking out against the grotesquely misnamed SAVE act. We need you to keep fighting for us in the House.","2026-02-11T22:30:09.566Z"
"mahlolwa.bsky.social","You gotta admit, the staffers in the background keeping it real are the best part.","2026-02-12T06:12:14.729Z"
"mahlolwa.bsky.social","People who speak like this under oath to our elected Representatives in the People’s House should face actual legal & professional consequences","2026-02-12T06:04:00.668Z"
"mahlolwa.bsky.social","TEXAS — A father shoots and kills his British daughter LUCY HARRISON who was visiting… after arguing about Trump’s sexual assault allegations… and no charges? Because he says he was just showing her his gun and it went off? 🤔 local12.com/news/nation-...","2026-02-12T04:10:33.330Z"
"mahlolwa.bsky.social","Donald Trump is stripping critical public health funding with one goal in mind: harming states he doesn’t like. It’s a slap in the face to Illinoisans. We will not stand by idly as Trump illegally cancels the Congressionally-allocated funding we are owed.","2026-02-12T02:56:19.495Z"
