"user","post","date"
"mian3.bsky.social","We are living through dark, disturbing and dangerous times, but do not despair — the cavalry is coming! Bruce Springsteen and The E Street Band will be taking the stage this spring from Minneapolis to California to Texas to Washington, D.C. for the Land of Hope And Dreams American Tour.","2026-02-17T17:11:34.292Z"
"mian3.bsky.social","Trump cut Medicaid & SNAP so he could use that money to warehouse millions of people who, according to DHS’s own numbers, pose no threat to public safety. It's inhumane & a waste of your taxpayer money. We need to claw back these funds & put an end to their prison camps.","2026-02-13T21:49:10.331Z"
"mian3.bsky.social","Rubio's standing ovation in Munich after he declared the end of the “rules based order” shows how weak many European “leaders” have become. Instead of defending universal human rights they folded to his siren song of blood & soil. I called out Rubio's Trump-lobotomy last March:","2026-02-14T19:37:01.968Z"
"mian3.bsky.social","Senators Ron Wyden (D-OR) and Jeff Merkley (D-OR) are leading a bill aiming to limit immigration authorities from using facial recognition technology.","2026-02-06T20:40:01.284Z"
"mian3.bsky.social","It’s all one big grift","2026-02-07T16:39:38.484Z"
"mian3.bsky.social","“That means that they can track your location, where you go, what you do and especially who you talk to,"""" U.S. Sen. Ron Wyden said.","2026-02-07T03:00:08.478Z"
"mian3.bsky.social","When I wrote Section 230 I did so knowing it would be critical for protecting free speech online. 30 years later and it’s one of the last things standing in the way of Republican censorship of the internet. Here’s to many more years of defending this vital safeguard of free speech.","2026-02-08T18:28:59.605Z"
"mian3.bsky.social","There's got to be a lot more accountability for a lot more people in Epstein's world. That's why I'm not letting up on my follow the money investigation.","2026-02-13T14:22:01.751Z"
"mian3.bsky.social","I’m just going to leave this here","2026-02-13T17:54:53.094Z"
"mian3.bsky.social","Oregon Democratic Sen. Ron Wyden introduced a bill that would levy a 100% tax on any payout the president receives from his lawsuit over leaked tax information that showed he paid just $750 in federal income tax one year.","2026-02-12T20:30:09.393Z"
"mian3.bsky.social","Trump’s DOJ lackeys just tried to indict Members of Congress for stating the obvious: You don’t have to follow illegal orders. That the DOJ would even contemplate such an action demonstrates what a repressive regime is now running this country. 🧵","2026-02-11T04:18:55.850Z"
"mian3.bsky.social","The administration is trying to indict members of Congress for speaking truth to power. This is a grave threat to the First Amendment and the right of citizens to choose their own representatives. The time to speak out is now.","2026-02-11T15:53:30.898Z"
"mian3.bsky.social","Glenn Medical Center, the only hospital in Glenn County, closed last year due to bureaucratic red tape — forcing families to travel miles to get care. Now, a new bipartisan law that I wrote with the late-Rep. LaMalfa is fixing Glenn's federal status and creating a pathway to reopening its doors.","2026-02-11T19:08:24.324Z"
"mian3.bsky.social","For months, the administration falsely claimed that its military operations in the Caribbean were about stopping drugs. Now, they are hiding the proceeds of Venezuela’s oil in an offshore bank. Where is the money going? Who benefits? We need answers. www.nytimes.com/2026/02/11/u...","2026-02-11T22:22:46.582Z"
"mian3.bsky.social","When @padilla.senate.gov and I visited the California City Detention Center, we met with people who were held without basic medical treatment or, in many cases, no medical attention at all. 🧵 www.latimes.com/california/s...","2026-02-12T00:16:03.367Z"
"mian3.bsky.social","I’m starting an investigation into this new scheme.","2026-02-12T18:41:55.584Z"
"mian3.bsky.social","Stop me if you’ve heard this before: Trump’s White House is offering million-dollar donors special access to the President and official events — this time America’s 250th birthday. This latest pay-to-play arrangement undercuts already crumbling public trust.","2026-02-12T18:41:55.583Z"
"mian3.bsky.social","Collins makes 50 votes for it. But they need 60 to pass it into law. Call your Senators is right!","2026-02-14T06:19:57.116Z"
"mian3.bsky.social","Collin’s has to go","2026-02-14T06:40:39.158Z"
"mian3.bsky.social","Susan Collins really needs to be vote out. She is not looking out for her constituents.","2026-02-14T14:38:52.158Z"
"mian3.bsky.social","Susan Collins has apparently decided to give Republicans the votes needed to pass the SAVE Act. This is a three-alarm emergency. We must act swiftly. Tell every Senator right now we absolutely cannot let this pass:","2026-02-14T01:54:47.374Z"
"mian3.bsky.social","I keep seeing posts going """"when ICE comes to MY city, we'll be out in the streets even harder"""" and man, I get that sentiment but I need everyone to understand that the work in Minneapolis is partly confrontational but MORE IMPORTANTLY aaallll the stuff organized in the background to help neighbors","2026-01-29T16:16:25.403Z"
"mian3.bsky.social","🩷🩷 MISSY 🩷🩷 7 years old, only 8 lbs This little lady needs a home. 👇🩷👇🩷👇🩷👇🩷👇🩷👇 www.adoptapet.com/pet/47212705... Forever Paws (508) 677-9154 300 Lynwood St, Fall River, MA 02721","2026-02-15T01:34:40.799Z"
"mian3.bsky.social","Bernie Sanders: """"When you are worried every day about how you are gonna feed your kids, pay the rent, get to your job, if you'll have a job - all of that stress beats you down. 60% of the people in the wealthiest country on Earth, are struggling while the people on top have never had it so good.""""","2026-02-14T02:18:05.941Z"
"mian3.bsky.social","bsky.app/profile/maxi...","2026-02-15T09:38:50.166Z"
"mian3.bsky.social","Senate votes to restrict Trumps “war time powers”…. He’s not happy!!!","2026-02-14T00:27:47.616Z"
"mian3.bsky.social","My mom sent me a link to this bookshop website that curates interesting and unusual books. Great looking selection, here. societyforunusualbooks.com","2026-02-15T00:48:49.696Z"
"mian3.bsky.social","Raskin: What makes somebody a good lawyer? You have to identify with the people who are the victims of injustice — not with their perpetrators. So I would say to Pam Bondi: If you’re going to stand with the victimizers and not the victims, then you’re not a real lawyer.","2026-02-14T23:25:50.767Z"
"mian3.bsky.social","as hard as it is, I still believe! Never give up. 45 miles an hour. www.tiktok.com/t/ZThxWY6S1/","2026-02-15T03:05:22.632Z"
"mian3.bsky.social","Release the unredacted Epstein files.","2026-02-14T20:51:17.342Z"
"mian3.bsky.social","WE FOUND THE WASTE, FRAUD, AND ABUSE. Nope! I don’t want my tax dollars funding DHS brutality, and I definitely don’t want it paying for Kristi Noem and Corey Lewandowski to jet-set around the country and fuck in a private cabin on a luxury $70M 737 Max. Listen to this mess.","2026-02-14T02:26:45.895Z"
"mian3.bsky.social","YES","2026-02-14T03:09:50.150Z"
"mian3.bsky.social","There needs to be controls on the campaign money and the corruption and the lobby groups Greed drives modern day politics Anytime you have that going on how can you be surprised at the corruption?","2026-02-13T21:51:00.460Z"
"mian3.bsky.social","In yhe epstein files They discussed How to kill poor people Why do you think Trump is gutting Medicaid and snaps benefits #eugenics Tax the pedophiles 90%","2026-02-14T00:22:28.503Z"
"mian3.bsky.social","‘A different set of rules’: thermal drone footage shows Musk’s AI power plant flouting clean air regulations | Mississippi | The Guardian www.theguardian.com/environment/...","2026-02-13T23:45:25.281Z"
"mian3.bsky.social","Shameful shit!!!! Shame each and everyone of them!!!! #Epstein #EpsteinFiles","2026-02-13T03:31:35.694Z"
"mian3.bsky.social","YES","2026-02-13T02:57:03.453Z"
"mian3.bsky.social","This is so embarrassing. The cartel drones Pam Bondi was sounding the alarm about during the hearing turned out to be… party balloons. This administration is so incompetent.","2026-02-13T02:59:27.097Z"
"mian3.bsky.social","DHS is nothing more than MAGA mafia thugs…out to terrorize Americans…these masked ICE terrorists must be stopped and the entire DHS shutdown the abuse & corruption by Trump and his minions have ended and legitimacy therefore it all gets shutdown…DHS is new Gestapo","2026-02-13T17:15:09.090Z"
"mian3.bsky.social","👇👇","2026-02-13T12:25:15.433Z"
"mian3.bsky.social","Epstein survivor Haley Robson: I’m so tired of having this administration just completely dismiss us. They’re supposed to be the party of, you know, family values and protecting children. And I just feel like if that’s the party you are, it seems like Thomas Massie is the only one showing up for it.","2026-02-12T22:24:18.044Z"
"mian3.bsky.social","Regulations are what keeps ordinary Americans healthy and, often, alive. It took spoiled meat and rodent droppings out of our food. It took harmful lead out of our gasoline and paint. It took poison out of our water. Deregulation only achieves one goal: making rich corporations richer.","2026-02-13T00:57:43.158Z"
"mian3.bsky.social","How the fuck is Corey Lewandowski in any position to fire a Coast Guard pilot? What is his title? What is his job? What is his official position in the US government? If you are Kristi Noem’s boyfriend you get to fire Coast Guard officers?","2026-02-13T11:56:00.852Z"
"mian3.bsky.social","Defense Secretary Pete Hegseth violated Sen. Mark Kelly’s First Amendment rights by moving to strip him of his retired military rank for reminding troops in a video last year that they are obligated to refuse illegal orders, a federal judge ruled Thursday. www.democracydocket.com/news-alerts/...","2026-02-12T19:10:21.306Z"
"mian3.bsky.social","I do wonder about Canada.","2026-02-12T19:21:16.172Z"
"mian3.bsky.social","This corruption is happening across the world. Who knows, maybe we'll even find people in China were involved since Epstein spent so much time there. However, besides in the US, rich people are getting charged and are losing their jobs.","2026-02-12T18:46:44.615Z"
"mian3.bsky.social","under questioning by Rand Paul, ICE officials confirm that yelling at officers is not assault and recording officers is not a crime","2026-02-12T16:47:11.136Z"
"mian3.bsky.social","Impeach, arrest, and prosecute them all. Anything less is being complicit.","2026-02-11T16:16:24.320Z"
"mian3.bsky.social","Throwback to Pam Bondi’s campaign ad for Florida AG: “I’ll fight to put human trafficking monsters where they belong. Behind bars.” The ad aged. The internet remembers.","2026-02-12T03:26:47.707Z"
"mian3.bsky.social","#RepublicanPartyOfPedophilia It is not going to matter. #Midterms 🗳️Dems are taking power.","2026-02-12T05:19:29.603Z"
"mian3.bsky.social","Minnesota, you won. Much of ICE are leaving. Don't trust this. They are trying to get the funding bill passed. Once the bill passes they'll be back at it either by you or someplace else.","2026-02-12T15:06:40.540Z"
"mian3.bsky.social","It's time to upset the apple cart. These sick fucks have to go! There is no Feed the Children There is no Health Care for American Families There is no Child Care There is no Job Security/No Jobs There's only costs going up to pay for the oligarchs toys...","2025-12-22T09:53:47.873Z"
"mian3.bsky.social","1. Overturn Citizens United 2. Dual Citizens NOT allowed to run for Office 3. Taxpayor funds need to benefit taxpayors (State's can't be starved, turning into separate taxpayor systems)","2026-01-11T00:49:37.686Z"
"mian3.bsky.social","Sometimes I think I'm a hypocrite. I've always had one foot in nature and the other in science. Technology for the betterment of Mankind, not Power; Nature is our existence, our life's breath. There are good ways to bring tech into our lives and bad. The powerful have gone too far...","2026-02-04T03:23:33.023Z"
"mian3.bsky.social","Today while watching the DOJ hearing I was reminded that Our President is suing us for billions of tax payor dollars for someone releasing his tax returns; which he promised to release for years. Those returns showed he rarely paid taxes; but now he wants """"Our"""" tax money because he got busted!!!","2026-02-12T07:51:49.203Z"
"mian3.bsky.social","Walz: """"The federal government needs to pay for what they broke here. There's going to be accountability on things that happened, but one of them is the incredible and immense cost borne by the people of this state. The federal government needs to be responsible.""""","2026-02-12T16:04:00.539Z"
"mian3.bsky.social","Republicans don't care. In the Oversight hearings today, Pam Bondi refused to apologize to the victims.","2026-02-11T21:12:44.218Z"
"mian3.bsky.social","#EpsteinFiles #EpsteinTrials","2026-02-11T22:50:57.901Z"
"mian3.bsky.social","Just go and start the proceedings to take Trump down for the Epstein files coverup.","2026-02-12T00:14:43.745Z"
"mian3.bsky.social","Rep Dan Goldman asks Epstein survivors how many gave testimony to the DOJ as Todd Blanche had indicated. The answer is none of them (although they had all wanted to). The DOJ is lying. There was no investigation.","2026-02-12T01:08:09.633Z"
"mian3.bsky.social","Chris Murphy: """"I sat with the kids for an hour. They saw things in these prisons they'll never forget. The bottom line is we have a constitutional obligation to only fund an administration that's operating lawfully. We cannot, we should not fund DHS if it committing these crimes.""""","2026-02-11T13:56:07.916Z"
"mian3.bsky.social","Apparently, Tesla moved from California to Texas so they can dump toxic waste water on their neighbors without fear of any consequences.","2026-02-12T06:34:38.432Z"
"mian3.bsky.social","Raskin to Bondi: """"You're not showing a lot interest in the victims. Whether it's Epstein's human trafficking ring or the homicidal government violence against citizens in Minneapolis, as AG you're siding with the perpetrators and ignoring the victims.""""","2026-02-11T15:22:31.358Z"
"mian3.bsky.social","❤️❤️❤️ ARI ❤️❤️❤️ Town of Hempstead Animal Shelter 3320 Beltagh Avenue Wantagh, 11793 (516) 785-5220 Gorgeous dog looking for a home. Please read his bio and repost. If interested please contact the shelter 👇❤️👇❤️👇❤️👇❤️👇❤️ www.petfinder.com/dog/ari-0fdc...","2026-02-11T20:07:18.874Z"
"mian3.bsky.social","Love this song from John Denver who is sorely missed! I always felt that John Denver was way ahead of us all. He was environmentally friendly and was aware of how important it is to take care of planet earth! youtu.be/TyJRsp5t9mA?...","2026-02-11T16:50:49.892Z"
"mian3.bsky.social","You gotta admit, the staffers in the background keeping it real are the best part.","2026-02-12T06:12:14.729Z"
"mian3.bsky.social","Jayapal: To the survivors in the room, if you are willing, please stand. And if you are willing, please raise your hands. If you have still not been able to meet with this DOJ. Please note for the record that every single survivor has raised their hand.","2026-02-11T15:45:50.359Z"
"mian3.bsky.social","Likely-historic photo by NBC News of all the Epstein victims asked to raise their hands if they've not yet been asked to meet with the DOJ as Bondi testifies in foreground","2026-02-11T17:15:47.987Z"
"mian3.bsky.social","Jaime Raskin to Pam Bondi: """"You're siding with the perpetrators and ignoring the victims. That will be your legacy. You're running a massive Epstein coverup right out of the Department of Justice."""" #ProudBlue #Pinks #SheShed #EpsteinTrumpCoverUp","2026-02-11T18:24:37.077Z"
"mian3.bsky.social","💙💙💙 AUGGIE 💙💙💙 this senior baby should be home surrounded by love. Let's help this dog out. Please read and repost his bio. Town of Hempstead Animal Shelter (516) 785-5220 3320 Beltagh Avenue , Unit Wantagh, NY 11793 👇💙💙👇💙👇💙👇💙👇 www.petfinder.com/dog/auggie-f...","2026-02-11T12:09:06.867Z"
"mian3.bsky.social","The president had his DOJ raid an election office and seize ballots. Now it turns out the whole thing is just election deniers telling the same old lies. Our democracy is in danger but I founded Democracy Docket to help keep you informed on the fight ahead. Subscribe now. hubs.ly/Q03M8rql0","2026-02-10T23:58:54.067Z"
"mian3.bsky.social","This is a reminder that judges, be they elected directly, or be they put in place by another elected official, in the end they are put in place by We The People who vote in EVERY election.","2026-02-11T15:52:24.442Z"
"mian3.bsky.social","Rep. Delia Ramirez to DHS officials: """"I have as much respect for you as I do for the last white men who put on masks to terrorize communities of color. I have no respect for the inheritors of the Klanhood and the slave patrol. Those activities were criminal and so are yours.""""","2026-02-10T17:11:46.495Z"
"mian3.bsky.social","GOP Sen Lummis says she’s changed her mind after the new Epstein revelations today: “Initially my reaction to all this was, I don’t care. I don’t see what the big deal is. But now I see what the big deal is. The members of Congress who were pushing this were not wrong!”","2026-02-09T23:09:19.113Z"
"mian3.bsky.social","The best insurance against dirty tricks is landslide margins of victory.","2026-02-10T03:30:37.544408318Z"
"mian3.bsky.social","FINALLY a Democrat who speaks up: “The United States government is engaged in an active cover-up of the largest sex-trafficking and influence-peddling scandal in our history — and Donald Trump is right at the center of it.” At last, a sitting member of Congress saying it out loud. Share widely!","2026-02-09T23:01:31.256Z"
"mian3.bsky.social","YES!","2026-02-10T16:38:11.980Z"
"mian3.bsky.social","Loomer should be asking for an apology from the plastic surgeon that screwed her face up. bsky.app/profile/geor...","2026-02-10T19:18:28.700Z"
"mian3.bsky.social","open.substack.com/pub/broligar...","2026-02-10T19:27:36.703Z"
"mian3.bsky.social","I will not support any funding deal that puts money in the hands of Stephen Miller, Kristi Noem, and this violent agency. Defund and abolish ICE now.","2026-02-10T16:35:50.343Z"
"mian3.bsky.social","Imagine seeing this right when you walk out your cabin in Alaska… well, I did two nights ago!","2026-02-08T21:13:45.965Z"
"mian3.bsky.social","They’re figuring it out…","2026-02-09T06:05:32.508Z"
"mian3.bsky.social","More like the Law & ODOR president, am i rite?","2026-02-07T22:40:05.911Z"
"mian3.bsky.social","I’m Analilia Mejia and I approve this message.","2026-02-08T20:33:22.979Z"
"mian3.bsky.social","Someone get this to all the king's horses ASAP! phys.org/news/2026-02...","2026-02-09T07:22:27.251Z"
"mian3.bsky.social","""""We saw it happen. It was a violent insurrection for the purpose of trying to prevent the peaceful transfer of power after a legitimately certified election... That's what it was."""" -- Mitch McConnell, on Jan 6","2026-02-09T15:21:53.332Z"
"mian3.bsky.social","In honor of The Olympics, I strongly believe Chuck should pass the torch. Now.","2026-02-08T19:43:27.401Z"
"mian3.bsky.social","Crockett: """"The US is falling apart, partially bc he's allowing for killings in the street, but also bc we have a 34 count convicted felon being shielded from any type of accountability as it relates to a child sex trafficking ring. I don't understand why we're pretending any of this is normal.""""","2026-02-09T15:55:51.295Z"
"mian3.bsky.social","It's warming up here in Minnesota. ICE should be out in full force. The pussies don't like the cold. The protesters don't mind.","2026-02-08T16:19:59.480Z"
"mian3.bsky.social","Official statement from Valeria Chomsky regarding Jeffrey Epstein www.msn.com/en-us/health...","2026-02-09T10:40:56.614Z"
"mian3.bsky.social","Yes tonight’s the Super Bowl & I watched Bad Bunny! Yes America’s Children are STILL Suffering from Food/Housing Insecurity, eroding Pub Schools, Poor to No Health Care, Gun Violence, an Unsustainble Planet, NO Civil Rights & Bleak Future! Not “Super”! youtu.be/-aB-rdH4nnM?... go.bsky.app/QzKNYwu","2026-02-09T01:53:43.128Z"
"mian3.bsky.social","#Epstein #EpsteinFiles","2026-02-08T17:04:05.442Z"
"mian3.bsky.social","So, their system is made with a lot of child molesters in it?","2026-02-08T15:53:03.912Z"
"mian3.bsky.social","""""Trump’s Prescription Drug Website Exposed as a Big Fat Scam"""" No shit? I'm shocked! Shocked, I tell ya!","2026-02-08T17:37:42.596Z"
"mian3.bsky.social","Let's make this happen.","2026-02-08T21:39:20.372Z"
"mian3.bsky.social","The official video has been added to Bruce's song. But I didn't break down all the way until I saw all of the comments from all over the world. www.youtube.com/watch?v=GDaP...","2026-01-31T13:48:26.207Z"
"mian3.bsky.social","#Epstein #EpsteinFiles","2026-02-08T16:52:59.338Z"
"mian3.bsky.social","Every other country has already taken action and opened up investigations in regards to their citizens who have been named!","2026-02-09T03:12:43.124Z"
