"user","post","date"
"michaelq77.bsky.social","Word","2026-02-17T17:18:39.828Z"
"michaelq77.bsky.social","Var bir hayalimiz…","2026-01-05T20:09:05.425Z"
"michaelq77.bsky.social","This is a clear abuse of power and a violation of human dignity. Using force like this is not public safety, but intimidation. A state is legitimate not by power, but by justice. When justice is lost, authority becomes oppression.","2026-01-15T20:26:58.624Z"
"michaelq77.bsky.social","Because of figures like Trump, the world has become more unjust, more unequal, and less livable. The problem isn’t just one person, but the systems that enables this mindset.","2026-01-30T19:12:49.814Z"
"michaelq77.bsky.social","Hey American people; the pedophile scumbag you elected isn’t just screwing over your own country, he’s screwing over the entire world. You are indebted to the whole world for this. Because your choice affects our lives.","2026-02-02T19:26:16.879Z"
"michaelq77.bsky.social","Let justice be done, though the heavens fall. Fiat justitia, ruat caelum. Adalet yerini bulsun, isterse kıyamet kopsun. #Epstein #EpsteinFiles","2026-02-03T18:54:28.208Z"
"michaelq77.bsky.social","Those who stay silent today will be crushed under the feet of the powerful tomorrow.","2026-02-09T18:24:04.162Z"
"michaelq77.bsky.social","We are not going to wish the current President a Happy Presidents’ Day. Thank you for your attention to this matter.","2026-02-16T18:29:16.151Z"
"michaelq77.bsky.social","Ossoff: """"Among today's false prophets are the election deniers who indulge this president's obsession with overturning the 2020 election. Hear me when I say this -- they tell a lie so absurd, and therefore so debasing, that the act of telling it proves the teller's total and humiliating submission.""""","2026-02-16T17:22:28.125Z"
"michaelq77.bsky.social","Keep pressuring to revel the #UnredactedTrumpEpsteinFiles #Epstein #EpsteinFiles","2026-02-16T17:39:39.478Z"
"michaelq77.bsky.social","#EPSTEINFILES RELEASE THE DAMN #EPSTEIN FILES UNREDACTED NOW!!!!","2026-02-17T13:52:45.414Z"
"michaelq77.bsky.social","I stay on #EPSTEIN because of focus. Focusing on the victims and how their fear of blathering idiots, the pedos in power, is real and we need to continue to drive hard on thE #EPSTEINFILES. FOR THEM. There is no other reason. But these men ALL need to go down. Oh wait D. DUMP did that already.","2026-02-17T13:52:32.894Z"
"michaelq77.bsky.social","Release #Epstein Release the files #POTUS #GOP #VPOTUS #DOJ #FBI","2026-02-17T13:52:19.647Z"
