"user","post","date"
"midnightmajyk777.bsky.social","youtu.be/oiTJ7Pz_59A","2026-02-18T03:48:11.653Z"
"midnightmajyk777.bsky.social","midnightmajyk.bandcamp.com/track/save-t... Please donate to my continuing multimedia work for ultimate freedom by buying a copy of this song for just $1.50. Thank you in advance!","2026-02-17T05:12:05.165Z"
"midnightmajyk777.bsky.social","youtube.com/shorts/Ac_C5... You know I'm right.","2026-02-17T01:24:07.400Z"
"midnightmajyk777.bsky.social","www.youtube.com/watch?v=gttQ... This is the debut premiere, right here and right now, 1/1/26, 7PM PST, on Bluesky!","2026-01-02T03:00:18.344Z"
"midnightmajyk777.bsky.social","youtu.be/LII6oBv0r0U","2026-02-17T01:02:33.075Z"
"midnightmajyk777.bsky.social","youtu.be/-HwAdk2VN5M","2026-02-17T01:01:55.001Z"
"midnightmajyk777.bsky.social","www.youtube.com/shorts/sBQAV...","2026-02-16T21:34:00.617Z"
"midnightmajyk777.bsky.social","www.youtube.com/shorts/Q8pD9...","2026-02-16T07:12:24.994Z"
"midnightmajyk777.bsky.social","www.youtube.com/shorts/1GnHu...","2026-02-15T22:07:55.755Z"
"midnightmajyk777.bsky.social","When we complete our socialist revolution at the polls, we can freeze the assets of these oligarchs, confiscate their holdings, and make every American citizen an equal owner in everything, instead of the exclusionary exclusivity of the fascistic, patriarchal, monied minority. youtu.be/BjAjviFHAMo","2026-02-15T19:38:53.998Z"
"midnightmajyk777.bsky.social","The James Webb Space Telescope and the Chandra X-ray Observatory have captured the clearest image yet of a galaxy cluster in the making, seen when the universe was only one billion years old. www.livescience.com/space/deepes...","2026-02-15T19:33:40.602Z"
"midnightmajyk777.bsky.social","Obama added. “And what is true is that there doesn’t seem to be any shame about this among people who used to feel like you had to have some sort of decorum and a sense of propriety and respect for the office [of the president], right?” www.nbcnews.com/politics/pol... YOU CAN'T SHAME THE SHAMELESS!","2026-02-15T19:25:17.503Z"
"midnightmajyk777.bsky.social","www.youtube.com/shorts/r13cT...","2026-02-15T05:15:08.549Z"
"midnightmajyk777.bsky.social","www.youtube.com/shorts/1L6RS...","2026-02-15T05:10:56.601Z"
"midnightmajyk777.bsky.social","www.youtube.com/shorts/cT1hu...","2026-02-15T04:57:11.065Z"
"midnightmajyk777.bsky.social","www.youtube.com/shorts/jG8c3...","2026-02-15T04:56:36.114Z"
"midnightmajyk777.bsky.social","www.youtube.com/shorts/3xCe2...","2026-02-15T04:53:56.021Z"
"midnightmajyk777.bsky.social","www.youtube.com/shorts/WhGIK...","2026-02-15T04:50:14.555Z"
"midnightmajyk777.bsky.social","www.youtube.com/shorts/BF4EB...","2026-02-15T04:48:10.845Z"
"midnightmajyk777.bsky.social","youtu.be/pLo5BgzXWtc?...","2026-02-14T06:56:30.027Z"
"midnightmajyk777.bsky.social","www.wired.com/story/ice-ex...","2026-02-15T04:28:28.200Z"
"midnightmajyk777.bsky.social","youtu.be/zuTEEjizHdQ","2026-02-13T02:41:30.297Z"
