"user","post","date"
"moskosh.bsky.social","THE LAME-BRAIN MEDIA.......","2026-02-14T10:52:17.057Z"
"moskosh.bsky.social","Walk for Peace 🕊 Those of you who are fortunate to have @kim.senate.gov SENATOR ANDY KIM, D-NJ....YOUR great Senator met the Buddhist Monks today near Capitol Hill & the Lincoln Memorial I will respect Senator Kim forever..You remember on January 6th, HE cleaned the floors after insurrection","2026-02-11T22:50:56.056Z"
"moskosh.bsky.social","Bad Bunny has a foundation called Good Bunny that distributes musical instruments, art supplies and sports equipment and funds programs to help children improve their lives. If you were looking for leadership you found it. God bless that dude.🙏","2026-02-10T14:11:04.011Z"
"moskosh.bsky.social","“The only thing more powerful than hate is love…. Together we are America!🇺🇸” —Bad Bunny","2026-02-09T02:17:59.847Z"
"moskosh.bsky.social","The funny thing about that show? Not a word of it was in English, but it was one of the more patriotic halftime shows I’ve seen. “The only thing more powerful than hate is love” “Together, we are America”","2026-02-09T02:18:02.396Z"
"moskosh.bsky.social","🎯🎯","2026-02-09T02:32:35.515Z"
"moskosh.bsky.social","These ladies were great sports! So enjoyed meeting them! #antiquesroadshow @roadshowpbs.bsky.social","2026-02-03T01:45:22.570Z"
"moskosh.bsky.social","John Quiñones 5 year old, Liam Conejo Ramos and his father, Adrian were released from DHS detention in Texas today. I flew with them on their way home to Minneapolis this morning. Watch my exclusive reports - and my interviews with them - today on all our @abcnews broadcasts and @abcnewslive","2026-02-01T19:17:54.538Z"
"moskosh.bsky.social","I won’t stop reporting the truth. The First Amendment is the bedrock of our democracy, and I’ll continue to fight to protect it 🤝🏾🇺🇸","2026-01-31T04:40:13.080Z"
"moskosh.bsky.social","Between seizing ballots in Georgia, trying to leverage Minnesota to turn over its sensitive voter data, and political prosecutions, the DOJ is laying the groundwork to subvert the 2026 elections. I created Democracy Docket for times like this. Help it grow by supporting it now. hubs.ly/Q03M8rql0","2026-01-31T02:19:11.175Z"
"moskosh.bsky.social","""""That's got to be his calling card."""" Wednesday in Houston, Steph Castle was asked to guard a pair of All-Stars half a foot taller when it mattered most. Castle's defense against KD and Sengun turned the game. His coach believes there is more to unlock: www.expressnews.com/sports/spurs...","2026-01-29T22:18:57.447Z"
"moskosh.bsky.social","i was already a Wemby fan and I'm even more of one now. People need to speak out about how fucked this is.","2026-01-27T20:21:55.359Z"
"moskosh.bsky.social","This is the BEST explanation I have seen so far.","2026-01-28T03:12:13.207Z"
"moskosh.bsky.social","The greatest danger to American freedom is a government that ignores the Constitution. - Thomas Jefferson","2026-01-27T16:09:45.701Z"
"moskosh.bsky.social","People seem to have forgotten that the establishment of Homeland Security was highly controversial as it was seen as a danger to democracy. It was feared that it would one day be used AGAINST the American people. And here we are. Tin soldiers and HOMELAND coming We’re finally on our own","2026-01-26T23:16:41.053Z"
"moskosh.bsky.social","Congratulations to Russia and China. You did it! 👏🏻 👏🏻 👏🏻 👏🏻 👏🏻 USA will never be looked at as a trusted partner and ally in the world ever again, by any sane or decent country. You spent years propping up the idiot occupying the Whitehouse, and it is working.","2026-01-23T14:44:25.726Z"
"moskosh.bsky.social","A Minneapolis FBI supervisor was pressured to not investigate Renee Good’s killing, now she’s resigned: F.B.I. Agent Who Tried to Investigate ICE Officer in Shooting Resigns www.nytimes.com/2026/01/23/u...","2026-01-24T01:19:45.189Z"
"moskosh.bsky.social","Tennessee 3 State Representative Justin Jones tells propagandist Sean Hannity live on his trashy Fox program that he keeps people fearful on purpose because he’s paid many millions of dollars a year to keep people fearful so they don’t pay attention. He’s absolutely right.","2026-01-21T04:46:03.083Z"
"moskosh.bsky.social","The rim at the Toyota Center is broken before the Spurs and Rockets starting taking threes, eh?","2026-01-21T01:13:54.151Z"
"moskosh.bsky.social","In a nail-biter, Victor Wembanyama is named an NBA All-Star starter. He is the first Spurs player to gain that distinction since Kawhi Leonard in 2017. www.expressnews.com/sports/spurs... via @expressnews www.expressnews.com/sports/spurs...","2026-01-19T19:21:36.082Z"
"moskosh.bsky.social","👇👇👇👇","2026-01-19T15:49:35.962Z"
"moskosh.bsky.social","The felon47 wants it to get things bloody by the ice starting it so he can instate the Marshall Law Act,so their won't be any voting.he doesn't care about people only his hide and money.","2026-01-19T14:11:23.622Z"
"moskosh.bsky.social","Isiah Thomas. Pau Gasol. Tony Parker. Dirk Nowitzki. Steve Nash. NBA LEGENDS IN LONDON 🙌","2026-01-18T18:14:14.011Z"
"moskosh.bsky.social","JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS- JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS- JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS-JONATHAN ROSS. #Justice4ReneeNicoleGood ⚖️","2026-01-18T20:17:48.757Z"
"moskosh.bsky.social","I think it’s basically time to retire the peace prize because it really is meaningless at this point. Another 100+ year-old tradition cheapened, wrecked, and discredited by the gauche garish gangster.","2026-01-16T02:51:12.991Z"
"moskosh.bsky.social","The insurrection act was always the end goal - I’ve been talking about this for months. He’s been trying to find a city that would push back enough to give him a (flimsy) excuse to do it","2026-01-15T14:05:24.709Z"
"moskosh.bsky.social","A felon who married an immigrant is telling a lot of y’all that the problems in this country all stem from felons and immigrants. But keep buying that stupid red hat that’s made in China.","2026-01-12T14:17:54.192Z"
"moskosh.bsky.social","Very funny that the guy who turned the east wing of the White House into a pile of rubble one Friday is criminally investigating the federal reserve chairman about a building renovation","2026-01-12T02:45:15.439Z"
"moskosh.bsky.social","Powell, showing more guts than almost any GOP legislators: """"The threat of criminal charges is a consequence of the Fed setting interest rates based on our best assessment of what will serve the public, rather than following the preferences of the President."""" www.federalreserve.gov/newsevents/s...","2026-01-12T01:40:13.691Z"
"moskosh.bsky.social","This is precisely how you should respond to a bullshit investigation. “This new threat is not about my testimony last June, or the renovation of the Federal Reserve Buildings… this is a consequence of not following the preference of the President”","2026-01-12T01:28:01.406Z"
"moskosh.bsky.social","I think what he is really serious about is ginning up an excuse to tamper with the 2026 elections by putting NG or ICE in blue state polling atations. (Or worse)","2026-01-09T02:03:54.722Z"
"moskosh.bsky.social","ICE agents are masked...because they know they are committing crimes.","2026-01-09T00:17:54.291Z"
"moskosh.bsky.social","Wow","2026-01-08T02:51:37.301Z"
"moskosh.bsky.social","Yeesh I hate being repetitive, and yet... It's time once again to remind my fellow Americans that there is no mechanism whereby state run elections can be suspended or canceled by the federal government. None. So don't go along with any garbage you hear to that effect. Laugh, and get ready to vote.","2026-01-07T11:17:01.535Z"
"moskosh.bsky.social","This👇","2026-01-07T02:49:04.221Z"
"moskosh.bsky.social","💯","2026-01-06T03:08:09.546Z"
"moskosh.bsky.social","All Americans, and the entire world, must remember. Robert Reich: The most shameful day in American history open.substack.com/pub/robertre...","2026-01-05T17:01:07.838Z"
"moskosh.bsky.social","Beneath every gutter lies a sewer, which seems to be the ideal final destination for some.","2026-01-06T05:39:15.039Z"
"moskosh.bsky.social","Seems like every new Epstein files event results in the US bombing or invading someone.","2026-01-06T03:08:43.853Z"
"moskosh.bsky.social","Notable firings so far: Raheem Morris (Falcons) Jonathan Gannon (Cardinals) Kevin Stefanski (Browns) Pete Carroll (Raiders) Nicolas Maduro (Oilers)","2026-01-05T20:42:00.776Z"
"moskosh.bsky.social","""""Government by organized money is just as dangerous as Government by organized mob."""" —FDR, 1936","2026-01-05T23:00:08.867167Z"
"moskosh.bsky.social","here's today's post: """"here’s what it looks like when a mob boss takes over your country"""" — ‘fuck you, pay me.’ thanks for reading, and please sign up for my daily newsletter to keep getting the good stuff —","2026-01-05T15:40:02.856Z"
"moskosh.bsky.social","#Vote","2026-01-04T21:57:58.718Z"
"moskosh.bsky.social","""""America is an oil company with an army."""" —George Carlin","2026-01-04T19:21:23.153Z"
"moskosh.bsky.social","It's an old and obvious pattern. An unpopular president - failing on the economy and losing his grip on power at home - decides to launch a war for regime change abroad. The American people don’t want to “run” a foreign country while our leaders fail to improve life in this one.","2026-01-03T17:08:38.724Z"
"moskosh.bsky.social","Cartoon by @mluckovich.bsky.social.","2026-01-04T12:29:11.033Z"
