"user","post","date"
"motherofmushrooms.bsky.social","Insanity. They are laughing at us.","2026-02-17T21:46:15.635Z"
"motherofmushrooms.bsky.social","If you are wondering what words the all-male Congress found so """"blasphemous"""" that they felt compelled to literally scrape them off the monument, they were: ''Woman, first denied a soul, then called mindless, now arisen, declared herself an entity to be reckoned.''","2026-02-16T16:35:17.665Z"
"motherofmushrooms.bsky.social","The best things reveal themselves when you slow down to see them.","2026-02-17T00:56:17.966Z"
"motherofmushrooms.bsky.social","My condolences go out to the authors of dystopian novels whose plots keep getting ripped off by the Trump administration.","2026-02-17T00:34:19.252Z"
"motherofmushrooms.bsky.social","Sure sure let’s order the National Institute of Allergy and Infectious Disease (NIAID) to end all pandemic preparedness and biodefense work. WHAT COULD POSSIBLY GO WRONG?","2026-02-13T23:16:21.540Z"
"motherofmushrooms.bsky.social","Best advertisement I’ve seen so far at the Santa Barbara International Film Festival","2026-02-12T22:18:58.927Z"
"motherofmushrooms.bsky.social","UW–Madison scientists have published new research about the makeup of death cap mushrooms (Amanita phalloides) after learning that its spread across continents has changed the chemistry of the species. 🍄‍🟫","2026-02-12T22:32:39.076Z"
"motherofmushrooms.bsky.social","From @wired.com: “Federal records reveal ICE is secretly expanding into 150+ facilities across nearly every state — many near schools, medical offices, and places of worship… DHS asked the General Services Administration to hide lease listings and bypass normal procedures…”🤔","2026-02-12T03:52:43.772Z"
"motherofmushrooms.bsky.social","These fucking MAGAt fascists want to make all of us stateless.","2026-02-12T01:41:47.191Z"
"motherofmushrooms.bsky.social","Here’s an interesting fact we should all know: From 1975 to 2023, $79 trillion in wealth was transferred from the bottom 90% to the top 1%.","2026-02-12T00:34:00.491625061Z"
"motherofmushrooms.bsky.social","Watching men sweep is a thing. #curling","2026-02-12T03:12:39.159Z"
"motherofmushrooms.bsky.social","Roast your cabbage with olive oil salt and lemon.","2026-02-12T02:30:15.956Z"
"motherofmushrooms.bsky.social",". Sure, he rapes kids, but have you seen the stock market? .","2026-02-12T00:02:33.344Z"
"motherofmushrooms.bsky.social","Today the House voted on the SAVE Act, a bill that disenfranchises millions of Americans — especially women. This is just another ploy by Republicans to rig elections. Voted NO.","2026-02-11T23:51:25.735Z"
"motherofmushrooms.bsky.social","Minneapolis you show up and show out! Props to you! Bathrobe lady!","2026-02-11T19:41:26.630Z"
"motherofmushrooms.bsky.social","#CanadaSky🇨🇦","2026-02-11T14:34:14.585Z"
"motherofmushrooms.bsky.social","Discard the #SAVEAct #ProtectYourRightToVote","2026-02-11T17:40:49.101Z"
"motherofmushrooms.bsky.social","I want to see my tax dollars spent on prosecuting Donald Trump","2026-02-10T16:29:45.416Z"
"motherofmushrooms.bsky.social","Here's an idea... Let's translate all of the Epstein files into Spanish so that the Republicans will finally be upset about them.","2026-02-10T23:24:43.674Z"
"motherofmushrooms.bsky.social","I genuinely cannot believe the degree to which we are pissing away this generational breakthrough, even given the fuckmuppets who are involved www.nbcnews.com/health/healt...","2026-02-10T23:32:21.139Z"
"motherofmushrooms.bsky.social","This is a throng of yellow tangs hanging out together just a few feet from the ocean shore. #fish #nature #photography #marinelife #love #yellow #maui #hawaii #bluesky #goodnight #peace #nokings #vacay","2026-02-10T04:39:32.656Z"
"motherofmushrooms.bsky.social","Tire valves don’t like these. At all.","2026-02-10T19:05:17.579Z"
"motherofmushrooms.bsky.social","That's great, but you can just order whistles, free. solidaritywarriors.org/product/free...","2026-02-10T23:21:02.025Z"
"motherofmushrooms.bsky.social","I’m suspicious that trump is so personally invested in the Guthrie stuff. He’s building a story to find an immigrant as a patsy. It reeks.","2026-02-10T23:43:17.223Z"
"motherofmushrooms.bsky.social","Pam Bondi is to Donald Trump what Ghislaine Maxwell was to Jeffrey Epstein.","2026-02-10T16:40:06.237Z"
"motherofmushrooms.bsky.social","the moon isn’t far enough away… we should launch elon into the sun","2026-02-09T18:05:28.228Z"
