"user","post","date"
"mrmakostail.bsky.social","Maybe we should use ICE to go after the pedophiles from the Epstein list? It would be a nice change for them to go after actual criminals.","2026-02-18T01:38:01.413Z"
"mrmakostail.bsky.social","I’m think the Pillsbury Doughboy needs to stop with the fatty foods, it’s impacting his brain as well as his chubby, GOP “Alpha-male” waistline.","2026-02-18T01:33:27.514Z"
"mrmakostail.bsky.social","www.npr.org/2026/02/16/n...","2026-02-16T14:41:30.718Z"
"mrmakostail.bsky.social","Saw this on fb and it sounds like a Monday morning wake-up call sort of thing to me.","2026-02-16T12:49:01.079Z"
"mrmakostail.bsky.social","www.nytimes.com/2026/02/13/t... Home Land is coming for us…","2026-02-14T20:03:30.094Z"
"mrmakostail.bsky.social","ground.news/article/some... Schools are dumping photography companies due to child pedophile Epstein potential involvement. Let’s hope America dumps the GOP this November for the same reason.","2026-02-14T13:53:13.253Z"
"mrmakostail.bsky.social","So, Zelenskyy now as well..but no Donald","2026-02-13T23:14:24.869Z"
"mrmakostail.bsky.social","“..much to their chagrin..”? That alone shows that Trump didn’t write this","2026-02-13T17:20:41.318Z"
"mrmakostail.bsky.social","go.bsky.app/JusVyFK thank you @bandroll.bsky.social - great Pack!!","2026-02-13T13:46:14.733Z"
"mrmakostail.bsky.social","youtu.be/prPqPFF5L7s?...","2026-02-13T13:46:25.194Z"
"mrmakostail.bsky.social","ground.news/article/hous... Johnson said it was “common sense”, but I say common sense is too remove pedophiles from office","2026-02-13T12:27:25.816Z"
"mrmakostail.bsky.social","Just a little context…","2026-02-11T13:18:22.209Z"
"mrmakostail.bsky.social","www.cnn.com/2026/02/11/t... I see another distraction, like the fake assassination attempt, but this time putting Americans in harms way.","2026-02-11T13:05:04.509Z"
"mrmakostail.bsky.social","There is no Justice in the DOJ, it may as well be the Department of Trump Complaints, DoTC","2026-02-11T13:02:53.615Z"
"mrmakostail.bsky.social","www.npr.org/2026/02/11/n... I think that her tenure marks a departure from justice at the justice department.","2026-02-11T12:52:18.032Z"
"mrmakostail.bsky.social","I believe, Cosplay Barbie, tt was written in Syriac, well actually way back then it was called Edessan. She is a true Trump official, or is that tramp?","2026-02-11T12:50:17.316Z"
"mrmakostail.bsky.social","Strange coming from someone who has tried to change what she is…drastically.","2026-02-10T13:04:19.814Z"
"mrmakostail.bsky.social","Protesting Pete in Rhode Island…I personally loved that hand made protest sign…","2026-02-10T12:40:28.085Z"
"mrmakostail.bsky.social","www.worldwithoutexploitation.org","2026-02-09T17:54:13.062Z"
"mrmakostail.bsky.social","youtu.be/pQjI9z1IrSU?... I wonder if Trump knows that once he pardons her, she can yell all she knows from a mountain top, and only he and his fellow pedophiles can be charged","2026-02-09T17:39:23.272Z"
"mrmakostail.bsky.social","And it was a truly amazing show, telling a brief story of Puerto Rico when doing it. Loved it. Loved it even more now that I know.","2026-02-09T12:36:49.380Z"
"mrmakostail.bsky.social","Saw this an had to share","2026-02-08T18:40:21.535Z"
"mrmakostail.bsky.social","www.npr.org/2026/02/07/n... Trump fears the Epstein files more than anything. What’s he hiding?","2026-02-08T14:35:11.139Z"
"mrmakostail.bsky.social","www.npr.org/2026/02/04/n... BUT!! This isn’t enforcing immigration laws, this is just targeting Blue cities trying to scare voters from coming out at mid-term. This has done nothing but make our streets more dangerous for U.S. citizens, and exclusively Democrats.","2026-02-08T12:58:39.955Z"
"mrmakostail.bsky.social","www.syracuse.com/news/2026/02... All the names need to be known…a Prince, a Banker and even a sitting President","2026-02-06T12:17:28.920Z"
"mrmakostail.bsky.social","www.newsweek.com/minneapolis-... Trumps pudgy thighs are chaffing as he sh*ts his pants from this….","2026-02-05T23:54:15.072Z"
"mrmakostail.bsky.social","Let us never forget her bravery! They know who she is, but she doesn’t know who the masked men who attacked her are.","2026-02-05T16:26:14.674Z"
"mrmakostail.bsky.social","They sure Mike isn’t in there too?","2026-02-05T16:24:29.670Z"
"mrmakostail.bsky.social","Because Obama has morals and class","2026-02-05T16:23:33.100Z"
"mrmakostail.bsky.social","Trump: “I THINK ITS TIME AMERICA SHOULD MOVE ON FROM THE EPSTEIN FILES!” I cant possibly imagine why Trump would say that! Can YOU?","2026-02-05T06:31:36.608Z"
"mrmakostail.bsky.social","While England is investigating everything from sec trafficking to government misconduct due to the files, our AG is releasing child porn on her own, containing the victims, to humiliate them, to protect Trump.","2026-02-05T16:22:56.272Z"
"mrmakostail.bsky.social","Trump, a living example of A Clockwork Orange!","2026-02-05T12:49:25.050Z"
"mrmakostail.bsky.social","kfor.com/news/local/p... Oklahoma is now making the teachings of the bible illegal.. Matthew 25:35 """"I was hungry and you gave me something to eat"""". Conservative Christians, they complain America doesn’t follow Christian ethics and yet they outlaw them and rant about BadBunny?","2026-02-05T12:48:39.292Z"
