"user","post","date"
"mrtruscott.bsky.social","Joe Rogan Says He Refused to Meet With Jeffrey Epstein - Rolling Stone “Rogan said he never would have met with (Epstein) anyway. “It's not even a possibility that I would've ever went,"""" Rogan said.” Ahh, the old “Would’ve never went” defense.","2026-02-13T18:23:29.993Z"
"mrtruscott.bsky.social","…not a Super Bowl person, but I noticed the refs didn’t lie, the Seahawks were gracious winners and aren’t punishing the losing team, and the Patriots lost with dignity.They aren’t lying and saying they won and trying to steal the trophy.","2026-02-12T04:35:18.540Z"
"mrtruscott.bsky.social","Let’s be clear. This country didn’t overwhelmingly elect Trump.","2026-02-11T16:32:22.449Z"
"mrtruscott.bsky.social","www.npr.org/2026/02/10/g... Why do we expect Trump, who refused to call off the J6 rioters, to call off ICE? ICE on the streets of our cities/towns is brought to you by the J6 president. When we will we ever learn?","2026-02-10T16:16:26.143Z"
"mrtruscott.bsky.social","www.huffpost.com/entry/elon-m... Calling all the people who kept their X account and repost tweets. You know who you are. Oops. Guess what? You’re helping Elon.","2026-02-08T16:42:36.967Z"
"mrtruscott.bsky.social","www.pcmag.com/explainers/w... Here’s a timely piece thanks to PCMagazine.","2026-02-06T01:25:54.444Z"
"mrtruscott.bsky.social","FYI - this is not a request for advice. [See also the pinned multi-part DIY list “what can I do.”]","2026-02-02T17:10:05.752Z"
"mrtruscott.bsky.social","www.usatoday.com/story/sports... It’s wild that the jocks are turning on Trump first. (Not counting The Boss). There’s safety in numbers, people. We outnumber “them,” and they are scared. Make them make it illegal to be us.","2026-01-31T20:01:15.822Z"
"mrtruscott.bsky.social","The Media Malpractice That Sent America Tumbling Into Trumpism newrepublic.com/article/2059... via @newrepublic.com","2026-01-31T17:36:46.785Z"
"mrtruscott.bsky.social","Could you imagine if Trump et al were in charge of the Super Bowl? The players, coaches, referees & owners— imagine if they were openly corrupt and lying about every play and point. The bookies would revolt.","2026-01-28T23:06:35.472Z"
