"user","post","date"
"muggerjack.bsky.social","I spent my childhood inside of American concentration camps. I know one when I see one. And that is what ICE is building.","2026-02-17T21:00:12.292Z"
"muggerjack.bsky.social","Meanwhile, in Germany, the public weighs in on what they think of the Epstein Administration. #BrutalButAccurate","2026-02-17T20:55:39.835Z"
"muggerjack.bsky.social","The kiss of death","2026-02-17T21:19:51.809Z"
"muggerjack.bsky.social","I tend to think both religion and atheism are based on something which is felt and cannot be proven. I almost envy people possessing such faith, as I do not. I am more than happy to support what another person believes, but I politely ask them to move on to other people.","2026-02-17T20:09:01.110Z"
"muggerjack.bsky.social","How do they know he was an illegal immigrant?","2026-02-17T20:06:33.497Z"
"muggerjack.bsky.social","#EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles","2026-02-17T20:03:57.489Z"
"muggerjack.bsky.social","#EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles","2026-02-17T20:03:44.582Z"
"muggerjack.bsky.social","For him, it adds a pleasing bouquet to the Nasal experience.","2026-02-17T19:48:04.261Z"
"muggerjack.bsky.social","#EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles","2026-02-17T19:23:54.692Z"
"muggerjack.bsky.social","His kid is lucky she escaped alive.","2026-02-17T19:21:17.209Z"
"muggerjack.bsky.social","#EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles","2026-02-17T18:44:29.915Z"
"muggerjack.bsky.social","#EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles","2026-02-17T18:39:40.434Z"
"muggerjack.bsky.social","Happy Lunar New Year, California! 🧧🐎 California would not be California without our Asian American community. We're wishing you abundance, prosperity, good health, and happiness in the new year. Gong hei fat choy!","2026-02-17T18:00:07.305Z"
"muggerjack.bsky.social","I like how South Park has made JD Vance into Twitler's version of Tattoo, from Fantasy Island. """"Shall I spread some more lotion on Satan's a$$hole, Boss?"""" R.I.P. Herve Villachaize","2026-02-17T18:35:00.735Z"
"muggerjack.bsky.social","Deputy Attorney General Todd Blanche admits that the DOJ excluded all images showing “death, physical abuse, or injury” from Epstein files release. DEATH? The truth is probably far worse than anyone can imagine.","2026-02-17T08:04:44.133Z"
"muggerjack.bsky.social","You forget ministrokes and falling asleep on camera.","2026-02-17T18:27:06.890Z"
"muggerjack.bsky.social","#EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles","2026-02-17T18:23:52.413Z"
"muggerjack.bsky.social","« Flip-Off » Day…🤣 l.smartnews.com/p-7b1z5b6o/J...","2026-02-16T20:42:27.545Z"
"muggerjack.bsky.social","#EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles","2026-02-17T17:50:13.972Z"
"muggerjack.bsky.social","I like how Trump was ripped off his hotel in the Philippines. Not quite as funny as the Russian Guards stationed over the wreckage of his Hollywood Walk Of Fame star.","2026-02-17T17:46:23.553Z"
"muggerjack.bsky.social","Are you referring to the #EpsteinAdministration? #EpsteinAdministration #EpsteinAdministration #EpsteinAdministration #EpsteinAdministration #EpsteinAdministration #EpsteinAdministration #EpsteinAdministration #EpsteinAdministration #EpsteinAdministration #EpsteinAdministration","2026-02-17T17:40:04.175Z"
"muggerjack.bsky.social","""""Don't use seven words when four will do"""" Rusty (Brad Pitt) Oceans Eleven """"We deserve better"""" works.","2026-02-17T17:08:16.984Z"
"muggerjack.bsky.social","This is amendment worthy. The power to pardon was easily corruptible, glad they are fixing it.","2026-02-17T16:59:51.407Z"
"muggerjack.bsky.social","I am sure he thinks snorting cocaine off toilet seats ads a pleasing bouquet to the nasal experience.","2026-02-17T16:56:24.723Z"
"muggerjack.bsky.social","#EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles","2026-02-17T16:55:24.678Z"
"muggerjack.bsky.social","📢 Resist & Rising Together: Weekly Good News & Progress open.substack.com/pub/peoplepo...","2026-02-16T21:58:15.056Z"
"muggerjack.bsky.social","#ProtestSign from New Jersey #protest: """"Not my President's Day"""" - Feb 16, 2026 #MAGA #TrumpAdministration #protests","2026-02-17T12:30:26.925Z"
"muggerjack.bsky.social","one down - aboutr 300 to go","2026-02-17T16:47:30.891Z"
"muggerjack.bsky.social","#EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles #EpsteinFiles","2026-02-17T16:49:12.307Z"
"muggerjack.bsky.social","#HeilTrump #GOPPedophiles #EpsteinAdministration","2026-02-17T16:48:12.021Z"
"muggerjack.bsky.social","Views may differ, but #freespeech is vital to our democracy. Please share this out. youtu.be/tEmZ37hkMFk?...","2026-02-17T15:47:50.065Z"
"muggerjack.bsky.social","I remember he read a cease and desist letter on The Colbert Report, then read his attorney's letter telling him he could ignore the cease and desist letter. Do yourself a favor, do not get into it with Dr. Stephen T. Colbert, DFA, honorary mayor of Vancouver, B.C. You won't win.","2026-02-17T16:41:34.331Z"
