"user","post","date"
"newsbd.bsky.social","Bangladesh has fallen under the control of Islamic militant terrorists. We are drawing the attention of the world, including Europe and America, to suppress these militants and terrorists.","2025-12-20T08:33:15.145Z"
"newsbd.bsky.social","Islamic militants and Dr. Yunus's radical terrorist groups set fire to the offices of Bangladesh's important news media, Prothom Alo and Daily Star.","2025-12-19T06:48:07.993Z"
"newsbd.bsky.social","#Bangladesh #News","2025-12-07T13:43:22.499Z"
"newsbd.bsky.social","In Bangladesh, Dr. Yunus' government has killed 112 people without trial in police custody in 15 months. Most of them are political workers of the Bangladesh Awami League.","2025-12-02T15:36:39.857Z"
"newsbd.bsky.social","Dr. Yunus has turned Bangladesh into a terrorist state, there is no security for people's lives in Bangladesh. 2 people were beaten and shot dead in the court premises in Khulna #Khulna, #Bangladesh #Court","2025-11-30T15:50:03.358Z"
"newsbd.bsky.social","Dr. Yunus' militant and Islamic terrorist mob violence killed 140 people in Bangladesh in 10 months","2025-11-27T14:52:50.502Z"
"newsbd.bsky.social","Ousted Bangladesh Prime Minister Sheikh Hasina's party Bangladesh Awami League has demanded the resignation of Chief Adviser Muhammad Yunus, while rejecting the verdict by the International Crimes Tribunal against their leader. #Bangladesh #SheikhHasina","2025-11-26T07:52:27.557Z"
"newsbd.bsky.social","#Sojib_Owajed_joy #Bangladesh","2025-11-24T20:01:31.075Z"
"newsbd.bsky.social","Dr. Yunus is arresting and jailing millions of leaders and activists of Bangladesh Awami League. Bangladesh Awami League is the oldest political party in Bangladesh.","2025-11-24T18:10:01.203Z"
"newsbd.bsky.social","Yunus’s government shamelessly interfering in the judiciary.","2025-11-23T17:35:59.902Z"
"newsbd.bsky.social","Jamaat-e-Islami and Islamic fundamentalist militants and terrorists have attacked and vandalized the Baul community in Bangladesh. They want to turn Bangladesh into an Islamic fundamentalist state Army Chief and Dr. Yunus","2025-11-23T13:33:09.468Z"
"newsbd.bsky.social","Sheikh Hasina, the Prime Minister of Bangladesh, said in an interview before leaving. I don't understand the international game some country’s wants to remove me from power","2025-11-22T08:37:40.126Z"
"newsbd.bsky.social","This is how Bangabandhu Sheikh Mujibur Rahman, the symbol of Bengali heroism, used to spend his days in house number 32, Dhanmondi, Dhaka. The house was demolished by the July militants and terrorists led by Dr. Yunus and Army Chief Waqar Zaman.","2025-11-21T14:12:07.154Z"
