"user","post","date"
"nikitairoh.bsky.social","🏦","2026-02-14T04:56:56.850Z"
"nikitairoh.bsky.social","Best idea EVER! 👏🏿👏🏾👏🏽👏🏼👏🏻👏🏼👏🏽👏🏾👏🏿","2026-02-16T00:29:14.111Z"
"nikitairoh.bsky.social","The SAVE act is part of the MEGA Act.","2026-02-11T00:52:37.835Z"
"nikitairoh.bsky.social","The SAVE ACT is a Republican attempt to disenfranchise women from voting. 🤨 #HandsOffHerVote","2026-02-11T17:56:36.836Z"
"nikitairoh.bsky.social","#MLKDay","2026-01-20T14:03:07.929Z"
"nikitairoh.bsky.social","Happy Sunday everyone! This meme is so spot on. I struggle with this daily, but feel blessed to be a part of this amazing group of resisters. ♥️ Hang in there my friends, we’ll get through this shitty timeline together!","2026-01-18T18:21:17.686Z"
"nikitairoh.bsky.social","You're President's Check Engine light is on.","2026-01-23T01:36:34.693Z"
"nikitairoh.bsky.social","😊","2026-02-09T03:26:24.178Z"
"nikitairoh.bsky.social","Thank you so much snblue for including me with these awesome people!","2026-02-12T03:15:15.630Z"
"nikitairoh.bsky.social","Republicans are still trying to pass the SAVE Act—a bill that would make it harder to vote and disenfranchise millions of Americans. Join @redistrictingaction.org and tell your member of Congress to vote no: act.redistrictingaction.org/a/natl-saveact-cte","2026-02-11T23:03:50.943Z"
"nikitairoh.bsky.social","Why isn’t every politician, leader, prosecutor, and news channels focused on this. The President is accused with significant proof of killing and raping minors.","2026-02-09T02:03:18.274Z"
"nikitairoh.bsky.social","Thank you for your attention to this matter! Flood the zone please!","2026-02-10T04:12:55.952Z"
"nikitairoh.bsky.social","Fund SNAP. Reverse the Medicaid cuts. Restore USAID. (image cia @peppapaxpippa.bsky.social)","2025-11-03T12:32:16.815Z"
"nikitairoh.bsky.social","And it's only February...","2026-02-06T03:35:40.678Z"
"nikitairoh.bsky.social","The absolute best quote from the Epstein files…","2026-02-07T04:02:19.645Z"
"nikitairoh.bsky.social","Finneas is better at political messaging than 99% of the Democratic consultants in DC.","2026-02-06T20:44:44.299Z"
"nikitairoh.bsky.social","Good Q @SarahKSilvermam","2026-02-07T03:54:20.411Z"
"nikitairoh.bsky.social","Thank you snblue.bsky!","2026-02-07T03:58:41.353Z"
"nikitairoh.bsky.social","🤦‍♀️🤦‍♀️","2026-02-06T04:27:25.425Z"
"nikitairoh.bsky.social","👇🏽","2026-02-05T00:50:54.000Z"
"nikitairoh.bsky.social","#epsteinfiles","2026-02-05T15:13:03.721Z"
"nikitairoh.bsky.social","Journey with us now to a land beyond imagination where a man who represents the worst humanity has to offer is seen as a god like figure to his followers.","2024-11-30T02:03:51.959Z"
"nikitairoh.bsky.social","Alex Pretti's parents have retained Steve Schleicher, a former prosecutor who helped convict George Floyd's murderer. Schleicher is taking on the Pretti case PRO BONO.","2026-01-31T03:20:55.007Z"
"nikitairoh.bsky.social","Thank you so much snblue.bsky.social for proving every day that we are stronger together!🦋🌊💙","2026-02-06T00:00:58.222Z"
"nikitairoh.bsky.social","Never again is now","2026-02-05T15:42:57.144Z"
"nikitairoh.bsky.social","👇🏼","2026-01-31T12:48:44.764Z"
"nikitairoh.bsky.social","Great starter pack from the hard working community builder and activist hopeful66.bsky.social Thank you for including me with these wonderful people!","2026-02-05T04:05:57.408Z"
"nikitairoh.bsky.social","That would make him the main character.","2026-02-04T19:45:56.772Z"
"nikitairoh.bsky.social","Where Is The OUTRAGE ? Chump Must Be Held Accountable......","2026-02-04T10:37:42.486Z"
"nikitairoh.bsky.social","bsky.app/starter-pack... SNBLUE SONG 78. Together~Trilogy~2nd.Edit.Feb.04th.,2026","2026-02-04T01:21:10.512Z"
"nikitairoh.bsky.social","It’s a question we ask all the time.","2024-11-27T03:33:30.967Z"
"nikitairoh.bsky.social","Don't know who this quote is from, but man...","2026-02-03T03:05:01.880Z"
"nikitairoh.bsky.social","Minneapolis gets nominated for the 2026 Nobel Peace Prize for defending human rights & community care. Somewhere Trump is rage-posting in ALL CAPS, throws ketchup, blames immigrants, demands recount. History really said not you🤡 Community. Peace. Solidarity. People power works. 🕊️✊ #SheShed","2026-02-03T16:18:16.612Z"
