"user","post","date"
"odyssey53.bsky.social","Creation. Ryan's Odyssey #BookSky #SixtiesProtest #CollectiveConsciousness youtube.com/shorts/TfzPB...","2026-02-18T00:52:59.447Z"
"odyssey53.bsky.social","And they asked the German people, ‘Didn’t you know what kind of camps these were, what they were doing here?’ No excuse means much after the holocaust!","2026-02-17T15:22:34.771Z"
"odyssey53.bsky.social","#BookSky #BookReadingClub #ICEOut #BarackObama #VietnamWarVeterans youtu.be/Al3wJX-2Mu0","2026-02-17T01:15:34.336Z"
"odyssey53.bsky.social","Ironically the PRF has defended Corey Lewandoski. ‘Look, it’s understandable that this guy would want to carry a gun. He’s dating Kristi, after all. and she shoots dogs just for barking around her. I imagine he’s afraid for his life!’","2026-02-15T05:46:30.712Z"
"odyssey53.bsky.social","The Psychic Revolutionary Front today extended their gratitude to all who participated in the seance/meditation last night. Changing minds and spirits every day!🙏","2026-02-13T13:01:24.818Z"
"odyssey53.bsky.social","The Psychic Revolutionary Front held a press briefing today. ‘We are holding a seance/meditation to heal Congress. We are asking participants, once again, to focus on healing Republicans in Congress. The event will begin at 8 pm EST on Thursday evening.’","2026-02-12T01:30:52.415Z"
"odyssey53.bsky.social","A Psychic Revolutionary Front spokesperson released a statement today, ‘Watched Bondi testify at Congress. Interesting question. I know Trump dislikes people smarter than him. Is Bondi pretending to be that dumb just to ensure Trump likes her, or is it possible she’s really just that stupid?’","2026-02-11T20:36:52.346Z"
"odyssey53.bsky.social","Now that Kristi Noem is back in Trump’s good graces, her neighbours have relaxed. Apparently Kristi is much more likely to shoot dogs when she‘s upset. Of course there is also the fear that she will begin shooting people!","2026-02-11T13:53:38.059Z"
"odyssey53.bsky.social","A PRF spokesperson held a press briefing today. ‘We like to give credit when it’s due! The TPUSA alternative halftime show was incredibly funny. That terrible lip synching was especially hilarious!’ When told it was not meant to be comedy she was genuinely surprised.","2026-02-11T13:49:15.524Z"
"odyssey53.bsky.social","The Psychic Revolutionary Front wishes to thank all the participants from last night’s seance/meditation to heal Congress! There will be another event next Thuessay at 8 pm EST!","2026-02-06T22:32:34.631Z"
"odyssey53.bsky.social","8pm tonight, the Psychic Revolutionary Front is hosting a seance/meditation. They are asking participants to focus on Republicans in congress. ‘They could end this cruelty anytime they choose to!’","2026-02-05T22:05:24.759Z"
"odyssey53.bsky.social","The Psychic Revolutionary Front held a press briefing today. ‘We would like to invite everyone to participate in a seance/meditation tonight at 8pm EST. We suggest concentrating intentions on healing Congress. They could end some of the cruelty & madness anytime that they want to!’","2026-02-05T13:11:10.578Z"
"odyssey53.bsky.social","Just heard another man o sphere right wing blogger saying ‘This isn’t what i voted for!’ Wonder what exactly they were voting for? Made me throw up in my mouth a little!!","2026-02-04T22:31:42.372Z"
"odyssey53.bsky.social","Also, where is the FBI tape showing Tom Homan accepting a 50k bribe? If Stephen Miller is really a US citizen why won’t he release his birth certificate? Psychic Revolutionary Front agents have been in Santa Monica & can find no evidence of it, although ‘we’re finding things you wouldn’t believe!’","2026-02-04T22:26:02.313Z"
"odyssey53.bsky.social","Certain questions have never been adequately answered. For instance when Marc Epstein emailed Jeffrey about Trump doing something to Bubba, was that Bill Clinton, and what did Trump do to him? Also, what was actually on the pee pee tape that Trump is so afraid of?","2026-02-04T22:21:07.453Z"
"odyssey53.bsky.social","One can only hope Mike Lawler’s constituents don’t forget that he kissed The Fuhrer‘s feet for more than a year, when he starts ‘moderating’ his views before November!","2026-02-04T21:49:52.143Z"
"odyssey53.bsky.social","The psychic Revolutionary Front held a press briefing to announce their next event. ‘We will be holding a seance/meditation Thursday at 8pm EST! We ask participants to please direct your intentions to help Republicans members of congress to find a little courage. They could end the madness anytime!’","2026-02-04T21:36:55.618Z"
"odyssey53.bsky.social","The Trump boys unveiled a bold new business plan: Immigrants will be made indentured labourers for Amazon & Tesla. Said Eric: ‘These people have been ripping us off for years. It’s about time they paid us back!’ Added Don Jr, ‘We’ll have to change the child labour laws so we can include the kids!’","2026-02-04T21:26:03.829Z"
"odyssey53.bsky.social","Not only are ICE as cruel & evil as Gestapo, but they are so incompetent & bumbling that real Gestapo would be embarrassed by the comparison!","2026-02-04T21:11:38.424Z"
