"user","post","date"
"oldbikerdude.bsky.social","When this chapter finally comes to a close and all of these animals are dead or jailed every single property used by the sick pedo bastards MUST be torn down, plowed under, totally obliterated. There should be no memory of these places left to haunt the victims.","2026-02-16T13:10:12.415Z"
"oldbikerdude.bsky.social","Is anyone else here completely done with Xitter and Facebook? I can't take the cesspool any longer!","2026-02-14T12:45:38.966Z"
"oldbikerdude.bsky.social","6 Million files, thousands of photos, hundreds of vids, emails, bank records, phone logs: DOJ: Not enough to charge. Finland, Poland, France:Hold our beer","2026-02-04T20:03:35.506Z"
"oldbikerdude.bsky.social","The Drumpf M. O. If he can't win, he'll burn the house down on his way out. The fight needs to be amped up!","2026-02-03T14:28:50.233Z"
"oldbikerdude.bsky.social","I am beginning to think that we have trusted our system for so long to do what is right that now that the system is failing us, we haven't got a clue how to rectify the situation!","2026-02-02T01:58:24.647Z"
"oldbikerdude.bsky.social","In solidarity with today's ICE OUT OF MINNESOTA blackout, MinnMax is donating $1 to the Immigrant Law Center of Minnesota for every share of this Bluesky post for the next hour.","2026-01-23T16:01:32.204Z"
"oldbikerdude.bsky.social","First they came for the migrants and I fought like hell because I know the rest of the poem.","2026-01-29T15:44:53.583Z"
"oldbikerdude.bsky.social","The constant search for who is funding the protesters is making it pretty clear that this admin is terrified to think that this many good people detest them enough to get out and do this FOR FREE!","2026-01-29T15:26:24.926Z"
"oldbikerdude.bsky.social","Just an idea. All Dem voters wear blue to the polls in Nov so poll place watchers can identify us when the ICE thugs start their crap. Harass a blue Vlad voter, meet the local authorities.","2026-01-29T11:36:46.450Z"
"oldbikerdude.bsky.social","There 12 times as many undocumented immigrants in FL and 17 times as many in TX. Why is ICE and CBP in MN? I'm sure politics has nothing to do with it.","2026-01-27T21:43:47.139Z"
"oldbikerdude.bsky.social","Scenes reminiscent of Les Miserable, the barricades are going up. DHS, you may want to go watch the play. See what happens in the next scene. Hint. It does not end well.","2026-01-24T16:35:08.538Z"
"oldbikerdude.bsky.social","Another federally sanctioned murder in Minneapolis? Little boys wearing Halloween costumes acting like they have actual balls. Keep fighting back Minnesota!","2026-01-24T16:30:45.536Z"
