"user","post","date"
"opinionlassie.bsky.social","www.theguardian.com/us-news/2026...","2026-02-13T08:10:10.393Z"
"opinionlassie.bsky.social","""""I can't be bought"""" Says man who sells video birthday greetings for £70 a time.","2026-02-12T23:47:07.733Z"
"opinionlassie.bsky.social","should we be worried about Palantir having been handed access to UK NHS records😜oops, too late","2026-02-11T08:03:19.992Z"
"opinionlassie.bsky.social","for fans of free speech, they're not very free speechy are they?","2026-02-11T08:02:25.788Z"
"opinionlassie.bsky.social","Peter Thiel's name certainly comes up a lot. This is massive, much bigger than Trump, Mandelson and the person formerly known as Prince Andrew. Follow the money!","2026-02-07T10:49:31.971Z"
"opinionlassie.bsky.social","how likely is this to happen in the UK?","2026-02-05T09:32:02.424Z"
"opinionlassie.bsky.social","Deputy Attorney General Todd Blanche admits that the DOJ excluded all images showing “death, physical abuse, or injury” from yesterday’s Epstein files release. WHAT ELSE ARE THEY HIDING???","2026-01-31T14:29:16.478Z"
"opinionlassie.bsky.social","hmd.org.uk/resource/fir...","2026-01-22T21:41:34.162Z"
"opinionlassie.bsky.social","International community says what?","2026-01-22T21:20:06.998Z"
"opinionlassie.bsky.social","McGovern: Well, he said a lot of crazy shit today. I think it’s time to take the keys away from grandpa. He doesn’t seem like he’s all there.","2026-01-21T18:59:46.314Z"
"opinionlassie.bsky.social","bsky.app/profile/rose...","2026-01-21T19:43:08.650Z"
"opinionlassie.bsky.social","I’d rather have the full release of the Epstein files than Greenland, Venezuela, Cuba, Iran, India, or Mexico","2026-01-16T17:03:22.619Z"
"opinionlassie.bsky.social","Wealthy, greedy powerful men will burn it all down to keep their secrets hidden… It’s happening before our eyes.","2026-01-13T08:05:39.211Z"
"opinionlassie.bsky.social","AOC: I want everybody to understand that the cuts to your health care are what’s paying for this. You get screwed over to pay a bunch of thugs in the street that are shooting mothers in the face.","2026-01-13T01:20:53.169Z"
"opinionlassie.bsky.social","New strategy from Trump, destroy the world to avoid the Epstein Files.","2026-01-12T20:16:20.530Z"
"opinionlassie.bsky.social","Radio silence from the international community. We've seen this before encyclopedia.ushmm.org/content/en/q...","2026-01-12T20:15:00.987Z"
"opinionlassie.bsky.social","Are we seeing history repeat? encyclopedia.ushmm.org/content/en/q...","2026-01-10T12:58:05.596Z"
"opinionlassie.bsky.social","This is the best cartoon I've seen yet!","2026-01-09T19:28:40.197Z"
"opinionlassie.bsky.social","“The Party told you to reject the evidence of your eyes and ears. It was their final, most essential command.” —George Orwell (1984)","2026-01-08T15:32:59.104100Z"
"opinionlassie.bsky.social","🚨 The White House is now actively covering up a murder.","2026-01-08T16:25:26.310Z"
"opinionlassie.bsky.social","www.cbsnews.com/chicago/news...","2026-01-08T14:11:38.214Z"
"opinionlassie.bsky.social","Saw this on X. Merlin Strategy, run by Scarlet Maguire (formerly of JL Partners) is Farage's favoured polling company. Until very recently, registered at the same address as the Brexit Party's old one. I'm sure it's just a coincidence.","2026-01-08T10:35:57.845Z"
"opinionlassie.bsky.social","ahem, Starmer, Macron, Merz, care to comment?","2026-01-08T08:33:05.580Z"
"opinionlassie.bsky.social","believe your eyes","2026-01-08T08:30:31.365Z"
