"user","post","date"
"pbjmbaker.bsky.social","Why is there such a stigma about black dogs in shelters? Why are they ignored? For me I love the mystery of these Black Beauties! 🐕‍🦺 Pls help this black beauty find a loving home… Repost 2Save Him! For info & 2apply pls msg @princesskim.bsky.social","2026-02-18T01:37:00.940Z"
"pbjmbaker.bsky.social","Great discussion with @anatosaurus.bsky.social and @gregsargent.bsky.social on the regime’s attempt to spin their lame withdrawal from Minneapolis. “when your entire job is shoveling crap and playing cleanup crew for the Gestapo and fascism, you got to put some pretty nice wrapping paper on that.”","2026-02-17T18:18:15.802Z"
"pbjmbaker.bsky.social","Trump can't steal the midterms. I say that not as a call for complacency, but to right-size worries. Authoritarianism partially exists in our heads. Excessive fear plays into their hands. Be vigilant but don't panic. Don't grant the regime more power than it actually has. Me, in @thebulwark.com:","2026-02-17T15:20:30.608Z"
"pbjmbaker.bsky.social","Resistance infrastructure.","2026-02-15T13:38:02.691Z"
"pbjmbaker.bsky.social","in this clip you can see a few things- 1.) why bigots would spend our entire lives hating Sesame Street and 2.) why it's so important.","2026-02-17T13:10:09.944Z"
"pbjmbaker.bsky.social","One of the greatest civil rights leaders of all time has gone on to glory. 😔 Rest in power Reverend Jesse L. Jackson. 🙏🏽✝️🕊 Sunrise: October 8, 1941 Sunset: February 17, 2026 #ProudBlue #ResistanceUnited #USDemocracy #Voices4Victory #BlackHistoryMonth #IAmSomebody","2026-02-17T11:24:55.818Z"
"pbjmbaker.bsky.social","⚠️WOKE CONTENT⚠️ 🧵It was his death that sparked the 1965 Selma to Montgomery march that became known as """"Bloody Sunday""""; but many of you never heard of him. His name: Jimmy Lee Jackson. Pull up a 🪑(cont) #ProudBlue #ResistanceRoots #USDemocracy #Voices4Victory www.splcenter.org/resources/st...","2026-02-17T00:38:51.925Z"
"pbjmbaker.bsky.social","“It does not.” 👇👇👇","2026-02-17T01:45:06.627Z"
"pbjmbaker.bsky.social","When the president shares images of Black people as apes, that's no """"joke."""" No hiding behind """"sarcasm,"""" """"someone else posted it,"""" or excuses. You're a straight-up racist piece of shit fueling hate. Call it what it is—bigotry from the top. We won't let it slide. Stand up, shut it down. #sheshed","2026-02-16T00:09:05.241Z"
"pbjmbaker.bsky.social","Fancy, our foster, would be a great dog for someone who didn’t want a dog but caved to pressure from family. Housetrained, respectful, small, plays with toys but isn’t obsessed, barks very little. And enjoys climbing up to fall asleep in your lap or next to you. Perfect “I don’t want a dog” dog.","2026-02-16T02:31:25.940Z"
"pbjmbaker.bsky.social","🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘 Help these 2 dogs 🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘","2026-02-16T12:32:01.045Z"
"pbjmbaker.bsky.social","Good morning, Brother Patrick.👊🏾😁","2026-02-16T12:03:10.357Z"
"pbjmbaker.bsky.social","Choco Pie still needs a foster. Right now he’s with a temporary ACC foster- Keep sharing though!","2026-02-15T22:23:14.601Z"
"pbjmbaker.bsky.social","This is what greed looks like. 🔥🔥🔥","2026-02-15T11:59:23.220Z"
"pbjmbaker.bsky.social","⚠️WOKE CONTENT⚠️ 🧵 Today, we're going to learn about The USS Sumter Three — and the mutiny charges that should never have happened. It's apropos for #BlackHistoryMonth—because most people never knew about it. Pull up a seat. 🪑 (cont) #ProudBlue #ResistanceRoots #USDemocracy #Voices4Victory","2026-02-15T06:20:58.792Z"
"pbjmbaker.bsky.social","🆘 Maynard is on Death Row & only has 14 reposts, that’s not going 2save his life! We know reposts save lives! Pls Repost 2Save Maynard! This sad, sweet boy deserves a chance… Info & 2apply msg @princesskim.bsky.social Pls read notes for this sad boy!","2026-02-15T01:59:58.388Z"
"pbjmbaker.bsky.social","Buddy 227498 Kill Command #NYCACC #RescueOnly He is a cute brindle 3 yr old Loves to cuddle Low threshold for arousal Dog reactive in care Help save Buddy! #Pledge4Rescue #foster #adopt","2026-02-14T18:07:07.702Z"
"pbjmbaker.bsky.social","""""You cannot use the word respectfully because you DO NOT respect me.""""","2026-02-14T16:24:35.240Z"
"pbjmbaker.bsky.social","Yes and some in the pundit class badly want to believe that Trumpism represents the true mystical longings of the Real American volk, because they want liberals/Dems to accommodate Trumpism by scaling back their commitments to pluralism and the open society","2026-02-14T16:57:26.089Z"
"pbjmbaker.bsky.social","nycacc.app/browse/245973 she’s back on the website","2026-02-13T19:07:25.092Z"
"pbjmbaker.bsky.social","🚨EMERGENT🚨 FOSTER needed ➡️Now B4 he’s KILLED East Coast NY NJ NH NE ME MD DC DE CT PA VA RI VT 2 yr old Pup🦮 ”Neuvo” 😭DEATH row Need 🚨 Foster/adopt even temporary 2 save his life ➡️Plz-RE-POST ⬅️ He needs SM exposure to ➡️stay ALive Rescue pays⬇️ 2 transport to Ur🏠 food/vet expenses","2026-02-13T18:55:04.495Z"
"pbjmbaker.bsky.social","👇🎯 About 99% of our problems right now, as a society, could be solved by more people, especially the ones who swore oaths to country & Constitution, simply saying this. Also, Musk should be put in chains, tried & convicted for his unprecedented DOGE crimes, & sent to jail forever. Right here in 🇺🇸.","2026-02-13T14:18:12.411Z"
"pbjmbaker.bsky.social","Trump's ICE killings, prison camps, and mass raids have created an opening for a new politics on immigration that declares: Mass deportations are a catastrophe. There is a better way. I spent some time reporting on how Dems can seize this moment. Hope you'll read: newrepublic.com/article/2059...","2026-02-13T12:33:36.405Z"
"pbjmbaker.bsky.social","They erased Greenwood and Black Wall Streets across every state. They buried our economic power and hoped we’d stay silent. ERASED isn’t a book—it’s a weapon. Read it before they ban it. Share it before they silence it. Get your copy now: stan.store/gxldsociety/...","2026-02-11T07:43:01.940Z"
"pbjmbaker.bsky.social","Acting ICE chief Todd Lyons admits there’s no reason for immigration agents to be at voting sites. The statement marks the first time a senior Trump official has contradicted the admin’s ongoing threats to station Immigration & Customs Enforcement (ICE) agents at the polls.","2026-02-12T23:27:39.246Z"
"pbjmbaker.bsky.social","This administration goes extremely far out of its way to practice institutionalized racism.","2026-02-12T20:38:37.405Z"
"pbjmbaker.bsky.social","Trump signed Executive Order 14224, declaring English the official language of the United States. Tell him to go fuck himself in whatever language you speak.🗣 America has no offical language. #ProudBlue #ResistanceUnited #USDemocracy #Voices4Victory www.forbes.com/sites/dougme...","2026-02-12T14:28:26.545Z"
"pbjmbaker.bsky.social","ICYMI — @crockett.house.gov 🔥 to Bondi: “You’ll be remembered as one of the worst Attorney Generals in history.”","2026-02-12T03:14:49.922Z"
"pbjmbaker.bsky.social","Pls save NUEVO Foster parents get free dog food and medical, if needed","2026-02-11T21:03:22.297Z"
"pbjmbaker.bsky.social","Remarkable: Trump's deranged threat to block the bridge connecting Detroit to Canada is backfiring, giving Dems a big issue in 2026 races in Michigan, which could help decide control of Congress. Michigan Dems tell me they'll use this against Republicans big time: newrepublic.com/article/2064...","2026-02-11T18:56:25.827Z"
"pbjmbaker.bsky.social","11 February 1943 | A transport of 1,184 Jewish men, women and children arrived at #Auschwitz from Westerbork in the occupied Netherlands. After arrival selection, 113 men and 66 women were registered in the camp. The remaining 1,005 people were murdered in gas chambers.","2026-02-11T17:00:30.220782718Z"
"pbjmbaker.bsky.social","MAGA dimwit Peter Navarro accidentally admitted Trump-MAGA's claim about immigrants taking jobs is a scam. And as @pkrugman.bsky.social notes, not only is job growth down; *manufacturing* jobs are also down. The whole MAGA story is in collapse. Our exchange on this: newrepublic.com/article/2064...","2026-02-11T13:06:01.160Z"
"pbjmbaker.bsky.social","The Trump regime is doing the same thing in the US. Are we great again yet?","2026-02-11T13:07:38.303Z"
"pbjmbaker.bsky.social","Great conversation with @pkrugman.bsky.social and @gregsargent.bsky.social on the regime’s crazy focus on “ethnic reengineering” has hurt the economy. Job growth was effectively nil since the president took office, manufacturing is down, construction is down. MAGA “solutions” aren’t working.","2026-02-11T13:03:26.256Z"
"pbjmbaker.bsky.social","I actually feel bad over the predictable betrayal. The """"some of my best friends are Black"""" folk aren't really your friends and the far right's relationship with Republicans and especially this administration is purely transactional.","2026-02-10T16:59:08.185Z"
"pbjmbaker.bsky.social","Excellent discussion with @adriancarrasquillo.bsky.social and @gregsargent.bsky.social on how MAGA, right wing media, and the president have lost the plot with their crazy ass narrative among working class voters and the country, generally, on immigration and forced deportation.","2026-02-10T13:15:57.144Z"
"pbjmbaker.bsky.social","Giving these guys a supermajority seems like a mistake in hindsight.","2026-02-10T11:45:35.737Z"
"pbjmbaker.bsky.social","Bitch, they created an entire segregated prom for you.","2026-02-10T11:43:11.762Z"
"pbjmbaker.bsky.social","And they're constantly moving the goalposts and changing the rules for what is acceptable and from whom. White supremacy is prejudice and power and often irrational abuses of power as a rule.","2026-02-09T19:08:52.719Z"
"pbjmbaker.bsky.social","“She had not a thought in her head that was not a slogan, and there was no imbecility, absolutely none, that she was not capable of swallowing if the party handed it out to her.” George Orwell, 1984","2026-02-07T19:02:46.262Z"
"pbjmbaker.bsky.social","""""Trump has created for himself a world in which he never hears a negative word about himself...he thinks himself answerable only to those who...think he can do no wrong...the rest of the country...doesn’t exist."""" Great @mjtoma.bsky.social read of the moment: newrepublic.com/article/2063...","2026-02-09T17:29:13.926Z"
"pbjmbaker.bsky.social","On the 9th day of #BlackHistoryMonth2026— a little John Lee Hooker... Just because.😉 🗣🎸🎹🥁🕺🏾💃🏾 #ProudBlue #ResistanceUnited #USDemocracy #Voices4Victory #JohnLeeHooker #TheBlues youtu.be/QrsOdhK6FGU?...","2026-02-09T17:32:44.030Z"
"pbjmbaker.bsky.social","This modern Jim Crow they campaigned and are acting on is just so incredibly unconstitutional and unjust. That was the selling point -""""rights for me and not for thee."""" Segregationists dreams come true.","2026-02-08T16:19:43.349Z"
