"user","post","date"
"pepper10.bsky.social","Found this behind my house by the river ... Want it to be a dinosaur relic that would be named after me... Peppersaurous? Has a nice ring .. #Photography #PhotographyofBlueSky #EastCoastKin","2026-02-18T12:29:32.983Z"
"pepper10.bsky.social","I sketched Lincoln to go with his quote. """"Nations don't die from invasion, they die from internal rottenness"""" ... #Art #Drawing #Illustration #PencilSketch #EastCoastKin","2026-02-18T12:14:54.450Z"
"pepper10.bsky.social","""""I'm alone: time to ruffle my feathers and dance"""" ... #BirdOfTheDay #PeacefulSolitude #Birds #Photography #WildllifePhotography #Nature #WaderWedensday#EastCoastKin","2026-02-18T11:23:21.008Z"
"pepper10.bsky.social","Hawk patiently looking for prey ... #BirdoftheDay ##CollectingFood #Birds #Hawk #Photography #PhotographyofBlueSky #EastCoastkin","2026-02-17T12:07:09.567Z"
"pepper10.bsky.social","This has to be the strangest tree I've ever seen ... #ThickTrunkTuesday #Trees #Photography #PhotographyofBlueSky #EastCoastKin","2026-02-17T11:32:04.176Z"
"pepper10.bsky.social","Okay, so I have a traffic light on a tree... There's a lot of traffic with the geese, deer and raccoons. #ThickTrunkTuesday #Trees #Photography #PhotographyofBlueSky #EastCoastkin","2026-02-17T10:42:56.630Z"
"pepper10.bsky.social","I was a ghost this past Halloween ... #AlphabetChallenge #WeekGforGames #Photography #PhotographyofBlueSky #EastCoastKin","2026-02-17T10:32:41.768Z"
"pepper10.bsky.social","A cute little wren in the snow ... #BirdoftheDay #Grey #Photography #PhotographyofBlueSky #Birds #EastCoastKin","2026-02-17T10:22:50.536Z"
"pepper10.bsky.social","Snake on my wood pile: I'm usually soft spoken; But am shrieking at this point ... #Photography #PhotographyofBlueSky #EastCoastKin #Snake","2026-02-17T01:23:57.377Z"
"pepper10.bsky.social","My backyard is one with the river ... How much money would you want to walk across? ... #Photography #PhotographyofBlueSky #EastCoastKin #River #Ice #NaturePhotography","2026-02-16T12:19:24.758Z"
"pepper10.bsky.social","Beautiful little Cardinal in all that snow ... #BirdOfTheDay #WinterSurvivors #EastCoastKin #Photography #Birdsky #Birds #WildLife #Nature #ArtofPhotography","2026-02-16T10:57:55.831Z"
"pepper10.bsky.social","""""I said I'll start my diet on Monday""""... This big guy lives on a neighbor's farm .... We chat often .... #Photography #PhotographyofBlueSky #EastCoastKin #AnimalPhotography","2026-02-16T10:31:39.391Z"
"pepper10.bsky.social","Beautiful moonlit night in the woods ...... #Astronomy #Photography #PhotographyofBlueSky #EastCoastKin #Moon","2026-02-15T22:56:55.986Z"
"pepper10.bsky.social","Anyone else hearing Pink Floyd's """"Dark Side of the Moon?""""... #Photography #PhotographyofBlueSky #Moon #EastCoastKin","2026-02-15T16:14:59.164Z"
"pepper10.bsky.social","Mama raccoon just gave birth .... Way up high in an old tree. Every year it's like clockwork ... I'll see her in a few weeks with her babies. Can't wait! .... #Photography #PhotographyofBlueSky #Raccoon #Tree #EastCoastKin","2026-02-15T13:54:30.288Z"
"pepper10.bsky.social","This deer is the ghost of the woods... Now you see him : now you don't ... #Photography #PhotographyofBlueSky #Deer #Woods #Winter #EastCoastKin","2026-02-15T12:42:34.212Z"
"pepper10.bsky.social","A closer shot of this wonderful old barn .. Too many structures with real character are torn down ... Hope this one endures for years to come .. #Photogaphy #PhotographyofBlueSky #Barns #EastCoastKin","2026-02-15T11:21:39.807Z"
"pepper10.bsky.social","This came out with a green hue... So I'm sneaking it in for bird of the day : """"green"""" .... #Photography #BirdOfTheDay #Green #Nature #EastCoastkin","2026-02-15T11:06:20.965Z"
"pepper10.bsky.social","This old tree has a great profile, doesn't he? ... #BlueSkyArtShow #Wood #Photography #Trees #EastCoastKin","2026-02-14T17:54:46.999Z"
