"user","post","date"
"petermccannashton.bsky.social","Trump is toast. He and Brendan Carr spiked this Colbert interview. (TY, I wouldn't have seen this if you hadn't.) Buckle up. Texas is in play and Trump knows that if he lets the midterms happen, his 2nd term is over. I cancelled my Paramount+ subscription today. www.youtube.com/watch?v=oiTJ...","2026-02-18T11:52:29.150Z"
"petermccannashton.bsky.social","A candidate for the Independent Majority! (Gov., RI) www.votewil26.com","2026-02-15T13:48:12.261Z"
"petermccannashton.bsky.social","It's all over, Donzo. The Boss has spoken. An anthem for the streets.","2026-01-29T12:44:55.364Z"
"petermccannashton.bsky.social","#poem #poetry #Blueskypoetry #sonnet #poetrycommunity #NoKings","2025-10-17T18:12:19.612Z"
"petermccannashton.bsky.social","publicpowered.com www.nppd.com mudomaha.com nebraskacitiesutilities.com citizen power, how it's done","2025-11-11T21:43:08.997Z"
"petermccannashton.bsky.social","#poem #poetry #Blueskypoetry #sonnet #poetrycommunity #NoKings","2025-10-17T18:12:19.612Z"
"petermccannashton.bsky.social","#poem #poetry #Blueskypoetry #sonnet #poetrycommunity #NoKings No Kings! 10/18 coming to a city near you. Be there. Be heard!","2025-10-06T13:53:07.359Z"
"petermccannashton.bsky.social","#poem #poetry #sonnet #poetrycommunity #blueskypoetry","2025-09-24T14:55:48.819Z"
"petermccannashton.bsky.social","#haikufeels (family) #haiku #poetry #poem #blueskypoetry #bird #wildlife She glances my way Greeting me with her smile Just like family","2025-09-19T01:28:55.850Z"
"petermccannashton.bsky.social","People often complain about The System, but The System knows best... The system is Optimal. Inputs, limited as they are, do not register the documented necessity of upward reallocation and the requirement to off-board non-performing units. #poetry stygian-muse.com/compliance-i...","2025-09-18T11:31:54.997Z"
"petermccannashton.bsky.social","Ode to the Crimson Porcupine #sonnet challenge @daveashleypoet.bsky.social #writing #poem #blueskypoets #crimson @jamilynewriter.bsky.social #vss365 @vss365hq.bsky.social #porcupine @sonnetsmith.bsky.social #BlueSkyRelay @blueskyrelay.bsky.social","2025-07-26T18:42:59.038Z"
"petermccannashton.bsky.social","A poem after Pablo Neruda about a fly caught in a jar. #poem #PabloNeruda #insects #sonnet","2025-08-21T14:36:36.398Z"
"petermccannashton.bsky.social","#poetry #poem #sonnet","2025-09-20T19:50:55.473Z"
"petermccannashton.bsky.social","#poetry #poem #sonnet #climate","2025-09-20T19:49:55.750Z"
"petermccannashton.bsky.social","#poetry #poem #sonnet #nature","2025-09-20T19:48:51.889Z"
