"user","post","date"
"pgoodemote.bsky.social","Sorry boys, you made a big mistake with the Electoral College. You know, that was supposed to help safeguard against a demagogue and mob rule?","2026-02-17T01:59:27.226Z"
"pgoodemote.bsky.social","What a horrible place this world can be. 😞","2026-02-16T04:25:51.256Z"
"pgoodemote.bsky.social","I had a bad night’s sleep, worse than usual. The rape, torture, murder and cannibalism of children was on my mind and crept into my dreams. Justice must be served.","2026-02-15T13:50:59.683Z"
"pgoodemote.bsky.social","Why does my mind immediately go to those little DOGE punks?","2026-02-12T16:25:50.004Z"
"pgoodemote.bsky.social","I picture a private plane at-the-ready to whisk 🍊🐷 away to parts unknown, leaving all his stooges behind to fend for themselves.","2026-02-12T16:07:34.267Z"
"pgoodemote.bsky.social","It’s something anyway 💔💔💔💔💔💔💔💔💔💔","2026-02-11T22:11:03.766Z"
"pgoodemote.bsky.social","What you resort to when you are unable to answer questions truthfully and when you are under orders to protect your criminal boss.","2026-02-11T18:24:08.177Z"
"pgoodemote.bsky.social","Incompetent Smug Insolent Condescending Rude Combative Unprofessional Deceitful Arrogant","2026-02-11T17:43:21.068Z"
"pgoodemote.bsky.social","I didn’t think there could possibly be anything worse than the Janet wardrobe malfunction🤣🤣🤣🤣","2026-02-11T00:03:11.905Z"
"pgoodemote.bsky.social","You know what’s obscene, Rep. Fine? The horrors men were responsible for in the Epstein files. WHAT ARE YOU GOING TO DO ABOUT *THAT*????","2026-02-10T23:03:16.851Z"
"pgoodemote.bsky.social","Ok the prostate commercial is good. Tight ends🤣","2026-02-09T01:56:31.204Z"
"pgoodemote.bsky.social","How about an official 250th celebration on November 4th instead?","2026-02-07T19:11:47.183Z"
"pgoodemote.bsky.social","#wipWednesday I haven’t knitted in probably 5 years but I’m having fun making this Norwegian #resistance cap! Getting the hang of decreases again.","2026-02-05T00:30:42.401Z"
"pgoodemote.bsky.social","This is more than most of us can stand much longer. When will that “moral arc” begin to bend??!!??","2026-02-04T14:35:36.044Z"
"pgoodemote.bsky.social","Waiting with bated breath for #TurningPoint to announce the performers for their alternative #SuperBowl #halfTime show, but alas, nothing yet. What could this possible mean?","2026-02-02T17:36:17.400Z"
"pgoodemote.bsky.social","Now: where are they??","2026-02-01T21:38:21.559Z"
"pgoodemote.bsky.social","apple.news/A9_gmZMrTS4C...","2026-02-01T05:10:31.037Z"
"pgoodemote.bsky.social","Huh.","2026-01-31T17:46:12.574Z"
"pgoodemote.bsky.social","What’s next Rep. Khanna? Or do we have to just keep living with this abomination?","2026-01-31T17:18:01.479Z"
"pgoodemote.bsky.social","Remember when Stephen Miller said all the protesters were “elderly white hippies”? I think he was wrong.","2026-01-31T17:11:41.964Z"
"pgoodemote.bsky.social","Do we have another execution victim? How will we ever know?","2026-01-31T02:29:08.138Z"
"pgoodemote.bsky.social","#ModerationList I don’t understand what a “moderation list” is, and why I am on one. Can someone explain to me?","2026-01-30T14:18:56.414Z"
"pgoodemote.bsky.social","#sabres the Sabres have outscored their opponents 94-57 in their last 24 games!","2026-01-30T03:33:10.834Z"
"pgoodemote.bsky.social","#Sabres","2026-01-30T02:55:37.211Z"
"pgoodemote.bsky.social","Who is this awful Angie Wong on #TheBeat right now? OMG.","2026-01-29T23:44:38.798Z"
"pgoodemote.bsky.social","Shirley 🐈‍⬛ and I take a “window tour” every day.","2026-01-29T19:56:22.475Z"
"pgoodemote.bsky.social","🤣","2026-01-29T15:47:03.592Z"
"pgoodemote.bsky.social","#MSNOW Michael Steele seems a bit angry this evening.","2026-01-29T00:55:05.651Z"
"pgoodemote.bsky.social","#CatsofBlueSky Currently experiencing the horror of realizing someone did not turn on her heating pad ahead of time.","2026-01-28T17:50:14.803Z"
"pgoodemote.bsky.social","with the message: """"Everything we've done has been at the direction of these voters.""""","2026-01-28T16:50:11.160Z"
"pgoodemote.bsky.social","This is the direct antithesis of what Stephen Miller believes.","2026-01-28T01:36:02.966Z"
"pgoodemote.bsky.social","Love this so much.","2026-01-27T20:36:14.903Z"
"pgoodemote.bsky.social","Is #Bovino being sacrificed instead of #Noem?","2026-01-27T00:02:18.591Z"
"pgoodemote.bsky.social","That ICE would execute this man KNOWING FULL-WELL THAT CAMERAS WERE RECORDING THEM, can only mean one thing: their superiors have told them they can do anything--even commit murder--and get away with it with no consequences. I cannot wait for the day when they all start ratting each other out.","2026-01-26T20:35:33.044Z"
"pgoodemote.bsky.social","Who and where is Alex Pretti’s killer? The public at the very least deserves to know if there is a murderer on the loose.","2026-01-25T22:28:23.710Z"
"pgoodemote.bsky.social","Looks like the single lesson #DHS learned from #ReneeGood ’s murder, is to make sure #ICE agents ALWAYS keep their identity hidden, especially when & after they kill someone, not like Jonathan Ross. No one seems to know who the murderer is this time, & he is safely out there, able to kill again.","2026-01-25T21:36:43.633Z"
"pgoodemote.bsky.social","#Caturday This is the cover for my sewing machine. Look very closely.","2026-01-25T16:29:47.743Z"
"pgoodemote.bsky.social","It would be remarkable if we are saved from this horror we are in by the #Clintons, if their refusal to testify leads to contempt charges which leads to discovery which leads to the complete release of those damning files.","2026-01-25T14:49:27.858Z"
"pgoodemote.bsky.social","Some of us care more about the Beckhams’ feuds than we do about the ICE murders. I’m ashamed of us.","2026-01-25T00:22:48.798Z"
"pgoodemote.bsky.social","The people of Minneapolis are heroes.","2026-01-24T12:01:36.156Z"
"pgoodemote.bsky.social","Wonderful people.","2026-01-23T22:24:24.773Z"
"pgoodemote.bsky.social","Today would have been Mom’s 95th birthday. I miss her terribly. ❣️","2026-01-23T05:48:13.212Z"
"pgoodemote.bsky.social","@raskin.house.gov is bringing it.","2026-01-22T15:22:17.482Z"
"pgoodemote.bsky.social","#CatsofBlueSky #Cats #Catsky Happening at home while I'm away. I wish I could be in two places at once...my sweet Gracie.","2026-01-21T17:50:00.790Z"
"pgoodemote.bsky.social","It's like a terrifyingly dismal Groundhog Day.","2026-01-21T17:38:17.991Z"
"pgoodemote.bsky.social","How hopeful was I just now to see #AirForceOne trending?","2026-01-21T05:04:48.230Z"
