"user","post","date"
"photowolf.bsky.social","🚨🚨🚨🚨A MUST WATCH!!!! 🚨🚨🚨","2025-07-22T20:34:52.073Z"
"photowolf.bsky.social","So, the MAGA and Faux (Fox News) are foaming at the mouth and bitching about the Coldplay kiss cam thing but are totally okay with their orange tator tot doing all the shit he’s done……. Hmmmm 🤔🤔🤔","2025-07-20T14:02:41.679Z"
"photowolf.bsky.social","The #3 app in Apple’s US App Store is one that allows anonymous reports of ICE agent sightings. techcrunch.com/2025/07/01/i...","2025-07-01T23:33:25.495Z"
"photowolf.bsky.social","De Niro, 81, was receiving the Palme d’Or lifetime achievement award at the event in the south of France on Tuesday when he called Trump a “philistine president.” “In my country, we are fighting like hell for the democracy we once took for granted,”","2025-05-14T15:55:53.136Z"
"photowolf.bsky.social","Just curious – are we great yet? I do not think so in any stretch of the imagination. When Trump goes to the Hague today, he better get used to it because I’ve a feeling he will be tried there soon.","2025-06-23T14:30:54.530Z"
"photowolf.bsky.social","So, the folks who had a problem with wearing masks during COVID are totally fine with “agents” wearing them while illegally detaining people? Hmmmm. 🤔🤔🤔","2025-06-19T14:00:29.764Z"
"photowolf.bsky.social","For the MAGA effers who said, “fuck your feelings”, they sure seem to care all of the sudden when people talk about 8647. 🤷‍♂️","2025-05-29T14:56:41.901Z"
"photowolf.bsky.social","Federal workers: We understand you may be taking a risk in contacting us, and we take your confidentiality extremely seriously. To collect tips, we use encrypted forms and apps, so messages cannot be read by anybody other than you and ProPublica. ➡️ Reach out here: propublica.org/tips","2025-04-12T02:02:36.263Z"
"photowolf.bsky.social","@stephruhle.bsky.social spewing truth this morning. Man, I absolutely love her knowledge and passion!","2025-04-11T11:30:06.236Z"
"photowolf.bsky.social","Imagine an America where the President actually worked as hard for the people as he does for getting rid of people.","2025-04-09T00:57:44.460Z"
"photowolf.bsky.social","They worked with human traffickers since at least last year and received thousands of dollars for each car they waved in: www.cnn.com/2025/04/07/u...","2025-04-07T17:29:18.147Z"
"photowolf.bsky.social","Now more than ever - we are in a full-blown Constitutional crisis. This is NOT America.","2025-04-07T20:26:38.325Z"
"photowolf.bsky.social","All those screaming about inflation, are you screaming about a recession? Your orange guy you love is destroying America. And I hope that red ‘made in China’ MAGA hat protects you from the World crashing on your head. Idiots.","2025-04-04T12:35:29.256Z"
"photowolf.bsky.social","Trump destroys EVERYTHING. Full stop.","2025-04-03T14:41:21.911Z"
"photowolf.bsky.social","The people of Wisconsin said fuck you to the corrupt Nazi billionaire asshole. Now when does he get arrested for his active felony bribery scheme?","2025-04-02T03:10:51.284Z"
"photowolf.bsky.social","Hero.","2025-04-01T17:45:58.439Z"
"photowolf.bsky.social","""""In a world of Paul Weisses, be a Keker Van Nest..."""" abovethelaw.com/2025/03/elit...","2025-03-31T19:34:20.816Z"
"photowolf.bsky.social","Can we permanently put to rest the myth that a businessman knows more how to manage the economy? Or do we have to wait for our economy’s collapse for some among us to grasp it?","2025-03-31T19:26:27.197Z"
"photowolf.bsky.social","Just so everyone knows - what Trump is doing is not America and not making anything great for 99.99% of Americans. Its destruction of everything America was. It truly is sad to see people who are okay with seeing it erode. If you are okay w/it - YOU ARE THE PROBLEM.","2025-03-31T14:11:02.304Z"
"photowolf.bsky.social","These media companies need to quit covering Trump. The more he’s on TV the stronger he thinks he is. The less he’s on TV the more he gets pissed he’s not on TV. If you’re gonna cover him cover his lies. And highlight those and see the real dictator Donnie come forward","2025-03-21T16:02:06.925Z"
"photowolf.bsky.social","If Trump goes to his Lies social media you can bet that whatever people are claiming or reporting is true. Keep pushing, media. DO YOUR JOB!","2025-03-21T15:08:50.276Z"
"photowolf.bsky.social","@jessicasiriusxm.bsky.social Thank you for the follow. Enjoy you on SiriusXM!","2025-03-17T17:28:21.310Z"
"photowolf.bsky.social","DOGE Makes Its Latest Errors Harder to Find. This is excellent reporting. You gotta read it. The Times is doing its job here, digging in and figuring out how to report how effed up DOGE really is. Free article. Please share. www.nytimes.com/2025/03/13/u...","2025-03-13T12:17:59.375Z"
"photowolf.bsky.social","Can anyone in law enforcement explain to me how one could support Trump, while they swore an oath to uphold the law? When the current leader doesn't follow or abide by the rule of law, how can he be supported by so many in that field?","2025-03-13T14:02:36.579Z"
"photowolf.bsky.social","I truly would like to know what Trump has said and done in his entire life that has succeeded? Honest question? How on Earth are people with a brain think what he is doing is American and good for America? Let's debate. Fact vs made-up facts that you've done your """"research"""" on...... Go.....","2025-03-13T13:46:06.748Z"
"photowolf.bsky.social","Noble idea: Quit putting GOP mouthpieces on to spew lies. Instead, fact check all that the felon spews and Elon, too. Then people will watch again.","2025-03-12T00:22:17.292Z"
"photowolf.bsky.social","Democrats just need to vote no on everything. The republicans have been doing it for years with no repercussions. Dems constituents are intelligent enough to realize why they are not voting for things that might help. Don't give the right ANY help. SLOW downs the gears of government. 1/2","2025-03-11T15:48:38.522Z"
"photowolf.bsky.social","We have sticker sheets and individual stickers available! Get out there and let people know whose fault these high prices are. The work starts now! www.etsy.com/shop/FedUpStudio","2025-02-02T18:27:35.553Z"
"photowolf.bsky.social","The eff your feelings crowd (aka MAGAts), sure found their feelings hurt lately. It’s all funny, until it isn’t. Reminder: if you support the candy corn guy - you’re in a cult.","2025-03-10T16:57:48.185Z"
"photowolf.bsky.social","Trump and Putin and Musk trying to take over the World. This won’t end well. For anyone. Including those 3 stooges.","2025-03-04T16:18:07.939Z"
"photowolf.bsky.social","Hey America, are we ‘great’ yet?","2025-02-26T01:39:42.712Z"
"photowolf.bsky.social","I just subscribed to 5 Calls Newsletter! buttondown.com/5calls","2025-02-20T17:41:46.385Z"
"photowolf.bsky.social","🎯🎯🎯🎯","2025-02-19T17:59:06.340Z"
"photowolf.bsky.social","Trump really is a Russian asset, right?","2025-02-19T16:48:55.269Z"
"photowolf.bsky.social","So if the “media” quit covering tRump and his stupid antics, does he go away?","2025-02-18T21:39:48.360Z"
"photowolf.bsky.social","If anyone, ANYONE wishes to save democracy - you’re in the clock! 🙏","2025-02-13T21:00:40.364Z"
"photowolf.bsky.social","Imagine if @aoc @sanders.senate.gov , every dem, SIMULTANEOUSLY held Town Halls where they allowed grant and contract recipients to explain to the country what it is they do and why it's important Invite all media. Including RW podcasters. @spaces Flood the zone Call it a Day Of Transparency","2025-02-11T18:51:42.837Z"
"photowolf.bsky.social","Again. The “media” had a chance to prove their worth. Yet, crickets.","2025-02-03T19:02:44.997Z"
"photowolf.bsky.social","This FOTUS is truly bat$hit crazy.","2025-02-03T18:48:07.584Z"
"photowolf.bsky.social","🚨 🚨 🚨 HOMEWORK 🚨 🚨 🚨 The email address for federal workers to inform on their colleagues is DEIAtruth@opm.gov. Would be a real shame if folks flooded that inbox, rendering it useless.","2025-01-22T23:35:12.606Z"
"photowolf.bsky.social","Absolutely sickening press briefing by Trump. Never will take the blame and media outlets will just move on. This is why we are here. Lies and mis-information and flat-out racial hatred is what is in charge of our Country right now.","2025-01-30T19:20:52.912Z"
"photowolf.bsky.social","For all you folks who knew the Chiefs would win because it’s “scripted”, hope you bet everything you own and now a multi-gazillionaire. #ChiefsKingdom #3Peat","2025-01-27T04:01:53.580Z"
"photowolf.bsky.social","Trump's firehose of executive orders is meant to inundate you and make you stop trying to keep up. I encourage you to keep up. Keep reading. Keep watching.","2025-01-22T23:26:48.024Z"
"photowolf.bsky.social","Quit covering the stupid thing the orange guy says and dig deeper. It’s a tactic while he’s doing horrible shit because we’re focused on his stupidity.","2025-01-23T13:58:35.485Z"
"photowolf.bsky.social","@ameliasawyer.bsky.social hi friend! Great to see you on here! Hoping you and family are great!","2025-01-23T13:28:22.192Z"
"photowolf.bsky.social","So, tRump and his right-wing buddies claimed TikTok was “bad”, yet it’s blocked and he wants to reinstate it……. Hmmm.","2025-01-19T17:53:00.981Z"
"photowolf.bsky.social","The so-called media just needs to be banned. Sick of them allowing lie after lie and not standing g up for what their “job” truly is.","2025-01-02T18:43:38.538Z"
"photowolf.bsky.social","#ChiefsKingdom Merry Christmas.","2024-12-25T21:48:02.566Z"
"photowolf.bsky.social","Current situation…. #blessed","2024-12-22T21:43:15.873Z"
"photowolf.bsky.social","Yet the uneducated (aka MAGAts) blame President Biden. Again, the media failed.....","2024-12-19T02:47:18.243Z"
"photowolf.bsky.social","Hey “Media”, go to hell for not calling out that one guys lies. You’re one of the main reasons we’re here. Do your job or kick sand. #TrumpLies","2024-12-18T15:10:18.371Z"
"photowolf.bsky.social","#ChiefsKingdom that is all.","2024-12-15T18:11:36.821Z"
"photowolf.bsky.social","These “people” are worse than scum. Lying to try and destroy democracy. Take them all down.","2024-12-14T18:28:39.807Z"
"photowolf.bsky.social","Many Maggots aka MAGA folk lie. Not surprising. But what is concerning is the so-called “media”, radio silent on their “reporting” of it.","2024-12-12T22:16:54.221Z"
"photowolf.bsky.social","Just because we all need a laugh…..","2024-12-12T06:07:14.073Z"
"photowolf.bsky.social","Fair question.","2024-12-11T15:22:47.334Z"
"photowolf.bsky.social","My Kansas City Chiefs run the AFC WEST, AGAIN! Ugly, but we'll take it! #ChiefsKingdom","2024-12-09T04:23:46.314Z"
"photowolf.bsky.social","Preach!","2024-12-09T01:26:00.553Z"
"photowolf.bsky.social","🎯🎯🎯","2024-12-08T17:19:12.969Z"
"photowolf.bsky.social","🗣️🗣️🗣️","2024-12-05T17:11:47.053Z"
"photowolf.bsky.social","Reason 473,327,497,116 I’m glad I’m no longer on that shite site.","2024-12-04T19:59:27.566Z"
"photowolf.bsky.social","VERY good question....","2024-12-02T05:05:11.517Z"
"photowolf.bsky.social","The asshat picked another asshat to run to run a Government agency that he cannot even spell.","2024-12-01T17:07:41.439Z"
"photowolf.bsky.social","I wish we can just say a couple got married. No acronyms, just two humans getting married.","2024-11-26T17:30:50.018Z"
"photowolf.bsky.social","I spent 20 years in the local media. That industry is dying. They had the chance to make huge waves about truth, but sold out to big businesses and appease their “clients”. I’m not sad it’s a dead business. I’m sad for the great people who are caught in their greed.","2024-11-26T17:23:03.523Z"
"photowolf.bsky.social","Killa Trav. The best. #ChiefsKingdom","2024-11-24T18:28:23.723Z"
"photowolf.bsky.social","I can only hope that President Biden pulls a rabbit out of his hat while leaving and does something that truly torches tRump.","2024-11-24T18:19:03.102Z"
"photowolf.bsky.social","😂😂😂","2024-11-22T18:47:26.242Z"
"photowolf.bsky.social","Another jaw-dropping report by Phil and his team. Keep pushing!!!","2024-11-22T18:44:32.272Z"
"photowolf.bsky.social","Truly, truly sickening.","2024-11-22T18:07:31.920Z"
"photowolf.bsky.social","RESPECT!","2024-11-22T15:29:23.926Z"
"photowolf.bsky.social","I fully expect every news outlet, source or whatever to hold tRump accountable on all of his promises on day one. Let’s see who has the gall to do it. Then I will be impressed. Liar.In.Chief.","2024-11-22T01:05:39.990Z"
"photowolf.bsky.social","Driving in the #Cleveland snow listening to Navalny’s book brings me hope things will be okay. He is a true Patriot.","2024-11-21T22:37:40.975Z"
"photowolf.bsky.social","Can't wait to hear what it was...... I'm sure he'll just say, """"oh it was AI....""""","2024-11-20T03:10:18.696Z"
"photowolf.bsky.social","Anyone catching wind of what #TEGNA just did to many “loyal” employees? Yup, they’re in the holiday spirit by letting them go Jan 17th. Being replaced by - AI. There’s a special place for people who do this, and it’s not a positive one. Sad.","2024-11-20T02:40:55.065Z"
"photowolf.bsky.social","Dude - I cannot unsee this. Amazing!","2024-11-19T20:53:35.832Z"
"photowolf.bsky.social","Pretty damn useful right here! ⬇️⬇️⬇️","2024-11-19T13:59:31.331Z"
"photowolf.bsky.social","Nailed it!","2024-11-19T13:57:58.455Z"
"photowolf.bsky.social","Do. Not. Obey. In. Advance.","2024-11-18T12:00:56.055Z"
"photowolf.bsky.social","This is exactly why we’re here now. “News Outlets” like this, bending the knee. All to make sure they’re on the side of making money and selling their souls and their employees who truly believe in the product they put on-air. Bye, Joe.","2024-11-19T00:01:19.845Z"
"photowolf.bsky.social","So, honestly. “They” said how bad Soros is, wtf does that make Elon?!?!","2024-11-18T05:07:47.197Z"
"photowolf.bsky.social","No joke - I was actually talking about this with a buddy yesterday. My how people forget about QAnon, and all they did to hurt and destroy true democracy.","2024-11-18T04:40:27.299Z"
"photowolf.bsky.social","Incredible thread. 👏👏👏","2024-11-16T21:29:07.927Z"
"photowolf.bsky.social","Ohio is so effed up. And I live here. Sadly.","2024-11-16T21:22:43.898Z"
"photowolf.bsky.social","Seth with the history lesson of facts. Scary times but glad there are educated people like Seth speaking truth.","2024-11-16T19:18:51.161Z"
"photowolf.bsky.social","🗣️","2024-11-16T18:19:38.279Z"
