"user","post","date"
"pjw78.bsky.social","🍷Happy National Wine Day🍷 🦊 Meet and Greet 🦊 Oops I’m a little late 🙄 I looked down and saw $80 on the sidewalk. Being the good Christian that I am, I thought, what would Jesus do? So I went to the liquor store and turned it into wine 🍷 Enjoy your day We will be okay ❤️Love❤️ 🦊Foxy 🦊","2026-02-18T13:15:25.735Z"
"pjw78.bsky.social","You know letting babies be fed with contaminated water mixed in formula is wrong. You know that serving children food with worms crawling in it is wrong. You know sexually abusing & torturing little kids is wrong. Make the call. Call your senators. Every.DAMN. Day. #Pinks #ProudBlue #OneV1","2026-02-18T12:12:01.933Z"
"pjw78.bsky.social","Keep pressuring to revel the #UnredactedTrumpEpsteinFiles #Epstein #EpsteinFiles","2026-02-16T17:39:39.478Z"
"pjw78.bsky.social","She was right before and right again now. She rips felonious orangina a new one, listen up to @HillaryClinton #Dv1 #ProudBlue","2026-02-17T02:38:10.922Z"
"pjw78.bsky.social","Good Morning Beautiful World","2026-02-17T11:44:43.931Z"
"pjw78.bsky.social","Just as the ocean recedes to reveal a clean slate of sand, each morning offers you a new canvas to design your day. Finding a moment of stillness before the world gets noisy lets you move with intention rather than just reaction. Embrace the quiet clarity of the early hours.","2026-02-17T11:11:10.376Z"
"pjw78.bsky.social","Your Presidents' Day reminder that patriotism isn't about attacking immigrants, cutting taxes for the rich, or dividing us by race & faith. True patriots don't pander to divisiveness or hate. They work to confirm the """"WE"""" in """"We the People of the United States.""""","2026-02-16T17:01:09.509707Z"
"pjw78.bsky.social","“Trump appears 1,433 times. His billionaire backers are also members. Musk appears 1,122 times. Howard Lutnick is a member. So is Trump-backer Thiel (2,710 times), and Wexner (565 times). As is Witkoff, now Trump’s envoy to the Middle East, and Bannon, Trump’s consigliere (1,855 times).”","2026-02-16T12:52:34.884Z"
"pjw78.bsky.social","GM ray & TY! 💙 @raykwong.bsky.social ☮️💙🐊🐸🦋 @dailykotzn.bsky.social @libbirdie4-all.bsky.social @bluestormcomin1.bsky.social @official-samsmith.bsky.social @southerngayteacher.bsky.social @freedom78.bsky.social","2026-02-16T12:40:09.397Z"
"pjw78.bsky.social","Good morning, beautiful friends! Every day holds promise of something wonderful. Choose to see good, find joy in small moments, and let positivity guide your path. #Jaye’sMorningLight","2026-02-16T11:42:17.961Z"
"pjw78.bsky.social","Good morning! ☕️☀️😎🎵☮️🌸💗","2026-02-16T11:23:11.458Z"
"pjw78.bsky.social","When you are the richest of the rich, there is no accountability! Starting with the Pedophile President of the United States! His Pedophile Administration & protectors! His Pedophile Sycophants & Oligarch rich friends! His MAGA moron pedophile voters! The day will come when it all implodes!","2026-02-15T19:15:53.336Z"
"pjw78.bsky.social","#SaturdayNightParties 🎉 @bluestormcomin1.bsky.social @hopeful66.bsky.social @gdad1x7.bsky.social @bluewavesurfer.bsky.social @docmurphydog.bsky.social @panda-news.bsky.social @ltwlauren.bsky.social @justanyrican.bsky.social @bassrck67.bsky.social @flufffighter.bsky.social @roxydog.bsky.social","2026-02-15T00:01:26.283Z"
"pjw78.bsky.social","One of these days…….and soon, I hope.","2026-02-15T15:46:01.058Z"
