"user","post","date"
"promiseofrebellion.bsky.social","Amazing...science has now given us veggie potato chips. 🤔 Next we'll get liquid water.","2026-02-14T01:11:07.221Z"
"promiseofrebellion.bsky.social","Perfect","2026-02-09T15:53:27.597Z"
"promiseofrebellion.bsky.social","CONFIRMED FOR NEW BEGINNING USA! 🇺🇸 Syuri brings her talents back to the United States as she takes on the ROH Women's World Champion Athena! The IWGP Women's Championship will be on the line in Trenton, New Jersey! #NJPW #ROH #AEW","2026-02-05T10:50:24.395Z"
"promiseofrebellion.bsky.social","#FuckIce chants at #AEW tonight! That's how you do it! #BodyKing is the man!","2026-02-05T03:07:29.942Z"
"promiseofrebellion.bsky.social","Brody King, who's in the main event of #AEWDynamite, fighting MJF for a shot at the AEW Men's World Championship, has just raised $58,000 for people affected by ICE in Minneapolis. Earlier, he raised over $35K for families affected by ICE in Los Angeles FUCK ICE CHANTS ON #AEWDYNAMITE FUCK YES","2026-02-05T03:02:43.784Z"
"promiseofrebellion.bsky.social","For those who don't know yet, you can access the Epstein Files here (at least what the DOJ has not buried yet!) www.justice.gov/epstein Get in there, do research, and get screenshots before they delete even more evidence.","2026-02-03T17:18:47.831Z"
"promiseofrebellion.bsky.social","New Japan has announced they will be releasing a documentary covering Hiroshi Tanahashi’s retirement from Wrestle Kingdom 20... airing for FREE on both YouTube and NJPWWORLD in February next month! Here's the official promotional poster. 🔥 #NJPW #AEW #TNA #CMLL #WWE","2026-01-30T14:46:25.381Z"
"promiseofrebellion.bsky.social","So weird that the guy they chose to direct the Melania Bribe-Umentary was a Me Too-canceled has been pictured with Epstein and another Epstein-backed child sex trafficker who also *killed himself* in prison So many coincidences!","2026-01-31T19:41:54.644Z"
"promiseofrebellion.bsky.social","Do you get it now?","2026-01-31T19:30:13.098Z"
"promiseofrebellion.bsky.social","Silence = compliance. Never stop resisting. #FuckICE #ImpeachTrump #RESIST","2026-01-28T16:27:20.021Z"
"promiseofrebellion.bsky.social","MJF says if you say wrestling is fake to him, he will punch you in the face. #AEW #MJF","2026-01-25T22:02:32.330Z"
"promiseofrebellion.bsky.social","Time to get angry. Voice your anger. Silence is compliance. open.spotify.com/track/6478fA...","2026-01-26T02:30:34.375Z"
"promiseofrebellion.bsky.social","Exactly what 'violent riot' is this dumb bitch talking about? I'm not seeing anything in MN that resembles what Noem is talking about. These fuckers think we don't have eyes or internet?","2026-01-24T22:47:17.249Z"
"promiseofrebellion.bsky.social","A full day ahead of me... wonder which random people I've never interacted with will block me today. Seems like 2 or 3 every day. 😅","2026-01-21T14:10:08.794Z"
"promiseofrebellion.bsky.social","Brooklyn Park police chief Mark Bruley: """"We're hearing people being stopped with no cause & being demanded to show paperwork to determine if they're here legally. We started hearing from our police officers the same complaints. Every one of these individuals is a person of color... it has to stop""""","2026-01-20T17:30:58.865Z"
"promiseofrebellion.bsky.social","How long until the Orange Dipshit decides to change our flag.. maybe change the stars to gold, or some shit like that? #FuckTrump #FuckICE and #FuckMAGA","2026-01-19T18:35:56.184Z"
"promiseofrebellion.bsky.social","Quite a quote from Texans LB Azeez Al-Shaair, who was asked about his STOP THE GENOCIDE eye black after today’s game www.usatoday.com/story/sports...","2026-01-19T04:13:52.952Z"
"promiseofrebellion.bsky.social","I'll be going live on Whatnot tonight at 6pm EST to sell a ton of Magic: The Gathering cards, if anyone is interested. #Magic #MTG www.whatnot.com/live/9f2d86c...","2026-01-16T15:39:42.360Z"
