"user","post","date"
"promississippi.bsky.social","Signing off early this evening lovely people! One more early morning for me and then I can rest for a few days! Hooray! 😂","2026-01-28T19:58:41.200Z"
"promississippi.bsky.social","Only a few days left to give to my winter fundraiser for our local animal shelter. We're getting closer to $7,000 - can you help us get there? Thank you!! 🎁 givebutter.com/n5l31M","2025-12-21T18:43:53.922Z"
"promississippi.bsky.social","Let's start the day colourfully with this lacewing biblis 🖤 A welcome refreshment from the dreary grey outside. Do you agree? Have a wonderful day☕ www.sayn.de #Bortenfalter #lacewing #Cethosiabiblis #Schmetterling #butterfly #Nikon #Fotografie 📷 🌿 🦋 #photography #wildlife","2025-12-17T08:44:53.539Z"
"promississippi.bsky.social","32 degrees but the red tailed hawks are back. They’re not as skittish as the northern harriers","2025-12-04T19:38:09.476Z"
"promississippi.bsky.social","A sunny winter morning in our local park","2025-12-01T09:20:22.741Z"
"promississippi.bsky.social","😍","2025-11-25T09:22:04.115Z"
"promississippi.bsky.social","A colourful autumn scene from our local park","2025-11-12T08:24:40.910Z"
"promississippi.bsky.social","Shadow doesn't like to be held, but he loves to get pets.","2025-11-02T19:02:11.653Z"
"promississippi.bsky.social","Autumns Fire """"The trees don't mourn their falling leaves _ they ignite in colour, burning with the beauty of change, teaching us how to let go in flames of grace."""" - Dede Hawkins #Autumn #leaves #nature #photography #eastcoastkin #imageandverse #red","2025-10-23T05:55:04.284Z"
"promississippi.bsky.social","#BirdoftheDay theme of #Green, including those surrounded by greenery. This Great Blue Heron was waiting out the rain in the farm fields near the Padilla Bay Trail, Skagit County Washington back in January.","2025-10-21T22:43:42.442Z"
"promississippi.bsky.social","The """"Irish Glow"""" dahlia is a pompon-style flower with small, tightly curled petals that form a compact, globe-shaped bloom. It features vibrant, fiery red-orange blossoms that have a glowing appearance with hints of orange or lighter reverse shades.","2025-10-21T00:32:12.539Z"
"promississippi.bsky.social","Osprey. Ontario, #Canada Fun Fact: they are migrating south for the winter now since their primary food source, fish, moves to deeper waters or becomes unavailable when northern lakes and rivers freeze over #birds #birdphotography #wildlife #nature #photography #birding","2025-10-17T14:06:50.703Z"
"promississippi.bsky.social","my academic work over the past couple of years","2025-10-17T14:09:49.743Z"
"promississippi.bsky.social","The mug of cider simmered slow, The apples sputtered in a row, And, close at hand, the basket stood With nuts from brown October's wood. ~John Greenleaf Whittier","2025-10-17T10:29:29.643Z"
"promississippi.bsky.social","purple ipê","2025-10-07T13:22:48.719Z"
"promississippi.bsky.social","A Pileated Woodpecker passing by overhead.","2025-10-05T22:44:21.132Z"
"promississippi.bsky.social","Flower of the day. Echinacea. A scene of life and death in the garden. A White Crab spider has just killed a bumblebee. #photography #flowers #bloomscrolling #spider #bumblebee #nature #EastCoastKin","2025-09-18T16:33:03.322Z"
"promississippi.bsky.social","This is Ralphie. He's trying to live up to his reputation as a retriever. Let him cook. 12/10 (TT: ralphiesgoldenlife)","2025-09-17T16:12:38.194Z"
"promississippi.bsky.social","zashalovescats Zasha """"Charcoal has been in shackles for a few days to help fix his splayed legs. This has likely been an issue since he hatched and he was found drowning in a creek. He was hardly able to walk and was very weak. Look at how well he can walk!!"""" Australasian (aka Purple) Swamphen.","2025-09-16T20:55:26.722Z"
"promississippi.bsky.social","Spring is coming in the Southern Emisphere.","2025-09-16T21:18:21.999Z"
"promississippi.bsky.social","Meerkat Family","2025-09-16T13:45:15.556Z"
"promississippi.bsky.social","Bros hair is exquisite","2025-09-11T10:10:41.022Z"
"promississippi.bsky.social","monarch said later a couple minutes before I took this video, but this field skipper loves the close up attention 🤣🤣🤣🤣 just love me, monarch🤣","2025-09-11T13:52:37.003Z"
"promississippi.bsky.social","A Wood Duck on a stone wall over the Wissahickon Creek in Philadelphia #birds #nature #wildlife #ducks","2025-09-11T16:41:48.469Z"
"promississippi.bsky.social","Cedar Waxwings checking out a Pokeberry bush. These birds love Pokeberries, which are poisonous to humans but are used to make a natural dye.","2025-09-08T22:07:24.178Z"
"promississippi.bsky.social","whatcameradoyouhave 📍 SoCal x Baja """"Sperm whale mega pod | This mega pod of sperm whales was stacked with massive individuals shown here cruising close together at the surface.""""","2025-09-08T18:56:54.921Z"
"promississippi.bsky.social","www.youtube.com/shorts/IX73O...","2025-09-08T16:30:10.029Z"
"promississippi.bsky.social","This American Redstart (female/immature male) is giving a good view at the special feathers around his/her beak called """"rictal bristles."""" It's believed these feathers are similar to whiskers in mammals and help with locating and catching insects.","2025-09-05T21:14:01.220Z"
"promississippi.bsky.social","Little Blue Heron with what appears to be a Stomatopoda, commonly known as a Mantis Shrimp. #photography #naturephotography #wildlifephotography #thelittlethings","2025-09-04T11:05:32.326Z"
"promississippi.bsky.social","This chick already looks like it’s seen too much 💭🦤😂 #birds #humor","2025-09-02T15:12:49.397Z"
"promississippi.bsky.social","#TwoForTuesday #Anti-Stress #Cuteness for you! Mother Bear protecting her young cub 🐻 #TwosDay #WildlifePhotography #NaturePhotography #Bears #BearLove #NatureMoments #Motherhood","2025-09-02T11:15:59.494Z"
"promississippi.bsky.social","Kokanee Salmon spawning at Kokanee Park West Kootenays BC Canada","2025-09-02T01:47:56.019Z"
"promississippi.bsky.social","This young male Resplendent Quetzal had his eye on me. San Gerardo de Dota #CostaRica #birds #nature","2025-09-01T20:25:58.624Z"
"promississippi.bsky.social","American red squirrel (Tamiasciurus hudsonicus)","2025-08-30T22:25:19.211Z"
"promississippi.bsky.social","Apex predator Great Horned Owl A7RV - 300mm f2.8 + 2x TC #birds 🪶🦉","2025-08-29T03:10:40.777Z"
"promississippi.bsky.social","Marauding highwaymen, except it's otters and they want shoes. I have been pounding the table about this danger for years, no one listened. And now look. Look what happens.","2025-08-27T13:29:01.583Z"
"promississippi.bsky.social","A Baby hippo's first steps on dry land.","2025-08-21T00:47:58.811Z"
"promississippi.bsky.social","Steve is losing his marbles","2025-08-19T19:42:41.982Z"
"promississippi.bsky.social","Red deer stag after the apples but bribed for a photo with a carrot.","2025-08-19T10:18:52.114Z"
"promississippi.bsky.social","Bravo! Two dogs herding hundreds of sheep into the pen without missing a single one.","2025-08-16T20:09:15.988Z"
"promississippi.bsky.social","Alaska saw its first aurora last night! Aurora season has officially begun!","2025-08-09T15:12:16.823Z"
"promississippi.bsky.social","Road trip….. 🥰 🐶🐢","2025-07-30T21:47:26.190Z"
"promississippi.bsky.social","For a moment, I thought this barred owlet was stuck or injured or something. But it was just sunning itself. Ravenna Park, Seattle.","2025-07-31T11:49:35.328Z"
"promississippi.bsky.social","This impressive female Powerful Owl recently moved into the territory of a lone male, after he lost his mate. We have no idea where she may have come from, we don't often see Powls on their own. Watching their interaction and bonding has been an exciting first for me :) #birds #wildoz #brisbane","2025-07-28T22:28:26.690Z"
"promississippi.bsky.social","Woofer with little subwoofer…. 🥰 Good boy keeping the little one calm… 🐶","2025-07-28T18:23:34.145Z"
"promississippi.bsky.social","The shoebill stork looks like a dinosaur.. 🦖 Such a beautiful looking bird… 🐦","2025-07-27T21:02:12.866Z"
"promississippi.bsky.social","Feather stars are marine invertebrates related to starfish and sea urchins they are characterized by their feathery branching arms which they use to filter food particles from the water many species of feather stars are capable of swimming freely…","2025-07-27T16:55:40.562Z"
"promississippi.bsky.social","It’s Friday! So, time for some seriously chonky otters.","2025-07-25T11:07:54.095Z"
"promississippi.bsky.social","Bee on spear thistle at Winnall Moors today. #Bugsky #UKWildlife","2025-07-23T18:45:19.524Z"
"promississippi.bsky.social","Now this is one cleaver little prairie dog.. Wait for it…. 😂🤣","2025-07-23T13:52:38.151Z"
"promississippi.bsky.social","These cute puppy huskies and their momma howling… 😊 🐶","2025-07-23T08:14:08.421Z"
"promississippi.bsky.social","When someone asks what parenting be like… 😂🤣 🐵 🥰","2025-07-20T01:55:52.802Z"
"promississippi.bsky.social","A Great Blue Heron arriving home.","2025-07-17T21:28:15.879Z"
"promississippi.bsky.social","A Message From a Bee: If You Can Hear Me, Let the Flowers Grow Again Hello, dear human. I know I’m small. You might not even notice me when I pass by. But I see you. I see your gardens, your windows, your streets… and lately, I see so many empty places where flowers used to be.","2025-07-10T22:17:43.886Z"
"promississippi.bsky.social","A wildlife photographer joked that his wife managed to capture an extraordinary photo that outdid him: a European eagle owl, one of the world's largest, perched on his camera lens.","2025-07-09T13:13:59.289Z"
"promississippi.bsky.social","Your dose of cuteness 🥰🥰🥰 Good morning friends!","2025-07-09T12:20:52.426Z"
"promississippi.bsky.social","Here is your dopamine booster 😍😍😍🤣 Good morning friends!!","2025-07-08T11:58:38.097Z"
"promississippi.bsky.social","Another CaturDog Day Let it be","2025-07-05T11:25:31.140Z"
"promississippi.bsky.social","Hey all! Here is a grouse posing nicely on a perfect winter day. Many thanks for the likes follows reposts and comments!:) Enjoy your Friday and have a great weekend!!! #Birding #Birdwatching #BirdPhotography #NaturePhotography #NaturesBeauty #FocusOnNature #PhotoHour","2025-06-27T10:06:42.828Z"
"promississippi.bsky.social","Steve is at the bottom of the pub beer garden. Hiding from his bar tab.","2025-06-27T10:07:41.965Z"
"promississippi.bsky.social","This is Lily","2025-06-24T12:37:25.719Z"
"promississippi.bsky.social","Owl core","2025-06-24T10:55:50.289Z"
"promississippi.bsky.social","Just a lil something sweet before bedtime. 🎻🎶💙💙💙","2025-06-23T03:31:46.537Z"
"promississippi.bsky.social","Must be nice to lay somewhere where the floor is also a snack 😴 #DailyYoshon","2025-06-13T13:55:06.477Z"
"promississippi.bsky.social","A robin made a nest in one of my plant pots right outside my studio. The baby birds are hatching today.","2025-06-10T15:55:20.777Z"
"promississippi.bsky.social","Fini is actually a cat, confirmed ✅️ She ate the catnip 🐱","2025-06-08T11:20:39.254Z"
"promississippi.bsky.social","Poor thing is starving 🤣🤣🤣🤣🤭 Good morning friends!!","2025-06-08T12:05:14.669Z"
"promississippi.bsky.social","The ultimate water sausage compilation:","2025-06-02T19:15:08.568Z"
"promississippi.bsky.social","Here is Steve's slightly remorseful 'I have done shenanigans' face....","2025-05-22T09:36:42.367Z"
"promississippi.bsky.social","Tension on the trails! A standoff beteeen a coyote and a pair of mule deer. #mammals #coyote #deer","2025-05-21T23:18:09.201Z"
"promississippi.bsky.social","Meet one of the largest and most powerful owls on Earth — with eyes that pierce straight into your soul! - Eurasian Eagle-Owl. Photo📸 zahnete","2025-05-18T15:05:18.472Z"
"promississippi.bsky.social","Steve is trying to think hard about something but also remain in the conversation. Steve is trying hs best. You can tell by his face.","2025-05-14T21:35:41.469Z"
"promississippi.bsky.social","Yes, I have a very expensive digital camera and lenses for... reasons? Sigh.","2025-05-12T00:13:17.166Z"
"promississippi.bsky.social","Joe Hardy, handsome cat","2025-05-11T09:42:11.056Z"
"promississippi.bsky.social","critters","2025-05-10T21:00:34.945Z"
"promississippi.bsky.social","A magpie on the old tractor on the farm at Saltia, southern Flinders Ranges.","2025-05-10T10:02:08.472Z"
"promississippi.bsky.social","i kneading the air #cat #cats #catsofbluesky","2025-05-09T16:34:17.286Z"
"promississippi.bsky.social","Reader, look.","2025-05-08T22:11:53.872Z"
