"user","post","date"
"pscrosby.bsky.social","When lost in a Patagonian wilderness at the southern tip of Argentina, here's what I did… 📸 Links: https://t.mtrbio.com/peter-sherman-crosby 📸 Gear I use: https://alltogethernow.com/gear #TravelVlog #Argentina #TierraDelFuego #LagunaEsmeralda #doc #documentary #greatdocs #greatdocumentaries","2026-02-17T21:03:09.647003Z"
"pscrosby.bsky.social","May you ride this Year of the Horse boldly, strongly, downright heroically, and for more than 8 seconds!","2026-02-16T23:26:36.389Z"
"pscrosby.bsky.social","CHINA YANGSHUO SELFIE LOVERS Under the electric glow of a festive night, two young lovers lean into a bright selfie, catching a fleeting shimmer of joy. 📸 Links: https://t.mtrbio.com/peter-sherman-crosby #petershermancrosby #fineartprints #wallartdecor #homeaesthetic #photographygift","2026-02-16T18:02:13.404066Z"
"pscrosby.bsky.social","THE RACE OF TRUST A fierce, focused rider on a swift steed charges through a barrel race, determination written across every motion. 📸 Links: https://t.mtrbio.com/peter-sherman-crosby #petershermancrosby #fineartprints #wallartdecor #homeaesthetic #photographygift #artforyourhome #giftideas2026","2026-02-15T18:01:54.802477Z"
"pscrosby.bsky.social","Happy Valentine’s Day! ❤️ However you’re spending it, with someone you love, your friends, or just enjoying your own company, I hope today feels good and honest. 📸 Links: https://t.mtrbio.com/peter-sherman-crosby #HappyValentinesDay #ValentinesDay2026 #Love #petershermancrosby #fineartprints","2026-02-14T18:02:52.482760Z"
"pscrosby.bsky.social","I've landed someplace new filled with beauty, adventure, and friendly folks… New travel destination unlocked. Any guesses where I am? 😎 📸 Links: https://t.mtrbio.com/peter-sherman-crosby 📸 Gear I use: https://alltogethernow.com/gear #Photography #Travel #PhotographyTravel","2026-02-14T00:02:09.001091Z"
"pscrosby.bsky.social","FRAGILE WINGS TIMELESS PEAKS A striking black butterfly perches on pastel wildflowers against the majestic backdrop of misty karst mountains. 📸 Links: https://t.mtrbio.com/peter-sherman-crosby #petershermancrosby #fineartprints #wallartdecor #homeaesthetic #photographygift #artforyourhome","2026-02-13T18:02:55.090872Z"
"pscrosby.bsky.social","Woohoo! Oh My Beautiful Country is having its WORLD PREMIERE at the Socially Relevant Film Festival in New York City and we’re screening at Cinema Village (yes, THAT iconic indie theater in NYC). Ready to grab tickets? 🎟 https://filmfreeway.com/SRFF26/tickets","2026-02-12T00:02:17.091908Z"
"pscrosby.bsky.social","Thanks to all of you who already purchased ~40 tickets!!! Socially Relevant Film Festival notified us that we'll definitely be on a big screen at NYC's Cinema Village theater, March 13-15, date//time TBD. 🎟️ Early Bird discount tickets here: https://filmfreeway.com/SRFF26/tickets","2026-02-10T21:01:49.805504Z"
"pscrosby.bsky.social","LITTLE GUARDIAN OF THE PHOENIX RIVER A young girl in traditional Miao attire perches barefoot on the edge of a wooden boat, gazing across a historic riverside village bathed in the soft hues of dusk. Links: https://t.mtrbio.com/peter-sherman-crosby #petershermancrosby #fineartprints #wallartdecor","2026-02-09T18:02:41.096327Z"
"pscrosby.bsky.social","FEATHERS OF THE ANCESTORS A proud Native dancer stands grounded in tradition and dressed in power, his regalia honoring generations past under a perfect sky. 📸 Links: https://t.mtrbio.com/peter-sherman-crosby #petershermancrosby #fineartprints #wallartdecor #homeaesthetic #photographygift","2026-02-08T18:02:47.758095Z"
"pscrosby.bsky.social","Tucon, Arizona | No ICE Protest These images come from people standing against ICE brutality, forced silence, and a proposed immigrant detention center in our community. 📸 Links: https://t.mtrbio.com/peter-sherman-crosby 📸 Gear I use: https://alltogethernow.com/gear","2026-02-07T21:02:14.355088Z"
"pscrosby.bsky.social","Thanks to you who already purchased ~40 tickets!!! SRFF has notified us that we will definitely be on a big screen at NYC's Cinema Village theater, March 13-15 date//time TBD Early Bird discount tix: filmfreeway.com/SRFF26/tickets Festival's documentary lineup: www.ratedsrfilms.org/2026-program...","2026-02-07T18:20:03.136Z"
"pscrosby.bsky.social","Big win! Oh My Beautiful Country takes Web TV Series at the London Movie Awards! Another amazing chapter for the series 📸 Links: https://t.mtrbio.com/peter-sherman-crosby 📸 Gear I use: https://alltogethernow.com/gear #doc #documentary #greatdocs #greatdocumentaries #personaldocumentaries","2026-02-03T21:01:42.739358Z"
"pscrosby.bsky.social","BIG SCREEN! Honored by the Socially Relevant Film Festival to screen our enhanced 54-minute FILM of 'Oh My Beautiful Country: Journey to the West' at NYC's Cinema Village on March 13-15 (time TBD)! Early Discount tickets: filmfreeway.com/SRFF26/tickets SRFF festival lineup: www.ratedsrfilms.org","2026-02-06T19:47:33.175Z"
"pscrosby.bsky.social","Thanks to you who already purchased ~40 tickets!!! SRFF has notified us that we will definitely be on a big screen at NYC's Cinema Village theater, March 13-15 date//time TBD Early Bird discount tix: filmfreeway.com/SRFF26/tickets Festival's documentary lineup: www.ratedsrfilms.org/2026-program...","2026-02-07T18:20:03.136Z"
"pscrosby.bsky.social","BIG SCREEN! Honored by the Socially Relevant Film Festival to screen our enhanced 54-minute FILM of 'Oh My Beautiful Country: Journey to the West' at NYC's Cinema Village on March 13-15 (time TBD)! Early Discount tickets: filmfreeway.com/SRFF26/tickets SRFF festival lineup: www.ratedsrfilms.org","2026-02-06T19:47:33.175Z"
"pscrosby.bsky.social","MIDNIGHT CROSSING A glowing full moon rises above a tree-lined ridge, casting a surreal light over a quiet field and slicing the darkness with a streak of headlights. Links: https://t.mtrbio.com/peter-sherman-crosby #petershermancrosby #fineartprints #wallartdecor #homeaesthetic #photographygift","2026-02-06T18:01:58.391340Z"
"pscrosby.bsky.social","Stuck in the Sand | Beach Riding Adventure at Daytona 📸 OMBC Ep 2: https://www.youtube.com/watch?v=-OClDPAPLns&t=2s 📸 Gear I use: https://alltogethernow.com/gear/ #TravelVlog #BikeAcrossAmerica #CulturalExchange #doc #documentary #greatdocs #greatdocumentaries #personaldocumentaries #personaldocs","2026-02-04T21:03:38.335249Z"
"pscrosby.bsky.social","Big win! Oh My Beautiful Country takes Web TV Series at the London Movie Awards! Another amazing chapter for the series 📸 Links: https://t.mtrbio.com/peter-sherman-crosby 📸 Gear I use: https://alltogethernow.com/gear #doc #documentary #greatdocs #greatdocumentaries #personaldocumentaries","2026-02-03T21:01:42.739358Z"
"pscrosby.bsky.social","Tucson-ites fighting against ICE brutality, anonymity, and a possible local detention center. This crowd was loud, proud, and young, with many local indigenous people! More photos, videos, and web series: t-sml.mtrbio.com/public/smart...","2026-01-31T18:12:54.253Z"
"pscrosby.bsky.social","BLURRY NIGHTS AND BRIGHT EYES A smiling man in a green military-style cap toasts the camera with a glass, surrounded by warm, motion-blurred lights 📸 Links: https://t.mtrbio.com/peter-sherman-crosby #fineartprints #wallartdecor #homeaesthetic #photographygift #artforyourhome #giftideas2026","2026-02-02T18:02:02.395085Z"
"pscrosby.bsky.social","TWILIGHT AT THE LINCOLN MEMORIAL As twilight deepens over the Lincoln Memorial, hundreds gather beneath its glowing columns to honor the past and capture the present. 📸 Links: https://t.mtrbio.com/peter-sherman-crosby #fineartprints #wallartdecor #homeaesthetic #photographygift #artforyourhome","2026-02-01T18:02:02.180610Z"
"pscrosby.bsky.social","Tucson-ites fighting against ICE brutality, anonymity, and a possible local detention center. This crowd was loud, proud, and young, with many local indigenous people! More photos, videos, and web series: t-sml.mtrbio.com/public/smart...","2026-01-31T18:12:54.253Z"
"pscrosby.bsky.social","CHINA SICHUAN - LANGMASU TEMPLE BIRDS - 2019 A black bird soars across a brilliant sky above the gilded eaves of Langmu Temple 📸 Links: https://t.mtrbio.com/peter-sherman-crosby #fineartprints #wallartdecor #homeaesthetic #photographygift #artforyourhome #giftideas2026 #peterspix #uniquegiftsusa","2026-01-30T18:02:18.989829Z"
"pscrosby.bsky.social","I left New York to chase a dream halfway around the world. Watch the full episode 👇 📸 Links: https://t.mtrbio.com/peter-sherman-crosby #fyp #shorts #PodcastGuest #RyanPyle #doc #documentary #greatdocs #greatdocumentaries #personaldocumentaries #personaldocs","2026-01-29T21:02:16.203094Z"
"pscrosby.bsky.social","What Happened to America | A View From China 📸 OMBC Ep 1: https://youtu.be/GU5vFjXHIng 📸 Links: https://t.mtrbio.com/peter-sherman-crosby #doc #documentary #greatdocs #greatdocumentaries #personaldocumentaries #personaldocs","2026-01-28T21:02:29.990057Z"
"pscrosby.bsky.social","abcnews.go.com/US/doomsday-...","2026-01-28T00:42:06.439Z"
"pscrosby.bsky.social","Talking 'bout evolution! This is the Sundance Film Festival's last year in Park City. I wrote about the Festival for National Geographic Travel magazine in 1999. So if you'd like some perspective from the last century, you can read my lovely article here: drive.google.com/file/d/1UQ9a...","2026-01-24T16:55:44.696Z"
