"user","post","date"
"puddlejumper005.bsky.social","This is wildly appropriate ☠️","2026-02-13T15:02:22.686Z"
"puddlejumper005.bsky.social","#Trump #Epstein #EpsteinFiles","2026-01-30T17:12:44.763Z"
"puddlejumper005.bsky.social","🔥","2026-01-18T14:36:42.610Z"
"puddlejumper005.bsky.social","Headline: Trump begs SCOTUS to allow him to starve your children! Your grandparents can forget eating too! He did give tens of BILLIONS to Argentina though! What a guy!","2025-11-08T01:35:22.922Z"
"puddlejumper005.bsky.social","What's going to happen when trump is finally gone and all these ice agents blend back into society? We won't know who they are and they will probaly start acting like normal citizens again. I don't feel comfortale with all these sleeper cells justs waiting to come back out.","2025-11-03T00:12:39.491Z"
"puddlejumper005.bsky.social","This pic from Chicago today made me ponder how we see many enormous post-election rallies against Trump, but we never see enormous rallies *for* Trump. Sure, we see a score of people on the roadside with flags every so often, but nothing like this. Maybe he's just not as popular as he thinks he is.","2025-10-18T18:36:07.630Z"
"puddlejumper005.bsky.social","Can we tear this shit down after he's gone?","2025-10-17T05:49:21.029Z"
"puddlejumper005.bsky.social","Thank you, Ambassador!","2025-10-14T01:51:49.701Z"
"puddlejumper005.bsky.social","Stephen Colbert’s segment on The Frog Resistance🐸🐸🐸🐸 🤣🤣🤣🤣","2025-10-14T03:00:49.124Z"
"puddlejumper005.bsky.social","📌 in other words . . . Canks is TRASH ‼️‼️‼️⬅️🐥","2025-10-11T22:26:18.272Z"
"puddlejumper005.bsky.social","Portland, Oregon. We don' need saving.","2025-10-06T04:48:13.860Z"
"puddlejumper005.bsky.social","@kittykatval.bsky.social @michellespenc.bsky.social @realelsie1.bsky.social","2025-09-28T14:39:17.424Z"
"puddlejumper005.bsky.social","I would think Trump would be focused on Grand Blanc, Michigan, today. Not Portland, Oregon. I lived in Oregon all my life (Except 20 years in Tucson) Portland is a very peaceful city. I'm not sure why he's there. But then again I'm not sure why he's on Earth.","2025-09-29T01:54:16.170Z"
"puddlejumper005.bsky.social","I love the Brits.","2025-09-26T22:58:23.956Z"
"puddlejumper005.bsky.social","Just for reference to Project Oppression in 2025 it’s real.","2025-09-17T23:54:57.045Z"
"puddlejumper005.bsky.social","You know what I'm grateful for? If we had to have this POS in the white house I'm glad it happened when he is 79 and not 49.","2025-09-20T03:09:27.471Z"
"puddlejumper005.bsky.social","Certainly not the brightest lamp we have in-store, but both halogen and standard incandescent bulb models are in stock right now! Facebook","2025-09-19T01:32:58.220Z"
