"user","post","date"
"reeseteacher.bsky.social","Wait, did the SAVE Act already pass and they forgot to tell voters? No! I’m going to need an update on this. I hope she was able to cast her ballot in the primary. Texans, if this is happening to you, post your story with the polling location. Put it on blast. And report it.","2026-02-18T03:30:26.155Z"
"reeseteacher.bsky.social","It's 1 am and I am awake because it's literally raining in Minnesota in February right now. And my apartment needs to adjust the gutters or something because it's dripping on the metal spout right outside my window. Think leaking faucet but amplified times a lot lol","2026-02-18T07:11:31.873Z"
"reeseteacher.bsky.social","Stephen Colbert responds to CBS disputing his claims that he was barred from airing the James Talarico interview: """"And for the lawyers to release this without even talking to me is really surprising. I don’t even know what to do with this crap. Hold on."""" He then picks it up with a dog poop bag.","2026-02-18T05:08:21.081Z"
"reeseteacher.bsky.social","I think Duolingo knows me a little *too* well with this one 😂 (those of you who don't know me, I have chronic insomnia and don't sleep a lot lol)","2026-02-18T03:29:17.279Z"
"reeseteacher.bsky.social","I don't know what is wrong with my stomach but I've been nauseous so much in the last ten days or so. Was sick almost all day yesterday and now I'm feeling it again. Ugh.","2026-02-18T01:49:04.528Z"
"reeseteacher.bsky.social","The SAVE Act is an attempt to keep voters from exercising their constitutional right to vote and we won’t let that happen. ❌🗳️ Call your Senators NOW and urge them to vote no—you can even use the short, easy script we wrote that's located in the replies.","2026-02-18T01:11:40.371Z"
"reeseteacher.bsky.social","Just watched the YouTube video of Chris Lake remixing Opalite. I had absolutely no idea that remixes were so involved and time consuming, what a fascinating process to watch!","2026-02-18T01:36:44.920Z"
"reeseteacher.bsky.social","I ordered some stuff from Taylors site this weekend and was shocked to get a delivery notification already. I checked my mailbox and it wasn't delivered. So I checked the notification again, tell me why it says delivered OCT 4th?!? When I ordered the item on SATURDAY (3 days ago)? 😂 😂 😂","2026-02-17T06:08:22.969Z"
"reeseteacher.bsky.social","Well I've been sick to my stomach almost all day and have been feeling better the last 2-2.5 hours.... I'm going to attempt to eat some plain white rice, wish me luck lol","2026-02-17T04:30:12.720Z"
"reeseteacher.bsky.social","My opalite cds are still showing as """"expected today"""" but it's almost 9:30....i don't think it's coming today lol","2026-02-17T03:23:43.428Z"
"reeseteacher.bsky.social","I hate it when you have a long weekend ahead of you, but then you blink and it's practically over","2026-02-16T22:10:16.437Z"
"reeseteacher.bsky.social","My stomach is bothering me so bad today. I hate crohns","2026-02-16T19:41:23.013Z"
"reeseteacher.bsky.social","Just got a notification that two of the opalite cds are arriving tomorrow. I don't think they are the remixes I just ordered, I think they are the ones I bought like a month ago? I kinda forgot all about them to be honest 😂 😂","2026-02-15T18:24:16.055Z"
"reeseteacher.bsky.social","I guess the Olympics infiltrated my dreams last night because I dreamed I was downhill skiing for the first time. And I'm kinda annoyed that I can't even be good at something in my dreams because I fell down just as much as I would have in real life 😂 😂","2026-02-15T18:08:21.195Z"
"reeseteacher.bsky.social","One thing I hate about where my apartment unit is located is when everyone who goes outside to smoke (in the designated smoking area) the smell still wafts into my apartment when the window is open. And it's finally 50 in Minnesota today so I want my windows open 😭","2026-02-14T17:32:52.869Z"
"reeseteacher.bsky.social","Happy Valentines day everyone 💕","2026-02-14T15:23:39.459Z"
