"user","post","date"
"resist-tees.bsky.social","@nbcnews.com @cbsnews.com So another person killed at the hands of untrained ICE isn’t important enough news to break into an infomercial and a basketball game? You are pathetic. This is why people don’t trust you anymore!","2026-01-24T17:15:06.665Z"
"resist-tees.bsky.social","With the Comey & James cases tossed, the Rule of Law still has a foothold in the judiciary. Who TRULY supports the Rule of Law ⚖️? It's not Republicans! They believe in Lawlessness, Corruption, Chaos & Hypocrisy. 🛒 Find all slogans at: 👉 resisttees.printify.me/%EF%BF%BC 👉 tee.pub/lic/resistte...","2025-11-26T00:57:50.477Z"
"resist-tees.bsky.social","The subtext in JD Vance asking for """"patience"""" on the economy: When leaders stop talking about current conditions and jump straight to rosy forecasts, they’re signaling the present isn’t defensible. That’s your cue to scrutinize the numbers, not just the narrative.","2025-11-25T22:56:32.494Z"
"resist-tees.bsky.social","Has anyone ever seen more incompetence in the DOJ or the office of the President? Not in my lifetime! We cannot rely 💯 on the courts to save us but they sure can help! Keep resisting! #Resist","2025-11-24T18:19:41.594Z"
"resist-tees.bsky.social","After seeing Melanoma Trollop’s AI Warfare Will Kill Us All/Happy Thanksgiving speech, I like to imagine that Daily Show or Colbert or Seth Meyers writers have infiltrated this administration as speech writers—making them all look like bigger morons than they already do all on their own!","2025-11-21T05:11:12.736Z"
"resist-tees.bsky.social","👇💯","2025-11-20T19:03:26.403Z"
"resist-tees.bsky.social","Epstein survivor Haley Robson: """"To the President of the United States of America, I want to send a clear message to you…I can't help to be skeptical of what [your] agenda is…I am traumatized. I am not stupid. You have put us through so much stress…It's not right.""""","2025-11-18T15:52:10.009Z"
"resist-tees.bsky.social","Dear reporters, when reporting on lower food prices before Thanksgiving, please remind your audience that the reason for the price increases IS the tariffs and lowering the tariffs doesn’t lower prices it just brings them back to where they were before the trump screwed over the American people.","2025-11-17T13:45:26.445Z"
"resist-tees.bsky.social","I believe the women!","2025-11-14T05:09:18.145Z"
"resist-tees.bsky.social","Thank you Vets!!❤️🫵 cozyandcoolapparel.com","2025-11-11T14:36:54.801Z"
"resist-tees.bsky.social","Pass it on… who knew the Truth Social AI would be the only truthful part of that garbage social media app.","2025-11-11T18:53:30.460Z"
"resist-tees.bsky.social","Of all the senators on the list, this was my biggest surprise. So disappointed in him. This will be what he is remembered for, not the good he has done in the past for the people of IL and the US.","2025-11-11T14:04:11.986Z"
"resist-tees.bsky.social","If your caving senator is on this list reach out and tell them!","2025-11-10T14:18:09.158Z"
"resist-tees.bsky.social","@durbin.senate.gov what a pathetic move. The GOP lie & give empty promises to stay in power. They are the epitome of hypocrisy! I’d think someone with your years of experience would understand. You have lost our faith and you leaving office can’t come soon enough!","2025-11-10T14:15:51.852Z"
"resist-tees.bsky.social","Here’s another action for next week! Tues Nov 11 on Veterans Day! #Chicago. DOWNTOWN.","2025-11-09T19:32:00.486Z"
"resist-tees.bsky.social","For some reason I never remember it’s Caturday until Sunday 😹 Happy Belated #Caturday!","2025-11-09T14:29:28.315Z"
"resist-tees.bsky.social","The narrative always changes and the idiots who still support him are too dumb to realize they are being played to his benefit, not theirs.","2025-11-09T14:26:13.392Z"
"resist-tees.bsky.social","The story of a weak President who hates the majority of Americans so much he will do anything to make them suffer (even though many voted for him) should be EVERYWHERE!","2025-11-08T18:54:28.370Z"
"resist-tees.bsky.social","Hey Epstein Ballroom donors! Perhaps your “donations” (aka bribes) would have gone further in the eyes of your customers had you donated to food banks & organizations that feed hungry children and families rather than stroking the ego of a petulant man baby who has never done any good for humanity!","2025-11-08T14:22:29.925Z"
"resist-tees.bsky.social","Common sense is 🟦! Trump and the GOP have none. 🤞their supporters will get the message soon because the MAGA lies will hit them next—hard! 🗳️","2025-11-08T14:10:45.359Z"
"resist-tees.bsky.social","This is how all senators who blow hot air and lies should be spoken to. #GlovesAreOff","2025-11-08T14:06:48.568Z"
"resist-tees.bsky.social","Blah blah blah, none of the GOP panic ever seems to come to fruition, yet everything VP Harris warned about has! Not seeing that on Fox, Newsmax or other so called “news” channels.","2025-11-08T00:39:40.947Z"
"resist-tees.bsky.social","Shapiro: He rose to some prominence by writing a book about growing up in Appalachia, where there are a whole lot of people who get SNAP. He made millions of dollars off telling their stories, and then he turned his damn back on those very people he likes to write about and claim as his own.","2025-11-07T21:14:51.633Z"
"resist-tees.bsky.social","As we approach the holidays and travelers receive that flight cancellation text, remember this is brought to you by Trump and the GOP!","2025-11-07T02:50:43.184Z"
"resist-tees.bsky.social","So basically the tariff case before the Supreme Court exposes (in the highest court of the land) that trump’s lie about foreign countries paying the tariffs is the outright lie we all knew it to be. Or do I have that wrong? #Tariff #TrumpLies #GullibleMAGA","2025-11-06T03:33:15.265Z"
"resist-tees.bsky.social","I watched much of the victory speeches in Virginia, New Jersey and New York and noticed they were all about hope, gratitude and reaching out to those who voted for other candidates. Why is this such a hard message for candidates of a certain part to embrace? #Hopeful","2025-11-05T04:32:12.532Z"
"resist-tees.bsky.social","Everyone should pay careful attention to the Maine voter ID ballot measure (Prop 1). It is on track to lose -- thereby proving that the GOP claims that voter ID laws are overwhelmingly popular is a lie. Perhaps now the legacy media will stop repeating that nonsense.","2025-11-05T02:47:17.301Z"
"resist-tees.bsky.social","America has shown us a new face of leadership tonight. The message is clear — it’s time for a woman to lead our nation as president. 🇺🇸✨","2025-11-05T03:19:12.568Z"
"resist-tees.bsky.social","Consider this. A judge ordered a president to feed hungry children. The president doesn’t want to do that. He was ordered to do that.","2025-11-04T13:10:51.991Z"
"resist-tees.bsky.social","For those with important elections please VOTE!! 🇺🇸 🗳️","2025-11-04T17:52:41.326Z"
"resist-tees.bsky.social","Psst … pass it on!","2025-11-02T16:18:49.958Z"
"resist-tees.bsky.social","Military members who refuse to obey UNLAWFUL orders are modern day heroes. These choices not only serve the citizens of our country but also pay homage and respect to the veterans who came before them to fight the same fight against fascism.","2025-11-02T14:22:56.636Z"
"resist-tees.bsky.social","This is it for reals…","2025-11-02T13:41:08.032Z"
"resist-tees.bsky.social","Good morning post daylight savings time! It that time of year when we should … RELEASE THE EPSTEIN FILES! #EpsteinFiles","2025-11-02T13:25:03.175Z"
"resist-tees.bsky.social","You can’t have it both ways! I choose celebrating the achievements and contributions of immigrants, citizens, humans and animals alike!","2025-11-02T13:14:30.491Z"
"resist-tees.bsky.social","What a World Series! Release the Epstein files","2025-11-02T04:35:36.066Z"
"resist-tees.bsky.social","✊💙 I’d Rather Be Woke Than… Hypocrite. Republican. Hateful. Full of hate. (You get the idea 😏) Wear your values proudly with our bold new series — including “I’d Rather Be Woke Than A Hypocrite.” 🛒 resisttees.printify.me￼ �� tee.pub/lic/resisttees�s￼ #ResistTees #WokeAF #Progress #Activism","2025-11-02T05:30:04.546Z"
"resist-tees.bsky.social","Speak Truth......","2025-10-31T18:19:38.970Z"
"resist-tees.bsky.social","So true. A church should never be more interested in your donation than helping those in need!","2025-10-31T13:24:43.852Z"
"resist-tees.bsky.social","Goodmorning Bluesky!! Congrats Toronto on the victory last night in game 5, thank you all for joining us here at cozyandcoolapparel.com take some time and come see us today!! 💙🔥🫵","2025-10-30T13:07:31.165Z"
"resist-tees.bsky.social","Amazon is helping fund a $300 million build of a ballroom for the White House. Independent bookstores are donating to food banks and organizations that help with food insecurity. They are not the same.","2025-10-30T16:01:08.423Z"
"resist-tees.bsky.social","What a brave woman who makes EXCELLENT points. His answer is irrelevant since he has shown he has no respect and is completely disingenuous with respect to the hopes, dreams and struggles of someone who is unlike him. He has a non-Christian wife and still spews hate for non-Christians-Disgusting!","2025-10-30T16:09:29.451Z"
"resist-tees.bsky.social","We must keep asking the question, “Make America Great Again? For who? It’s certainly NOT 99% of the American people!”","2025-10-30T13:54:34.241Z"
"resist-tees.bsky.social","Keep this corruption in the news!","2025-10-30T13:51:53.165Z"
"resist-tees.bsky.social","So true!","2025-10-30T02:56:56.901Z"
"resist-tees.bsky.social","“Home of the brave!”","2025-10-30T02:54:33.989Z"
"resist-tees.bsky.social","Spread this wide - Republicans blocked a bill that would let the under served get FOOD! Pain and suffering for people who disgust them (aka poor people) is their only value!","2025-10-30T02:52:02.939Z"
"resist-tees.bsky.social","Americans are going through what, for many, is the toughest times of their lives We're growing in our strengths every day The felon is afraid that we will realize our constructive, combined strengths, & take his bull💩 right out to lunch NEVER GIVING UP TOUGHENS YOU IN WAYS YOU CANNOT COMPREHEND","2025-10-29T23:22:42.524Z"
